Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,321,Corovode,ALB,Albania,40.5167040262,20.2332966278,1,375.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2012,1,1,0,7.22,87.73,0.0,0.0,0.0,266.15,2.82,240.0,956.05,
2012,1,1,1,6.33,85.92,0.0,0.0,0.0,257.45,2.66,20.0,973.93,
2012,1,1,2,5.43,84.12,0.0,0.0,0.0,248.75,2.5,21.0,974.12,
2012,1,1,3,4.54,82.31,0.0,0.0,0.0,240.06,2.34,22.0,974.31,
2012,1,1,4,3.65,80.5,0.0,0.0,0.0,231.36,2.18,25.0,975.01,
2012,1,1,5,2.75,78.69,0.0,0.0,0.0,222.66,2.02,27.0,975.71,
2012,1,1,6,1.86,76.89,0.0,0.0,0.0,213.97,1.86,29.0,976.42,
2012,1,1,7,0.97,75.08,0.0,0.0,0.0,205.27,1.7,32.0,977.09,
2012,1,1,8,0.07,73.27,50.0,0.0,50.0,196.57,1.54,35.0,977.75,
2012,1,1,9,4.92,72.61,258.0,508.51,107.0,208.25,1.53,37.0,978.42,
2012,1,1,10,5.91,67.64,385.0,733.62,99.0,213.43,1.44,38.0,978.11,
2012,1,1,11,6.89,62.67,435.0,720.03,119.0,218.62,1.36,39.0,977.79,
2012,1,1,12,7.88,57.7,442.0,746.57,113.0,223.8,1.27,40.0,977.47,
2012,1,1,13,7.3,61.89,386.0,708.58,106.0,221.68,1.3,44.0,977.66,
2012,1,1,14,6.72,66.09,292.0,707.27,76.0,219.57,1.32,48.0,977.85,
2012,1,1,15,6.14,70.28,145.0,506.98,55.0,217.45,1.35,52.0,978.04,
2012,1,1,16,4.94,71.7,0.0,0.0,0.0,207.2,1.49,49.0,978.77,
2012,1,1,17,3.74,73.12,0.0,0.0,0.0,196.95,1.63,46.0,979.51,
2012,1,1,18,2.54,74.54,0.0,0.0,0.0,186.7,1.77,44.0,980.24,
2012,1,1,19,1.56,75.74,0.0,0.0,0.0,183.77,1.7,43.0,980.78,
2012,1,1,20,0.58,76.94,0.0,0.0,0.0,180.83,1.63,43.0,981.32,
2012,1,1,21,-0.4,78.14,0.0,0.0,0.0,177.9,1.56,43.0,981.87,
2012,1,1,22,-0.61,77.48,0.0,0.0,0.0,176.58,1.71,44.0,982.03,
2012,1,1,23,-0.82,76.82,0.0,0.0,0.0,175.27,1.85,44.0,982.19,
2012,1,2,0,-1.02,76.16,0.0,0.0,0.0,173.95,2.0,45.0,982.35,
2012,1,2,1,-0.95,76.96,0.0,0.0,0.0,174.7,1.83,44.0,982.25,
2012,1,2,2,-0.88,77.77,0.0,0.0,0.0,175.45,1.66,43.0,982.15,
2012,1,2,3,-0.81,78.57,0.0,0.0,0.0,176.2,1.49,42.0,982.06,
2012,1,2,4,-0.86,77.81,0.0,0.0,0.0,175.53,1.39,44.0,982.12,
2012,1,2,5,-0.92,77.05,0.0,0.0,0.0,174.87,1.29,45.0,982.19,
2012,1,2,6,-0.97,76.29,0.0,0.0,0.0,174.2,1.19,46.0,982.25,
2012,1,2,7,1.78,71.99,0.0,0.0,0.0,178.65,1.0,57.0,982.31,
2012,1,2,8,4.54,67.69,45.0,0.0,45.0,183.1,0.82,67.0,982.38,
2012,1,2,9,7.3,63.39,281.0,679.34,79.0,187.55,0.63,77.0,982.44,
2012,1,2,10,8.64,57.27,390.0,760.34,93.0,197.55,0.65,127.0,981.99,
2012,1,2,11,9.97,51.16,444.0,761.34,109.0,207.55,0.66,178.0,981.55,
2012,1,2,12,11.31,45.04,451.0,789.27,102.0,217.55,0.68,228.0,981.1,
2012,1,2,13,10.92,48.15,399.0,775.87,91.0,219.9,0.58,234.0,980.81,
2012,1,2,14,10.53,51.25,296.0,722.03,74.0,222.25,0.49,240.0,980.53,
2012,1,2,15,10.15,54.36,148.0,517.35,55.0,224.6,0.4,246.0,980.24,
2012,1,2,16,9.01,59.47,0.0,0.0,0.0,214.73,0.71,222.0,980.34,
2012,1,2,17,7.86,64.57,0.0,0.0,0.0,204.87,1.03,198.0,980.43,
2012,1,2,18,6.72,69.68,0.0,0.0,0.0,195.0,1.34,175.0,980.53,
2012,1,2,19,6.34,71.08,0.0,0.0,0.0,192.03,1.23,180.0,980.56,
2012,1,2,20,5.97,72.47,0.0,0.0,0.0,189.07,1.13,185.0,980.59,
2012,1,2,21,5.59,73.87,0.0,0.0,0.0,186.1,1.02,190.0,980.62,
2012,1,2,22,5.38,75.71,0.0,0.0,0.0,187.7,1.24,231.0,980.43,
2012,1,2,23,5.18,77.56,0.0,0.0,0.0,189.3,1.46,273.0,980.24,
2012,1,3,0,4.98,79.4,0.0,0.0,0.0,190.9,1.68,315.0,980.05,
2012,1,3,1,4.67,79.25,0.0,0.0,0.0,190.63,1.69,345.0,979.89,
2012,1,3,2,4.36,79.09,0.0,0.0,0.0,190.37,1.7,15.0,979.73,
2012,1,3,3,4.05,78.94,0.0,0.0,0.0,190.1,1.71,44.0,979.57,
2012,1,3,4,3.95,80.02,0.0,0.0,0.0,190.72,1.68,44.0,979.6,
2012,1,3,5,3.86,81.1,0.0,0.0,0.0,191.33,1.66,44.0,979.64,
2012,1,3,6,3.76,82.18,0.0,0.0,0.0,191.95,1.63,44.0,979.67,
2012,1,3,7,5.9,80.83,0.0,0.0,0.0,203.6,1.43,69.0,980.02,
2012,1,3,8,8.04,79.49,43.0,0.0,43.0,215.25,1.24,94.0,980.37,
2012,1,3,9,10.18,78.14,285.0,705.01,75.0,226.9,1.05,119.0,980.72,
2012,1,3,10,11.18,75.39,393.0,773.95,90.0,241.42,0.8,156.0,980.4,
2012,1,3,11,12.19,72.65,448.0,775.03,106.0,255.93,0.56,193.0,980.08,
2012,1,3,12,13.19,69.9,453.0,790.9,102.0,270.45,0.32,230.0,979.76,
2012,1,3,13,12.85,69.74,399.0,762.1,95.0,269.87,0.29,185.0,979.73,
2012,1,3,14,12.5,69.57,298.0,723.43,74.0,269.28,0.26,140.0,979.7,
2012,1,3,15,12.16,69.41,154.0,560.14,52.0,268.7,0.23,95.0,979.67,
2012,1,3,16,10.51,75.04,0.0,0.0,0.0,263.5,0.55,82.0,979.99,
2012,1,3,17,8.86,80.67,0.0,0.0,0.0,258.3,0.87,68.0,980.3,
2012,1,3,18,7.21,86.3,0.0,0.0,0.0,253.1,1.19,55.0,980.62,
2012,1,3,19,6.32,87.37,0.0,0.0,0.0,251.1,1.14,50.0,980.81,
2012,1,3,20,5.42,88.43,0.0,0.0,0.0,249.1,1.1,45.0,981.01,
2012,1,3,21,4.53,89.5,0.0,0.0,0.0,247.1,1.06,40.0,981.2,
