Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,323,Librazhd,ALB,Albania,41.200002107,20.3667035964,1,545.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2010,1,1,0,5.38,94.89,0.0,0.0,0.0,279.27,2.96,64.0,959.82,
2010,1,1,1,6.08,95.13,0.0,0.0,0.0,283.11,3.12,203.0,937.46,
2010,1,1,2,6.78,95.36,0.0,0.0,0.0,286.94,3.27,203.0,936.74,
2010,1,1,3,7.48,95.6,0.0,0.0,0.0,290.78,3.43,203.0,936.02,
2010,1,1,4,8.18,95.83,0.0,0.0,0.0,294.62,3.59,208.0,935.83,
2010,1,1,5,8.88,96.07,0.0,0.0,0.0,298.46,3.74,213.0,935.65,
2010,1,1,6,9.58,96.31,0.0,0.0,0.0,302.3,3.9,218.0,935.46,
2010,1,1,7,10.28,96.54,0.0,0.0,0.0,306.13,4.06,222.0,935.71,
2010,1,1,8,10.98,96.78,68.0,0.0,68.0,309.97,4.21,226.0,935.96,
2010,1,1,9,11.6,96.98,132.0,34.62,122.0,299.4,5.49,230.0,936.21,
2010,1,1,10,11.51,97.41,53.0,0.0,53.0,304.23,5.81,229.0,935.93,
2010,1,1,11,11.42,97.84,82.0,0.0,82.0,309.07,6.13,229.0,935.65,
2010,1,1,12,11.33,98.27,77.0,0.0,77.0,313.9,6.46,229.0,935.37,
2010,1,1,13,10.84,98.35,83.0,0.0,83.0,312.62,6.28,230.0,935.15,
2010,1,1,14,10.34,98.43,208.0,244.01,136.0,311.33,6.1,231.0,934.93,
2010,1,1,15,9.85,98.51,63.0,0.0,63.0,310.05,5.92,233.0,934.71,
2010,1,1,16,9.35,98.2,0.0,0.0,0.0,307.63,6.32,233.0,935.02,
2010,1,1,17,8.85,97.89,0.0,0.0,0.0,305.22,6.73,234.0,935.33,
2010,1,1,18,8.35,97.58,0.0,0.0,0.0,302.8,7.13,235.0,935.65,
2010,1,1,19,7.86,97.75,0.0,0.0,0.0,301.62,6.53,235.0,935.71,
2010,1,1,20,7.38,97.91,0.0,0.0,0.0,300.43,5.94,236.0,935.77,
2010,1,1,21,6.9,98.08,0.0,0.0,0.0,299.25,5.34,236.0,935.83,
2010,1,1,22,6.9,98.25,0.0,0.0,0.0,302.68,4.84,236.0,935.46,
2010,1,1,23,6.91,98.43,0.0,0.0,0.0,306.12,4.34,235.0,935.08,
2010,1,2,0,6.92,98.6,0.0,0.0,0.0,309.55,3.85,235.0,934.71,
2010,1,2,1,6.63,98.62,0.0,0.0,0.0,310.77,4.05,235.0,935.02,
2010,1,2,2,6.35,98.63,0.0,0.0,0.0,311.98,4.24,236.0,935.33,
2010,1,2,3,6.06,98.65,0.0,0.0,0.0,313.2,4.44,237.0,935.65,
2010,1,2,4,6.07,98.6,0.0,0.0,0.0,314.27,4.3,237.0,935.8,
2010,1,2,5,6.09,98.55,0.0,0.0,0.0,315.33,4.16,237.0,935.96,
2010,1,2,6,6.1,98.5,0.0,0.0,0.0,316.4,4.01,238.0,936.12,
2010,1,2,7,6.76,98.33,0.0,0.0,0.0,316.02,3.82,241.0,936.83,
2010,1,2,8,7.41,98.17,16.0,0.0,16.0,315.63,3.63,244.0,937.55,
2010,1,2,9,8.07,98.0,28.0,0.0,28.0,315.25,3.43,247.0,938.27,
2010,1,2,10,8.22,97.6,124.0,0.0,124.0,316.4,3.26,248.0,938.46,
2010,1,2,11,8.36,97.2,114.0,0.0,114.0,317.55,3.09,248.0,938.65,
2010,1,2,12,8.51,96.8,119.0,0.0,119.0,318.7,2.91,249.0,938.83,
2010,1,2,13,8.06,96.63,140.0,5.18,138.0,304.08,2.63,250.0,939.55,
2010,1,2,14,7.62,96.47,173.0,111.06,140.0,289.47,2.36,250.0,940.27,
2010,1,2,15,7.17,96.3,26.0,0.0,26.0,274.85,2.08,250.0,940.99,
2010,1,2,16,6.84,97.06,0.0,0.0,0.0,276.98,2.24,245.0,941.27,
2010,1,2,17,6.52,97.82,0.0,0.0,0.0,279.12,2.4,240.0,941.55,
2010,1,2,18,6.19,98.58,0.0,0.0,0.0,281.25,2.57,235.0,941.83,
2010,1,2,19,5.78,98.44,0.0,0.0,0.0,286.47,2.78,241.0,942.05,
2010,1,2,20,5.38,98.31,0.0,0.0,0.0,291.68,2.99,248.0,942.27,
2010,1,2,21,4.98,98.17,0.0,0.0,0.0,296.9,3.2,255.0,942.49,
2010,1,2,22,4.86,97.68,0.0,0.0,0.0,291.95,3.2,250.0,942.46,
2010,1,2,23,4.74,97.2,0.0,0.0,0.0,287.0,3.2,245.0,942.42,
2010,1,3,0,4.62,96.71,0.0,0.0,0.0,282.05,3.2,240.0,942.39,
2010,1,3,1,4.18,96.05,0.0,0.0,0.0,276.17,2.92,242.0,942.96,
2010,1,3,2,3.75,95.38,0.0,0.0,0.0,270.28,2.64,243.0,943.52,
2010,1,3,3,3.31,94.72,0.0,0.0,0.0,264.4,2.36,245.0,944.08,
2010,1,3,4,3.26,95.87,0.0,0.0,0.0,265.47,2.24,246.0,944.49,
2010,1,3,5,3.2,97.03,0.0,0.0,0.0,266.53,2.13,247.0,944.89,
2010,1,3,6,3.15,98.18,0.0,0.0,0.0,267.6,2.01,249.0,945.3,
2010,1,3,7,3.96,97.91,0.0,0.0,0.0,274.27,2.13,254.0,946.27,
2010,1,3,8,4.78,97.63,60.0,0.0,60.0,280.93,2.25,259.0,947.24,
2010,1,3,9,5.59,97.36,168.0,106.96,137.0,287.6,2.37,265.0,948.2,
2010,1,3,10,5.67,95.97,95.0,0.0,95.0,291.35,2.87,268.0,948.73,
2010,1,3,11,5.76,94.58,81.0,0.0,81.0,295.1,3.37,271.0,949.27,
2010,1,3,12,5.84,93.19,56.0,0.0,56.0,298.85,3.88,275.0,949.8,
2010,1,3,13,5.15,90.88,107.0,0.0,107.0,287.35,3.85,280.0,950.23,
2010,1,3,14,4.47,88.56,81.0,0.0,81.0,275.85,3.82,286.0,950.67,
2010,1,3,15,3.78,86.25,68.0,0.0,68.0,264.35,3.79,292.0,951.11,
2010,1,3,16,2.96,85.25,0.0,0.0,0.0,258.22,3.58,292.0,951.95,
2010,1,3,17,2.13,84.26,0.0,0.0,0.0,252.08,3.36,292.0,952.79,
2010,1,3,18,1.31,83.26,0.0,0.0,0.0,245.95,3.14,291.0,953.64,
2010,1,3,19,0.28,82.41,0.0,0.0,0.0,238.87,2.91,295.0,954.42,
2010,1,3,20,-0.75,81.57,0.0,0.0,0.0,231.78,2.69,299.0,955.2,
2010,1,3,21,-1.77,80.72,0.0,0.0,0.0,224.7,2.46,303.0,955.98,
2010,1,3,22,-2.39,81.17,0.0,0.0,0.0,219.73,2.13,310.0,956.45,
2010,1,3,23,-3.01,81.61,0.0,0.0,0.0,214.77,1.8,318.0,956.92,
2010,1,4,0,-3.63,82.06,0.0,0.0,0.0,209.8,1.48,325.0,957.39,
2010,1,4,1,-3.93,79.81,0.0,0.0,0.0,207.93,1.47,334.0,957.73,
2010,1,4,2,-4.23,77.56,0.0,0.0,0.0,206.07,1.47,344.0,958.07,
2010,1,4,3,-4.53,75.31,0.0,0.0,0.0,204.2,1.46,353.0,958.42,
2010,1,4,4,-4.83,75.92,0.0,0.0,0.0,204.95,1.72,359.0,958.7,
2010,1,4,5,-5.14,76.54,0.0,0.0,0.0,205.7,1.99,4.0,958.98,
2010,1,4,6,-5.44,77.15,0.0,0.0,0.0,206.45,2.25,10.0,959.26,
2010,1,4,7,-3.32,73.36,0.0,0.0,0.0,208.3,2.2,21.0,959.45,
2010,1,4,8,-1.21,69.58,65.0,0.0,65.0,210.15,2.15,31.0,959.64,
2010,1,4,9,0.91,65.79,142.0,48.2,128.0,212.0,2.1,42.0,959.82,
2010,1,4,10,1.83,60.28,208.0,67.86,182.0,223.28,2.15,63.0,959.1,
2010,1,4,11,2.76,54.76,338.0,314.6,202.0,234.57,2.21,85.0,958.39,
2010,1,4,12,3.68,49.25,190.0,18.4,182.0,245.85,2.26,106.0,957.67,
2010,1,4,13,3.45,50.42,165.0,15.38,159.0,259.52,2.06,113.0,957.48,
2010,1,4,14,3.22,51.59,172.0,99.47,142.0,273.18,1.87,120.0,957.29,
2010,1,4,15,2.99,52.76,75.0,0.0,75.0,286.85,1.67,127.0,957.11,
2010,1,4,16,2.78,54.83,0.0,0.0,0.0,289.83,1.68,128.0,956.98,
2010,1,4,17,2.58,56.91,0.0,0.0,0.0,292.82,1.7,129.0,956.86,
2010,1,4,18,2.37,58.98,0.0,0.0,0.0,295.8,1.71,130.0,956.73,
2010,1,4,19,2.16,61.92,0.0,0.0,0.0,298.1,1.93,131.0,956.51,
2010,1,4,20,1.95,64.85,0.0,0.0,0.0,300.4,2.15,132.0,956.29,
2010,1,4,21,1.75,67.79,0.0,0.0,0.0,302.7,2.37,133.0,956.07,
2010,1,4,22,1.84,72.33,0.0,0.0,0.0,304.75,2.53,130.0,955.57,
2010,1,4,23,1.94,76.86,0.0,0.0,0.0,306.8,2.69,128.0,955.08,
2010,1,5,0,2.03,81.4,0.0,0.0,0.0,308.85,2.86,126.0,954.58,
2010,1,5,1,2.25,84.71,0.0,0.0,0.0,307.03,2.85,127.0,953.73,
2010,1,5,2,2.47,88.01,0.0,0.0,0.0,305.22,2.84,129.0,952.89,
2010,1,5,3,2.68,91.32,0.0,0.0,0.0,303.4,2.83,130.0,952.05,
2010,1,5,4,3.19,92.86,0.0,0.0,0.0,307.58,2.97,133.0,951.33,
2010,1,5,5,3.71,94.39,0.0,0.0,0.0,311.77,3.12,136.0,950.61,
2010,1,5,6,4.22,95.93,0.0,0.0,0.0,315.95,3.27,139.0,949.89,
2010,1,5,7,5.28,96.65,0.0,0.0,0.0,319.35,2.98,144.0,949.45,
2010,1,5,8,6.34,97.37,37.0,0.0,37.0,322.75,2.69,149.0,949.02,
2010,1,5,9,7.4,98.09,52.0,0.0,52.0,326.15,2.4,155.0,948.58,
2010,1,5,10,7.95,98.19,108.0,0.0,108.0,328.33,2.14,161.0,947.89,
2010,1,5,11,8.5,98.28,75.0,0.0,75.0,330.52,1.89,167.0,947.2,
2010,1,5,12,9.05,98.38,101.0,0.0,101.0,332.7,1.63,174.0,946.52,
2010,1,5,13,9.01,97.11,201.0,50.99,181.0,327.75,2.11,171.0,946.33,
2010,1,5,14,8.96,95.83,100.0,3.29,99.0,322.8,2.59,168.0,946.14,
2010,1,5,15,8.92,94.56,59.0,0.0,59.0,317.85,3.08,166.0,945.95,
2010,1,5,16,8.84,93.27,0.0,0.0,0.0,311.82,3.53,166.0,945.7,
2010,1,5,17,8.75,91.99,0.0,0.0,0.0,305.78,3.98,166.0,945.45,
2010,1,5,18,8.67,90.7,0.0,0.0,0.0,299.75,4.43,165.0,945.2,
2010,1,5,19,8.55,90.16,0.0,0.0,0.0,302.08,4.37,167.0,944.86,
2010,1,5,20,8.44,89.61,0.0,0.0,0.0,304.42,4.32,168.0,944.52,
2010,1,5,21,8.33,89.07,0.0,0.0,0.0,306.75,4.26,169.0,944.17,
2010,1,5,22,8.45,89.36,0.0,0.0,0.0,307.9,4.42,171.0,943.49,
2010,1,5,23,8.58,89.66,0.0,0.0,0.0,309.05,4.57,173.0,942.8,
2010,1,6,0,8.7,89.95,0.0,0.0,0.0,310.2,4.73,175.0,942.11,
2010,1,6,1,8.75,91.18,0.0,0.0,0.0,310.52,4.71,179.0,941.77,
2010,1,6,2,8.8,92.42,0.0,0.0,0.0,310.83,4.69,184.0,941.43,
2010,1,6,3,8.84,93.65,0.0,0.0,0.0,311.15,4.68,188.0,941.08,
2010,1,6,4,8.76,94.49,0.0,0.0,0.0,312.57,4.68,191.0,940.93,
2010,1,6,5,8.69,95.34,0.0,0.0,0.0,313.98,4.68,193.0,940.77,
2010,1,6,6,8.61,96.18,0.0,0.0,0.0,315.4,4.68,196.0,940.61,
2010,1,6,7,9.56,95.59,0.0,0.0,0.0,314.47,4.34,196.0,940.8,
2010,1,6,8,10.51,94.99,64.0,0.0,64.0,313.53,4.0,196.0,940.99,
2010,1,6,9,11.46,94.4,33.0,0.0,33.0,312.6,3.66,196.0,941.18,
2010,1,6,10,11.91,94.36,293.0,295.71,179.0,314.02,3.65,201.0,940.89,
2010,1,6,11,12.36,94.33,368.0,420.28,185.0,315.43,3.65,205.0,940.61,
2010,1,6,12,12.81,94.29,409.0,597.5,147.0,316.85,3.64,209.0,940.33,
2010,1,6,13,12.22,94.48,287.0,248.42,189.0,314.4,3.74,214.0,940.52,
2010,1,6,14,11.63,94.66,123.0,13.05,119.0,311.95,3.83,218.0,940.71,
2010,1,6,15,11.04,94.85,77.0,0.0,77.0,309.5,3.93,223.0,940.89,
