Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,4379,Bechar,DZA,Algeria,31.611105366,-2.23000370422,1,792.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2012,1,1,0,4.89,57.35,0.0,0.0,0.0,244.79,1.99,354.0,937.53,
2012,1,1,1,4.61,57.5,0.0,0.0,0.0,246.07,1.91,14.0,935.71,
2012,1,1,2,4.34,57.64,0.0,0.0,0.0,247.35,1.84,14.0,935.71,
2012,1,1,3,4.07,57.78,0.0,0.0,0.0,248.63,1.76,13.0,935.71,
2012,1,1,4,3.79,57.92,0.0,0.0,0.0,249.91,1.69,14.0,935.74,
2012,1,1,5,3.52,58.07,0.0,0.0,0.0,251.18,1.62,14.0,935.77,
2012,1,1,6,3.25,58.21,0.0,0.0,0.0,252.46,1.54,14.0,935.8,
2012,1,1,7,2.97,58.35,0.0,0.0,0.0,253.74,1.47,16.0,936.31,
2012,1,1,8,2.7,58.49,0.0,0.0,0.0,255.02,1.39,17.0,936.83,
2012,1,1,9,6.73,46.41,160.0,621.59,49.0,253.4,1.35,19.0,937.34,
2012,1,1,10,9.16,39.75,350.0,800.1,76.0,259.2,1.26,31.0,936.92,
2012,1,1,11,11.6,33.1,506.0,893.31,87.0,265.0,1.18,44.0,936.5,
2012,1,1,12,14.04,26.44,610.0,947.79,89.0,270.8,1.09,57.0,936.07,
2012,1,1,13,14.72,25.1,649.0,975.93,84.0,272.35,1.02,63.0,935.43,
2012,1,1,14,15.4,23.76,615.0,948.17,89.0,273.9,0.95,69.0,934.8,
2012,1,1,15,16.08,22.42,522.0,925.22,79.0,275.45,0.88,76.0,934.16,
2012,1,1,16,15.71,24.21,367.0,830.84,71.0,272.78,1.05,88.0,934.46,
2012,1,1,17,15.34,25.99,174.0,624.09,52.0,270.12,1.21,100.0,934.77,
2012,1,1,18,14.97,27.78,0.0,0.0,0.0,267.45,1.38,112.0,935.07,
2012,1,1,19,14.07,29.83,0.0,0.0,0.0,266.82,1.36,146.0,935.59,
2012,1,1,20,13.16,31.89,0.0,0.0,0.0,266.18,1.34,180.0,936.1,
2012,1,1,21,12.26,33.94,0.0,0.0,0.0,265.55,1.32,214.0,936.62,
2012,1,1,22,11.82,35.46,0.0,0.0,0.0,264.27,1.2,248.0,936.46,
2012,1,1,23,11.37,36.97,0.0,0.0,0.0,262.98,1.08,282.0,936.31,
2012,1,2,0,10.93,38.49,0.0,0.0,0.0,261.7,0.95,316.0,936.16,
2012,1,2,1,9.03,43.38,0.0,0.0,0.0,259.5,1.23,329.0,936.16,
2012,1,2,2,7.13,48.27,0.0,0.0,0.0,257.3,1.5,342.0,936.16,
2012,1,2,3,5.23,53.16,0.0,0.0,0.0,255.1,1.78,355.0,936.16,
2012,1,2,4,4.53,55.26,0.0,0.0,0.0,254.3,1.8,355.0,936.19,
2012,1,2,5,3.83,57.37,0.0,0.0,0.0,253.5,1.82,355.0,936.22,
2012,1,2,6,3.13,59.47,0.0,0.0,0.0,252.7,1.83,355.0,936.25,
2012,1,2,7,4.46,54.93,0.0,0.0,0.0,253.0,1.74,353.0,936.71,
2012,1,2,8,5.79,50.39,0.0,0.0,0.0,253.3,1.65,352.0,937.16,
2012,1,2,9,7.12,45.85,159.0,622.87,48.0,253.6,1.56,351.0,937.62,
2012,1,2,10,10.02,37.95,350.0,800.15,76.0,260.02,1.85,346.0,937.34,
2012,1,2,11,12.92,30.04,504.0,877.69,92.0,266.43,2.15,341.0,937.07,
2012,1,2,12,15.82,22.14,607.0,930.08,95.0,272.85,2.44,336.0,936.8,
2012,1,2,13,16.56,21.01,644.0,942.88,97.0,275.4,2.4,345.0,936.22,
2012,1,2,14,17.3,19.89,620.0,965.25,83.0,277.95,2.36,354.0,935.65,
2012,1,2,15,18.04,18.76,519.0,894.51,89.0,280.5,2.32,3.0,935.07,
2012,1,2,16,16.4,22.66,366.0,803.55,78.0,277.43,1.89,6.0,935.37,
2012,1,2,17,14.75,26.57,176.0,616.87,54.0,274.37,1.47,8.0,935.68,
2012,1,2,18,13.11,30.47,0.0,0.0,0.0,271.3,1.05,10.0,935.98,
2012,1,2,19,12.09,34.16,0.0,0.0,0.0,271.02,1.71,13.0,936.53,
2012,1,2,20,11.06,37.85,0.0,0.0,0.0,270.73,2.37,15.0,937.07,
2012,1,2,21,10.04,41.54,0.0,0.0,0.0,270.45,3.03,17.0,937.62,
2012,1,2,22,9.54,47.0,0.0,0.0,0.0,269.18,2.86,19.0,937.98,
2012,1,2,23,9.04,52.45,0.0,0.0,0.0,267.92,2.68,21.0,938.34,
2012,1,3,0,8.54,57.91,0.0,0.0,0.0,266.65,2.5,22.0,938.71,
2012,1,3,1,7.88,62.09,0.0,0.0,0.0,265.62,2.47,22.0,938.59,
2012,1,3,2,7.23,66.28,0.0,0.0,0.0,264.58,2.45,22.0,938.47,
2012,1,3,3,6.57,70.46,0.0,0.0,0.0,263.55,2.43,21.0,938.34,
2012,1,3,4,5.89,75.56,0.0,0.0,0.0,261.42,2.38,21.0,938.62,
2012,1,3,5,5.2,80.65,0.0,0.0,0.0,259.28,2.33,21.0,938.89,
2012,1,3,6,4.52,85.75,0.0,0.0,0.0,257.15,2.28,20.0,939.16,
2012,1,3,7,5.31,82.4,0.0,0.0,0.0,256.25,1.95,22.0,939.68,
2012,1,3,8,6.1,79.04,0.0,0.0,0.0,255.35,1.62,24.0,940.19,
2012,1,3,9,6.9,75.69,162.0,668.78,43.0,254.45,1.3,26.0,940.71,
2012,1,3,10,8.84,66.63,350.0,799.97,76.0,259.83,1.03,30.0,940.32,
2012,1,3,11,10.78,57.58,504.0,876.81,92.0,265.22,0.76,34.0,939.92,
2012,1,3,12,12.73,48.52,609.0,930.39,96.0,270.6,0.5,37.0,939.53,
2012,1,3,13,13.97,43.5,643.0,927.01,104.0,272.63,0.66,33.0,938.44,
2012,1,3,14,15.21,38.48,616.0,931.88,96.0,274.67,0.83,28.0,937.34,
2012,1,3,15,16.45,33.46,524.0,911.53,84.0,276.7,0.99,23.0,936.25,
2012,1,3,16,15.73,35.4,369.0,806.91,78.0,273.73,0.89,29.0,936.31,
2012,1,3,17,15.0,37.34,179.0,629.57,53.0,270.77,0.78,35.0,936.37,
2012,1,3,18,14.28,39.28,0.0,0.0,0.0,267.8,0.68,42.0,936.43,
2012,1,3,19,12.62,44.94,0.0,0.0,0.0,266.77,1.04,42.0,936.86,
2012,1,3,20,10.95,50.59,0.0,0.0,0.0,265.73,1.41,43.0,937.28,
2012,1,3,21,9.29,56.25,0.0,0.0,0.0,264.7,1.78,43.0,937.71,
2012,1,3,22,8.45,59.97,0.0,0.0,0.0,263.93,2.0,40.0,937.83,
2012,1,3,23,7.62,63.69,0.0,0.0,0.0,263.17,2.23,37.0,937.95,
2012,1,4,0,6.78,67.41,0.0,0.0,0.0,262.4,2.46,33.0,938.07,
2012,1,4,1,6.05,69.33,0.0,0.0,0.0,261.95,2.11,28.0,937.92,
2012,1,4,2,5.32,71.24,0.0,0.0,0.0,261.5,1.77,23.0,937.77,
2012,1,4,3,4.59,73.16,0.0,0.0,0.0,261.05,1.42,18.0,937.62,
2012,1,4,4,4.24,74.13,0.0,0.0,0.0,260.17,1.26,17.0,937.71,
2012,1,4,5,3.88,75.09,0.0,0.0,0.0,259.28,1.09,17.0,937.8,
2012,1,4,6,3.52,76.06,0.0,0.0,0.0,258.4,0.92,17.0,937.89,
2012,1,4,7,4.91,69.32,0.0,0.0,0.0,258.95,0.99,19.0,938.41,
2012,1,4,8,6.29,62.58,0.0,0.0,0.0,259.5,1.06,21.0,938.92,
2012,1,4,9,7.68,55.84,157.0,601.93,50.0,260.05,1.13,23.0,939.44,
2012,1,4,10,10.26,46.82,348.0,784.96,79.0,265.78,0.87,31.0,939.01,
2012,1,4,11,12.84,37.8,508.0,892.73,88.0,271.52,0.61,39.0,938.59,
