Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,4388,Biskra,DZA,Algeria,34.859976826,5.73002722029,1,121.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2006,1,1,0,9.53,60.46,0.0,0.0,0.0,274.05,1.93,354.0,1012.45,
2006,1,1,1,8.97,60.65,0.0,0.0,0.0,272.77,1.71,159.0,1008.24,
2006,1,1,2,8.4,60.84,0.0,0.0,0.0,271.49,1.5,156.0,1007.98,
2006,1,1,3,7.84,61.03,0.0,0.0,0.0,270.21,1.28,153.0,1007.72,
2006,1,1,4,7.28,61.21,0.0,0.0,0.0,268.93,1.07,133.0,1007.29,
2006,1,1,5,6.71,61.4,0.0,0.0,0.0,267.64,0.85,112.0,1006.86,
2006,1,1,6,6.15,61.59,0.0,0.0,0.0,266.36,0.63,91.0,1006.44,
2006,1,1,7,5.59,61.78,0.0,0.0,0.0,265.08,0.42,47.0,1006.47,
2006,1,1,8,5.02,61.97,37.0,236.54,22.0,263.8,0.2,4.0,1006.5,
2006,1,1,9,9.34,52.17,181.25,442.91,77.4,274.3,0.43,320.0,1006.54,
2006,1,1,10,11.24,49.27,377.0,761.36,92.0,277.3,1.09,309.0,1005.88,
2006,1,1,11,13.13,46.36,524.0,1001.16,50.0,280.3,1.75,298.0,1005.22,
2006,1,1,12,15.02,43.46,546.0,784.64,134.0,283.3,2.41,287.0,1004.56,
2006,1,1,13,15.48,43.8,540.0,753.28,144.0,285.48,2.7,286.0,1004.01,
2006,1,1,14,15.93,44.13,497.0,820.58,107.0,287.67,2.99,285.0,1003.45,
2006,1,1,15,16.39,44.47,383.0,789.96,85.0,289.85,3.28,284.0,1002.89,
2006,1,1,16,15.28,50.79,189.0,390.34,96.0,289.23,2.98,287.0,1003.09,
2006,1,1,17,14.17,57.1,18.0,0.0,18.0,288.62,2.69,290.0,1003.28,
2006,1,1,18,13.06,63.42,0.0,0.0,0.0,288.0,2.39,293.0,1003.48,
2006,1,1,19,12.44,66.58,0.0,0.0,0.0,286.75,2.75,300.0,1004.01,
2006,1,1,20,11.82,69.73,0.0,0.0,0.0,285.5,3.12,307.0,1004.53,
2006,1,1,21,11.2,72.89,0.0,0.0,0.0,284.25,3.49,314.0,1005.06,
2006,1,1,22,10.57,75.68,0.0,0.0,0.0,281.23,3.53,315.0,1005.29,
2006,1,1,23,9.94,78.48,0.0,0.0,0.0,278.22,3.57,317.0,1005.52,
2006,1,2,0,9.3,81.27,0.0,0.0,0.0,275.2,3.61,318.0,1005.75,
2006,1,2,1,8.94,81.64,0.0,0.0,0.0,273.38,3.64,319.0,1005.55,
2006,1,2,2,8.58,82.02,0.0,0.0,0.0,271.57,3.66,321.0,1005.35,
2006,1,2,3,8.22,82.39,0.0,0.0,0.0,269.75,3.68,322.0,1005.16,
2006,1,2,4,7.64,83.57,0.0,0.0,0.0,266.93,3.53,321.0,1005.22,
2006,1,2,5,7.06,84.74,0.0,0.0,0.0,264.12,3.37,320.0,1005.29,
2006,1,2,6,6.48,85.92,0.0,0.0,0.0,261.3,3.21,319.0,1005.35,
2006,1,2,7,7.65,79.08,0.0,0.0,0.0,260.65,3.07,319.0,1005.81,
2006,1,2,8,8.83,72.23,36.0,238.02,21.0,260.0,2.93,319.0,1006.27,
2006,1,2,9,10.01,65.39,177.25,416.84,79.55,259.35,2.79,318.0,1006.73,
2006,1,2,10,11.4,56.87,369.0,704.76,105.0,262.93,3.43,318.0,1006.17,
2006,1,2,11,12.78,48.34,479.0,729.78,133.0,266.52,4.07,318.0,1005.62,
2006,1,2,12,14.16,39.82,547.0,784.95,134.0,270.1,4.72,318.0,1005.06,
2006,1,2,13,14.33,37.39,532.0,709.47,158.0,271.97,4.97,318.0,1004.56,
2006,1,2,14,14.49,34.97,493.0,790.25,116.0,273.83,5.22,318.0,1004.07,
2006,1,2,15,14.66,32.54,377.0,732.94,99.0,275.7,5.48,319.0,1003.58,
2006,1,2,16,13.46,38.12,118.0,49.9,106.0,273.63,4.91,318.0,1003.78,
2006,1,2,17,12.27,43.69,31.0,85.53,25.0,271.57,4.34,317.0,1003.97,
2006,1,2,18,11.08,49.27,0.0,0.0,0.0,269.5,3.77,317.0,1004.17,
2006,1,2,19,10.53,53.44,0.0,0.0,0.0,269.32,3.81,315.0,1004.56,
2006,1,2,20,9.99,57.62,0.0,0.0,0.0,269.13,3.85,313.0,1004.96,
2006,1,2,21,9.44,61.79,0.0,0.0,0.0,268.95,3.89,311.0,1005.35,
2006,1,2,22,9.22,64.46,0.0,0.0,0.0,267.48,3.96,309.0,1005.25,
2006,1,2,23,9.0,67.13,0.0,0.0,0.0,266.02,4.03,307.0,1005.16,
2006,1,3,0,8.77,69.8,0.0,0.0,0.0,264.55,4.1,305.0,1005.06,
2006,1,3,1,8.66,70.74,0.0,0.0,0.0,263.5,4.13,308.0,1004.86,
2006,1,3,2,8.54,71.68,0.0,0.0,0.0,262.45,4.17,311.0,1004.66,
2006,1,3,3,8.43,72.62,0.0,0.0,0.0,261.4,4.21,314.0,1004.47,
2006,1,3,4,8.13,74.35,0.0,0.0,0.0,259.58,4.16,316.0,1004.4,
2006,1,3,5,7.83,76.08,0.0,0.0,0.0,257.77,4.11,317.0,1004.33,
2006,1,3,6,7.54,77.81,0.0,0.0,0.0,255.95,4.06,319.0,1004.27,
2006,1,3,7,8.49,72.16,0.0,0.0,0.0,256.2,4.03,319.0,1004.63,
2006,1,3,8,9.45,66.52,36.0,223.19,22.0,256.45,4.0,319.0,1004.99,
2006,1,3,9,10.41,60.87,178.95,431.33,77.85,256.7,3.97,319.0,1005.35,
2006,1,3,10,11.41,54.17,373.0,733.39,98.0,260.93,4.77,322.0,1004.96,
2006,1,3,11,12.4,47.46,480.0,730.7,133.0,265.17,5.57,326.0,1004.56,
2006,1,3,12,13.39,40.76,554.0,815.44,124.0,269.4,6.37,329.0,1004.17,
2006,1,3,13,13.35,38.91,537.0,724.41,154.0,269.95,6.37,330.0,1003.97,
2006,1,3,14,13.3,37.07,263.0,58.46,235.0,270.5,6.37,331.0,1003.78,
2006,1,3,15,13.25,35.22,308.0,348.67,175.0,271.05,6.37,332.0,1003.58,
2006,1,3,16,12.14,40.19,212.0,547.71,79.0,267.82,5.92,331.0,1003.94,
2006,1,3,17,11.04,45.17,33.0,96.48,26.0,264.58,5.47,330.0,1004.3,
2006,1,3,18,9.94,50.14,0.0,0.0,0.0,261.35,5.02,329.0,1004.66,
2006,1,3,19,9.42,54.52,0.0,0.0,0.0,260.07,5.03,327.0,1004.99,
2006,1,3,20,8.91,58.9,0.0,0.0,0.0,258.78,5.03,326.0,1005.32,
2006,1,3,21,8.39,63.28,0.0,0.0,0.0,257.5,5.03,324.0,1005.65,
2006,1,3,22,8.21,65.57,0.0,0.0,0.0,255.85,4.94,323.0,1005.48,
2006,1,3,23,8.03,67.85,0.0,0.0,0.0,254.2,4.85,322.0,1005.32,
2006,1,4,0,7.84,70.14,0.0,0.0,0.0,252.55,4.76,321.0,1005.16,
2006,1,4,1,7.55,70.29,0.0,0.0,0.0,252.43,4.8,322.0,1004.73,
