Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,4387,Ouargla,DZA,Algeria,31.9699723501,5.34002518578,1,137.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2008,1,1,0,7.54,69.82,0.0,0.0,0.0,272.61,3.96,240.0,1003.93,
2008,1,1,1,7.11,72.24,0.0,0.0,0.0,272.77,3.94,340.0,1005.87,
2008,1,1,2,6.67,74.66,0.0,0.0,0.0,272.93,3.93,344.0,1005.64,
2008,1,1,3,6.24,77.08,0.0,0.0,0.0,273.09,3.92,349.0,1005.41,
2008,1,1,4,5.8,79.51,0.0,0.0,0.0,273.25,3.91,349.0,1005.61,
2008,1,1,5,5.37,81.93,0.0,0.0,0.0,273.41,3.9,350.0,1005.8,
2008,1,1,6,4.93,84.35,0.0,0.0,0.0,273.57,3.89,350.0,1006.0,
2008,1,1,7,4.5,86.78,0.0,0.0,0.0,273.73,3.87,349.0,1006.53,
2008,1,1,8,4.07,89.2,57.0,357.84,27.0,273.89,3.86,348.0,1007.05,
2008,1,1,9,6.88,75.56,185.0,240.93,122.0,276.4,3.46,347.0,1007.57,
2008,1,1,10,8.35,69.07,424.0,844.77,80.0,277.48,3.51,347.0,1007.48,
2008,1,1,11,9.82,62.57,567.0,992.01,60.0,278.57,3.55,347.0,1007.38,
2008,1,1,12,11.29,56.08,637.0,1022.93,58.0,279.65,3.6,347.0,1007.28,
2008,1,1,13,11.4,54.61,608.0,856.97,121.0,291.37,3.58,344.0,1006.98,
2008,1,1,14,11.52,53.15,574.0,992.83,60.0,303.08,3.56,340.0,1006.69,
2008,1,1,15,11.64,51.68,446.0,921.59,61.0,314.8,3.54,337.0,1006.39,
2008,1,1,16,10.98,53.79,242.0,537.74,94.0,302.33,2.91,337.0,1006.62,
2008,1,1,17,10.32,55.89,68.0,340.55,34.0,289.87,2.27,337.0,1006.85,
2008,1,1,18,9.67,58.0,0.0,0.0,0.0,277.4,1.63,337.0,1007.08,
2008,1,1,19,8.48,66.25,0.0,0.0,0.0,272.47,1.63,300.0,1007.35,
2008,1,1,20,7.29,74.5,0.0,0.0,0.0,267.53,1.64,264.0,1007.61,
2008,1,1,21,6.1,82.75,0.0,0.0,0.0,262.6,1.64,228.0,1007.87,
2008,1,1,22,5.53,83.86,0.0,0.0,0.0,261.1,2.13,227.0,1007.94,
2008,1,1,23,4.96,84.98,0.0,0.0,0.0,259.6,2.62,226.0,1008.0,
2008,1,2,0,4.39,86.09,0.0,0.0,0.0,258.1,3.1,226.0,1008.07,
2008,1,2,1,4.06,84.29,0.0,0.0,0.0,257.05,3.14,235.0,1007.8,
2008,1,2,2,3.73,82.48,0.0,0.0,0.0,256.0,3.17,244.0,1007.54,
2008,1,2,3,3.4,80.68,0.0,0.0,0.0,254.95,3.2,253.0,1007.28,
2008,1,2,4,2.91,80.41,0.0,0.0,0.0,253.37,3.29,252.0,1007.25,
2008,1,2,5,2.43,80.13,0.0,0.0,0.0,251.78,3.37,251.0,1007.21,
2008,1,2,6,1.94,79.86,0.0,0.0,0.0,250.2,3.46,249.0,1007.18,
