Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,3205,Capenda-Camulemba,AGO,Angola,-9.41959430048,18.4300272203,1,987.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2012,1,1,0,21.2,93.28,0.0,0.0,0.0,399.42,1.76,308.0,901.72,
2012,1,1,1,20.97,94.43,0.0,0.0,0.0,400.9,1.81,350.0,901.16,
2012,1,1,2,20.74,95.57,0.0,0.0,0.0,402.39,1.87,350.0,900.5,
2012,1,1,3,20.51,96.72,0.0,0.0,0.0,403.87,1.93,350.0,899.85,
2012,1,1,4,20.28,97.86,0.0,0.0,0.0,405.35,1.98,358.0,900.3,
2012,1,1,5,20.05,99.0,0.0,0.0,0.0,406.83,2.04,6.0,900.74,
2012,1,1,6,19.82,100.0,54.0,56.37,47.0,408.32,2.09,15.0,901.19,
2012,1,1,7,19.59,100.0,149.0,22.43,141.0,409.8,2.15,4.0,901.21,
2012,1,1,8,19.36,100.0,203.0,3.51,201.0,411.28,2.21,353.0,901.24,
2012,1,1,9,22.79,96.61,347.0,24.09,329.0,405.0,3.1,342.0,901.27,
2012,1,1,10,23.23,95.67,329.0,3.41,326.0,406.63,2.94,334.0,900.33,
2012,1,1,11,23.68,94.72,390.0,7.33,383.0,408.27,2.77,326.0,899.38,
2012,1,1,12,24.12,93.78,693.0,189.69,509.0,409.9,2.61,318.0,898.43,
2012,1,1,13,23.99,93.49,833.0,487.25,383.0,408.07,2.31,312.0,898.31,
2012,1,1,14,23.86,93.19,736.0,498.46,328.0,406.23,2.01,306.0,898.19,
2012,1,1,15,23.73,92.9,583.0,489.38,259.0,404.4,1.71,300.0,898.08,
2012,1,1,16,22.92,94.15,396.0,484.02,171.0,401.65,1.7,299.0,898.96,
2012,1,1,17,22.11,95.41,130.0,108.19,104.0,398.9,1.69,299.0,899.85,
2012,1,1,18,21.3,96.66,0.0,0.0,0.0,396.15,1.68,299.0,900.74,
2012,1,1,19,20.97,97.0,0.0,0.0,0.0,396.77,1.48,308.0,901.39,
2012,1,1,20,20.63,97.34,0.0,0.0,0.0,397.38,1.28,317.0,902.04,
2012,1,1,21,20.3,97.68,0.0,0.0,0.0,398.0,1.08,326.0,902.7,
2012,1,1,22,20.14,97.78,0.0,0.0,0.0,399.93,1.03,329.0,902.22,
2012,1,1,23,19.98,97.87,0.0,0.0,0.0,401.87,0.98,332.0,901.75,
2012,1,2,0,19.82,97.97,0.0,0.0,0.0,403.8,0.94,334.0,901.27,
2012,1,2,1,19.63,98.4,0.0,0.0,0.0,401.05,0.91,338.0,900.95,
2012,1,2,2,19.44,98.84,0.0,0.0,0.0,398.3,0.89,342.0,900.62,
2012,1,2,3,19.26,99.27,0.0,0.0,0.0,395.55,0.87,346.0,900.3,
2012,1,2,4,19.53,99.0,0.0,0.0,0.0,398.32,1.31,348.0,900.86,
2012,1,2,5,19.79,98.73,0.0,0.0,0.0,401.08,1.75,349.0,901.42,
2012,1,2,6,20.06,98.46,44.0,24.55,41.0,403.85,2.19,350.0,901.98,
2012,1,2,7,21.11,96.83,180.0,64.81,157.0,401.17,2.63,343.0,901.9,
2012,1,2,8,22.15,95.21,224.0,8.81,219.0,398.48,3.08,336.0,901.81,
2012,1,2,9,23.2,93.58,139.0,0.0,139.0,395.8,3.52,330.0,901.72,
2012,1,2,10,23.48,93.36,267.0,0.0,267.0,399.23,3.24,319.0,900.86,
2012,1,2,11,23.75,93.14,143.0,0.0,143.0,402.67,2.97,309.0,900.0,
2012,1,2,12,24.03,92.92,134.0,0.0,134.0,406.1,2.69,298.0,899.14,
2012,1,2,13,24.87,87.88,164.0,0.0,164.0,399.68,2.67,292.0,898.88,
2012,1,2,14,25.7,82.85,689.0,386.7,372.0,393.27,2.64,285.0,898.61,
2012,1,2,15,26.54,77.81,571.0,449.1,273.0,386.85,2.62,278.0,898.34,
2012,1,2,16,25.14,82.47,442.0,701.01,115.0,383.57,2.34,285.0,899.08,
2012,1,2,17,23.74,87.14,188.0,433.98,83.0,380.28,2.06,292.0,899.82,
2012,1,2,18,22.34,91.8,0.0,0.0,0.0,377.0,1.78,298.0,900.56,
2012,1,2,19,21.71,93.36,0.0,0.0,0.0,373.65,1.81,314.0,901.39,
2012,1,2,20,21.08,94.91,0.0,0.0,0.0,370.3,1.84,329.0,902.22,
2012,1,2,21,20.45,96.47,0.0,0.0,0.0,366.95,1.88,345.0,903.05,
2012,1,2,22,20.19,97.02,0.0,0.0,0.0,367.73,1.86,343.0,902.67,
2012,1,2,23,19.93,97.58,0.0,0.0,0.0,368.52,1.84,341.0,902.28,
2012,1,3,0,19.68,98.13,0.0,0.0,0.0,369.3,1.82,339.0,901.9,
2012,1,3,1,19.32,98.59,0.0,0.0,0.0,364.73,1.79,337.0,901.42,
2012,1,3,2,18.96,99.06,0.0,0.0,0.0,360.17,1.76,335.0,900.95,
2012,1,3,3,18.61,99.52,0.0,0.0,0.0,355.6,1.72,333.0,900.47,
2012,1,3,4,19.15,98.09,0.0,0.0,0.0,359.72,1.67,328.0,901.04,
2012,1,3,5,19.68,96.67,0.0,0.0,0.0,363.83,1.61,323.0,901.6,
2012,1,3,6,20.22,95.24,46.0,33.26,42.0,367.95,1.56,318.0,902.16,
2012,1,3,7,21.57,94.47,206.0,118.91,164.0,374.58,1.63,314.0,901.78,
2012,1,3,8,22.91,93.69,554.0,732.71,139.0,381.22,1.71,310.0,901.39,
2012,1,3,9,24.26,92.92,752.0,763.44,183.0,387.85,1.78,306.0,901.01,
2012,1,3,10,24.87,92.33,882.0,724.57,246.0,393.32,2.26,305.0,900.12,
2012,1,3,11,25.47,91.74,967.0,731.1,269.0,398.78,2.74,303.0,899.23,
2012,1,3,12,26.08,91.15,884.0,495.39,403.0,404.25,3.21,301.0,898.34,
2012,1,3,13,26.01,90.96,805.0,423.62,413.0,401.88,3.42,300.0,898.25,
2012,1,3,14,25.94,90.76,761.0,555.42,305.0,399.52,3.63,300.0,898.16,
2012,1,3,15,25.87,90.57,655.0,726.28,172.0,397.15,3.83,299.0,898.08,
2012,1,3,16,24.63,92.9,341.0,269.19,215.0,394.85,3.18,308.0,898.93,
2012,1,3,17,23.4,95.23,186.0,410.61,86.0,392.55,2.53,317.0,899.79,
2012,1,3,18,22.16,97.56,0.0,0.0,0.0,390.25,1.88,326.0,900.65,
2012,1,3,19,21.65,98.08,0.0,0.0,0.0,390.98,1.71,327.0,901.19,
2012,1,3,20,21.13,98.59,0.0,0.0,0.0,391.72,1.54,329.0,901.72,
