Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,3222,Cubal,AGO,Angola,-13.039580059,14.2399987372,1,915.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2013,1,1,0,24.46,96.21,0.0,0.0,0.0,361.39,1.13,74.0,907.92,
2013,1,1,1,24.34,95.89,0.0,0.0,0.0,363.21,1.09,305.0,907.92,
2013,1,1,2,24.23,95.56,0.0,0.0,0.0,365.02,1.04,305.0,907.38,
2013,1,1,3,24.11,95.24,0.0,0.0,0.0,366.84,1.0,305.0,906.84,
2013,1,1,4,24.0,94.91,0.0,0.0,0.0,368.65,0.95,325.0,907.05,
2013,1,1,5,23.88,94.58,0.0,0.0,0.0,370.46,0.91,346.0,907.26,
2013,1,1,6,23.77,94.26,31.0,49.71,27.0,372.28,0.86,7.0,907.47,
2013,1,1,7,23.65,93.93,233.0,332.48,129.0,374.09,0.82,347.0,907.38,
2013,1,1,8,23.54,93.61,503.0,675.68,145.0,375.91,0.77,328.0,907.29,
2013,1,1,9,29.08,81.09,669.0,585.96,249.0,361.55,0.47,309.0,907.2,
2013,1,1,10,30.02,81.25,829.0,627.27,289.0,361.7,1.03,303.0,906.66,
2013,1,1,11,30.96,81.41,938.0,662.6,307.0,361.85,1.59,297.0,906.12,
2013,1,1,12,31.9,81.57,987.0,698.57,299.0,362.0,2.15,292.0,905.59,
2013,1,1,13,31.45,84.28,992.0,797.86,229.0,363.3,2.3,291.0,905.38,
2013,1,1,14,31.01,87.0,771.0,467.42,365.0,364.6,2.46,289.0,905.17,
2013,1,1,15,30.57,89.71,659.0,526.31,276.0,365.9,2.61,288.0,904.96,
2013,1,1,16,29.36,91.68,516.0,677.44,148.0,369.13,2.49,293.0,905.62,
2013,1,1,17,28.14,93.66,152.0,45.77,137.0,372.37,2.38,297.0,906.27,
2013,1,1,18,26.93,95.63,39.0,62.55,33.0,375.6,2.26,302.0,906.93,
2013,1,1,19,26.09,96.22,0.0,0.0,0.0,375.7,2.03,309.0,907.65,
2013,1,1,20,25.26,96.82,0.0,0.0,0.0,375.8,1.8,316.0,908.36,
2013,1,1,21,24.42,97.41,0.0,0.0,0.0,375.9,1.57,324.0,909.08,
2013,1,1,22,24.04,97.63,0.0,0.0,0.0,378.53,1.11,323.0,909.02,
2013,1,1,23,23.66,97.84,0.0,0.0,0.0,381.17,0.65,323.0,908.96,
2013,1,2,0,23.28,98.06,0.0,0.0,0.0,383.8,0.19,323.0,908.9,
2013,1,2,1,23.0,97.86,0.0,0.0,0.0,382.07,0.45,326.0,908.51,
2013,1,2,2,22.71,97.65,0.0,0.0,0.0,380.33,0.71,329.0,908.13,
2013,1,2,3,22.42,97.45,0.0,0.0,0.0,378.6,0.97,332.0,907.74,
2013,1,2,4,22.78,96.63,0.0,0.0,0.0,379.33,1.04,349.0,907.86,
2013,1,2,5,23.13,95.8,0.0,0.0,0.0,380.07,1.12,6.0,907.98,
2013,1,2,6,23.48,94.98,35.0,89.29,28.0,380.8,1.2,23.0,908.1,
2013,1,2,7,25.38,86.78,268.0,556.37,95.0,375.47,1.09,10.0,908.07,
2013,1,2,8,27.28,78.59,518.0,755.28,119.0,370.13,0.99,358.0,908.04,
2013,1,2,9,29.18,70.39,712.0,735.04,186.0,364.8,0.88,345.0,908.01,
2013,1,2,10,30.61,65.63,928.0,932.38,126.0,358.07,1.22,330.0,906.9,
2013,1,2,11,32.03,60.87,1044.0,964.2,126.0,351.33,1.55,315.0,905.8,
2013,1,2,12,33.46,56.11,1086.0,974.51,126.0,344.6,1.89,300.0,904.69,
2013,1,2,13,33.44,62.61,1049.0,965.53,125.0,345.38,2.22,298.0,904.57,
2013,1,2,14,33.43,69.1,893.0,786.53,209.0,346.17,2.55,295.0,904.45,
2013,1,2,15,33.42,75.6,676.0,576.12,256.0,346.95,2.88,293.0,904.33,
2013,1,2,16,31.56,81.51,532.0,747.19,125.0,353.33,3.02,294.0,905.02,
2013,1,2,17,29.69,87.43,271.0,476.83,114.0,359.72,3.16,295.0,905.71,
2013,1,2,18,27.83,93.34,39.0,61.63,33.0,366.1,3.3,296.0,906.39,
2013,1,2,19,26.84,94.77,0.0,0.0,0.0,368.42,2.72,298.0,907.44,
2013,1,2,20,25.85,96.2,0.0,0.0,0.0,370.73,2.14,300.0,908.48,
2013,1,2,21,24.85,97.63,0.0,0.0,0.0,373.05,1.56,302.0,909.53,
2013,1,2,22,24.46,97.97,0.0,0.0,0.0,371.97,1.33,306.0,909.38,
2013,1,2,23,24.07,98.31,0.0,0.0,0.0,370.88,1.1,311.0,909.23,
2013,1,3,0,23.68,98.65,0.0,0.0,0.0,369.8,0.87,316.0,909.08,
2013,1,3,1,23.4,98.51,0.0,0.0,0.0,367.27,0.96,318.0,908.6,
2013,1,3,2,23.11,98.36,0.0,0.0,0.0,364.73,1.05,321.0,908.13,
2013,1,3,3,22.82,98.22,0.0,0.0,0.0,362.2,1.14,324.0,907.65,
2013,1,3,4,23.25,97.17,0.0,0.0,0.0,361.0,0.97,330.0,908.01,
2013,1,3,5,23.68,96.13,0.0,0.0,0.0,359.8,0.8,336.0,908.36,
2013,1,3,6,24.11,95.08,30.0,65.51,25.0,358.6,0.62,342.0,908.72,
2013,1,3,7,26.35,89.35,257.0,495.02,104.0,357.57,0.89,333.0,908.66,
