Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,3224,Cuito Caunavale,AGO,Angola,-15.1596056937,19.1699820543,1,1235.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2007,1,1,0,19.59,90.47,0.0,0.0,0.0,366.97,2.63,96.0,873.64,
2007,1,1,1,19.64,90.19,0.0,0.0,0.0,363.4,2.71,114.0,873.46,
2007,1,1,2,19.68,89.91,0.0,0.0,0.0,359.82,2.79,132.0,873.29,
2007,1,1,3,19.73,89.62,0.0,0.0,0.0,356.25,2.88,149.0,873.12,
2007,1,1,4,19.77,89.34,0.0,0.0,0.0,352.68,2.96,151.0,873.52,
2007,1,1,5,19.82,89.05,0.0,0.0,0.0,349.1,3.05,153.0,873.92,
2007,1,1,6,19.86,88.77,87.0,94.1,71.0,345.53,3.13,154.0,874.33,
2007,1,1,7,19.9,88.49,168.0,20.15,160.0,341.96,3.21,153.0,874.1,
2007,1,1,8,19.95,88.2,359.0,99.36,299.0,338.38,3.3,151.0,873.87,
2007,1,1,9,25.82,66.37,811.0,840.91,158.0,346.9,4.25,150.0,873.64,
2007,1,1,10,26.57,60.25,768.0,385.27,420.0,347.33,4.32,154.0,872.89,
2007,1,1,11,27.32,54.14,916.0,547.46,382.0,347.77,4.4,159.0,872.14,
2007,1,1,12,28.08,48.02,968.0,636.61,339.0,348.2,4.47,163.0,871.4,
2007,1,1,13,28.03,45.39,846.0,472.19,402.0,346.9,4.41,164.0,871.14,
2007,1,1,14,27.98,42.76,741.0,463.22,354.0,345.6,4.36,166.0,870.88,
2007,1,1,15,27.93,40.13,650.0,639.11,215.0,344.3,4.3,167.0,870.62,
2007,1,1,16,25.71,45.09,410.0,452.31,190.0,341.72,3.87,169.0,870.94,
2007,1,1,17,23.49,50.05,196.0,338.37,106.0,339.13,3.44,170.0,871.25,
2007,1,1,18,21.27,55.01,0.0,0.0,0.0,336.55,3.01,172.0,871.57,
2007,1,1,19,20.29,56.98,0.0,0.0,0.0,334.2,3.05,175.0,872.29,
2007,1,1,20,19.32,58.94,0.0,0.0,0.0,331.85,3.09,177.0,873.0,
2007,1,1,21,18.34,60.91,0.0,0.0,0.0,329.5,3.13,180.0,873.72,
2007,1,1,22,17.64,62.77,0.0,0.0,0.0,329.25,3.01,176.0,873.58,
2007,1,1,23,16.93,64.64,0.0,0.0,0.0,329.0,2.89,172.0,873.44,
2007,1,2,0,16.23,66.5,0.0,0.0,0.0,328.75,2.77,168.0,873.29,
2007,1,2,1,15.85,66.82,0.0,0.0,0.0,329.83,2.65,165.0,873.35,
2007,1,2,2,15.46,67.15,0.0,0.0,0.0,330.92,2.52,161.0,873.41,
2007,1,2,3,15.08,67.47,0.0,0.0,0.0,332.0,2.4,157.0,873.46,
2007,1,2,4,16.16,68.73,0.0,0.0,0.0,336.22,2.68,162.0,873.92,
2007,1,2,5,17.23,70.0,0.0,0.0,0.0,340.43,2.95,166.0,874.38,
2007,1,2,6,18.31,71.26,108.0,232.16,69.0,344.65,3.23,170.0,874.84,
2007,1,2,7,20.63,65.74,340.0,506.09,140.0,352.05,3.69,171.0,874.56,
2007,1,2,8,22.94,60.21,611.0,803.47,127.0,359.45,4.16,172.0,874.27,
2007,1,2,9,25.25,54.69,785.0,754.37,200.0,366.85,4.62,173.0,873.98,
2007,1,2,10,25.83,48.89,667.0,220.46,468.0,375.2,4.72,175.0,873.09,
2007,1,2,11,26.4,43.09,949.0,621.36,343.0,383.55,4.81,178.0,872.2,
2007,1,2,12,26.98,37.29,1078.0,928.8,160.0,391.9,4.91,181.0,871.31,
2007,1,2,13,26.09,41.99,1013.0,896.87,169.0,393.65,4.74,170.0,871.17,
2007,1,2,14,25.21,46.7,810.0,638.35,276.0,395.4,4.58,160.0,871.02,
2007,1,2,15,24.33,51.4,391.0,79.18,337.0,397.15,4.41,149.0,870.88,
2007,1,2,16,22.78,61.54,212.0,22.55,201.0,396.67,4.55,145.0,871.71,
2007,1,2,17,21.23,71.67,27.0,0.0,27.0,396.18,4.68,142.0,872.54,
2007,1,2,18,19.69,81.81,0.0,0.0,0.0,395.7,4.81,138.0,873.38,
2007,1,2,19,19.28,86.22,0.0,0.0,0.0,395.12,4.45,137.0,874.18,
2007,1,2,20,18.88,90.64,0.0,0.0,0.0,394.53,4.09,136.0,874.99,
2007,1,2,21,18.47,95.05,0.0,0.0,0.0,393.95,3.72,135.0,875.79,
2007,1,2,22,18.39,95.9,0.0,0.0,0.0,395.72,3.92,136.0,875.48,
2007,1,2,23,18.3,96.75,0.0,0.0,0.0,397.48,4.11,137.0,875.16,
2007,1,3,0,18.22,97.6,0.0,0.0,0.0,399.25,4.3,139.0,874.84,
2007,1,3,1,18.06,97.8,0.0,0.0,0.0,398.28,4.25,141.0,874.7,
2007,1,3,2,17.9,97.99,0.0,0.0,0.0,397.32,4.19,144.0,874.56,
2007,1,3,3,17.74,98.19,0.0,0.0,0.0,396.35,4.14,147.0,874.41,
2007,1,3,4,18.0,98.22,0.0,0.0,0.0,394.07,4.31,146.0,874.76,
2007,1,3,5,18.27,98.26,0.0,0.0,0.0,391.78,4.48,145.0,875.1,
2007,1,3,6,18.53,98.29,95.0,156.69,69.0,389.5,4.65,144.0,875.45,
2007,1,3,7,19.88,97.31,166.0,20.34,158.0,390.75,5.26,136.0,875.22,
2007,1,3,8,21.23,96.34,293.0,36.61,271.0,392.0,5.86,128.0,874.99,
2007,1,3,9,22.57,95.36,516.0,148.5,401.0,393.25,6.47,121.0,874.76,
2007,1,3,10,22.87,92.2,446.0,29.93,419.0,395.88,6.08,122.0,873.98,
2007,1,3,11,23.17,89.03,795.0,320.97,482.0,398.52,5.69,123.0,873.21,
2007,1,3,12,23.47,85.87,797.0,304.44,496.0,401.15,5.3,124.0,872.43,
2007,1,3,13,22.92,89.1,884.0,552.14,364.0,399.5,4.98,128.0,872.37,
