Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,3223,Mavinga,AGO,Angola,-15.7895414034,20.3600386136,1,1197.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2008,1,1,0,19.52,95.21,0.0,0.0,0.0,386.7,2.23,144.0,876.83,
2008,1,1,1,19.45,95.19,0.0,0.0,0.0,388.7,2.2,126.0,875.5,
2008,1,1,2,19.38,95.17,0.0,0.0,0.0,390.69,2.17,134.0,875.04,
2008,1,1,3,19.31,95.16,0.0,0.0,0.0,392.69,2.14,142.0,874.58,
2008,1,1,4,19.25,95.14,0.0,0.0,0.0,394.69,2.12,138.0,875.07,
2008,1,1,5,19.18,95.13,0.0,0.0,0.0,396.69,2.09,134.0,875.56,
2008,1,1,6,19.11,95.11,131.0,286.39,76.0,398.68,2.06,130.0,876.05,
2008,1,1,7,19.04,95.1,292.0,237.24,193.0,400.68,2.03,127.0,875.99,
2008,1,1,8,18.97,95.08,452.0,239.8,303.0,402.68,2.0,123.0,875.93,
2008,1,1,9,22.79,92.62,430.0,58.21,384.0,412.45,1.5,120.0,875.87,
2008,1,1,10,23.47,88.62,636.0,175.31,476.0,414.72,1.64,120.0,875.04,
2008,1,1,11,24.15,84.61,489.0,30.61,459.0,416.98,1.77,120.0,874.2,
2008,1,1,12,24.83,80.61,1046.0,851.29,205.0,419.25,1.9,120.0,873.36,
2008,1,1,13,25.17,77.73,965.0,787.64,228.0,413.93,2.41,125.0,872.96,
2008,1,1,14,25.5,74.84,868.0,862.19,155.0,408.62,2.91,129.0,872.55,
2008,1,1,15,25.84,71.96,675.0,795.07,143.0,403.3,3.42,133.0,872.15,
2008,1,1,16,24.63,77.69,251.0,69.78,218.0,400.15,2.91,125.0,872.93,
2008,1,1,17,23.43,83.43,30.0,0.0,30.0,397.0,2.4,116.0,873.71,
2008,1,1,18,22.22,89.16,0.0,0.0,0.0,393.85,1.89,107.0,874.49,
2008,1,1,19,21.31,91.33,0.0,0.0,0.0,389.55,1.92,104.0,875.12,
2008,1,1,20,20.4,93.51,0.0,0.0,0.0,385.25,1.95,100.0,875.76,
2008,1,1,21,19.49,95.68,0.0,0.0,0.0,380.95,1.99,97.0,876.39,
2008,1,1,22,19.16,96.85,0.0,0.0,0.0,380.12,1.9,100.0,876.22,
2008,1,1,23,18.83,98.01,0.0,0.0,0.0,379.28,1.81,103.0,876.05,
2008,1,2,0,18.5,99.18,0.0,0.0,0.0,378.45,1.72,106.0,875.87,
2008,1,2,1,18.41,99.09,0.0,0.0,0.0,380.9,1.48,112.0,875.61,
2008,1,2,2,18.32,99.0,0.0,0.0,0.0,383.35,1.24,119.0,875.35,
2008,1,2,3,18.22,98.91,0.0,0.0,0.0,385.8,0.99,125.0,875.09,
2008,1,2,4,18.7,97.61,0.0,0.0,0.0,393.05,1.13,123.0,875.44,
2008,1,2,5,19.18,96.31,0.0,0.0,0.0,400.3,1.26,121.0,875.79,
2008,1,2,6,19.66,95.01,108.0,142.1,81.0,407.55,1.39,119.0,876.13,
2008,1,2,7,20.77,92.21,172.0,19.25,164.0,402.83,1.39,118.0,875.85,
2008,1,2,8,21.88,89.4,404.0,151.64,310.0,398.12,1.39,117.0,875.56,
2008,1,2,9,22.99,86.6,802.0,774.14,191.0,393.4,1.39,116.0,875.27,
2008,1,2,10,23.47,87.34,790.0,418.82,408.0,396.13,1.34,126.0,874.66,
2008,1,2,11,23.94,88.09,1014.0,785.75,244.0,398.87,1.29,136.0,874.06,
2008,1,2,12,24.42,88.83,802.0,319.75,486.0,401.6,1.24,145.0,873.45,
2008,1,2,13,24.04,89.86,660.0,182.6,489.0,401.63,1.25,134.0,873.22,
2008,1,2,14,23.66,90.9,79.0,0.0,79.0,401.67,1.26,122.0,872.99,
2008,1,2,15,23.28,91.93,61.0,0.0,61.0,401.7,1.27,110.0,872.76,
2008,1,2,16,22.43,93.15,90.0,0.0,90.0,398.38,1.27,93.0,873.31,
2008,1,2,17,21.57,94.37,117.0,51.35,104.0,395.07,1.27,75.0,873.85,
2008,1,2,18,20.72,95.59,0.0,0.0,0.0,391.75,1.27,57.0,874.4,
2008,1,2,19,20.24,96.59,0.0,0.0,0.0,387.38,1.35,51.0,874.98,
2008,1,2,20,19.76,97.6,0.0,0.0,0.0,383.02,1.43,45.0,875.56,
2008,1,2,21,19.29,98.6,0.0,0.0,0.0,378.65,1.52,39.0,876.13,
2008,1,2,22,19.09,98.98,0.0,0.0,0.0,377.55,1.43,36.0,875.87,
2008,1,2,23,18.88,99.35,0.0,0.0,0.0,376.45,1.35,32.0,875.61,
