Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,2295,Mucusso,AGO,Angola,-18.0195344861,21.4299991442,1,1053.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2010,1,1,0,21.17,83.19,0.0,0.0,0.0,386.19,3.42,105.0,891.79,
2010,1,1,1,21.28,83.11,0.0,0.0,0.0,384.77,3.37,34.0,892.64,
2010,1,1,2,21.39,83.02,0.0,0.0,0.0,383.34,3.32,32.0,892.35,
2010,1,1,3,21.5,82.93,0.0,0.0,0.0,381.91,3.27,30.0,892.06,
2010,1,1,4,21.6,82.84,0.0,0.0,0.0,380.49,3.22,30.0,892.56,
2010,1,1,5,21.71,82.75,0.0,0.0,0.0,379.06,3.17,30.0,893.06,
2010,1,1,6,21.82,82.66,147.0,248.95,92.0,377.64,3.12,30.0,893.56,
2010,1,1,7,21.93,82.57,218.0,47.45,197.0,376.21,3.08,28.0,893.26,
2010,1,1,8,22.04,82.48,539.0,407.9,277.0,374.79,3.03,25.0,892.97,
2010,1,1,9,26.55,62.64,732.0,512.08,319.0,398.65,5.57,22.0,892.67,
2010,1,1,10,27.75,57.47,819.0,454.55,399.0,405.23,5.49,26.0,891.65,
2010,1,1,11,28.95,52.31,849.0,399.3,455.0,411.82,5.4,29.0,890.62,
2010,1,1,12,30.15,47.14,969.0,642.11,333.0,418.4,5.31,33.0,889.59,
2010,1,1,13,29.73,51.41,934.0,700.56,279.0,417.22,5.24,36.0,889.24,
2010,1,1,14,29.3,55.67,673.0,345.89,388.0,416.03,5.17,40.0,888.88,
2010,1,1,15,28.88,59.94,559.0,411.99,285.0,414.85,5.1,43.0,888.53,
2010,1,1,16,27.83,62.68,353.0,302.72,211.0,409.08,4.18,43.0,889.0,
2010,1,1,17,26.77,65.41,180.0,332.84,97.0,403.32,3.26,44.0,889.47,
2010,1,1,18,25.72,68.15,0.0,0.0,0.0,397.55,2.33,44.0,889.94,
2010,1,1,19,25.02,71.69,0.0,0.0,0.0,393.43,2.16,37.0,890.88,
2010,1,1,20,24.32,75.23,0.0,0.0,0.0,389.32,1.98,30.0,891.82,
2010,1,1,21,23.62,78.77,0.0,0.0,0.0,385.2,1.81,23.0,892.76,
2010,1,1,22,23.14,81.53,0.0,0.0,0.0,382.6,1.72,19.0,892.7,
2010,1,1,23,22.67,84.28,0.0,0.0,0.0,380.0,1.63,15.0,892.64,
2010,1,2,0,22.19,87.04,0.0,0.0,0.0,377.4,1.54,11.0,892.59,
2010,1,2,1,21.61,88.78,0.0,0.0,0.0,374.88,1.77,6.0,892.5,
2010,1,2,2,21.04,90.52,0.0,0.0,0.0,372.37,2.0,2.0,892.41,
2010,1,2,3,20.46,92.26,0.0,0.0,0.0,369.85,2.22,357.0,892.32,
2010,1,2,4,21.39,87.96,0.0,0.0,0.0,369.22,2.37,355.0,892.62,
2010,1,2,5,22.32,83.66,0.0,0.0,0.0,368.58,2.51,353.0,892.91,
2010,1,2,6,23.25,79.36,133.0,178.19,94.0,367.95,2.66,351.0,893.2,
2010,1,2,7,25.05,73.75,361.0,417.45,177.0,373.42,2.99,354.0,892.67,
2010,1,2,8,26.85,68.15,583.0,549.27,231.0,378.88,3.32,357.0,892.15,
2010,1,2,9,28.64,62.54,790.0,680.36,242.0,384.35,3.66,359.0,891.62,
2010,1,2,10,30.01,56.81,932.0,727.75,260.0,390.22,3.8,6.0,890.44,
2010,1,2,11,31.37,51.09,837.0,378.06,464.0,396.08,3.94,14.0,889.27,
2010,1,2,12,32.73,45.36,818.0,339.12,482.0,401.95,4.08,21.0,888.09,
2010,1,2,13,32.17,45.78,863.0,526.89,370.0,405.38,3.99,13.0,887.65,
2010,1,2,14,31.62,46.21,858.0,833.93,170.0,408.82,3.9,5.0,887.21,
2010,1,2,15,31.06,46.63,659.0,738.38,167.0,412.25,3.81,357.0,886.77,
2010,1,2,16,29.49,52.38,441.0,671.71,125.0,411.13,3.24,348.0,887.83,
2010,1,2,17,27.93,58.14,198.0,450.72,85.0,410.02,2.68,339.0,888.88,
2010,1,2,18,26.36,63.89,0.0,0.0,0.0,408.9,2.11,331.0,889.94,
2010,1,2,19,25.42,69.14,0.0,0.0,0.0,407.55,2.54,327.0,890.85,
2010,1,2,20,24.48,74.39,0.0,0.0,0.0,406.2,2.97,324.0,891.76,
2010,1,2,21,23.54,79.64,0.0,0.0,0.0,404.85,3.39,320.0,892.67,
2010,1,2,22,23.15,82.19,0.0,0.0,0.0,401.45,2.74,323.0,892.56,
2010,1,2,23,22.77,84.73,0.0,0.0,0.0,398.05,2.08,325.0,892.44,
2010,1,3,0,22.38,87.28,0.0,0.0,0.0,394.65,1.42,328.0,892.32,
2010,1,3,1,21.9,88.41,0.0,0.0,0.0,389.43,1.46,330.0,892.15,
2010,1,3,2,21.42,89.53,0.0,0.0,0.0,384.22,1.5,332.0,891.97,
2010,1,3,3,20.94,90.66,0.0,0.0,0.0,379.0,1.54,334.0,891.79,
2010,1,3,4,21.49,86.61,0.0,0.0,0.0,377.92,1.31,330.0,892.15,
2010,1,3,5,22.03,82.57,0.0,0.0,0.0,376.83,1.08,325.0,892.5,
2010,1,3,6,22.58,78.52,132.0,175.28,94.0,375.75,0.84,320.0,892.85,
2010,1,3,7,23.76,73.22,314.0,252.87,203.0,379.32,1.03,326.0,892.2,
2010,1,3,8,24.95,67.92,644.0,788.27,140.0,382.88,1.21,331.0,891.56,
2010,1,3,9,26.13,62.62,854.0,892.58,136.0,386.45,1.39,337.0,890.91,
2010,1,3,10,27.57,56.0,985.0,885.35,168.0,391.93,2.19,337.0,889.77,
2010,1,3,11,29.01,49.38,1041.0,838.33,214.0,397.42,2.99,336.0,888.62,
2010,1,3,12,30.45,42.76,917.0,524.66,397.0,402.9,3.79,336.0,887.47,
2010,1,3,13,30.26,42.42,995.0,871.43,179.0,407.58,3.49,340.0,887.33,
2010,1,3,14,30.07,42.07,765.0,552.04,309.0,412.27,3.2,344.0,887.18,
2010,1,3,15,29.88,41.73,704.0,918.28,91.0,416.95,2.9,349.0,887.03,
2010,1,3,16,28.24,45.9,442.0,671.95,125.0,414.45,2.52,345.0,887.77,
2010,1,3,17,26.59,50.06,161.0,206.35,109.0,411.95,2.15,341.0,888.5,
2010,1,3,18,24.95,54.23,0.0,0.0,0.0,409.45,1.78,336.0,889.24,
2010,1,3,19,23.87,65.45,0.0,0.0,0.0,405.93,1.83,323.0,890.29,
2010,1,3,20,22.78,76.68,0.0,0.0,0.0,402.42,1.89,309.0,891.35,
2010,1,3,21,21.7,87.9,0.0,0.0,0.0,398.9,1.94,296.0,892.41,
2010,1,3,22,21.44,89.16,0.0,0.0,0.0,394.08,1.99,328.0,892.23,
2010,1,3,23,21.18,90.41,0.0,0.0,0.0,389.27,2.04,359.0,892.06,
