Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,3212,Quibala,AGO,Angola,-10.7295918591,14.9799535712,1,1274.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2005,1,1,0,21.41,97.97,0.0,0.0,0.0,383.87,1.27,106.0,869.15,
2005,1,1,1,21.34,98.1,0.0,0.0,0.0,386.62,1.3,317.0,870.18,
2005,1,1,2,21.27,98.23,0.0,0.0,0.0,389.38,1.34,317.0,870.18,
2005,1,1,3,21.2,98.36,0.0,0.0,0.0,392.13,1.38,317.0,870.18,
2005,1,1,4,21.13,98.5,0.0,0.0,0.0,394.88,1.42,318.0,870.49,
2005,1,1,5,21.06,98.63,0.0,0.0,0.0,397.64,1.46,319.0,870.8,
2005,1,1,6,20.99,98.76,0.0,0.0,0.0,400.39,1.49,320.0,871.12,
2005,1,1,7,20.92,98.89,87.0,19.26,81.0,403.15,1.53,318.0,871.35,
2005,1,1,8,20.85,99.03,159.0,3.78,157.0,405.9,1.57,316.0,871.58,
2005,1,1,9,24.25,97.16,555.0,403.79,266.0,399.0,2.33,315.0,871.81,
2005,1,1,10,24.26,96.79,731.0,479.95,319.0,403.18,2.66,312.0,871.38,
2005,1,1,11,24.27,96.43,921.0,688.08,269.0,407.37,2.98,309.0,870.95,
2005,1,1,12,24.27,96.06,938.0,605.87,346.0,411.55,3.31,307.0,870.52,
2005,1,1,13,24.08,95.91,1016.0,848.66,214.0,411.23,3.17,298.0,870.29,
2005,1,1,14,23.88,95.76,934.0,852.97,206.0,410.92,3.03,289.0,870.06,
2005,1,1,15,23.69,95.61,803.0,908.64,159.0,410.6,2.88,280.0,869.83,
2005,1,1,16,22.83,96.32,538.0,606.91,222.0,404.52,2.36,276.0,870.4,
2005,1,1,17,21.97,97.04,358.0,817.7,111.0,398.43,1.83,273.0,870.98,
2005,1,1,18,21.11,97.75,59.0,0.0,59.0,392.35,1.31,269.0,871.55,
2005,1,1,19,20.78,98.26,0.0,0.0,0.0,391.77,0.97,271.0,872.32,
2005,1,1,20,20.46,98.77,0.0,0.0,0.0,391.18,0.62,274.0,873.09,
2005,1,1,21,20.13,99.28,0.0,0.0,0.0,390.6,0.28,276.0,873.86,
2005,1,1,22,20.12,99.22,0.0,0.0,0.0,391.9,0.28,220.0,873.49,
2005,1,1,23,20.11,99.16,0.0,0.0,0.0,393.2,0.28,164.0,873.12,
2005,1,2,0,20.09,99.1,0.0,0.0,0.0,394.5,0.28,108.0,872.75,
2005,1,2,1,19.97,99.36,0.0,0.0,0.0,395.05,0.37,151.0,872.41,
2005,1,2,2,19.84,99.61,0.0,0.0,0.0,395.6,0.47,194.0,872.06,
2005,1,2,3,19.72,99.87,0.0,0.0,0.0,396.15,0.57,237.0,871.72,
2005,1,2,4,20.07,99.26,0.0,0.0,0.0,395.45,0.51,253.0,872.09,
2005,1,2,5,20.42,98.64,0.0,0.0,0.0,394.75,0.46,270.0,872.46,
2005,1,2,6,20.77,98.03,0.0,0.0,0.0,394.05,0.41,286.0,872.84,
2005,1,2,7,22.47,90.02,145.0,184.0,88.0,395.77,0.95,286.0,872.72,
2005,1,2,8,24.18,82.01,380.0,418.78,159.0,397.48,1.49,286.0,872.61,
2005,1,2,9,25.88,74.0,624.0,622.7,179.0,399.2,2.03,286.0,872.49,
2005,1,2,10,26.4,69.06,693.0,395.2,354.0,400.62,2.85,282.0,871.49,
2005,1,2,11,26.92,64.11,629.0,155.16,482.0,402.03,3.66,278.0,870.49,
2005,1,2,12,27.43,59.17,874.0,468.57,416.0,403.45,4.48,273.0,869.49,
2005,1,2,13,27.2,60.79,1051.0,951.6,151.0,400.65,4.41,267.0,869.23,
2005,1,2,14,26.97,62.41,951.0,904.5,178.0,397.85,4.34,262.0,868.97,
2005,1,2,15,26.74,64.03,791.0,858.98,181.0,395.05,4.28,256.0,868.72,
