Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,4374,Tombua,AGO,Angola,-15.8000317191,11.8599889716,1,9.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2011,1,1,0,20.9,0.5,0.0,0.0,0.0,401.1,3.02,263.0,1009.42,
2011,1,1,1,20.92,0.5,0.0,0.0,0.0,399.12,2.73,266.0,1007.02,
2011,1,1,2,20.94,0.5,0.0,0.0,0.0,397.14,2.44,272.0,1006.53,
2011,1,1,3,20.96,0.5,0.0,0.0,0.0,395.15,2.15,279.0,1006.03,
2011,1,1,4,20.98,0.5,0.0,0.0,0.0,393.17,1.86,276.0,1006.43,
2011,1,1,5,21.0,0.5,0.0,0.0,0.0,391.19,1.57,274.0,1006.82,
2011,1,1,6,21.01,0.5,24.0,65.78,20.0,389.2,1.28,271.0,1007.22,
2011,1,1,7,21.03,0.5,170.0,120.16,135.0,387.22,0.99,271.0,1007.29,
2011,1,1,8,21.05,0.5,383.0,274.96,243.0,385.24,0.7,270.0,1007.36,
2011,1,1,9,24.51,83.85,645.0,538.88,268.0,462.15,1.35,269.0,1007.42,
2011,1,1,10,25.17,83.98,904.0,853.33,179.0,502.67,2.35,265.0,1006.66,
2011,1,1,11,25.83,84.12,1005.0,820.89,226.0,543.18,3.35,260.0,1005.89,
2011,1,1,12,26.49,84.25,1056.0,832.56,231.0,583.7,4.34,256.0,1005.13,
2011,1,1,13,26.13,85.16,1016.0,779.36,258.0,582.5,4.65,255.0,1004.86,
2011,1,1,14,25.78,86.06,922.0,756.23,245.0,581.3,4.95,254.0,1004.59,
2011,1,1,15,25.42,86.97,761.0,698.85,227.0,580.1,5.26,253.0,1004.33,
2011,1,1,16,24.4,87.8,564.0,652.86,180.0,544.27,5.26,248.0,1004.83,
2011,1,1,17,23.38,88.63,242.0,163.41,180.0,508.43,5.26,242.0,1005.33,
2011,1,1,18,22.37,89.46,77.0,105.23,61.0,472.6,5.27,237.0,1005.83,
2011,1,1,19,22.02,89.14,0.0,0.0,0.0,447.28,4.61,235.0,1006.86,
2011,1,1,20,21.67,88.83,0.0,0.0,0.0,421.97,3.95,233.0,1007.89,
2011,1,1,21,21.31,88.51,0.0,0.0,0.0,396.65,3.3,231.0,1008.92,
2011,1,1,22,21.01,87.75,0.0,0.0,0.0,392.52,3.24,238.0,1008.82,
2011,1,1,23,20.71,86.98,0.0,0.0,0.0,388.38,3.18,244.0,1008.72,
2011,1,2,0,20.41,86.22,0.0,0.0,0.0,384.25,3.12,251.0,1008.62,
2011,1,2,1,20.21,86.11,0.0,0.0,0.0,382.57,2.59,244.0,1008.16,
2011,1,2,2,20.01,86.01,0.0,0.0,0.0,380.88,2.06,238.0,1007.69,
2011,1,2,3,19.81,85.9,0.0,0.0,0.0,379.2,1.53,232.0,1007.22,
2011,1,2,4,19.96,85.54,0.0,0.0,0.0,377.15,1.51,226.0,1007.42,
2011,1,2,5,20.11,85.18,0.0,0.0,0.0,375.1,1.49,221.0,1007.62,
2011,1,2,6,20.27,84.82,27.0,102.24,21.0,373.05,1.48,215.0,1007.82,
2011,1,2,7,21.65,83.4,187.0,186.63,133.0,398.88,1.42,233.0,1007.99,
2011,1,2,8,23.03,81.98,464.0,567.47,176.0,424.72,1.36,250.0,1008.16,
2011,1,2,9,24.41,80.56,726.0,821.97,152.0,450.55,1.3,267.0,1008.32,
2011,1,2,10,25.11,81.17,908.0,868.32,171.0,491.9,2.39,264.0,1007.66,
2011,1,2,11,25.81,81.78,1038.0,920.3,165.0,533.25,3.48,261.0,1006.99,
2011,1,2,12,26.51,82.39,1098.0,950.54,156.0,574.6,4.57,257.0,1006.33,
2011,1,2,13,26.19,83.13,1074.0,944.38,155.0,571.07,5.33,251.0,1005.79,
2011,1,2,14,25.86,83.88,986.0,950.75,134.0,567.53,6.1,245.0,1005.26,
2011,1,2,15,25.54,84.62,810.0,863.7,149.0,564.0,6.87,238.0,1004.73,
2011,1,2,16,24.6,85.09,612.0,859.97,105.0,529.57,6.97,233.0,1005.13,
2011,1,2,17,23.67,85.56,314.0,438.49,147.0,495.13,7.07,228.0,1005.53,
2011,1,2,18,22.74,86.03,84.0,136.88,63.0,460.7,7.17,223.0,1005.93,
2011,1,2,19,22.39,85.56,0.0,0.0,0.0,435.82,6.31,218.0,1006.76,
2011,1,2,20,22.05,85.1,0.0,0.0,0.0,410.93,5.44,213.0,1007.59,
2011,1,2,21,21.7,84.63,0.0,0.0,0.0,386.05,4.58,209.0,1008.42,
