Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,5008,Posadas,ARG,Argentina,-27.3578320979,-55.8851073488,-3,78.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2005,1,1,0,25.5,85.85,0.0,0.0,0.0,383.29,1.81,95.0,1001.52,
2005,1,1,1,25.18,85.24,0.0,0.0,0.0,377.95,1.83,97.0,1001.26,
2005,1,1,2,24.86,84.64,0.0,0.0,0.0,372.61,1.85,100.0,1000.99,
2005,1,1,3,24.55,84.04,0.0,0.0,0.0,367.27,1.87,99.0,1001.19,
2005,1,1,4,24.23,83.44,0.0,0.0,0.0,361.93,1.89,98.0,1001.39,
2005,1,1,5,21.77,95.24,0.0,0.0,0.0,366.75,1.64,98.0,1001.59,
2005,1,1,6,24.33,86.59,0.0,0.0,0.0,368.45,1.71,97.0,1001.88,
2005,1,1,7,26.9,77.93,96.0,189.61,51.0,370.15,1.77,96.0,1002.18,
2005,1,1,8,29.47,69.28,321.0,515.21,91.0,371.85,1.83,96.0,1002.48,
2005,1,1,9,31.19,59.56,567.0,753.14,87.0,377.78,1.88,106.0,1002.18,
2005,1,1,10,32.91,49.83,731.0,688.79,182.0,383.72,1.92,117.0,1001.88,
2005,1,1,11,34.63,40.11,882.0,720.47,223.0,389.65,1.96,127.0,1001.59,
2005,1,1,12,35.28,37.28,1039.0,909.15,146.0,392.38,2.19,138.0,1000.6,
2005,1,1,13,35.93,34.45,1091.0,959.72,136.0,395.12,2.42,148.0,999.6,
2005,1,1,14,36.58,31.62,1073.0,997.52,123.0,397.85,2.65,158.0,998.61,
2005,1,1,15,36.21,30.97,950.0,895.01,183.0,395.13,2.84,153.0,998.02,
2005,1,1,16,35.85,30.32,672.0,465.45,339.0,392.42,3.03,148.0,997.43,
2005,1,1,17,35.49,29.67,329.0,65.13,294.0,389.7,3.21,144.0,996.83,
2005,1,1,18,33.38,33.34,36.0,0.0,36.0,386.32,2.98,140.0,997.56,
2005,1,1,19,31.28,37.0,16.0,0.0,16.0,382.93,2.74,136.0,998.28,
2005,1,1,20,29.17,40.67,0.0,0.0,0.0,379.55,2.51,133.0,999.01,
2005,1,1,21,28.29,42.06,0.0,0.0,0.0,378.47,2.51,132.0,999.54,
2005,1,1,22,27.41,43.44,0.0,0.0,0.0,377.38,2.52,131.0,1000.07,
2005,1,1,23,26.53,44.83,0.0,0.0,0.0,376.3,2.52,131.0,1000.6,
2005,1,2,0,26.16,46.65,0.0,0.0,0.0,378.47,2.66,125.0,1000.3,
2005,1,2,1,25.79,48.48,0.0,0.0,0.0,380.63,2.79,119.0,1000.0,
2005,1,2,2,25.42,50.3,0.0,0.0,0.0,382.8,2.92,113.0,999.7,
2005,1,2,3,25.19,51.41,0.0,0.0,0.0,384.57,2.82,101.0,999.67,
2005,1,2,4,24.96,52.51,0.0,0.0,0.0,386.33,2.72,90.0,999.64,
2005,1,2,5,24.73,53.62,0.0,0.0,0.0,388.1,2.62,79.0,999.6,
2005,1,2,6,26.26,53.97,0.0,0.0,0.0,391.43,2.83,64.0,1000.07,
2005,1,2,7,27.8,54.33,47.0,8.51,45.0,394.77,3.03,49.0,1000.53,
2005,1,2,8,29.34,54.68,52.0,0.0,52.0,398.1,3.24,34.0,1000.99,
2005,1,2,9,30.78,55.96,84.0,0.0,84.0,402.92,2.62,17.0,1001.12,
2005,1,2,10,32.22,57.23,120.0,0.0,120.0,407.73,1.99,0.0,1001.26,
2005,1,2,11,33.65,58.51,284.0,0.0,284.0,412.55,1.37,343.0,1001.39,
2005,1,2,12,34.21,57.14,284.0,0.0,284.0,416.93,1.02,314.0,1000.69,
2005,1,2,13,34.78,55.78,351.0,1.0,350.0,421.32,0.68,284.0,1000.0,
2005,1,2,14,35.34,54.41,267.0,0.0,267.0,425.7,0.33,254.0,999.31,
2005,1,2,15,35.19,54.02,752.0,378.94,427.0,424.83,0.34,307.0,998.88,
2005,1,2,16,35.05,53.64,185.0,0.0,185.0,423.97,0.36,0.0,998.45,
2005,1,2,17,34.91,53.25,106.0,0.0,106.0,423.1,0.37,53.0,998.02,
2005,1,2,18,33.32,59.49,37.0,0.0,37.0,420.08,0.93,38.0,998.61,
2005,1,2,19,31.74,65.73,16.0,0.0,16.0,417.07,1.49,22.0,999.21,
2005,1,2,20,30.15,71.97,0.0,0.0,0.0,414.05,2.04,7.0,999.8,
2005,1,2,21,28.74,81.31,0.0,0.0,0.0,412.28,1.99,7.0,1000.23,
2005,1,2,22,27.34,90.66,0.0,0.0,0.0,410.52,1.93,8.0,1000.66,
2005,1,2,23,25.93,100.0,0.0,0.0,0.0,408.75,1.88,9.0,1001.09,
2005,1,3,0,25.58,100.0,0.0,0.0,0.0,406.15,1.79,11.0,1000.6,
2005,1,3,1,25.23,100.0,0.0,0.0,0.0,403.55,1.71,13.0,1000.1,
2005,1,3,2,24.87,100.0,0.0,0.0,0.0,400.95,1.63,16.0,999.6,
2005,1,3,3,24.53,100.0,0.0,0.0,0.0,399.93,1.6,22.0,999.67,
2005,1,3,4,24.2,100.0,0.0,0.0,0.0,398.92,1.57,29.0,999.74,
2005,1,3,5,23.86,100.0,0.0,0.0,0.0,397.9,1.54,35.0,999.8,
2005,1,3,6,24.58,94.08,0.0,0.0,0.0,401.93,2.05,27.0,1000.2,
2005,1,3,7,25.3,88.17,35.0,0.0,35.0,405.97,2.55,20.0,1000.6,
2005,1,3,8,26.02,82.25,333.0,603.45,66.0,410.0,3.05,12.0,1000.99,
2005,1,3,9,26.42,80.42,563.0,750.81,87.0,412.23,2.77,16.0,1000.86,
2005,1,3,10,26.83,78.59,736.0,714.95,168.0,414.47,2.5,19.0,1000.73,
2005,1,3,11,27.23,76.76,655.0,236.6,439.0,416.7,2.22,22.0,1000.6,
2005,1,3,12,26.96,78.52,866.0,474.85,400.0,417.53,2.17,20.0,999.9,
