Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,1200,Ganca,AZE,Azerbaijan,40.6849959504,46.3500284412,4,424.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2016,1,1,0,1.93,67.68,0.0,0.0,0.0,242.27,1.05,112.0,982.69,
2016,1,1,1,1.63,69.9,0.0,0.0,0.0,247.52,1.12,107.0,982.78,
2016,1,1,2,1.32,72.11,0.0,0.0,0.0,252.76,1.18,103.0,982.88,
2016,1,1,3,1.02,74.33,0.0,0.0,0.0,258.0,1.25,99.0,982.97,
2016,1,1,4,0.72,76.55,0.0,0.0,0.0,263.24,1.31,71.0,967.44,
2016,1,1,5,0.42,78.77,0.0,0.0,0.0,268.48,1.38,67.0,967.98,
2016,1,1,6,0.12,80.99,0.0,0.0,0.0,273.73,1.44,63.0,968.52,
2016,1,1,7,-0.18,83.21,0.0,0.0,0.0,278.97,1.51,64.0,968.74,
2016,1,1,8,-0.48,85.43,0.0,0.0,0.0,284.21,1.57,64.0,968.97,
2016,1,1,9,-0.78,87.65,18.0,13.12,17.0,289.45,1.64,65.0,969.19,
2016,1,1,10,-1.08,89.87,53.0,0.0,53.0,294.69,1.71,69.0,968.43,
2016,1,1,11,-1.38,92.09,57.0,0.0,57.0,299.93,1.77,74.0,967.67,
2016,1,1,12,-0.6,82.43,94.0,0.0,94.0,291.65,2.81,79.0,966.91,
2016,1,1,13,-0.94,83.79,84.0,0.0,84.0,292.82,2.8,78.0,966.18,
2016,1,1,14,-1.29,85.16,76.0,0.0,76.0,293.98,2.79,78.0,965.45,
2016,1,1,15,-1.63,86.52,62.0,0.0,62.0,295.15,2.77,78.0,964.72,
2016,1,1,16,-1.76,86.81,44.0,0.0,44.0,293.02,2.32,66.0,965.67,
2016,1,1,17,-1.88,87.11,10.0,0.0,10.0,290.88,1.87,55.0,966.62,
2016,1,1,18,-2.01,87.4,0.0,0.0,0.0,288.75,1.42,44.0,967.57,
2016,1,1,19,-1.67,87.78,0.0,0.0,0.0,290.67,1.16,42.0,967.25,
2016,1,1,20,-1.33,88.15,0.0,0.0,0.0,292.58,0.91,40.0,966.94,
2016,1,1,21,-1.0,88.53,0.0,0.0,0.0,294.5,0.65,37.0,966.62,
2016,1,1,22,-1.0,88.32,0.0,0.0,0.0,295.22,0.6,33.0,966.21,
2016,1,1,23,-1.0,88.11,0.0,0.0,0.0,295.93,0.55,29.0,965.8,
2016,1,2,0,-1.0,87.9,0.0,0.0,0.0,296.65,0.5,25.0,965.38,
2016,1,2,1,-1.2,87.79,0.0,0.0,0.0,295.47,0.61,19.0,964.97,
2016,1,2,2,-1.4,87.68,0.0,0.0,0.0,294.28,0.73,13.0,964.56,
2016,1,2,3,-1.6,87.57,0.0,0.0,0.0,293.1,0.84,8.0,964.15,
2016,1,2,4,-1.44,86.82,0.0,0.0,0.0,286.83,1.14,360.0,964.5,
2016,1,2,5,-1.27,86.07,0.0,0.0,0.0,280.57,1.44,352.0,964.85,
2016,1,2,6,-1.11,85.32,0.0,0.0,0.0,274.3,1.74,345.0,965.19,
2016,1,2,7,-0.89,85.1,0.0,0.0,0.0,269.18,1.98,339.0,965.8,
2016,1,2,8,-0.68,84.87,0.0,0.0,0.0,264.07,2.23,333.0,966.4,
2016,1,2,9,-0.46,84.65,6.0,0.0,6.0,258.95,2.47,327.0,967.0,
2016,1,2,10,-1.24,80.97,53.0,0.0,53.0,260.63,2.8,328.0,967.19,
2016,1,2,11,-2.01,77.3,153.0,35.33,141.0,262.32,3.12,330.0,967.38,
2016,1,2,12,-2.78,73.62,51.0,0.0,51.0,264.0,3.45,332.0,967.57,
2016,1,2,13,-3.14,71.73,54.0,0.0,54.0,264.23,3.29,330.0,967.79,
2016,1,2,14,-3.51,69.85,57.0,0.0,57.0,264.47,3.13,327.0,968.01,
2016,1,2,15,-3.87,67.96,131.0,5.53,129.0,264.7,2.97,325.0,968.24,
2016,1,2,16,-4.74,70.45,29.0,0.0,29.0,245.22,2.69,307.0,969.06,
2016,1,2,17,-5.61,72.95,15.0,0.0,15.0,225.73,2.41,288.0,969.88,
2016,1,2,18,-6.48,75.44,0.0,0.0,0.0,206.25,2.14,270.0,970.71,
2016,1,2,19,-6.68,75.3,0.0,0.0,0.0,206.63,2.33,271.0,971.09,
2016,1,2,20,-6.88,75.17,0.0,0.0,0.0,207.02,2.52,272.0,971.47,
2016,1,2,21,-7.08,75.03,0.0,0.0,0.0,207.4,2.72,273.0,971.85,
2016,1,2,22,-7.65,75.13,0.0,0.0,0.0,206.73,2.74,287.0,972.13,
2016,1,2,23,-8.21,75.23,0.0,0.0,0.0,206.07,2.76,302.0,972.42,
2016,1,3,0,-8.78,75.33,0.0,0.0,0.0,205.4,2.79,317.0,972.71,
2016,1,3,1,-9.4,74.93,0.0,0.0,0.0,210.07,2.76,319.0,972.99,
2016,1,3,2,-10.01,74.54,0.0,0.0,0.0,214.73,2.74,321.0,973.28,
2016,1,3,3,-10.62,74.14,0.0,0.0,0.0,219.4,2.72,323.0,973.56,
2016,1,3,4,-10.72,73.22,0.0,0.0,0.0,209.68,2.74,320.0,973.94,
2016,1,3,5,-10.82,72.31,0.0,0.0,0.0,199.97,2.77,317.0,974.32,
2016,1,3,6,-10.93,71.39,0.0,0.0,0.0,190.25,2.8,315.0,974.7,
2016,1,3,7,-10.36,71.27,0.0,0.0,0.0,187.45,2.77,312.0,975.05,
2016,1,3,8,-9.8,71.14,0.0,0.0,0.0,184.65,2.74,310.0,975.4,
2016,1,3,9,-9.23,71.02,13.0,0.0,13.0,181.85,2.72,308.0,975.75,
2016,1,3,10,-8.42,67.64,38.0,0.0,38.0,184.32,2.49,307.0,975.3,
2016,1,3,11,-7.61,64.25,58.0,0.0,58.0,186.78,2.27,306.0,974.86,
2016,1,3,12,-6.79,60.87,57.0,0.0,57.0,189.25,2.04,305.0,974.42,
2016,1,3,13,-6.71,62.14,59.0,0.0,59.0,191.62,1.89,304.0,973.85,
2016,1,3,14,-6.62,63.4,68.0,0.0,68.0,193.98,1.74,304.0,973.28,
2016,1,3,15,-6.54,64.67,56.0,0.0,56.0,196.35,1.59,303.0,972.71,
2016,1,3,16,-7.7,66.37,43.0,0.0,43.0,192.17,1.92,303.0,973.31,
2016,1,3,17,-8.85,68.08,21.0,0.0,21.0,187.98,2.25,303.0,973.91,
2016,1,3,18,-10.01,69.78,0.0,0.0,0.0,183.8,2.58,303.0,974.51,
2016,1,3,19,-10.18,71.49,0.0,0.0,0.0,179.93,2.83,301.0,974.61,
2016,1,3,20,-10.35,73.21,0.0,0.0,0.0,176.07,3.08,298.0,974.7,
2016,1,3,21,-10.53,74.92,0.0,0.0,0.0,172.2,3.32,296.0,974.8,
2016,1,3,22,-10.52,73.11,0.0,0.0,0.0,170.23,3.45,295.0,974.76,
2016,1,3,23,-10.51,71.29,0.0,0.0,0.0,168.27,3.57,294.0,974.73,
2016,1,4,0,-10.5,69.48,0.0,0.0,0.0,166.3,3.7,293.0,974.7,
2016,1,4,1,-10.75,67.26,0.0,0.0,0.0,166.25,3.71,292.0,974.64,
