Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,338,Oguz,AZE,Azerbaijan,41.0708333,47.4583333,4,670.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2016,1,1,0,-0.16,87.56,0.0,0.0,0.0,303.33,2.18,81.0,939.05,
2016,1,1,1,-0.4,87.22,0.0,0.0,0.0,301.62,2.21,78.0,939.48,
2016,1,1,2,-0.65,86.87,0.0,0.0,0.0,299.91,2.24,76.0,939.91,
2016,1,1,3,-0.89,86.53,0.0,0.0,0.0,298.2,2.28,74.0,940.34,
2016,1,1,4,-1.13,86.18,0.0,0.0,0.0,296.49,2.31,71.0,940.8,
2016,1,1,5,-1.37,85.84,0.0,0.0,0.0,294.78,2.34,67.0,941.26,
2016,1,1,6,-1.62,85.49,0.0,0.0,0.0,293.07,2.37,63.0,941.72,
2016,1,1,7,-1.86,85.15,0.0,0.0,0.0,291.36,2.4,64.0,941.94,
2016,1,1,8,-2.1,84.8,0.0,0.0,0.0,289.66,2.44,64.0,942.15,
2016,1,1,9,-2.35,84.46,6.0,0.0,6.0,287.95,2.47,65.0,942.37,
2016,1,1,10,-2.59,84.11,20.0,0.0,20.0,286.24,2.5,69.0,941.66,
2016,1,1,11,-2.83,83.77,110.0,2.94,109.0,284.53,2.53,74.0,940.95,
2016,1,1,12,-3.38,83.03,68.0,0.0,68.0,291.65,3.02,79.0,940.25,
2016,1,1,13,-3.6,84.83,91.0,0.0,91.0,292.82,3.09,78.0,939.54,
2016,1,1,14,-3.82,86.64,77.0,0.0,77.0,293.98,3.16,78.0,938.83,
2016,1,1,15,-4.04,88.44,53.0,0.0,53.0,295.15,3.23,78.0,938.12,
2016,1,1,16,-4.12,88.3,38.0,0.0,38.0,293.02,3.13,66.0,938.92,
2016,1,1,17,-4.2,88.17,24.0,0.0,24.0,290.88,3.03,55.0,939.72,
2016,1,1,18,-4.28,88.03,0.0,0.0,0.0,288.75,2.94,44.0,940.52,
2016,1,1,19,-3.77,88.33,0.0,0.0,0.0,290.67,2.86,42.0,940.15,
2016,1,1,20,-3.25,88.63,0.0,0.0,0.0,292.58,2.78,40.0,939.79,
2016,1,1,21,-2.74,88.93,0.0,0.0,0.0,294.5,2.7,37.0,939.42,
2016,1,1,22,-2.43,88.49,0.0,0.0,0.0,295.22,2.78,33.0,938.99,
2016,1,1,23,-2.12,88.05,0.0,0.0,0.0,295.93,2.85,29.0,938.55,
2016,1,2,0,-1.81,87.61,0.0,0.0,0.0,296.65,2.92,25.0,938.12,
2016,1,2,1,-1.66,87.06,0.0,0.0,0.0,295.47,2.91,19.0,937.63,
2016,1,2,2,-1.5,86.5,0.0,0.0,0.0,294.28,2.89,13.0,937.14,
2016,1,2,3,-1.34,85.95,0.0,0.0,0.0,293.1,2.87,8.0,936.65,
2016,1,2,4,-1.64,85.66,0.0,0.0,0.0,286.83,2.79,360.0,936.83,
2016,1,2,5,-1.94,85.38,0.0,0.0,0.0,280.57,2.71,352.0,937.02,
2016,1,2,6,-2.25,85.09,0.0,0.0,0.0,274.3,2.63,345.0,937.2,
2016,1,2,7,-2.37,85.31,0.0,0.0,0.0,269.18,2.63,339.0,937.6,
2016,1,2,8,-2.5,85.54,0.0,0.0,0.0,264.07,2.62,333.0,938.0,
2016,1,2,9,-2.62,85.76,10.0,0.0,10.0,258.95,2.61,327.0,938.4,
2016,1,2,10,-2.82,81.6,23.0,0.0,23.0,260.63,2.64,328.0,938.49,
2016,1,2,11,-3.01,77.43,43.0,0.0,43.0,262.32,2.67,330.0,938.59,
2016,1,2,12,-3.21,73.27,143.0,2.42,142.0,264.0,2.7,332.0,938.68,
2016,1,2,13,-3.41,72.64,48.0,0.0,48.0,264.23,2.75,330.0,938.99,
2016,1,2,14,-3.61,72.0,111.0,0.0,111.0,264.47,2.8,327.0,939.29,
2016,1,2,15,-3.82,71.37,55.0,0.0,55.0,264.7,2.86,325.0,939.6,
2016,1,2,16,-4.19,73.42,154.0,174.39,112.0,245.22,2.56,307.0,940.49,
2016,1,2,17,-4.56,75.47,8.0,0.0,8.0,225.73,2.27,288.0,941.39,
2016,1,2,18,-4.93,77.52,0.0,0.0,0.0,206.25,1.97,270.0,942.28,
2016,1,2,19,-5.46,78.84,0.0,0.0,0.0,206.63,1.94,271.0,942.65,
2016,1,2,20,-5.99,80.15,0.0,0.0,0.0,207.02,1.91,272.0,943.02,
2016,1,2,21,-6.52,81.47,0.0,0.0,0.0,207.4,1.88,273.0,943.39,
2016,1,2,22,-7.4,81.76,0.0,0.0,0.0,206.73,1.89,287.0,943.66,
2016,1,2,23,-8.29,82.05,0.0,0.0,0.0,206.07,1.89,302.0,943.94,
2016,1,3,0,-9.17,82.34,0.0,0.0,0.0,205.4,1.9,317.0,944.22,
2016,1,3,1,-9.72,82.19,0.0,0.0,0.0,210.07,1.87,319.0,944.43,
2016,1,3,2,-10.27,82.03,0.0,0.0,0.0,214.73,1.83,321.0,944.65,
2016,1,3,3,-10.82,81.88,0.0,0.0,0.0,219.4,1.79,323.0,944.86,
2016,1,3,4,-10.93,81.7,0.0,0.0,0.0,209.68,1.69,320.0,945.23,
2016,1,3,5,-11.04,81.51,0.0,0.0,0.0,199.97,1.58,317.0,945.6,
2016,1,3,6,-11.16,81.33,0.0,0.0,0.0,190.25,1.48,315.0,945.97,
2016,1,3,7,-10.66,79.59,0.0,0.0,0.0,187.45,1.43,312.0,946.25,
2016,1,3,8,-10.17,77.86,0.0,0.0,0.0,184.65,1.39,310.0,946.52,
2016,1,3,9,-9.68,76.12,17.0,0.0,17.0,181.85,1.35,308.0,946.8,
2016,1,3,10,-8.14,71.83,54.0,0.0,54.0,184.32,1.6,307.0,946.28,
2016,1,3,11,-6.59,67.53,110.0,2.92,109.0,186.78,1.84,306.0,945.75,
2016,1,3,12,-5.05,63.24,47.0,0.0,47.0,189.25,2.08,305.0,945.23,
2016,1,3,13,-5.0,62.4,96.0,0.0,96.0,191.62,2.11,304.0,944.74,
2016,1,3,14,-4.96,61.56,126.0,0.0,126.0,193.98,2.13,304.0,944.25,
2016,1,3,15,-4.92,60.72,138.0,11.38,134.0,196.35,2.15,303.0,943.75,
2016,1,3,16,-6.7,63.88,115.0,45.25,104.0,192.17,2.18,303.0,944.37,
2016,1,3,17,-8.49,67.04,41.0,0.0,41.0,187.98,2.22,303.0,944.99,
2016,1,3,18,-10.27,70.2,0.0,0.0,0.0,183.8,2.25,303.0,945.6,
2016,1,3,19,-10.41,71.61,0.0,0.0,0.0,179.93,2.36,301.0,945.69,
2016,1,3,20,-10.56,73.01,0.0,0.0,0.0,176.07,2.47,298.0,945.79,
2016,1,3,21,-10.7,74.42,0.0,0.0,0.0,172.2,2.58,296.0,945.88,
2016,1,3,22,-10.75,73.56,0.0,0.0,0.0,170.23,2.64,295.0,945.88,
2016,1,3,23,-10.8,72.69,0.0,0.0,0.0,168.27,2.7,294.0,945.88,
2016,1,4,0,-10.85,71.83,0.0,0.0,0.0,166.3,2.76,293.0,945.88,
2016,1,4,1,-10.95,70.66,0.0,0.0,0.0,166.25,2.53,292.0,945.85,
2016,1,4,2,-11.05,69.49,0.0,0.0,0.0,166.2,2.31,292.0,945.82,
2016,1,4,3,-11.15,68.32,0.0,0.0,0.0,166.15,2.08,291.0,945.79,
2016,1,4,4,-10.86,68.89,0.0,0.0,0.0,167.18,2.03,292.0,946.12,
2016,1,4,5,-10.56,69.47,0.0,0.0,0.0,168.22,1.97,292.0,946.46,
2016,1,4,6,-10.27,70.04,0.0,0.0,0.0,169.25,1.92,292.0,946.8,
2016,1,4,7,-9.96,69.94,0.0,0.0,0.0,171.37,1.74,299.0,946.83,
2016,1,4,8,-9.66,69.85,0.0,0.0,0.0,173.48,1.56,306.0,946.86,
2016,1,4,9,-9.36,69.75,31.0,94.8,23.0,175.6,1.38,313.0,946.89,
2016,1,4,10,-7.83,65.7,63.0,0.0,63.0,181.83,1.16,339.0,946.19,
2016,1,4,11,-6.29,61.64,171.0,58.33,151.0,188.07,0.94,4.0,945.48,
2016,1,4,12,-4.76,57.59,115.0,0.0,115.0,194.3,0.72,29.0,944.77,
2016,1,4,13,-4.42,57.9,161.0,4.53,159.0,203.87,0.89,49.0,944.12,
2016,1,4,14,-4.08,58.22,138.0,2.38,137.0,213.43,1.06,70.0,943.48,
2016,1,4,15,-3.75,58.53,75.0,0.0,75.0,223.0,1.23,90.0,942.83,
2016,1,4,16,-4.59,60.52,50.0,0.0,50.0,225.18,1.05,78.0,943.17,
2016,1,4,17,-5.44,62.51,40.0,0.0,40.0,227.37,0.87,65.0,943.51,
2016,1,4,18,-6.28,64.5,0.0,0.0,0.0,229.55,0.69,53.0,943.85,
2016,1,4,19,-6.99,66.68,0.0,0.0,0.0,225.28,0.8,36.0,943.66,
2016,1,4,20,-7.7,68.85,0.0,0.0,0.0,221.02,0.92,20.0,943.48,
2016,1,4,21,-8.41,71.03,0.0,0.0,0.0,216.75,1.03,3.0,943.29,
2016,1,4,22,-8.79,72.41,0.0,0.0,0.0,212.92,1.09,351.0,942.89,
2016,1,4,23,-9.17,73.79,0.0,0.0,0.0,209.08,1.14,339.0,942.49,
2016,1,5,0,-9.54,75.17,0.0,0.0,0.0,205.25,1.2,327.0,942.09,
2016,1,5,1,-9.36,74.81,0.0,0.0,0.0,209.03,1.33,324.0,941.66,
2016,1,5,2,-9.18,74.44,0.0,0.0,0.0,212.82,1.47,321.0,941.23,
2016,1,5,3,-8.99,74.08,0.0,0.0,0.0,216.6,1.6,318.0,940.8,
2016,1,5,4,-7.69,73.68,0.0,0.0,0.0,226.17,1.86,316.0,940.71,
2016,1,5,5,-6.38,73.29,0.0,0.0,0.0,235.73,2.11,313.0,940.62,
2016,1,5,6,-5.08,72.89,0.0,0.0,0.0,245.3,2.37,311.0,940.52,
2016,1,5,7,-4.51,72.23,0.0,0.0,0.0,239.27,2.29,310.0,940.31,
2016,1,5,8,-3.95,71.58,0.0,0.0,0.0,233.23,2.22,309.0,940.09,
2016,1,5,9,-3.38,70.92,24.0,35.44,21.0,227.2,2.14,308.0,939.88,
2016,1,5,10,-1.78,68.01,73.0,8.67,71.0,229.82,2.2,308.0,939.23,
2016,1,5,11,-0.17,65.09,49.0,0.0,49.0,232.43,2.26,308.0,938.59,
2016,1,5,12,1.43,62.18,67.0,0.0,67.0,235.05,2.32,307.0,937.94,
2016,1,5,13,1.31,63.74,121.0,0.0,121.0,241.27,2.18,308.0,937.14,
2016,1,5,14,1.19,65.31,54.0,0.0,54.0,247.48,2.04,308.0,936.34,
2016,1,5,15,1.06,66.87,60.0,0.0,60.0,253.7,1.9,308.0,935.54,
2016,1,5,16,0.6,68.8,36.0,0.0,36.0,261.67,2.09,305.0,935.57,
2016,1,5,17,0.14,70.74,38.0,0.0,38.0,269.63,2.28,302.0,935.6,
2016,1,5,18,-0.32,72.67,0.0,0.0,0.0,277.6,2.47,298.0,935.63,
2016,1,5,19,-0.64,73.89,0.0,0.0,0.0,273.88,2.35,300.0,935.14,
2016,1,5,20,-0.95,75.12,0.0,0.0,0.0,270.17,2.23,302.0,934.65,
2016,1,5,21,-1.27,76.34,0.0,0.0,0.0,266.45,2.11,305.0,934.15,
2016,1,5,22,-1.25,77.17,0.0,0.0,0.0,260.15,2.15,306.0,933.6,
2016,1,5,23,-1.23,78.01,0.0,0.0,0.0,253.85,2.18,307.0,933.05,
2016,1,6,0,-1.2,78.84,0.0,0.0,0.0,247.55,2.22,308.0,932.49,
2016,1,6,1,-0.07,78.11,0.0,0.0,0.0,257.83,2.34,306.0,932.19,
2016,1,6,2,1.06,77.39,0.0,0.0,0.0,268.12,2.46,303.0,931.88,
2016,1,6,3,2.2,76.66,0.0,0.0,0.0,278.4,2.58,300.0,931.57,
2016,1,6,4,2.26,75.7,0.0,0.0,0.0,279.93,2.88,301.0,931.63,
2016,1,6,5,2.33,74.73,0.0,0.0,0.0,281.47,3.18,301.0,931.69,
2016,1,6,6,2.39,73.77,0.0,0.0,0.0,283.0,3.48,302.0,931.75,
2016,1,6,7,2.93,73.43,0.0,0.0,0.0,277.52,3.6,301.0,932.06,
2016,1,6,8,3.46,73.08,0.0,0.0,0.0,272.03,3.73,300.0,932.37,
2016,1,6,9,4.0,72.74,4.0,0.0,4.0,266.55,3.86,299.0,932.68,
2016,1,6,10,4.64,71.06,33.0,0.0,33.0,265.77,4.05,298.0,932.4,
2016,1,6,11,5.28,69.37,134.0,14.5,129.0,264.98,4.24,297.0,932.12,
2016,1,6,12,5.91,67.69,54.0,0.0,54.0,264.2,4.43,296.0,931.85,
2016,1,6,13,5.66,67.62,187.0,15.73,180.0,265.48,4.45,297.0,932.03,
