Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,3300,Babruysk,BLR,Belarus,53.1265621125,29.1927811266,3,157.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2016,1,1,0,-7.16,87.19,0.0,0.0,0.0,270.71,4.83,268.0,992.0,
2016,1,1,1,-7.58,86.27,0.0,0.0,0.0,267.15,4.78,267.0,991.96,
2016,1,1,2,-8.0,85.35,0.0,0.0,0.0,263.59,4.74,265.0,991.93,
2016,1,1,3,-8.42,84.44,0.0,0.0,0.0,260.04,4.69,58.0,1013.88,
2016,1,1,4,-8.83,83.52,0.0,0.0,0.0,256.48,4.64,60.0,1013.85,
2016,1,1,5,-9.25,82.61,0.0,0.0,0.0,252.92,4.59,62.0,1013.82,
2016,1,1,6,-9.67,81.69,0.0,0.0,0.0,249.36,4.54,64.0,1013.72,
2016,1,1,7,-10.09,80.77,0.0,0.0,0.0,245.81,4.49,66.0,1013.62,
2016,1,1,8,-10.5,79.86,0.0,0.0,0.0,242.25,4.45,68.0,1013.52,
2016,1,1,9,-10.92,78.94,0.0,0.0,0.0,238.69,4.4,72.0,1013.75,
2016,1,1,10,-11.34,78.02,16.0,93.86,8.0,235.14,4.35,75.0,1013.98,
2016,1,1,11,-10.14,76.67,28.0,81.96,14.0,239.45,5.13,78.0,1014.21,
2016,1,1,12,-10.06,75.39,6.0,13.43,3.0,236.53,5.17,78.0,1014.31,
2016,1,1,13,-9.99,74.11,0.0,0.0,0.0,233.62,5.21,78.0,1014.41,
2016,1,1,14,-9.92,72.83,2.0,4.59,1.0,230.7,5.26,78.0,1014.5,
2016,1,1,15,-10.64,74.51,2.0,6.24,1.0,226.68,4.96,79.0,1015.03,
2016,1,1,16,-11.36,76.19,0.0,0.0,0.0,222.67,4.66,80.0,1015.55,
2016,1,1,17,-12.09,77.87,0.0,0.0,0.0,218.65,4.36,80.0,1016.08,
2016,1,1,18,-12.46,77.35,0.0,0.0,0.0,218.37,4.51,81.0,1016.47,
2016,1,1,19,-12.82,76.82,0.0,0.0,0.0,218.08,4.67,81.0,1016.86,
2016,1,1,20,-13.19,76.3,0.0,0.0,0.0,217.8,4.83,81.0,1017.25,
2016,1,1,21,-13.51,75.85,0.0,0.0,0.0,215.27,4.79,79.0,1017.58,
2016,1,1,22,-13.84,75.41,0.0,0.0,0.0,212.73,4.75,77.0,1017.91,
2016,1,1,23,-14.16,74.96,0.0,0.0,0.0,210.2,4.72,75.0,1018.23,
2016,1,2,0,-14.5,74.88,0.0,0.0,0.0,206.95,4.67,71.0,1018.46,
2016,1,2,1,-14.85,74.8,0.0,0.0,0.0,203.7,4.63,66.0,1018.69,
2016,1,2,2,-15.19,74.72,0.0,0.0,0.0,200.45,4.58,62.0,1018.92,
2016,1,2,3,-15.9,74.49,0.0,0.0,0.0,197.4,4.77,59.0,1019.22,
2016,1,2,4,-16.6,74.25,0.0,0.0,0.0,194.35,4.96,57.0,1019.51,
2016,1,2,5,-17.3,74.02,0.0,0.0,0.0,191.3,5.14,54.0,1019.81,
2016,1,2,6,-17.33,74.12,0.0,0.0,0.0,192.32,5.2,54.0,1019.81,
2016,1,2,7,-17.37,74.23,0.0,0.0,0.0,193.33,5.26,53.0,1019.81,
2016,1,2,8,-17.4,74.33,0.0,0.0,0.0,194.35,5.31,52.0,1019.81,
2016,1,2,9,-16.66,74.25,0.0,0.0,0.0,195.95,5.49,54.0,1019.71,
2016,1,2,10,-15.92,74.17,16.45,53.59,11.85,197.55,5.68,55.0,1019.61,
2016,1,2,11,-15.18,74.09,184.0,535.83,92.0,199.15,5.86,57.0,1019.51,
2016,1,2,12,-14.56,72.95,79.95,107.52,55.8,205.73,5.88,56.0,1019.22,
2016,1,2,13,-13.95,71.8,366.0,759.34,183.0,212.32,5.89,55.0,1018.92,
2016,1,2,14,-13.33,70.66,324.0,737.29,162.0,218.9,5.9,54.0,1018.63,
2016,1,2,15,-13.76,72.48,196.0,604.05,98.0,219.67,5.37,52.0,1018.59,
2016,1,2,16,-14.19,74.31,12.0,82.8,6.0,220.43,4.84,50.0,1018.56,
2016,1,2,17,-14.62,76.13,0.0,0.0,0.0,221.2,4.3,47.0,1018.53,
2016,1,2,18,-14.66,76.25,0.0,0.0,0.0,221.5,4.13,46.0,1018.2,
2016,1,2,19,-14.69,76.36,0.0,0.0,0.0,221.8,3.96,46.0,1017.87,
2016,1,2,20,-14.73,76.48,0.0,0.0,0.0,222.1,3.79,45.0,1017.55,
2016,1,2,21,-15.05,76.95,0.0,0.0,0.0,218.37,3.53,39.0,1017.19,
2016,1,2,22,-15.37,77.41,0.0,0.0,0.0,214.63,3.27,34.0,1016.83,
2016,1,2,23,-15.69,77.88,0.0,0.0,0.0,210.9,3.01,29.0,1016.47,
2016,1,3,0,-16.0,78.27,0.0,0.0,0.0,208.25,2.9,22.0,1016.04,
2016,1,3,1,-16.32,78.65,0.0,0.0,0.0,205.6,2.79,15.0,1015.62,
2016,1,3,2,-16.64,79.04,0.0,0.0,0.0,202.95,2.68,8.0,1015.19,
2016,1,3,3,-17.46,79.69,0.0,0.0,0.0,200.63,2.64,358.0,1014.64,
2016,1,3,4,-18.29,80.35,0.0,0.0,0.0,198.32,2.61,348.0,1014.08,
2016,1,3,5,-19.12,81.0,0.0,0.0,0.0,196.0,2.58,338.0,1013.52,
2016,1,3,6,-19.0,81.02,0.0,0.0,0.0,197.32,2.55,332.0,1013.0,
2016,1,3,7,-18.88,81.03,0.0,0.0,0.0,198.63,2.52,325.0,1012.48,
2016,1,3,8,-18.76,81.05,0.0,0.0,0.0,199.95,2.5,318.0,1011.95,
2016,1,3,9,-18.03,79.92,0.0,0.0,0.0,199.03,2.68,312.0,1011.43,
2016,1,3,10,-17.3,78.8,0.0,0.0,0.0,198.12,2.86,306.0,1010.91,
2016,1,3,11,-16.57,77.67,26.0,75.27,13.0,197.2,3.03,300.0,1010.38,
2016,1,3,12,-16.18,76.97,42.0,92.95,21.0,195.98,3.24,292.0,1009.86,
2016,1,3,13,-15.8,76.27,304.0,626.55,152.0,194.77,3.44,285.0,1009.34,
2016,1,3,14,-15.42,75.57,148.0,333.96,74.0,193.55,3.64,277.0,1008.81,
2016,1,3,15,-16.08,77.02,48.0,146.06,24.0,193.62,3.67,275.0,1008.22,
2016,1,3,16,-16.75,78.47,12.0,80.33,6.0,193.68,3.71,273.0,1007.63,
2016,1,3,17,-17.41,79.92,0.0,0.0,0.0,193.75,3.74,271.0,1007.05,
2016,1,3,18,-17.43,80.2,0.0,0.0,0.0,193.33,3.59,270.0,1006.65,
2016,1,3,19,-17.46,80.47,0.0,0.0,0.0,192.92,3.44,269.0,1006.26,
2016,1,3,20,-17.48,80.75,0.0,0.0,0.0,192.5,3.3,268.0,1005.87,
2016,1,3,21,-17.48,80.83,0.0,0.0,0.0,192.07,3.41,265.0,1005.47,
2016,1,3,22,-17.47,80.9,0.0,0.0,0.0,191.63,3.52,262.0,1005.08,
2016,1,3,23,-17.47,80.98,0.0,0.0,0.0,191.2,3.63,258.0,1004.69,
2016,1,4,0,-17.39,81.15,0.0,0.0,0.0,192.57,3.5,260.0,1004.2,
2016,1,4,1,-17.31,81.32,0.0,0.0,0.0,193.93,3.37,262.0,1003.71,
2016,1,4,2,-17.24,81.49,0.0,0.0,0.0,195.3,3.24,263.0,1003.22,
2016,1,4,3,-17.66,81.77,0.0,0.0,0.0,198.15,3.21,260.0,1002.14,
2016,1,4,4,-18.09,82.05,0.0,0.0,0.0,201.0,3.18,256.0,1001.06,
2016,1,4,5,-18.52,82.33,0.0,0.0,0.0,203.85,3.14,252.0,999.98,
2016,1,4,6,-18.26,82.16,0.0,0.0,0.0,206.67,3.45,252.0,999.39,
2016,1,4,7,-18.0,81.98,0.0,0.0,0.0,209.48,3.75,251.0,998.8,
2016,1,4,8,-17.74,81.81,0.0,0.0,0.0,212.3,4.06,251.0,998.21,
2016,1,4,9,-17.08,81.2,0.0,0.0,0.0,208.7,4.05,250.0,997.79,
2016,1,4,10,-16.43,80.6,68.0,388.87,34.0,205.1,4.05,250.0,997.36,
2016,1,4,11,-15.77,79.99,114.0,327.86,57.0,201.5,4.04,250.0,996.94,
2016,1,4,12,-15.24,79.16,88.0,193.52,44.0,203.05,3.76,250.0,996.22,
2016,1,4,13,-14.72,78.32,262.0,536.18,131.0,204.6,3.47,250.0,995.5,
2016,1,4,14,-14.19,77.49,332.0,742.52,166.0,206.15,3.19,250.0,994.78,
2016,1,4,15,-15.72,79.72,182.0,546.53,91.0,199.48,2.97,236.0,994.35,
2016,1,4,16,-17.24,81.94,12.0,77.89,6.0,192.82,2.76,221.0,993.93,
2016,1,4,17,-18.77,84.17,0.0,0.0,0.0,186.15,2.55,207.0,993.5,
2016,1,4,18,-18.7,84.1,0.0,0.0,0.0,184.62,2.88,204.0,993.3,
2016,1,4,19,-18.63,84.04,0.0,0.0,0.0,183.08,3.2,201.0,993.11,
2016,1,4,20,-18.56,83.97,0.0,0.0,0.0,181.55,3.53,199.0,992.91,
2016,1,4,21,-18.5,83.93,0.0,0.0,0.0,182.02,3.43,197.0,992.85,
2016,1,4,22,-18.44,83.9,0.0,0.0,0.0,182.48,3.32,194.0,992.78,
