Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,3271,Djougou,BEN,Benin,9.70042726535,1.68004186871,1,433.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2008,1,1,0,21.57,36.26,0.0,0.0,0.0,365.3,2.58,21.0,960.74,
2008,1,1,1,20.99,34.73,0.0,0.0,0.0,360.03,2.46,7.0,959.41,
2008,1,1,2,20.41,33.19,0.0,0.0,0.0,354.76,2.33,8.0,959.03,
2008,1,1,3,19.84,31.66,0.0,0.0,0.0,349.49,2.21,9.0,958.65,
2008,1,1,4,19.26,30.12,0.0,0.0,0.0,344.23,2.09,15.0,958.77,
2008,1,1,5,18.68,28.58,0.0,0.0,0.0,338.96,1.97,21.0,958.9,
2008,1,1,6,18.1,27.05,0.0,0.0,0.0,333.69,1.84,26.0,959.03,
2008,1,1,7,17.52,25.51,0.0,0.0,0.0,328.42,1.72,30.0,959.75,
2008,1,1,8,16.94,23.98,163.0,407.32,78.0,323.16,1.6,33.0,960.48,
2008,1,1,9,23.49,25.06,399.0,623.91,135.0,334.45,1.38,36.0,961.21,
2008,1,1,10,25.59,22.39,620.0,764.55,158.0,342.03,1.12,40.0,960.67,
2008,1,1,11,27.69,19.71,786.0,823.26,177.0,349.62,0.86,44.0,960.13,
2008,1,1,12,29.78,17.04,889.0,860.66,183.0,357.2,0.61,48.0,959.6,
2008,1,1,13,30.28,16.32,915.0,869.74,184.0,359.92,0.59,32.0,958.87,
2008,1,1,14,30.78,15.61,860.0,849.93,181.0,362.63,0.58,17.0,958.14,
2008,1,1,15,31.27,14.89,736.0,814.76,167.0,365.35,0.57,2.0,957.41,
2008,1,1,16,28.54,18.7,539.0,696.27,159.0,364.13,0.97,343.0,957.73,
2008,1,1,17,25.81,22.51,303.0,495.05,129.0,362.92,1.38,325.0,958.04,
2008,1,1,18,23.07,26.32,81.0,240.77,50.0,361.7,1.79,306.0,958.36,
2008,1,1,19,22.0,27.15,0.0,0.0,0.0,357.52,1.94,311.0,959.25,
2008,1,1,20,20.93,27.99,0.0,0.0,0.0,353.33,2.08,315.0,960.13,
2008,1,1,21,19.86,28.82,0.0,0.0,0.0,349.15,2.22,319.0,961.02,
2008,1,1,22,19.92,28.05,0.0,0.0,0.0,346.18,2.19,330.0,961.02,
2008,1,1,23,19.98,27.29,0.0,0.0,0.0,343.22,2.16,340.0,961.02,
2008,1,2,0,20.04,26.52,0.0,0.0,0.0,340.25,2.12,350.0,961.02,
2008,1,2,1,20.12,24.03,0.0,0.0,0.0,340.18,2.27,354.0,960.83,
2008,1,2,2,20.19,21.54,0.0,0.0,0.0,340.12,2.42,358.0,960.64,
2008,1,2,3,20.26,19.05,0.0,0.0,0.0,340.05,2.57,2.0,960.45,
2008,1,2,4,19.68,19.74,0.0,0.0,0.0,338.43,2.47,5.0,960.61,
2008,1,2,5,19.1,20.42,0.0,0.0,0.0,336.82,2.37,9.0,960.77,
2008,1,2,6,18.52,21.11,0.0,0.0,0.0,335.2,2.28,12.0,960.93,
2008,1,2,7,20.43,20.91,0.0,0.0,0.0,337.03,2.3,15.0,961.43,
2008,1,2,8,22.34,20.7,162.0,405.01,78.0,338.87,2.33,18.0,961.94,
2008,1,2,9,24.25,20.5,397.0,622.94,134.0,340.7,2.36,21.0,962.45,
2008,1,2,10,26.26,18.2,619.0,763.58,158.0,343.0,2.14,24.0,961.75,
2008,1,2,11,28.26,15.89,786.0,823.34,177.0,345.3,1.92,27.0,961.05,
2008,1,2,12,30.26,13.59,890.0,861.44,183.0,347.6,1.7,30.0,960.36,
2008,1,2,13,30.89,13.22,816.0,583.58,325.0,353.78,1.72,29.0,959.5,
2008,1,2,14,31.52,12.86,811.0,688.58,260.0,359.97,1.74,28.0,958.65,
2008,1,2,15,32.14,12.49,686.0,635.68,241.0,366.15,1.77,27.0,957.79,
2008,1,2,16,30.4,15.88,482.0,467.42,226.0,364.9,1.62,30.0,958.17,
2008,1,2,17,28.65,19.28,300.0,469.53,134.0,363.65,1.48,32.0,958.55,
2008,1,2,18,26.9,22.67,70.0,137.58,52.0,362.4,1.34,34.0,958.93,
2008,1,2,19,25.14,24.6,0.0,0.0,0.0,359.62,1.22,24.0,959.79,
2008,1,2,20,23.38,26.52,0.0,0.0,0.0,356.83,1.1,14.0,960.64,
2008,1,2,21,21.62,28.45,0.0,0.0,0.0,354.05,0.98,4.0,961.5,
2008,1,2,22,20.94,28.36,0.0,0.0,0.0,351.88,1.28,359.0,961.24,
2008,1,2,23,20.26,28.26,0.0,0.0,0.0,349.72,1.59,354.0,960.99,
2008,1,3,0,19.57,28.17,0.0,0.0,0.0,347.55,1.89,349.0,960.74,
2008,1,3,1,19.42,26.7,0.0,0.0,0.0,343.78,2.06,356.0,960.61,
2008,1,3,2,19.26,25.22,0.0,0.0,0.0,340.02,2.23,3.0,960.48,
2008,1,3,3,19.11,23.75,0.0,0.0,0.0,336.25,2.4,10.0,960.36,
2008,1,3,4,18.79,24.67,0.0,0.0,0.0,334.83,2.36,13.0,960.58,
2008,1,3,5,18.47,25.58,0.0,0.0,0.0,333.42,2.33,15.0,960.8,
2008,1,3,6,18.15,26.5,0.0,0.0,0.0,332.0,2.29,18.0,961.02,
2008,1,3,7,20.33,26.12,0.0,0.0,0.0,333.32,2.26,24.0,961.62,
2008,1,3,8,22.51,25.73,161.0,407.42,77.0,334.63,2.23,30.0,962.22,
2008,1,3,9,24.69,25.35,392.0,600.52,139.0,335.95,2.19,35.0,962.83,
2008,1,3,10,26.78,23.05,609.0,722.73,173.0,342.22,1.9,46.0,962.13,
2008,1,3,11,28.86,20.75,782.0,808.47,184.0,348.48,1.6,57.0,961.43,
2008,1,3,12,30.94,18.45,885.0,845.1,191.0,354.75,1.31,67.0,960.74,
2008,1,3,13,31.26,18.29,912.0,853.6,193.0,360.9,1.09,65.0,960.17,
2008,1,3,14,31.58,18.14,859.0,835.85,189.0,367.05,0.87,63.0,959.6,
2008,1,3,15,31.89,17.98,724.0,758.1,192.0,373.2,0.65,61.0,959.03,
2008,1,3,16,29.24,22.56,493.0,498.5,219.0,372.32,0.66,86.0,959.18,
2008,1,3,17,26.59,27.13,268.0,306.49,159.0,371.43,0.68,112.0,959.34,
2008,1,3,18,23.93,31.71,82.0,233.2,51.0,370.55,0.69,137.0,959.5,
2008,1,3,19,23.12,34.72,0.0,0.0,0.0,367.63,0.97,137.0,960.36,
2008,1,3,20,22.31,37.74,0.0,0.0,0.0,364.72,1.25,136.0,961.21,
2008,1,3,21,21.5,40.75,0.0,0.0,0.0,361.8,1.53,136.0,962.07,
2008,1,3,22,21.47,42.14,0.0,0.0,0.0,360.1,1.2,127.0,961.94,
2008,1,3,23,21.44,43.52,0.0,0.0,0.0,358.4,0.86,119.0,961.81,
2008,1,4,0,21.4,44.91,0.0,0.0,0.0,356.7,0.52,110.0,961.69,
2008,1,4,1,20.3,41.82,0.0,0.0,0.0,355.68,0.87,78.0,961.4,
2008,1,4,2,19.19,38.72,0.0,0.0,0.0,354.67,1.21,46.0,961.12,
2008,1,4,3,18.09,35.63,0.0,0.0,0.0,353.65,1.56,14.0,960.83,
2008,1,4,4,17.72,35.9,0.0,0.0,0.0,350.67,1.57,18.0,961.02,
2008,1,4,5,17.35,36.17,0.0,0.0,0.0,347.68,1.59,23.0,961.21,
2008,1,4,6,16.98,36.44,0.0,0.0,0.0,344.7,1.6,27.0,961.4,
2008,1,4,7,19.62,34.53,0.0,0.0,0.0,345.5,1.51,35.0,961.94,
2008,1,4,8,22.26,32.62,163.0,434.16,74.0,346.3,1.42,43.0,962.48,
2008,1,4,9,24.9,30.71,387.0,577.92,144.0,347.1,1.32,50.0,963.02,
2008,1,4,10,26.99,27.15,608.0,721.56,173.0,355.02,1.13,74.0,962.22,
2008,1,4,11,29.08,23.58,782.0,808.4,184.0,362.93,0.94,97.0,961.43,
2008,1,4,12,31.17,20.02,891.0,861.57,183.0,370.85,0.74,120.0,960.64,
2008,1,4,13,31.49,19.57,918.0,870.36,184.0,376.27,0.75,144.0,959.82,
2008,1,4,14,31.8,19.11,870.0,867.99,173.0,381.68,0.76,169.0,958.99,
2008,1,4,15,32.11,18.66,738.0,803.1,173.0,387.1,0.77,193.0,958.17,
2008,1,4,16,30.12,22.89,543.0,687.02,164.0,386.67,1.28,196.0,958.36,
2008,1,4,17,28.13,27.11,317.0,539.47,124.0,386.23,1.79,200.0,958.55,
2008,1,4,18,26.14,31.34,86.0,251.77,52.0,385.8,2.3,203.0,958.74,
2008,1,4,19,24.77,36.07,0.0,0.0,0.0,383.57,2.26,204.0,959.56,
2008,1,4,20,23.41,40.79,0.0,0.0,0.0,381.33,2.21,206.0,960.39,
2008,1,4,21,22.04,45.52,0.0,0.0,0.0,379.1,2.17,208.0,961.21,
2008,1,4,22,21.95,47.44,0.0,0.0,0.0,377.9,2.17,205.0,961.12,
2008,1,4,23,21.86,49.37,0.0,0.0,0.0,376.7,2.18,203.0,961.02,
2008,1,5,0,21.76,51.29,0.0,0.0,0.0,375.5,2.19,200.0,960.93,
2008,1,5,1,20.97,52.64,0.0,0.0,0.0,374.12,2.07,204.0,960.61,
2008,1,5,2,20.18,54.0,0.0,0.0,0.0,372.73,1.94,209.0,960.29,
2008,1,5,3,19.39,55.35,0.0,0.0,0.0,371.35,1.82,213.0,959.98,
2008,1,5,4,18.96,58.45,0.0,0.0,0.0,369.57,1.77,215.0,960.04,
2008,1,5,5,18.54,61.56,0.0,0.0,0.0,367.78,1.71,217.0,960.1,
2008,1,5,6,18.11,64.66,0.0,0.0,0.0,366.0,1.66,220.0,960.17,
2008,1,5,7,21.01,57.98,0.0,0.0,0.0,367.68,1.43,215.0,960.77,
2008,1,5,8,23.91,51.29,153.0,358.07,80.0,369.37,1.21,210.0,961.37,
2008,1,5,9,26.8,44.61,392.0,609.95,136.0,371.05,0.99,205.0,961.97,
