Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,3103,Magdalena,BOL,Bolivia,-13.2600833955,-64.0527675798,-4,143.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2015,1,1,0,24.51,88.99,0.0,0.0,0.0,400.06,2.96,354.0,992.9,
2015,1,1,1,24.31,88.21,0.0,0.0,0.0,397.16,2.98,350.0,992.7,
2015,1,1,2,24.11,87.44,0.0,0.0,0.0,394.27,3.0,349.0,992.86,
2015,1,1,3,23.91,86.66,0.0,0.0,0.0,391.37,3.02,348.0,993.03,
2015,1,1,4,23.52,86.67,0.0,0.0,0.0,396.4,3.05,347.0,993.19,
2015,1,1,5,24.43,84.42,0.0,0.0,0.0,396.67,3.36,346.0,993.78,
2015,1,1,6,25.35,82.17,0.0,0.0,0.0,396.93,3.67,345.0,994.37,
2015,1,1,7,26.27,79.92,74.0,0.0,74.0,397.2,3.99,344.0,994.96,
2015,1,1,8,27.18,81.78,233.0,95.82,188.0,400.5,4.38,342.0,994.6,
2015,1,1,9,28.09,83.64,506.0,34.5,483.0,403.8,4.77,340.0,994.24,
2015,1,1,10,29.01,85.5,819.0,339.65,539.0,407.1,5.16,338.0,993.88,
2015,1,1,11,29.33,86.13,948.0,793.96,208.0,408.2,4.88,338.0,992.73,
2015,1,1,12,29.65,86.77,1009.0,810.36,213.0,409.3,4.61,338.0,991.58,
2015,1,1,13,29.98,87.4,996.0,49.4,948.0,410.4,4.33,338.0,990.44,
2015,1,1,14,29.73,86.96,911.0,784.69,204.0,412.1,4.0,343.0,990.04,
2015,1,1,15,29.49,86.52,659.0,103.22,579.0,413.8,3.67,348.0,989.65,
2015,1,1,16,29.25,86.08,408.0,332.05,208.0,415.5,3.34,352.0,989.26,
2015,1,1,17,28.37,88.67,276.0,405.38,116.0,415.32,2.99,0.0,990.14,
2015,1,1,18,27.49,91.25,87.0,210.5,52.0,415.13,2.65,8.0,991.03,
2015,1,1,19,26.61,93.84,0.0,0.0,0.0,414.95,2.3,16.0,991.91,
2015,1,1,20,26.11,93.77,0.0,0.0,0.0,410.43,2.48,18.0,992.9,
2015,1,1,21,25.6,93.7,0.0,0.0,0.0,405.92,2.66,19.0,993.88,
2015,1,1,22,25.1,93.63,0.0,0.0,0.0,401.4,2.84,21.0,994.86,
2015,1,1,23,24.78,94.62,0.0,0.0,0.0,400.32,2.65,15.0,994.63,
2015,1,2,0,24.47,95.61,0.0,0.0,0.0,399.23,2.46,9.0,994.4,
2015,1,2,1,24.16,96.6,0.0,0.0,0.0,398.15,2.26,3.0,994.17,
2015,1,2,2,23.97,97.12,0.0,0.0,0.0,397.57,2.22,0.0,994.24,
2015,1,2,3,23.78,97.65,0.0,0.0,0.0,396.98,2.18,358.0,994.3,
2015,1,2,4,23.6,98.17,0.0,0.0,0.0,396.4,2.14,355.0,994.37,
2015,1,2,5,24.5,96.05,0.0,0.0,0.0,399.52,2.68,351.0,995.06,
2015,1,2,6,25.39,93.92,0.0,0.0,0.0,402.63,3.21,348.0,995.75,
2015,1,2,7,26.29,91.8,76.0,118.49,47.0,405.75,3.75,345.0,996.43,
2015,1,2,8,27.04,91.1,215.0,0.0,215.0,408.87,4.07,344.0,996.24,
2015,1,2,9,27.8,90.39,475.0,142.78,380.0,411.98,4.39,343.0,996.04,
2015,1,2,10,28.56,89.69,436.0,106.86,348.0,415.1,4.7,342.0,995.84,
2015,1,2,11,28.16,92.77,629.0,20.39,610.0,418.88,3.6,340.0,994.8,
2015,1,2,12,27.77,95.85,875.0,821.48,68.0,422.67,2.49,338.0,993.75,
2015,1,2,13,27.38,98.93,431.0,44.23,388.0,426.45,1.38,336.0,992.7,
2015,1,2,14,27.02,97.49,591.0,44.35,551.0,424.6,1.13,341.0,992.4,
2015,1,2,15,26.67,96.06,582.0,159.74,458.0,422.75,0.88,346.0,992.11,
2015,1,2,16,26.31,94.62,453.0,110.97,386.0,420.9,0.63,351.0,991.81,
2015,1,2,17,25.87,95.06,282.0,320.54,155.0,418.07,0.97,10.0,992.8,
2015,1,2,18,25.43,95.5,98.0,184.8,67.0,415.23,1.31,30.0,993.78,
2015,1,2,19,24.99,95.94,0.0,0.0,0.0,412.4,1.66,49.0,994.76,
2015,1,2,20,24.67,96.13,0.0,0.0,0.0,414.05,1.57,49.0,995.25,
2015,1,2,21,24.36,96.33,0.0,0.0,0.0,415.7,1.49,50.0,995.75,
2015,1,2,22,24.04,96.52,0.0,0.0,0.0,417.35,1.41,50.0,996.24,
2015,1,2,23,23.89,96.71,0.0,0.0,0.0,418.88,1.31,49.0,995.65,
2015,1,3,0,23.74,96.91,0.0,0.0,0.0,420.42,1.22,47.0,995.06,
2015,1,3,1,23.59,97.1,0.0,0.0,0.0,421.95,1.13,45.0,994.47,
2015,1,3,2,23.6,97.49,0.0,0.0,0.0,426.27,1.2,46.0,994.3,
2015,1,3,3,23.61,97.89,0.0,0.0,0.0,430.58,1.28,47.0,994.14,
2015,1,3,4,23.62,98.28,0.0,0.0,0.0,434.9,1.35,47.0,993.98,
2015,1,3,5,23.97,98.85,0.0,0.0,0.0,434.1,1.3,42.0,994.76,
2015,1,3,6,24.33,99.43,0.0,0.0,0.0,433.3,1.24,37.0,995.55,
2015,1,3,7,24.68,100.0,35.0,0.0,35.0,432.5,1.19,32.0,996.34,
2015,1,3,8,24.29,99.92,127.0,45.03,106.0,429.33,0.97,14.0,997.02,
2015,1,3,9,23.91,99.83,395.0,152.09,294.0,426.17,0.75,356.0,997.71,
2015,1,3,10,23.53,99.75,675.0,351.28,386.0,423.0,0.54,339.0,998.4,
2015,1,3,11,23.23,98.15,709.0,197.57,525.0,422.1,0.72,326.0,997.65,
2015,1,3,12,22.93,96.54,801.0,252.42,553.0,421.2,0.91,314.0,996.89,
2015,1,3,13,22.62,94.94,687.0,125.41,565.0,420.3,1.09,301.0,996.14,
2015,1,3,14,22.45,94.28,485.0,60.92,430.0,417.28,1.4,289.0,995.48,
2015,1,3,15,22.27,93.62,165.0,54.02,123.0,414.27,1.71,276.0,994.83,
2015,1,3,16,22.09,92.96,529.0,449.45,257.0,411.25,2.03,263.0,994.17,
2015,1,3,17,21.89,93.48,301.0,540.61,86.0,408.13,1.72,251.0,994.8,
2015,1,3,18,21.68,94.0,109.0,248.26,67.0,405.02,1.41,240.0,995.42,
2015,1,3,19,21.48,94.52,0.0,0.0,0.0,401.9,1.1,228.0,996.04,
2015,1,3,20,21.63,94.83,0.0,0.0,0.0,398.88,1.03,217.0,996.63,
2015,1,3,21,21.77,95.14,0.0,0.0,0.0,395.87,0.95,206.0,997.22,
2015,1,3,22,21.92,95.45,0.0,0.0,0.0,392.85,0.87,196.0,997.81,
2015,1,3,23,21.7,95.91,0.0,0.0,0.0,393.0,0.97,196.0,997.35,
2015,1,4,0,21.48,96.37,0.0,0.0,0.0,393.15,1.08,196.0,996.89,
2015,1,4,1,21.26,96.83,0.0,0.0,0.0,393.3,1.19,196.0,996.43,
2015,1,4,2,21.24,96.9,0.0,0.0,0.0,389.43,1.2,171.0,996.53,
2015,1,4,3,21.21,96.98,0.0,0.0,0.0,385.57,1.2,146.0,996.63,
2015,1,4,4,21.18,97.05,0.0,0.0,0.0,381.7,1.21,122.0,996.73,
2015,1,4,5,21.96,95.74,0.0,0.0,0.0,382.07,1.37,122.0,997.48,
2015,1,4,6,22.74,94.42,0.0,0.0,0.0,382.43,1.52,123.0,998.24,
2015,1,4,7,23.52,93.11,175.0,0.0,175.0,382.8,1.67,123.0,998.99,
2015,1,4,8,25.28,85.65,411.0,604.75,130.0,389.33,1.53,167.0,998.66,
2015,1,4,9,27.04,78.2,639.0,727.18,157.0,395.87,1.39,211.0,998.34,
2015,1,4,10,28.8,70.74,829.0,795.74,175.0,402.4,1.26,255.0,998.01,
2015,1,4,11,28.97,69.57,755.0,329.77,448.0,405.77,1.15,257.0,996.7,
2015,1,4,12,29.14,68.4,1025.0,223.89,805.0,409.13,1.04,258.0,995.39,
2015,1,4,13,29.31,67.23,1014.0,848.59,188.0,412.5,0.94,260.0,994.07,
2015,1,4,14,29.2,68.13,929.0,827.59,181.0,413.35,0.87,253.0,993.35,
2015,1,4,15,29.1,69.04,779.0,782.05,170.0,414.2,0.81,246.0,992.63,
2015,1,4,16,28.99,69.94,576.0,702.28,150.0,415.05,0.74,239.0,991.91,
2015,1,4,17,27.88,75.67,342.0,558.67,119.0,412.02,0.76,246.0,992.76,
2015,1,4,18,26.76,81.4,112.0,281.41,64.0,408.98,0.78,252.0,993.62,
2015,1,4,19,25.65,87.13,0.0,0.0,0.0,405.95,0.8,259.0,994.47,
2015,1,4,20,25.47,85.54,0.0,0.0,0.0,401.82,1.06,235.0,994.93,
2015,1,4,21,25.3,83.95,0.0,0.0,0.0,397.68,1.32,211.0,995.39,
2015,1,4,22,25.12,82.36,0.0,0.0,0.0,393.55,1.59,187.0,995.84,
2015,1,4,23,24.43,85.09,0.0,0.0,0.0,391.22,1.26,198.0,995.68,
2015,1,5,0,23.74,87.82,0.0,0.0,0.0,388.88,0.92,209.0,995.52,
2015,1,5,1,23.06,90.55,0.0,0.0,0.0,386.55,0.59,220.0,995.35,
2015,1,5,2,22.69,91.34,0.0,0.0,0.0,385.8,0.85,224.0,995.35,
2015,1,5,3,22.32,92.14,0.0,0.0,0.0,385.05,1.1,228.0,995.35,
2015,1,5,4,21.95,92.93,0.0,0.0,0.0,384.3,1.35,232.0,995.35,
2015,1,5,5,23.58,90.52,0.0,0.0,0.0,385.57,1.29,224.0,995.91,
2015,1,5,6,25.21,88.1,0.0,0.0,0.0,386.83,1.22,216.0,996.47,
2015,1,5,7,26.84,85.69,175.0,393.46,81.0,388.1,1.16,208.0,997.02,
2015,1,5,8,27.71,81.8,412.0,619.84,125.0,393.53,1.17,148.0,996.73,
2015,1,5,9,28.58,77.91,641.0,740.64,151.0,398.97,1.18,88.0,996.43,
2015,1,5,10,29.45,74.02,535.0,26.79,513.0,404.4,1.19,29.0,996.14,
2015,1,5,11,29.58,74.51,965.0,846.73,177.0,409.65,1.2,15.0,994.73,
2015,1,5,12,29.71,75.01,742.0,488.41,262.0,414.9,1.2,1.0,993.32,
2015,1,5,13,29.83,75.5,719.0,28.75,691.0,420.15,1.21,347.0,991.91,
2015,1,5,14,29.61,77.59,934.0,841.09,173.0,418.97,1.23,354.0,991.49,
2015,1,5,15,29.39,79.67,683.0,417.98,357.0,417.78,1.25,0.0,991.06,
2015,1,5,16,29.17,81.76,90.0,0.0,90.0,416.6,1.27,6.0,990.63,
2015,1,5,17,28.29,85.93,88.0,0.0,88.0,414.88,1.28,19.0,991.45,
2015,1,5,18,27.41,90.11,34.0,0.0,34.0,413.17,1.3,31.0,992.27,
2015,1,5,19,26.52,94.28,0.0,0.0,0.0,411.45,1.31,43.0,993.09,
2015,1,5,20,25.42,93.24,0.0,0.0,0.0,408.08,1.48,37.0,994.01,
2015,1,5,21,24.33,92.21,0.0,0.0,0.0,404.72,1.64,31.0,994.93,
2015,1,5,22,23.23,91.17,0.0,0.0,0.0,401.35,1.81,25.0,995.84,
2015,1,5,23,22.94,90.89,0.0,0.0,0.0,399.02,1.73,23.0,995.68,
2015,1,6,0,22.65,90.62,0.0,0.0,0.0,396.68,1.66,21.0,995.52,
2015,1,6,1,22.36,90.34,0.0,0.0,0.0,394.35,1.59,18.0,995.35,
2015,1,6,2,22.21,90.27,0.0,0.0,0.0,393.12,1.6,15.0,995.35,
2015,1,6,3,22.05,90.19,0.0,0.0,0.0,391.88,1.61,11.0,995.35,
2015,1,6,4,21.89,90.12,0.0,0.0,0.0,390.65,1.63,7.0,995.35,
2015,1,6,5,22.79,89.12,0.0,0.0,0.0,391.28,1.92,2.0,995.91,
2015,1,6,6,23.69,88.13,0.0,0.0,0.0,391.92,2.21,358.0,996.47,
2015,1,6,7,24.59,87.13,88.0,0.0,88.0,392.55,2.5,353.0,997.02,
2015,1,6,8,25.57,86.1,304.0,171.22,225.0,398.73,2.87,348.0,996.93,
2015,1,6,9,26.56,85.07,484.0,299.84,286.0,404.92,3.25,342.0,996.83,
2015,1,6,10,27.55,84.04,563.0,45.11,526.0,411.1,3.63,337.0,996.73,
2015,1,6,11,27.69,86.65,188.0,19.35,170.0,412.73,3.04,334.0,995.42,
2015,1,6,12,27.83,89.25,361.0,17.29,344.0,414.37,2.45,331.0,994.11,
2015,1,6,13,27.98,91.86,712.0,225.74,492.0,416.0,1.86,328.0,992.8,
2015,1,6,14,27.37,93.47,581.0,348.89,265.0,416.77,2.05,331.0,992.57,
2015,1,6,15,26.76,95.08,573.0,414.76,249.0,417.53,2.23,335.0,992.34,
2015,1,6,16,26.15,96.69,391.0,254.37,236.0,418.3,2.41,338.0,992.11,
2015,1,6,17,25.66,97.53,347.0,266.18,240.0,415.18,2.15,351.0,992.9,
2015,1,6,18,25.17,98.36,116.0,311.75,62.0,412.07,1.89,4.0,993.68,
2015,1,6,19,24.67,99.2,0.0,0.0,0.0,408.95,1.63,17.0,994.47,
2015,1,6,20,24.23,98.4,0.0,0.0,0.0,402.45,1.65,12.0,995.09,
2015,1,6,21,23.79,97.59,0.0,0.0,0.0,395.95,1.66,8.0,995.71,
2015,1,6,22,23.35,96.79,0.0,0.0,0.0,389.45,1.68,3.0,996.34,
2015,1,6,23,23.08,96.88,0.0,0.0,0.0,389.48,1.69,5.0,995.98,
2015,1,7,0,22.8,96.98,0.0,0.0,0.0,389.52,1.69,8.0,995.62,
2015,1,7,1,22.52,97.07,0.0,0.0,0.0,389.55,1.7,10.0,995.25,
2015,1,7,2,22.4,96.91,0.0,0.0,0.0,389.97,1.86,10.0,995.22,
2015,1,7,3,22.27,96.75,0.0,0.0,0.0,390.38,2.03,11.0,995.19,
