Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,3237,Puerto Acosta,BOL,Bolivia,-15.4995849418,-69.1666673194,-4,4221.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2011,1,1,0,1.96,0.5,0.0,0.0,0.0,268.02,1.44,186.0,599.44,
2011,1,1,1,1.16,0.5,0.0,0.0,0.0,260.37,1.45,209.0,599.3,
2011,1,1,2,0.37,0.5,0.0,0.0,0.0,252.72,1.46,214.0,599.0,
2011,1,1,3,-0.43,0.5,0.0,0.0,0.0,245.08,1.47,219.0,598.71,
2011,1,1,4,0.78,59.58,0.0,0.0,0.0,250.05,1.93,223.0,598.41,
2011,1,1,5,1.78,59.33,0.0,0.0,0.0,244.62,2.69,225.0,598.83,
2011,1,1,6,2.79,59.09,0.0,0.0,0.0,239.18,3.45,227.0,599.24,
2011,1,1,7,3.8,58.84,111.0,214.93,72.0,233.75,4.21,228.0,599.65,
2011,1,1,8,5.52,53.5,60.0,0.0,60.0,239.87,3.89,197.0,599.5,
2011,1,1,9,7.25,48.16,466.0,212.09,336.0,245.98,3.58,166.0,599.34,
2011,1,1,10,8.98,42.82,524.0,102.08,444.0,252.1,3.27,135.0,599.18,
2011,1,1,11,9.73,43.43,318.0,23.12,297.0,269.13,2.87,135.0,598.49,
2011,1,1,12,10.49,44.04,645.0,78.74,568.0,286.17,2.47,134.0,597.8,
2011,1,1,13,11.24,44.65,351.0,24.29,327.0,303.2,2.07,134.0,597.11,
2011,1,1,14,11.07,43.79,1086.0,1057.53,94.0,304.95,2.63,129.0,596.64,
2011,1,1,15,10.89,42.93,329.0,31.28,303.0,306.7,3.2,124.0,596.17,
2011,1,1,16,10.72,42.07,185.0,14.82,175.0,308.45,3.77,120.0,595.69,
2011,1,1,17,9.24,46.11,506.0,915.38,67.0,299.1,3.87,106.0,596.5,
2011,1,1,18,7.76,50.14,245.0,769.0,46.0,289.75,3.98,92.0,597.31,
2011,1,1,19,6.28,54.18,0.0,0.0,0.0,280.4,4.08,79.0,598.12,
2011,1,1,20,5.3,55.14,0.0,0.0,0.0,268.78,3.53,96.0,598.45,
2011,1,1,21,4.32,56.11,0.0,0.0,0.0,257.17,2.97,114.0,598.79,
2011,1,1,22,3.34,57.07,0.0,0.0,0.0,245.55,2.41,132.0,599.12,
2011,1,1,23,2.59,58.0,0.0,0.0,0.0,237.35,1.94,154.0,599.02,
2011,1,2,0,1.84,58.93,0.0,0.0,0.0,229.15,1.47,176.0,598.92,
2011,1,2,1,1.08,59.86,0.0,0.0,0.0,220.95,0.99,198.0,598.83,
2011,1,2,2,0.61,60.14,0.0,0.0,0.0,215.35,1.18,208.0,598.67,
2011,1,2,3,0.13,60.42,0.0,0.0,0.0,209.75,1.36,217.0,598.51,
2011,1,2,4,-0.34,60.7,0.0,0.0,0.0,204.15,1.54,227.0,598.35,
2011,1,2,5,0.77,58.05,0.0,0.0,0.0,199.63,1.99,230.0,598.43,
2011,1,2,6,1.89,55.39,0.0,0.0,0.0,195.12,2.44,233.0,598.51,
2011,1,2,7,3.01,52.74,42.0,0.0,42.0,190.6,2.88,236.0,598.59,
