Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,3256,Puerto Suarez,BOL,Bolivia,-18.949555238,-57.8499678972,-4,86.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2006,1,1,0,26.12,76.92,0.0,0.0,0.0,423.59,2.07,27.0,996.74,
2006,1,1,1,25.15,80.78,0.0,0.0,0.0,420.7,1.85,32.0,996.48,
2006,1,1,2,24.19,84.64,0.0,0.0,0.0,417.8,1.62,31.0,996.58,
2006,1,1,3,23.23,88.49,0.0,0.0,0.0,414.91,1.4,31.0,996.68,
2006,1,1,4,24.46,91.94,0.0,0.0,0.0,407.55,2.79,31.0,996.77,
2006,1,1,5,25.09,89.42,0.0,0.0,0.0,408.45,3.07,18.0,997.27,
2006,1,1,6,25.72,86.9,50.0,13.64,48.0,409.35,3.35,5.0,997.76,
2006,1,1,7,26.34,84.38,231.0,199.34,157.0,410.25,3.63,352.0,998.26,
2006,1,1,8,28.19,74.26,435.0,298.71,262.0,419.38,3.31,349.0,997.76,
2006,1,1,9,30.03,64.14,768.0,850.21,125.0,428.52,3.0,346.0,997.27,
2006,1,1,10,31.88,54.02,771.0,391.91,422.0,437.65,2.69,344.0,996.77,
2006,1,1,11,32.33,52.05,773.0,257.01,523.0,443.03,2.5,339.0,995.78,
2006,1,1,12,32.78,50.08,807.0,272.75,535.0,448.42,2.31,334.0,994.8,
2006,1,1,13,33.23,48.11,360.0,19.74,341.0,453.8,2.12,329.0,993.81,
2006,1,1,14,32.54,50.25,103.0,0.0,103.0,452.42,1.77,319.0,993.64,
2006,1,1,15,31.86,52.38,205.0,4.12,202.0,451.03,1.41,308.0,993.48,
2006,1,1,16,31.17,54.52,90.0,0.0,90.0,449.65,1.05,297.0,993.31,
2006,1,1,17,29.52,65.27,120.0,0.0,120.0,444.97,1.12,299.0,994.66,
2006,1,1,18,27.87,76.01,24.0,0.0,24.0,440.28,1.19,301.0,996.02,
2006,1,1,19,26.21,86.76,0.0,0.0,0.0,435.6,1.26,302.0,997.37,
2006,1,1,20,25.76,87.72,0.0,0.0,0.0,434.72,1.76,298.0,997.63,
2006,1,1,21,25.31,88.69,0.0,0.0,0.0,433.83,2.26,294.0,997.9,
2006,1,1,22,24.86,89.65,0.0,0.0,0.0,432.95,2.76,291.0,998.16,
2006,1,1,23,24.66,90.2,0.0,0.0,0.0,425.33,2.46,296.0,997.8,
2006,1,2,0,24.46,90.76,0.0,0.0,0.0,417.72,2.17,301.0,997.43,
2006,1,2,1,24.25,91.31,0.0,0.0,0.0,410.1,1.88,307.0,997.07,
2006,1,2,2,24.18,91.63,0.0,0.0,0.0,408.05,1.89,309.0,997.17,
2006,1,2,3,24.11,91.96,0.0,0.0,0.0,406.0,1.9,311.0,997.27,
2006,1,2,4,24.04,92.28,0.0,0.0,0.0,403.95,1.92,314.0,997.37,
2006,1,2,5,24.47,92.01,0.0,0.0,0.0,407.48,2.1,312.0,998.03,
2006,1,2,6,24.9,91.74,37.0,0.0,37.0,411.02,2.29,310.0,998.69,
2006,1,2,7,25.32,91.47,117.0,0.0,117.0,414.55,2.47,308.0,999.35,
2006,1,2,8,25.64,90.48,309.0,77.92,264.0,418.8,2.43,307.0,999.12,
2006,1,2,9,25.96,89.5,426.0,90.06,358.0,423.05,2.4,306.0,998.89,
2006,1,2,10,26.28,88.51,931.0,895.77,134.0,427.3,2.36,304.0,998.66,
2006,1,2,11,26.56,88.8,1032.0,917.32,140.0,428.17,2.28,300.0,997.8,
2006,1,2,12,26.85,89.09,1062.0,922.39,142.0,429.03,2.2,296.0,996.94,
2006,1,2,13,27.13,89.38,342.0,21.81,321.0,429.9,2.12,292.0,996.08,
2006,1,2,14,27.53,86.03,304.0,18.35,288.0,429.87,1.7,288.0,995.72,
2006,1,2,15,27.94,82.69,246.0,10.97,238.0,429.83,1.27,285.0,995.36,
