Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,3087,Ghanzi,BWA,Botswana,-21.6996199353,21.6399604886,2,1143.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2010,1,1,0,23.46,68.81,0.0,0.0,0.0,378.48,2.95,29.0,881.28,
2010,1,1,1,23.23,69.87,0.0,0.0,0.0,378.33,3.11,28.0,881.13,
2010,1,1,2,23.0,70.93,0.0,0.0,0.0,378.17,3.27,25.0,883.54,
2010,1,1,3,22.76,71.99,0.0,0.0,0.0,378.02,3.44,28.0,883.34,
2010,1,1,4,22.53,73.05,0.0,0.0,0.0,377.86,3.6,31.0,883.13,
2010,1,1,5,22.3,74.11,0.0,0.0,0.0,377.71,3.76,30.0,883.54,
2010,1,1,6,22.07,75.17,0.0,0.0,0.0,377.55,3.92,30.0,883.95,
2010,1,1,7,21.83,76.23,113.0,53.3,100.0,377.4,4.08,30.0,884.36,
2010,1,1,8,21.6,77.29,313.0,199.85,221.0,377.24,4.24,28.0,884.09,
2010,1,1,9,21.37,78.35,664.0,784.38,150.0,377.08,4.4,26.0,883.83,
2010,1,1,10,26.07,60.94,638.0,284.52,406.0,390.8,6.63,24.0,883.57,
2010,1,1,11,26.58,58.71,897.0,605.49,334.0,398.05,6.59,26.0,882.79,
2010,1,1,12,27.09,56.49,841.0,370.44,474.0,405.3,6.54,27.0,882.0,
2010,1,1,13,27.6,54.26,980.0,645.91,338.0,412.55,6.5,28.0,881.22,
2010,1,1,14,27.83,50.65,790.0,363.04,449.0,416.75,6.37,29.0,880.37,
2010,1,1,15,28.06,47.05,799.0,620.14,284.0,420.95,6.24,30.0,879.53,
2010,1,1,16,28.29,43.44,685.0,789.76,152.0,425.15,6.11,30.0,878.69,
2010,1,1,17,27.2,46.5,380.0,349.77,211.0,419.32,4.79,32.0,879.04,
2010,1,1,18,26.11,49.55,147.0,104.33,119.0,413.48,3.46,33.0,879.39,
2010,1,1,19,25.02,52.61,14.0,44.3,12.0,407.65,2.14,35.0,879.74,
2010,1,1,20,24.38,55.86,0.0,0.0,0.0,403.23,2.38,27.0,880.49,
2010,1,1,21,23.74,59.12,0.0,0.0,0.0,398.82,2.63,20.0,881.25,
2010,1,1,22,23.09,62.37,0.0,0.0,0.0,394.4,2.87,13.0,882.0,
2010,1,1,23,22.73,64.27,0.0,0.0,0.0,391.6,2.92,6.0,881.91,
2010,1,2,0,22.38,66.16,0.0,0.0,0.0,388.8,2.97,359.0,881.83,
2010,1,2,1,22.02,68.06,0.0,0.0,0.0,386.0,3.02,353.0,881.74,
2010,1,2,2,21.51,70.92,0.0,0.0,0.0,383.77,2.63,346.0,881.65,
2010,1,2,3,21.0,73.79,0.0,0.0,0.0,381.53,2.25,339.0,881.57,
2010,1,2,4,20.49,76.65,0.0,0.0,0.0,379.3,1.86,333.0,881.48,
2010,1,2,5,21.67,73.63,0.0,0.0,0.0,380.2,1.94,333.0,881.94,
2010,1,2,6,22.85,70.61,0.0,0.0,0.0,381.1,2.01,333.0,882.41,
2010,1,2,7,24.04,67.59,182.0,372.22,92.0,382.0,2.08,333.0,882.87,
2010,1,2,8,25.5,65.03,435.0,684.85,121.0,388.17,2.96,340.0,882.52,
2010,1,2,9,26.96,62.46,651.0,740.32,167.0,394.33,3.84,347.0,882.18,
2010,1,2,10,28.42,59.9,858.0,851.03,165.0,400.5,4.72,354.0,881.83,
2010,1,2,11,29.7,55.61,896.0,604.85,334.0,405.97,4.86,359.0,880.84,
2010,1,2,12,30.99,51.33,905.0,490.66,419.0,411.43,5.0,4.0,879.85,
2010,1,2,13,32.27,47.04,1004.0,703.1,305.0,416.9,5.14,9.0,878.86,
2010,1,2,14,32.21,45.12,1007.0,876.7,183.0,416.92,5.01,16.0,878.31,
2010,1,2,15,32.14,43.21,877.0,855.21,166.0,416.93,4.88,24.0,877.76,
2010,1,2,16,32.08,41.29,687.0,791.39,152.0,416.95,4.74,32.0,877.21,
2010,1,2,17,30.86,44.7,414.0,474.8,184.0,411.93,4.02,42.0,877.76,
2010,1,2,18,29.64,48.1,149.0,111.28,119.0,406.92,3.29,53.0,878.31,
2010,1,2,19,28.42,51.51,13.0,21.63,12.0,401.9,2.57,64.0,878.86,
2010,1,2,20,27.4,55.1,0.0,0.0,0.0,401.72,2.48,58.0,879.68,
2010,1,2,21,26.38,58.69,0.0,0.0,0.0,401.53,2.39,52.0,880.49,
2010,1,2,22,25.35,62.28,0.0,0.0,0.0,401.35,2.3,46.0,881.3,
2010,1,2,23,24.54,67.35,0.0,0.0,0.0,400.87,2.2,24.0,881.59,
2010,1,3,0,23.73,72.43,0.0,0.0,0.0,400.38,2.1,2.0,881.89,
2010,1,3,1,22.92,77.5,0.0,0.0,0.0,399.9,2.0,340.0,882.18,
2010,1,3,2,22.42,81.03,0.0,0.0,0.0,396.1,1.86,344.0,881.89,
2010,1,3,3,21.92,84.55,0.0,0.0,0.0,392.3,1.71,348.0,881.59,
2010,1,3,4,21.43,88.08,0.0,0.0,0.0,388.5,1.57,351.0,881.3,
2010,1,3,5,22.22,84.3,0.0,0.0,0.0,386.43,1.83,5.0,881.59,
2010,1,3,6,23.02,80.52,0.0,0.0,0.0,384.37,2.09,19.0,881.89,
