Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,3312,Mohembo,BWA,Botswana,-18.2995690726,21.8000023994,2,1002.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2010,1,1,0,23.49,55.27,0.0,0.0,0.0,364.4,2.68,333.0,892.9,
2010,1,1,1,23.34,58.32,0.0,0.0,0.0,367.6,2.72,329.0,892.63,
2010,1,1,2,23.2,61.38,0.0,0.0,0.0,370.79,2.75,48.0,898.1,
2010,1,1,3,23.05,64.44,0.0,0.0,0.0,373.98,2.79,49.0,897.8,
2010,1,1,4,22.9,67.49,0.0,0.0,0.0,377.17,2.82,50.0,897.51,
2010,1,1,5,22.76,70.55,0.0,0.0,0.0,380.37,2.85,46.0,898.01,
2010,1,1,6,22.61,73.6,0.0,0.0,0.0,383.56,2.89,43.0,898.51,
2010,1,1,7,22.46,76.66,132.0,140.31,100.0,386.75,2.92,39.0,899.02,
2010,1,1,8,22.32,79.71,307.0,207.12,214.0,389.94,2.96,35.0,898.72,
2010,1,1,9,22.17,82.77,601.0,586.68,221.0,393.13,2.99,32.0,898.42,
2010,1,1,10,27.26,60.34,801.0,694.51,238.0,406.5,5.24,28.0,898.13,
2010,1,1,11,28.36,55.4,654.0,182.37,485.0,413.33,5.21,30.0,897.12,
2010,1,1,12,29.45,50.45,873.0,441.32,437.0,420.17,5.19,31.0,896.12,
2010,1,1,13,30.55,45.51,916.0,524.11,397.0,427.0,5.16,33.0,895.11,
2010,1,1,14,29.86,47.76,865.0,537.8,363.0,427.77,5.14,35.0,894.61,
2010,1,1,15,29.17,50.01,623.0,258.11,411.0,428.53,5.11,37.0,894.11,
2010,1,1,16,28.48,52.26,377.0,80.1,324.0,429.3,5.09,39.0,893.61,
2010,1,1,17,27.45,55.46,384.0,432.01,183.0,421.97,4.41,39.0,894.08,
2010,1,1,18,26.42,58.67,172.0,297.34,99.0,414.63,3.74,40.0,894.55,
2010,1,1,19,25.39,61.87,0.0,0.0,0.0,407.3,3.06,41.0,895.02,
2010,1,1,20,24.75,65.27,0.0,0.0,0.0,402.72,2.76,34.0,896.0,
2010,1,1,21,24.1,68.66,0.0,0.0,0.0,398.13,2.46,28.0,896.98,
2010,1,1,22,23.45,72.06,0.0,0.0,0.0,393.55,2.15,21.0,897.95,
2010,1,1,23,23.08,74.67,0.0,0.0,0.0,390.4,2.09,17.0,897.89,
2010,1,2,0,22.7,77.27,0.0,0.0,0.0,387.25,2.02,12.0,897.83,
2010,1,2,1,22.32,79.88,0.0,0.0,0.0,384.1,1.96,7.0,897.77,
2010,1,2,2,21.76,82.16,0.0,0.0,0.0,380.67,1.91,1.0,897.71,
2010,1,2,3,21.21,84.45,0.0,0.0,0.0,377.23,1.87,355.0,897.66,
2010,1,2,4,20.65,86.73,0.0,0.0,0.0,373.8,1.82,349.0,897.6,
2010,1,2,5,21.63,82.52,0.0,0.0,0.0,373.48,1.92,347.0,897.89,
2010,1,2,6,22.61,78.31,0.0,0.0,0.0,373.17,2.02,345.0,898.19,
2010,1,2,7,23.59,74.1,108.0,61.94,94.0,372.85,2.12,343.0,898.48,
2010,1,2,8,25.35,67.82,360.0,391.32,185.0,381.1,2.63,349.0,897.95,
2010,1,2,9,27.1,61.54,557.0,448.74,267.0,389.35,3.13,354.0,897.42,
2010,1,2,10,28.86,55.26,776.0,626.24,269.0,397.6,3.63,359.0,896.89,
2010,1,2,11,30.37,49.11,951.0,773.13,235.0,407.1,3.82,7.0,895.56,
2010,1,2,12,31.88,42.96,873.0,441.37,437.0,416.6,4.01,15.0,894.23,
2010,1,2,13,33.4,36.81,922.0,536.05,391.0,426.1,4.21,23.0,892.9,
2010,1,2,14,33.22,36.22,921.0,670.13,295.0,428.52,3.96,18.0,892.36,
2010,1,2,15,33.05,35.63,812.0,695.53,240.0,430.93,3.72,13.0,891.83,
2010,1,2,16,32.88,35.04,621.0,613.95,214.0,433.35,3.48,8.0,891.3,
2010,1,2,17,31.33,39.42,430.0,640.78,131.0,429.73,3.19,360.0,892.33,
2010,1,2,18,29.77,43.8,197.0,478.04,79.0,426.12,2.91,352.0,893.37,
2010,1,2,19,28.22,48.18,0.0,0.0,0.0,422.5,2.62,343.0,894.4,
2010,1,2,20,26.89,57.03,0.0,0.0,0.0,419.27,2.54,335.0,895.53,
2010,1,2,21,25.56,65.88,0.0,0.0,0.0,416.03,2.46,326.0,896.65,
2010,1,2,22,24.23,74.73,0.0,0.0,0.0,412.8,2.39,318.0,897.77,
2010,1,2,23,23.84,77.97,0.0,0.0,0.0,407.72,2.11,319.0,897.69,
2010,1,3,0,23.45,81.22,0.0,0.0,0.0,402.63,1.83,320.0,897.6,
2010,1,3,1,23.07,84.46,0.0,0.0,0.0,397.55,1.54,321.0,897.51,
2010,1,3,2,22.4,87.52,0.0,0.0,0.0,392.92,1.53,324.0,897.3,
2010,1,3,3,21.73,90.58,0.0,0.0,0.0,388.28,1.52,328.0,897.09,
2010,1,3,4,21.06,93.64,0.0,0.0,0.0,383.65,1.5,331.0,896.89,
2010,1,3,5,21.71,90.89,0.0,0.0,0.0,382.92,1.3,326.0,897.27,
2010,1,3,6,22.35,88.14,0.0,0.0,0.0,382.18,1.1,321.0,897.66,
2010,1,3,7,23.0,85.39,115.0,89.31,95.0,381.45,0.9,316.0,898.04,
2010,1,3,8,24.12,81.08,417.0,671.33,118.0,385.73,1.31,322.0,897.54,
2010,1,3,9,25.25,76.76,651.0,789.4,142.0,390.02,1.71,329.0,897.03,
