Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,3046,Acarau,BRA,Brazil,-2.88960528678,-40.1199906835,-3,16.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2010,1,1,0,25.22,88.6,0.0,0.0,0.0,395.47,2.58,60.0,1009.05,
2010,1,1,1,24.82,91.68,0.0,0.0,0.0,392.57,2.27,63.0,1008.52,
2010,1,1,2,24.43,94.76,0.0,0.0,0.0,389.67,1.97,66.0,1007.99,
2010,1,1,3,24.04,97.85,0.0,0.0,0.0,386.77,1.66,70.0,1008.15,
2010,1,1,4,23.65,100.0,0.0,0.0,0.0,383.87,1.35,73.0,1008.32,
2010,1,1,5,24.47,95.4,0.0,0.0,0.0,399.95,2.98,76.0,1008.48,
2010,1,1,6,25.39,91.79,14.0,0.0,14.0,402.65,2.82,69.0,1008.98,
2010,1,1,7,26.3,88.19,63.0,0.0,63.0,405.35,2.67,62.0,1009.48,
2010,1,1,8,27.22,84.58,170.0,5.62,167.0,408.05,2.51,55.0,1009.98,
2010,1,1,9,27.64,83.42,173.0,4.2,170.0,417.65,2.72,54.0,1009.78,
2010,1,1,10,28.06,82.25,502.0,91.0,425.0,427.25,2.93,53.0,1009.58,
2010,1,1,11,28.48,81.09,145.0,1.08,144.0,436.85,3.14,52.0,1009.38,
2010,1,1,12,28.21,81.65,100.0,0.0,100.0,437.87,3.6,52.0,1008.58,
2010,1,1,13,27.95,82.2,199.0,5.63,194.0,438.88,4.06,53.0,1007.79,
2010,1,1,14,27.68,82.76,53.0,0.0,53.0,439.9,4.52,53.0,1006.99,
2010,1,1,15,26.87,84.84,101.0,0.0,101.0,430.5,4.13,60.0,1007.15,
2010,1,1,16,26.06,86.91,139.0,0.0,139.0,421.1,3.73,68.0,1007.32,
2010,1,1,17,25.25,88.99,3.0,0.0,3.0,411.7,3.34,75.0,1007.49,
2010,1,1,18,25.24,90.03,0.0,0.0,0.0,408.53,3.07,82.0,1008.25,
2010,1,1,19,25.23,91.06,0.0,0.0,0.0,405.37,2.8,90.0,1009.02,
2010,1,1,20,25.22,92.1,0.0,0.0,0.0,402.2,2.52,97.0,1009.78,
2010,1,1,21,24.99,92.11,0.0,0.0,0.0,401.77,2.42,101.0,1009.72,
2010,1,1,22,24.76,92.13,0.0,0.0,0.0,401.33,2.32,105.0,1009.65,
2010,1,1,23,24.53,92.14,0.0,0.0,0.0,400.9,2.22,109.0,1009.58,
2010,1,2,0,24.44,91.95,0.0,0.0,0.0,401.22,1.96,110.0,1008.82,
2010,1,2,1,24.35,91.77,0.0,0.0,0.0,401.53,1.7,110.0,1008.05,
2010,1,2,2,24.26,91.58,0.0,0.0,0.0,401.85,1.43,111.0,1007.29,
2010,1,2,3,24.26,91.41,0.0,0.0,0.0,404.53,1.87,114.0,1007.45,
2010,1,2,4,24.26,91.25,0.0,0.0,0.0,407.22,2.31,118.0,1007.62,
2010,1,2,5,24.26,91.08,0.0,0.0,0.0,409.9,2.74,121.0,1007.79,
2010,1,2,6,25.34,87.34,15.0,0.0,15.0,412.27,3.16,119.0,1008.52,
2010,1,2,7,26.42,83.61,204.0,251.71,124.0,414.63,3.58,117.0,1009.25,
