Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,4329,Ico,BRA,Brazil,-6.4000370088,-38.8499906835,-3,155.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2006,1,1,0,28.0,59.2,0.0,0.0,0.0,383.11,4.42,101.0,991.87,
2006,1,1,1,27.69,58.81,0.0,0.0,0.0,381.26,4.56,104.0,991.68,
2006,1,1,2,27.38,58.42,0.0,0.0,0.0,379.41,4.71,107.0,991.48,
2006,1,1,3,27.08,58.03,0.0,0.0,0.0,377.56,4.85,112.0,991.97,
2006,1,1,4,26.77,57.64,0.0,0.0,0.0,375.71,4.99,116.0,992.46,
2006,1,1,5,25.73,70.85,0.0,0.0,0.0,371.15,4.04,121.0,992.95,
2006,1,1,6,27.32,64.9,38.0,0.0,38.0,376.23,4.35,122.0,993.31,
2006,1,1,7,28.91,58.94,289.0,484.94,114.0,381.32,4.67,124.0,993.67,
2006,1,1,8,30.51,52.99,553.0,753.36,122.0,386.4,4.98,126.0,994.03,
2006,1,1,9,32.08,46.51,763.0,834.99,139.0,384.6,4.8,121.0,993.34,
2006,1,1,10,33.66,40.02,920.0,880.43,150.0,382.8,4.61,117.0,992.66,
2006,1,1,11,35.23,33.54,819.0,373.47,466.0,381.0,4.43,113.0,991.97,
2006,1,1,12,35.75,31.35,1020.0,903.21,158.0,382.33,4.34,108.0,990.96,
2006,1,1,13,36.26,29.17,954.0,887.43,154.0,383.67,4.25,103.0,989.94,
2006,1,1,14,36.78,26.98,817.0,849.23,146.0,385.0,4.17,98.0,988.93,
2006,1,1,15,35.93,27.98,621.0,778.79,132.0,384.65,3.98,91.0,988.93,
2006,1,1,16,35.07,28.99,386.0,650.47,109.0,384.3,3.79,84.0,988.93,
2006,1,1,17,34.22,29.99,70.0,0.0,70.0,383.95,3.6,77.0,988.93,
2006,1,1,18,33.46,32.36,0.0,0.0,0.0,385.05,3.74,69.0,989.55,
2006,1,1,19,32.7,34.72,0.0,0.0,0.0,386.15,3.88,61.0,990.17,
2006,1,1,20,31.94,37.09,0.0,0.0,0.0,387.25,4.01,53.0,990.79,
2006,1,1,21,30.95,40.52,0.0,0.0,0.0,385.42,4.1,52.0,991.05,
2006,1,1,22,29.96,43.94,0.0,0.0,0.0,383.58,4.19,51.0,991.32,
2006,1,1,23,28.97,47.37,0.0,0.0,0.0,381.75,4.28,50.0,991.58,
2006,1,2,0,28.53,50.96,0.0,0.0,0.0,384.52,4.2,55.0,991.61,
2006,1,2,1,28.1,54.55,0.0,0.0,0.0,387.28,4.13,59.0,991.64,
2006,1,2,2,27.66,58.14,0.0,0.0,0.0,390.05,4.06,64.0,991.68,
2006,1,2,3,27.2,62.78,0.0,0.0,0.0,392.63,4.05,74.0,992.23,
2006,1,2,4,26.74,67.41,0.0,0.0,0.0,395.22,4.05,84.0,992.79,
2006,1,2,5,26.28,72.05,0.0,0.0,0.0,397.8,4.04,94.0,993.34,
2006,1,2,6,26.98,71.13,14.0,0.0,14.0,405.18,4.24,101.0,993.8,
2006,1,2,7,27.69,70.22,205.0,144.75,153.0,412.57,4.44,108.0,994.26,
2006,1,2,8,28.4,69.3,407.0,247.01,266.0,419.95,4.63,115.0,994.72,
2006,1,2,9,29.91,61.63,622.0,365.72,349.0,413.58,4.38,119.0,994.06,
2006,1,2,10,31.43,53.96,751.0,435.83,370.0,407.22,4.13,122.0,993.41,
2006,1,2,11,32.95,46.29,607.0,132.23,482.0,400.85,3.88,125.0,992.76,
2006,1,2,12,33.57,43.46,615.0,132.99,488.0,401.45,3.65,121.0,991.68,
2006,1,2,13,34.2,40.64,575.0,129.64,458.0,402.05,3.43,116.0,990.6,
2006,1,2,14,34.82,37.81,652.0,373.98,356.0,402.65,3.2,112.0,989.52,
2006,1,2,15,34.26,39.21,496.0,347.9,277.0,400.57,3.11,103.0,989.25,
2006,1,2,16,33.69,40.61,309.0,308.74,177.0,398.48,3.02,95.0,988.99,
2006,1,2,17,33.13,42.01,118.0,185.52,81.0,396.4,2.92,87.0,988.73,
2006,1,2,18,32.29,46.56,0.0,0.0,0.0,395.65,3.06,76.0,989.29,
