Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,3042,Lajes,BRA,Brazil,-27.8095829073,-50.3099888525,-3,898.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2005,1,1,0,19.21,80.95,0.0,0.0,0.0,376.72,1.84,92.0,912.51,
2005,1,1,1,18.76,80.44,0.0,0.0,0.0,371.98,1.58,84.0,912.18,
2005,1,1,2,18.31,79.93,0.0,0.0,0.0,367.24,1.32,77.0,911.85,
2005,1,1,3,17.86,79.42,0.0,0.0,0.0,362.5,1.06,69.0,912.03,
2005,1,1,4,17.4,78.91,0.0,0.0,0.0,357.76,0.8,62.0,912.21,
2005,1,1,5,18.04,90.48,0.0,0.0,0.0,383.5,0.98,54.0,912.39,
2005,1,1,6,18.92,88.16,1.0,9.45,0.0,387.58,0.97,66.0,912.63,
2005,1,1,7,19.79,85.85,164.0,238.86,88.0,391.67,0.95,78.0,912.87,
2005,1,1,8,20.66,83.53,210.0,32.61,193.0,395.75,0.94,90.0,913.11,
2005,1,1,9,22.74,75.59,135.0,0.0,135.0,390.07,0.97,101.0,912.6,
2005,1,1,10,24.82,67.66,426.0,47.28,386.0,384.38,1.01,113.0,912.09,
2005,1,1,11,26.89,59.72,457.0,29.62,429.0,378.7,1.05,124.0,911.58,
2005,1,1,12,27.83,55.91,916.0,523.73,396.0,383.53,1.46,129.0,910.86,
2005,1,1,13,28.77,52.1,958.0,592.84,374.0,388.37,1.88,135.0,910.15,
2005,1,1,14,29.71,48.29,1021.0,886.65,203.0,393.2,2.29,141.0,909.43,
2005,1,1,15,29.15,49.28,921.0,926.36,171.0,391.6,2.81,132.0,909.25,
2005,1,1,16,28.59,50.26,763.0,954.24,139.0,390.0,3.34,124.0,909.07,
2005,1,1,17,28.03,51.25,572.0,1044.86,85.0,388.4,3.86,116.0,908.89,
2005,1,1,18,26.35,58.06,318.0,853.55,97.0,382.17,3.92,108.0,910.03,
2005,1,1,19,24.66,64.87,82.0,580.26,55.0,375.93,3.97,100.0,911.16,
2005,1,1,20,22.97,71.68,0.0,0.0,0.0,369.7,4.03,92.0,912.3,
2005,1,1,21,22.19,79.04,0.0,0.0,0.0,370.5,4.32,80.0,912.81,
2005,1,1,22,21.41,86.4,0.0,0.0,0.0,371.3,4.62,68.0,913.32,
2005,1,1,23,20.63,93.76,0.0,0.0,0.0,372.1,4.91,56.0,913.83,
2005,1,2,0,20.39,94.2,0.0,0.0,0.0,373.32,4.63,49.0,913.62,
2005,1,2,1,20.14,94.65,0.0,0.0,0.0,374.53,4.34,43.0,913.41,
2005,1,2,2,19.9,95.09,0.0,0.0,0.0,375.75,4.06,36.0,913.2,
2005,1,2,3,19.86,94.82,0.0,0.0,0.0,374.02,3.96,33.0,913.29,
2005,1,2,4,19.81,94.56,0.0,0.0,0.0,372.28,3.87,30.0,913.38,
2005,1,2,5,19.77,94.29,0.0,0.0,0.0,370.55,3.78,27.0,913.47,
2005,1,2,6,20.9,88.7,1.0,9.66,0.0,371.42,3.97,27.0,913.62,
2005,1,2,7,22.03,83.11,135.0,117.07,98.0,372.28,4.16,26.0,913.77,
2005,1,2,8,23.15,77.52,417.0,614.12,98.0,373.15,4.34,26.0,913.92,
2005,1,2,9,24.52,70.91,283.0,18.58,270.0,382.25,4.19,24.0,913.41,
2005,1,2,10,25.89,64.3,574.0,197.66,407.0,391.35,4.04,23.0,912.9,
2005,1,2,11,27.26,57.69,862.0,550.42,342.0,400.45,3.89,22.0,912.39,
2005,1,2,12,27.47,56.18,1108.0,1026.59,89.0,406.93,3.93,29.0,911.67,
2005,1,2,13,27.68,54.66,989.0,663.82,335.0,413.42,3.96,36.0,910.95,
2005,1,2,14,27.89,53.15,987.0,784.35,263.0,419.9,4.0,44.0,910.24,
2005,1,2,15,27.28,55.65,807.0,576.27,340.0,415.03,4.13,47.0,910.09,
2005,1,2,16,26.67,58.14,401.0,65.66,358.0,410.17,4.27,50.0,909.94,
2005,1,2,17,26.06,60.64,270.0,42.82,250.0,405.3,4.4,53.0,909.79,
2005,1,2,18,25.11,65.42,30.0,0.0,30.0,399.15,4.57,52.0,910.71,
2005,1,2,19,24.16,70.21,9.0,0.0,9.0,393.0,4.75,52.0,911.64,
2005,1,2,20,23.21,74.99,0.0,0.0,0.0,386.85,4.92,51.0,912.57,
2005,1,2,21,22.07,80.84,0.0,0.0,0.0,385.75,5.02,43.0,912.87,
2005,1,2,22,20.93,86.69,0.0,0.0,0.0,384.65,5.11,35.0,913.17,
2005,1,2,23,19.8,92.54,0.0,0.0,0.0,383.55,5.2,28.0,913.47,
2005,1,3,0,19.55,92.76,0.0,0.0,0.0,380.63,5.01,25.0,912.96,
2005,1,3,1,19.3,92.97,0.0,0.0,0.0,377.72,4.82,22.0,912.45,
2005,1,3,2,19.05,93.19,0.0,0.0,0.0,374.8,4.63,19.0,911.94,
2005,1,3,3,18.89,92.63,0.0,0.0,0.0,371.08,4.36,17.0,911.85,
