Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,1179,Piracicaba,BRA,Brazil,-22.7099975395,-47.6399967871,-3,533.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2012,1,1,0,20.89,97.78,0.0,0.0,0.0,404.43,1.39,334.0,945.94,
2012,1,1,1,20.4,100.0,0.0,0.0,0.0,404.92,1.45,336.0,945.5,
2012,1,1,2,19.9,100.0,0.0,0.0,0.0,405.42,1.5,337.0,945.07,
2012,1,1,3,19.41,100.0,0.0,0.0,0.0,405.91,1.56,338.0,945.22,
2012,1,1,4,18.91,100.0,0.0,0.0,0.0,406.41,1.61,338.0,945.38,
2012,1,1,5,20.37,100.0,0.0,0.0,0.0,397.1,1.27,339.0,945.53,
2012,1,1,6,20.65,99.71,7.0,0.0,7.0,397.15,2.01,333.0,945.79,
2012,1,1,7,20.93,99.42,101.0,3.0,100.0,397.2,2.76,327.0,946.04,
2012,1,1,8,21.21,99.13,87.0,0.0,87.0,397.25,3.5,321.0,946.29,
2012,1,1,9,22.0,99.23,495.0,172.8,370.0,399.08,3.6,309.0,945.63,
2012,1,1,10,22.79,99.33,286.0,0.0,286.0,400.92,3.7,298.0,944.97,
2012,1,1,11,23.58,99.43,136.0,0.0,136.0,402.75,3.79,286.0,944.31,
2012,1,1,12,23.58,99.26,145.0,0.0,145.0,405.9,3.41,266.0,943.75,
2012,1,1,13,23.59,99.08,152.0,0.0,152.0,409.05,3.02,245.0,943.19,
2012,1,1,14,23.59,98.91,131.0,0.0,131.0,412.2,2.63,224.0,942.63,
2012,1,1,15,23.06,97.86,215.0,0.0,215.0,412.45,2.39,213.0,942.63,
2012,1,1,16,22.52,96.81,55.0,0.0,55.0,412.7,2.15,202.0,942.63,
2012,1,1,17,21.98,95.76,34.0,0.0,34.0,412.95,1.9,192.0,942.63,
2012,1,1,18,21.19,95.61,13.0,0.0,13.0,407.57,2.21,186.0,943.5,
2012,1,1,19,20.4,95.46,0.0,0.0,0.0,402.18,2.52,181.0,944.38,
2012,1,1,20,19.61,95.31,0.0,0.0,0.0,396.8,2.83,176.0,945.25,
2012,1,1,21,19.23,93.91,0.0,0.0,0.0,394.5,2.73,175.0,945.38,
2012,1,1,22,18.86,92.5,0.0,0.0,0.0,392.2,2.63,173.0,945.5,
2012,1,1,23,18.49,91.1,0.0,0.0,0.0,389.9,2.54,172.0,945.63,
2012,1,2,0,18.44,90.79,0.0,0.0,0.0,388.98,2.59,172.0,945.19,
2012,1,2,1,18.39,90.49,0.0,0.0,0.0,388.07,2.65,172.0,944.75,
2012,1,2,2,18.34,90.18,0.0,0.0,0.0,387.15,2.7,172.0,944.31,
2012,1,2,3,18.27,90.33,0.0,0.0,0.0,388.6,2.87,171.0,944.44,
2012,1,2,4,18.2,90.48,0.0,0.0,0.0,390.05,3.03,170.0,944.57,
2012,1,2,5,18.13,90.63,0.0,0.0,0.0,391.5,3.2,169.0,944.69,
2012,1,2,6,18.65,87.71,68.0,254.33,40.0,391.08,3.36,167.0,945.16,
2012,1,2,7,19.17,84.8,291.0,588.92,96.0,390.67,3.52,166.0,945.63,
2012,1,2,8,19.69,81.88,532.0,757.66,123.0,390.25,3.68,164.0,946.1,
2012,1,2,9,21.17,76.66,746.0,828.27,148.0,382.83,3.06,217.0,945.72,
2012,1,2,10,22.64,71.45,817.0,575.59,319.0,375.42,2.44,270.0,945.35,
2012,1,2,11,24.12,66.23,872.0,486.61,405.0,368.0,1.82,322.0,944.97,
2012,1,2,12,24.62,64.34,958.0,587.57,371.0,369.02,2.1,275.0,944.38,
2012,1,2,13,25.12,62.44,915.0,535.42,390.0,370.03,2.38,227.0,943.78,
2012,1,2,14,25.62,60.55,869.0,607.41,319.0,371.05,2.66,179.0,943.19,
2012,1,2,15,25.27,59.93,762.0,677.83,234.0,371.22,3.0,169.0,943.19,
2012,1,2,16,24.91,59.3,589.0,695.55,165.0,371.38,3.34,159.0,943.19,
2012,1,2,17,24.55,58.68,371.0,630.91,113.0,371.55,3.68,149.0,943.19,
2012,1,2,18,23.39,62.79,142.0,414.37,63.0,369.48,3.61,143.0,944.19,
2012,1,2,19,22.23,66.9,0.0,0.0,0.0,367.42,3.54,136.0,945.19,
2012,1,2,20,21.07,71.01,0.0,0.0,0.0,365.35,3.46,130.0,946.19,
2012,1,2,21,20.27,76.73,0.0,0.0,0.0,357.52,3.13,122.0,946.57,
2012,1,2,22,19.48,82.45,0.0,0.0,0.0,349.68,2.79,115.0,946.94,
2012,1,2,23,18.69,88.17,0.0,0.0,0.0,341.85,2.46,107.0,947.32,
2012,1,3,0,18.21,90.88,0.0,0.0,0.0,338.8,2.33,111.0,947.1,
2012,1,3,1,17.73,93.59,0.0,0.0,0.0,335.75,2.2,115.0,946.88,
2012,1,3,2,17.25,96.3,0.0,0.0,0.0,332.7,2.07,120.0,946.66,
2012,1,3,3,16.98,97.53,0.0,0.0,0.0,330.13,1.9,132.0,947.07,
2012,1,3,4,16.7,98.77,0.0,0.0,0.0,327.57,1.73,144.0,947.47,
2012,1,3,5,16.43,100.0,0.0,0.0,0.0,325.0,1.56,155.0,947.88,
2012,1,3,6,18.55,91.93,66.0,241.08,40.0,335.33,1.26,153.0,948.38,
2012,1,3,7,20.66,83.86,287.0,574.37,98.0,345.67,0.97,150.0,948.88,
2012,1,3,8,22.77,75.79,541.0,810.33,105.0,356.0,0.68,147.0,949.38,
2012,1,3,9,24.52,70.49,764.0,903.43,113.0,356.92,1.02,181.0,948.98,
2012,1,3,10,26.28,65.19,944.0,959.24,115.0,357.83,1.36,215.0,948.57,
2012,1,3,11,28.03,59.89,1054.0,957.08,136.0,358.75,1.7,249.0,948.16,
2012,1,3,12,28.5,57.91,924.0,515.53,409.0,367.7,1.89,242.0,947.69,
2012,1,3,13,28.97,55.94,1047.0,865.55,198.0,376.65,2.08,235.0,947.22,
2012,1,3,14,29.44,53.96,965.0,875.11,172.0,385.6,2.28,227.0,946.75,
2012,1,3,15,29.06,54.09,835.0,924.47,114.0,384.28,1.85,205.0,946.66,
2012,1,3,16,28.67,54.21,631.0,874.4,97.0,382.97,1.42,182.0,946.57,
2012,1,3,17,28.28,54.34,392.0,751.06,84.0,381.65,0.99,160.0,946.47,
2012,1,3,18,26.67,61.16,143.0,417.24,63.0,373.83,1.31,149.0,947.16,
2012,1,3,19,25.05,67.99,0.0,0.0,0.0,366.02,1.63,138.0,947.85,
2012,1,3,20,23.44,74.81,0.0,0.0,0.0,358.2,1.94,128.0,948.54,
2012,1,3,21,22.91,75.93,0.0,0.0,0.0,356.9,2.68,124.0,948.63,
2012,1,3,22,22.38,77.05,0.0,0.0,0.0,355.6,3.42,121.0,948.73,
2012,1,3,23,21.86,78.17,0.0,0.0,0.0,354.3,4.15,117.0,948.82,
2012,1,4,0,21.4,80.6,0.0,0.0,0.0,356.28,3.51,116.0,948.69,
2012,1,4,1,20.95,83.02,0.0,0.0,0.0,358.27,2.87,114.0,948.57,
