Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,3056,Porto Seguro,BRA,Brazil,-16.4296056937,-39.0800283219,-3,37.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2011,1,1,0,23.64,0.5,0.0,0.0,0.0,413.96,4.72,32.0,1007.14,
2011,1,1,1,23.56,0.5,0.0,0.0,0.0,412.46,4.76,30.0,1006.71,
2011,1,1,2,23.47,0.5,0.0,0.0,0.0,410.97,4.8,29.0,1006.27,
2011,1,1,3,23.38,0.5,0.0,0.0,0.0,409.48,4.85,31.0,1006.61,
2011,1,1,4,23.3,0.5,0.0,0.0,0.0,407.99,4.89,33.0,1006.94,
2011,1,1,5,23.56,81.92,0.0,0.0,0.0,404.15,5.53,35.0,1007.27,
2011,1,1,6,23.79,82.33,102.0,164.43,71.0,404.07,5.14,36.0,1007.6,
2011,1,1,7,24.01,82.74,283.0,266.04,173.0,403.98,4.76,37.0,1007.93,
2011,1,1,8,24.24,83.15,464.0,305.93,275.0,403.9,4.37,39.0,1008.27,
2011,1,1,9,24.49,81.66,390.0,45.71,354.0,403.05,4.29,39.0,1008.03,
2011,1,1,10,24.73,80.17,605.0,133.9,483.0,402.2,4.21,39.0,1007.8,
2011,1,1,11,24.98,78.68,871.0,419.31,460.0,401.35,4.12,39.0,1007.57,
2011,1,1,12,24.88,76.89,1056.0,916.19,149.0,401.88,4.67,39.0,1006.94,
2011,1,1,13,24.78,75.11,995.0,903.37,146.0,402.42,5.21,38.0,1006.31,
2011,1,1,14,24.67,73.32,753.0,504.1,333.0,402.95,5.75,37.0,1005.68,
2011,1,1,15,24.31,72.97,675.0,807.67,128.0,401.47,5.54,36.0,1005.68,
2011,1,1,16,23.95,72.63,447.0,700.18,109.0,399.98,5.33,34.0,1005.68,
2011,1,1,17,23.59,72.28,172.0,292.95,95.0,398.5,5.12,32.0,1005.68,
2011,1,1,18,23.51,72.87,0.0,0.0,0.0,399.13,5.54,33.0,1006.17,
2011,1,1,19,23.43,73.45,0.0,0.0,0.0,399.77,5.96,34.0,1006.67,
2011,1,1,20,23.34,74.04,0.0,0.0,0.0,400.4,6.39,35.0,1007.17,
2011,1,1,21,23.13,75.02,0.0,0.0,0.0,399.27,6.34,39.0,1007.04,
2011,1,1,22,22.92,76.01,0.0,0.0,0.0,398.13,6.29,44.0,1006.9,
2011,1,1,23,22.7,76.99,0.0,0.0,0.0,397.0,6.23,49.0,1006.77,
2011,1,2,0,22.69,77.47,0.0,0.0,0.0,398.57,5.84,47.0,1006.27,
2011,1,2,1,22.67,77.94,0.0,0.0,0.0,400.13,5.44,46.0,1005.78,
2011,1,2,2,22.65,78.42,0.0,0.0,0.0,401.7,5.05,44.0,1005.28,
2011,1,2,3,22.79,78.64,0.0,0.0,0.0,401.57,5.09,43.0,1005.61,
2011,1,2,4,22.92,78.86,0.0,0.0,0.0,401.43,5.14,43.0,1005.94,
2011,1,2,5,23.05,79.08,0.0,0.0,0.0,401.3,5.19,42.0,1006.27,
2011,1,2,6,23.61,78.72,132.0,391.48,59.0,402.42,5.15,43.0,1006.67,
2011,1,2,7,24.18,78.37,368.0,660.74,96.0,403.53,5.12,43.0,1007.07,
2011,1,2,8,24.74,78.01,348.0,98.98,287.0,404.65,5.09,43.0,1007.47,
2011,1,2,9,25.62,75.37,807.0,858.28,132.0,403.95,5.35,40.0,1007.17,
2011,1,2,10,26.51,72.72,958.0,896.19,142.0,403.25,5.6,36.0,1006.87,
2011,1,2,11,27.39,70.08,1043.0,914.25,147.0,402.55,5.86,33.0,1006.57,
2011,1,2,12,27.2,69.32,946.0,489.76,461.0,402.53,5.94,35.0,1005.88,
2011,1,2,13,27.01,68.56,867.0,483.76,412.0,402.52,6.01,37.0,1005.18,
2011,1,2,14,26.82,67.8,752.0,498.67,336.0,402.5,6.08,39.0,1004.48,
