Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,2999,Uruara,BRA,Brazil,-3.82959959017,-54.0299943457,-3,176.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2010,1,1,0,24.04,96.93,0.0,0.0,0.0,419.48,1.34,66.0,991.22,
2010,1,1,1,23.69,96.89,0.0,0.0,0.0,417.6,1.34,64.0,990.6,
2010,1,1,2,23.33,96.85,0.0,0.0,0.0,415.73,1.35,62.0,989.98,
2010,1,1,3,22.98,96.82,0.0,0.0,0.0,413.86,1.36,49.0,989.85,
2010,1,1,4,22.63,96.78,0.0,0.0,0.0,411.98,1.36,35.0,989.72,
2010,1,1,5,22.88,99.5,0.0,0.0,0.0,423.1,2.3,22.0,989.59,
2010,1,1,6,23.34,99.13,0.0,0.0,0.0,424.67,2.19,22.0,990.38,
2010,1,1,7,23.8,98.75,2.0,0.0,2.0,426.23,2.08,22.0,991.16,
2010,1,1,8,24.26,98.38,18.0,0.0,18.0,427.8,1.97,22.0,991.94,
2010,1,1,9,25.39,98.51,247.0,36.07,227.0,427.18,2.43,20.0,991.48,
2010,1,1,10,26.52,98.63,230.0,10.95,222.0,426.57,2.89,18.0,991.03,
2010,1,1,11,27.66,98.76,209.0,9.31,201.0,425.95,3.35,16.0,990.57,
2010,1,1,12,27.94,97.77,751.0,284.68,486.0,431.7,2.8,16.0,989.43,
2010,1,1,13,28.23,96.78,297.0,14.88,283.0,437.45,2.26,15.0,988.29,
2010,1,1,14,28.52,95.79,267.0,12.38,256.0,443.2,1.71,15.0,987.14,
2010,1,1,15,27.64,96.95,312.0,21.87,295.0,440.2,1.44,19.0,987.05,
2010,1,1,16,26.75,98.1,346.0,97.56,286.0,437.2,1.17,24.0,986.95,
2010,1,1,17,25.87,99.26,6.0,0.0,6.0,434.2,0.9,28.0,986.85,
2010,1,1,18,25.5,99.2,2.0,0.0,2.0,432.52,0.86,32.0,987.73,
2010,1,1,19,25.13,99.13,0.0,0.0,0.0,430.83,0.83,35.0,988.61,
2010,1,1,20,24.76,99.07,0.0,0.0,0.0,429.15,0.8,39.0,989.49,
2010,1,1,21,24.32,98.56,0.0,0.0,0.0,428.07,0.92,59.0,989.98,
2010,1,1,22,23.88,98.06,0.0,0.0,0.0,426.98,1.04,78.0,990.47,
2010,1,1,23,23.44,97.55,0.0,0.0,0.0,425.9,1.16,98.0,990.96,
2010,1,2,0,23.38,98.01,0.0,0.0,0.0,428.5,0.85,89.0,990.24,
2010,1,2,1,23.33,98.47,0.0,0.0,0.0,431.1,0.53,80.0,989.53,
2010,1,2,2,23.27,98.93,0.0,0.0,0.0,433.7,0.22,70.0,988.81,
2010,1,2,3,23.13,98.89,0.0,0.0,0.0,433.1,0.39,58.0,988.78,
2010,1,2,4,22.98,98.86,0.0,0.0,0.0,432.5,0.56,45.0,988.74,
2010,1,2,5,22.84,98.82,0.0,0.0,0.0,431.9,0.73,32.0,988.71,
2010,1,2,6,23.27,99.09,0.0,0.0,0.0,431.8,1.43,29.0,989.49,
2010,1,2,7,23.7,99.35,1.0,0.0,1.0,431.7,2.13,25.0,990.28,
2010,1,2,8,24.13,99.62,155.0,55.82,136.0,431.6,2.83,22.0,991.06,
2010,1,2,9,25.25,99.17,251.0,39.77,229.0,429.55,3.03,36.0,990.9,
2010,1,2,10,26.38,98.71,541.0,245.19,362.0,427.5,3.23,50.0,990.73,
2010,1,2,11,27.51,98.26,358.0,24.45,337.0,425.45,3.43,63.0,990.57,
2010,1,2,12,27.55,98.07,593.0,110.63,490.0,427.6,3.27,60.0,989.49,
2010,1,2,13,27.59,97.87,777.0,310.15,485.0,429.75,3.1,58.0,988.42,
2010,1,2,14,27.64,97.68,929.0,908.34,121.0,431.9,2.94,55.0,987.34,
2010,1,2,15,26.99,97.87,540.0,186.2,395.0,429.87,2.82,57.0,987.11,
2010,1,2,16,26.35,98.07,527.0,475.15,234.0,427.83,2.7,60.0,986.88,
2010,1,2,17,25.7,98.26,305.0,357.22,157.0,425.8,2.58,63.0,986.65,
2010,1,2,18,25.25,98.45,82.0,43.12,74.0,424.95,2.28,69.0,987.44,
2010,1,2,19,24.81,98.65,0.0,0.0,0.0,424.1,1.97,74.0,988.22,
2010,1,2,20,24.36,98.84,0.0,0.0,0.0,423.25,1.67,80.0,989.0,
