Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,371,Montana,BGR,Bulgaria,43.4140020261,23.2370016134,2,141.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2006,1,1,0,-1.3,84.24,0.0,0.0,0.0,213.61,1.4,230.0,1005.46,
2006,1,1,1,-0.63,83.61,0.0,0.0,0.0,217.96,1.55,233.0,1005.33,
2006,1,1,2,0.04,82.98,0.0,0.0,0.0,222.31,1.71,201.0,1003.16,
2006,1,1,3,0.71,82.35,0.0,0.0,0.0,226.66,1.86,199.0,1002.87,
2006,1,1,4,1.38,81.73,0.0,0.0,0.0,231.01,2.02,196.0,1002.57,
2006,1,1,5,2.05,81.1,0.0,0.0,0.0,235.36,2.17,195.0,1002.38,
2006,1,1,6,2.72,80.47,0.0,0.0,0.0,239.7,2.33,194.0,1002.18,
2006,1,1,7,3.39,79.84,0.0,0.0,0.0,244.05,2.48,193.0,1001.98,
2006,1,1,8,4.06,79.21,0.0,0.0,0.0,248.4,2.64,193.0,1002.01,
2006,1,1,9,4.73,78.58,38.0,0.0,38.0,252.75,2.79,193.0,1002.05,
2006,1,1,10,5.59,77.76,160.35,236.76,94.3,262.1,3.02,193.0,1002.08,
2006,1,1,11,6.0,76.57,170.0,33.37,158.0,269.23,2.9,191.0,1001.56,
2006,1,1,12,6.41,75.37,209.0,55.36,187.0,276.37,2.77,190.0,1001.03,
2006,1,1,13,6.81,74.18,71.0,0.0,71.0,283.5,2.65,188.0,1000.51,
2006,1,1,14,6.44,75.82,101.0,0.0,101.0,277.75,2.43,186.0,1000.38,
2006,1,1,15,6.07,77.46,91.0,12.31,88.0,272.0,2.21,185.0,1000.24,
2006,1,1,16,5.69,79.1,41.0,17.39,39.0,266.25,1.99,183.0,1000.11,
2006,1,1,17,5.15,83.01,0.0,0.0,0.0,263.68,2.04,184.0,999.95,
2006,1,1,18,4.6,86.91,0.0,0.0,0.0,261.12,2.09,185.0,999.79,
2006,1,1,19,4.05,90.82,0.0,0.0,0.0,258.55,2.14,186.0,999.62,
2006,1,1,20,3.86,92.1,0.0,0.0,0.0,252.67,2.23,189.0,999.59,
2006,1,1,21,3.67,93.39,0.0,0.0,0.0,246.78,2.33,191.0,999.56,
2006,1,1,22,3.48,94.67,0.0,0.0,0.0,240.9,2.43,193.0,999.52,
2006,1,1,23,3.6,95.05,0.0,0.0,0.0,240.77,2.43,194.0,999.46,
2006,1,2,0,3.73,95.44,0.0,0.0,0.0,240.63,2.44,195.0,999.39,
2006,1,2,1,3.85,95.82,0.0,0.0,0.0,240.5,2.44,196.0,999.33,
2006,1,2,2,4.14,94.05,0.0,0.0,0.0,242.62,2.51,195.0,999.03,
2006,1,2,3,4.43,92.29,0.0,0.0,0.0,244.73,2.58,194.0,998.74,
2006,1,2,4,4.72,90.52,0.0,0.0,0.0,246.85,2.65,193.0,998.44,
2006,1,2,5,4.91,91.17,0.0,0.0,0.0,248.58,2.68,191.0,998.21,
2006,1,2,6,5.1,91.83,0.0,0.0,0.0,250.32,2.71,190.0,997.98,
2006,1,2,7,5.29,92.48,0.0,0.0,0.0,252.05,2.74,189.0,997.75,
2006,1,2,8,6.22,89.28,0.0,0.0,0.0,258.57,3.02,185.0,997.65,
2006,1,2,9,7.16,86.09,45.0,0.0,45.0,265.08,3.29,181.0,997.56,
2006,1,2,10,8.09,82.89,151.6,230.21,87.25,271.6,3.56,177.0,997.46,
2006,1,2,11,8.45,82.74,35.0,0.0,35.0,280.58,3.69,170.0,996.87,
2006,1,2,12,8.81,82.59,57.0,0.0,57.0,289.57,3.83,162.0,996.28,
2006,1,2,13,9.16,82.44,95.0,0.0,95.0,298.55,3.96,155.0,995.69,
2006,1,2,14,8.32,85.61,65.0,0.0,65.0,300.98,3.49,160.0,996.15,
2006,1,2,15,7.48,88.77,31.0,0.0,31.0,303.42,3.03,164.0,996.61,
2006,1,2,16,6.63,91.94,29.0,0.0,29.0,305.85,2.57,168.0,997.06,
2006,1,2,17,6.55,92.87,0.0,0.0,0.0,309.68,2.44,172.0,997.1,
2006,1,2,18,6.47,93.8,0.0,0.0,0.0,313.52,2.31,176.0,997.13,
2006,1,2,19,6.39,94.73,0.0,0.0,0.0,317.35,2.18,180.0,997.16,
2006,1,2,20,6.15,95.14,0.0,0.0,0.0,317.5,2.03,185.0,997.36,
2006,1,2,21,5.91,95.56,0.0,0.0,0.0,317.65,1.89,190.0,997.56,
2006,1,2,22,5.67,95.97,0.0,0.0,0.0,317.8,1.74,196.0,997.75,
2006,1,2,23,5.54,96.17,0.0,0.0,0.0,318.13,1.61,202.0,997.92,
2006,1,3,0,5.42,96.37,0.0,0.0,0.0,318.47,1.49,208.0,998.08,
2006,1,3,1,5.29,96.57,0.0,0.0,0.0,318.8,1.37,213.0,998.24,
