Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,1226,Vratsa,BGR,Bulgaria,43.2099839468,23.5625304756,2,354.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2006,1,1,0,4.76,82.44,0.0,0.0,0.0,255.08,4.06,228.0,950.43,
2006,1,1,1,4.2,82.11,0.0,0.0,0.0,253.35,3.76,230.0,950.2,
2006,1,1,2,3.65,81.77,0.0,0.0,0.0,251.61,3.46,201.0,978.01,
2006,1,1,3,3.1,81.43,0.0,0.0,0.0,249.87,3.17,199.0,977.72,
2006,1,1,4,2.54,81.1,0.0,0.0,0.0,248.13,2.87,196.0,977.43,
2006,1,1,5,1.99,80.76,0.0,0.0,0.0,246.4,2.57,195.0,977.24,
2006,1,1,6,1.44,80.42,0.0,0.0,0.0,244.66,2.27,194.0,977.05,
2006,1,1,7,0.89,80.09,0.0,0.0,0.0,242.92,1.97,193.0,976.86,
2006,1,1,8,0.33,79.75,0.0,0.0,0.0,241.18,1.68,193.0,976.89,
2006,1,1,9,-0.22,79.42,31.0,0.0,31.0,239.45,1.38,193.0,976.92,
2006,1,1,10,4.08,77.76,183.05,298.43,98.3,262.1,2.62,193.0,976.95,
2006,1,1,11,4.69,76.57,209.0,87.91,177.0,269.23,2.48,191.0,976.44,
2006,1,1,12,5.31,75.37,261.0,149.63,201.0,276.37,2.34,190.0,975.93,
2006,1,1,13,5.92,74.18,243.0,122.32,195.0,283.5,2.21,188.0,975.42,
2006,1,1,14,5.32,75.82,245.0,244.94,162.0,277.75,2.09,186.0,975.29,
2006,1,1,15,4.71,77.46,44.0,0.0,44.0,272.0,1.97,185.0,975.16,
2006,1,1,16,4.11,79.1,41.0,0.0,41.0,266.25,1.85,183.0,975.04,
2006,1,1,17,3.46,83.01,0.0,0.0,0.0,263.68,1.87,184.0,974.88,
2006,1,1,18,2.81,86.91,0.0,0.0,0.0,261.12,1.89,185.0,974.72,
2006,1,1,19,2.16,90.82,0.0,0.0,0.0,258.55,1.9,186.0,974.56,
2006,1,1,20,1.77,92.1,0.0,0.0,0.0,252.67,2.0,189.0,974.52,
2006,1,1,21,1.37,93.39,0.0,0.0,0.0,246.78,2.09,191.0,974.49,
2006,1,1,22,0.97,94.67,0.0,0.0,0.0,240.9,2.18,193.0,974.46,
2006,1,1,23,0.87,95.05,0.0,0.0,0.0,240.77,2.23,194.0,974.4,
2006,1,2,0,0.77,95.44,0.0,0.0,0.0,240.63,2.27,195.0,974.33,
2006,1,2,1,0.67,95.82,0.0,0.0,0.0,240.5,2.32,196.0,974.27,
2006,1,2,2,1.04,94.05,0.0,0.0,0.0,242.62,2.37,195.0,973.98,
2006,1,2,3,1.4,92.29,0.0,0.0,0.0,244.73,2.43,194.0,973.69,
2006,1,2,4,1.76,90.52,0.0,0.0,0.0,246.85,2.48,193.0,973.41,
2006,1,2,5,1.81,91.17,0.0,0.0,0.0,248.58,2.51,191.0,973.18,
2006,1,2,6,1.85,91.83,0.0,0.0,0.0,250.32,2.54,190.0,972.96,
2006,1,2,7,1.89,92.48,0.0,0.0,0.0,252.05,2.57,189.0,972.73,
2006,1,2,8,3.33,89.28,0.0,0.0,0.0,258.57,2.67,185.0,972.64,
2006,1,2,9,4.77,86.09,60.0,12.01,58.0,265.08,2.77,181.0,972.54,
2006,1,2,10,6.21,82.89,172.85,272.55,95.3,271.6,2.87,177.0,972.45,
2006,1,2,11,6.77,82.74,50.0,0.0,50.0,280.58,2.9,170.0,971.87,
2006,1,2,12,7.34,82.59,73.0,0.0,73.0,289.57,2.92,162.0,971.3,
2006,1,2,13,7.9,82.44,74.0,0.0,74.0,298.55,2.95,155.0,970.72,
2006,1,2,14,6.73,85.61,64.0,0.0,64.0,300.98,2.64,160.0,971.17,
2006,1,2,15,5.56,88.77,35.0,0.0,35.0,303.42,2.33,164.0,971.62,
2006,1,2,16,4.39,91.94,36.0,0.0,36.0,305.85,2.01,168.0,972.06,
2006,1,2,17,4.3,92.87,0.0,0.0,0.0,309.68,1.91,172.0,972.1,
2006,1,2,18,4.2,93.8,0.0,0.0,0.0,313.52,1.81,176.0,972.13,
2006,1,2,19,4.1,94.73,0.0,0.0,0.0,317.35,1.71,180.0,972.16,
2006,1,2,20,3.83,95.14,0.0,0.0,0.0,317.5,1.65,185.0,972.35,
2006,1,2,21,3.55,95.56,0.0,0.0,0.0,317.65,1.58,190.0,972.54,
2006,1,2,22,3.28,95.97,0.0,0.0,0.0,317.8,1.52,196.0,972.73,
2006,1,2,23,3.1,96.17,0.0,0.0,0.0,318.13,1.44,202.0,972.89,
2006,1,3,0,2.92,96.37,0.0,0.0,0.0,318.47,1.36,208.0,973.05,
2006,1,3,1,2.74,96.57,0.0,0.0,0.0,318.8,1.28,213.0,973.21,
2006,1,3,2,2.36,96.18,0.0,0.0,0.0,316.02,1.12,218.0,973.85,
2006,1,3,3,1.98,95.78,0.0,0.0,0.0,313.23,0.96,222.0,974.49,
2006,1,3,4,1.59,95.39,0.0,0.0,0.0,310.45,0.8,227.0,975.13,
2006,1,3,5,1.56,95.06,0.0,0.0,0.0,309.92,0.73,230.0,975.1,
2006,1,3,6,1.52,94.73,0.0,0.0,0.0,309.38,0.66,234.0,975.07,
2006,1,3,7,1.48,94.4,0.0,0.0,0.0,308.85,0.59,238.0,975.04,
2006,1,3,8,2.9,93.1,0.0,0.0,0.0,310.92,0.63,264.0,975.23,
2006,1,3,9,4.32,91.8,28.0,0.0,28.0,312.98,0.67,291.0,975.42,
2006,1,3,10,5.74,90.5,159.2,236.68,91.7,315.05,0.7,317.0,975.61,
2006,1,3,11,5.69,90.49,96.0,0.0,96.0,317.97,0.89,325.0,975.48,
2006,1,3,12,5.64,90.49,46.0,0.0,46.0,320.88,1.07,332.0,975.35,
2006,1,3,13,5.59,90.48,241.0,113.72,196.0,323.8,1.26,339.0,975.23,
2006,1,3,14,4.78,91.84,83.0,0.0,83.0,313.5,1.37,341.0,975.9,
2006,1,3,15,3.98,93.21,26.0,0.0,26.0,303.2,1.49,342.0,976.57,
2006,1,3,16,3.17,94.57,8.0,0.0,8.0,292.9,1.61,343.0,977.24,
2006,1,3,17,2.86,95.51,0.0,0.0,0.0,286.23,1.49,338.0,977.43,
2006,1,3,18,2.55,96.46,0.0,0.0,0.0,279.57,1.37,333.0,977.62,
2006,1,3,19,2.23,97.4,0.0,0.0,0.0,272.9,1.24,328.0,977.82,
2006,1,3,20,1.77,97.72,0.0,0.0,0.0,275.3,1.06,325.0,978.14,
2006,1,3,21,1.31,98.04,0.0,0.0,0.0,277.7,0.87,322.0,978.45,
2006,1,3,22,0.85,98.36,0.0,0.0,0.0,280.1,0.69,319.0,978.77,
2006,1,3,23,0.76,98.38,0.0,0.0,0.0,286.32,0.63,322.0,978.93,
2006,1,4,0,0.68,98.39,0.0,0.0,0.0,292.53,0.57,325.0,979.09,
2006,1,4,1,0.59,98.41,0.0,0.0,0.0,298.75,0.51,329.0,979.25,
2006,1,4,2,0.81,98.16,0.0,0.0,0.0,294.52,0.71,350.0,979.48,
2006,1,4,3,1.03,97.91,0.0,0.0,0.0,290.28,0.91,11.0,979.7,
2006,1,4,4,1.25,97.66,0.0,0.0,0.0,286.05,1.1,32.0,979.92,
2006,1,4,5,1.43,97.86,0.0,0.0,0.0,294.78,1.42,37.0,979.76,
2006,1,4,6,1.6,98.05,0.0,0.0,0.0,303.52,1.73,42.0,979.61,
2006,1,4,7,1.78,98.25,0.0,0.0,0.0,312.25,2.04,47.0,979.45,
2006,1,4,8,2.09,98.37,0.0,0.0,0.0,313.72,2.43,49.0,979.45,
2006,1,4,9,2.39,98.5,17.0,0.0,17.0,315.18,2.82,52.0,979.45,
2006,1,4,10,2.7,98.62,150.45,198.79,93.6,316.65,3.21,54.0,979.45,
2006,1,4,11,2.62,98.76,32.0,0.0,32.0,317.7,3.19,58.0,979.03,
2006,1,4,12,2.55,98.89,81.0,0.0,81.0,318.75,3.16,63.0,978.61,
2006,1,4,13,2.47,99.03,36.0,0.0,36.0,319.8,3.13,67.0,978.2,
2006,1,4,14,2.49,98.6,35.0,0.0,35.0,321.08,3.22,69.0,978.61,
2006,1,4,15,2.5,98.18,32.0,0.0,32.0,322.37,3.31,72.0,979.03,
2006,1,4,16,2.52,97.75,22.0,0.0,22.0,323.65,3.39,75.0,979.45,
2006,1,4,17,2.66,97.93,0.0,0.0,0.0,324.93,3.38,80.0,979.35,
2006,1,4,18,2.8,98.1,0.0,0.0,0.0,326.22,3.37,84.0,979.25,
2006,1,4,19,2.93,98.28,0.0,0.0,0.0,327.5,3.37,89.0,979.16,
2006,1,4,20,3.15,98.25,0.0,0.0,0.0,328.7,3.53,92.0,979.03,
2006,1,4,21,3.36,98.22,0.0,0.0,0.0,329.9,3.69,95.0,978.9,
2006,1,4,22,3.58,98.19,0.0,0.0,0.0,331.1,3.85,98.0,978.77,
2006,1,4,23,3.9,98.19,0.0,0.0,0.0,330.38,3.87,97.0,978.49,
2006,1,5,0,4.21,98.19,0.0,0.0,0.0,329.67,3.89,97.0,978.2,
2006,1,5,1,4.53,98.19,0.0,0.0,0.0,328.95,3.9,97.0,977.91,
2006,1,5,2,4.24,98.25,0.0,0.0,0.0,326.68,3.82,95.0,978.04,
2006,1,5,3,3.95,98.3,0.0,0.0,0.0,324.42,3.74,94.0,978.17,
2006,1,5,4,3.66,98.36,0.0,0.0,0.0,322.15,3.66,93.0,978.29,
2006,1,5,5,3.67,98.27,0.0,0.0,0.0,319.02,3.72,90.0,978.29,
2006,1,5,6,3.68,98.18,0.0,0.0,0.0,315.88,3.79,87.0,978.29,
2006,1,5,7,3.69,98.09,0.0,0.0,0.0,312.75,3.86,84.0,978.29,
2006,1,5,8,4.14,97.71,0.0,0.0,0.0,312.1,4.02,80.0,978.39,
2006,1,5,9,4.58,97.34,72.0,35.73,66.0,311.45,4.17,76.0,978.49,
2006,1,5,10,5.03,96.96,156.5,217.68,94.05,310.8,4.33,72.0,978.58,
2006,1,5,11,5.01,96.98,107.0,0.0,107.0,312.22,4.35,69.0,978.17,
2006,1,5,12,4.99,96.99,109.0,0.0,109.0,313.63,4.37,67.0,977.75,
2006,1,5,13,4.97,97.01,122.0,0.0,122.0,315.05,4.39,64.0,977.34,
2006,1,5,14,4.17,97.01,84.0,0.0,84.0,315.62,4.33,62.0,977.66,
2006,1,5,15,3.36,97.01,45.0,0.0,45.0,316.18,4.28,61.0,977.98,
2006,1,5,16,2.56,97.01,9.0,0.0,9.0,316.75,4.22,59.0,978.29,
2006,1,5,17,2.15,96.9,0.0,0.0,0.0,316.42,4.1,56.0,978.52,
2006,1,5,18,1.74,96.78,0.0,0.0,0.0,316.08,3.97,54.0,978.74,
2006,1,5,19,1.32,96.67,0.0,0.0,0.0,315.75,3.85,51.0,978.97,
2006,1,5,20,1.08,96.74,0.0,0.0,0.0,315.52,3.7,48.0,978.84,
2006,1,5,21,0.84,96.82,0.0,0.0,0.0,315.28,3.54,45.0,978.71,
2006,1,5,22,0.6,96.89,0.0,0.0,0.0,315.05,3.39,42.0,978.58,
2006,1,5,23,0.45,96.96,0.0,0.0,0.0,313.97,3.26,40.0,978.55,
2006,1,6,0,0.31,97.03,0.0,0.0,0.0,312.88,3.12,38.0,978.52,
2006,1,6,1,0.16,97.1,0.0,0.0,0.0,311.8,2.98,36.0,978.49,
2006,1,6,2,-0.07,97.22,0.0,0.0,0.0,309.6,2.89,34.0,978.55,
2006,1,6,3,-0.3,97.33,0.0,0.0,0.0,307.4,2.8,31.0,978.61,
2006,1,6,4,-0.53,97.45,0.0,0.0,0.0,305.2,2.72,28.0,978.68,
2006,1,6,5,-0.62,97.39,0.0,0.0,0.0,303.67,2.67,26.0,978.74,
2006,1,6,6,-0.72,97.34,0.0,0.0,0.0,302.13,2.63,25.0,978.81,
2006,1,6,7,-0.81,97.28,0.0,0.0,0.0,300.6,2.58,23.0,978.87,
2006,1,6,8,-0.57,96.97,0.0,0.0,0.0,299.95,2.57,23.0,979.25,
2006,1,6,9,-0.32,96.65,45.0,0.0,45.0,299.3,2.56,23.0,979.64,
2006,1,6,10,-0.08,96.34,149.5,182.52,96.95,298.65,2.55,24.0,980.02,
2006,1,6,11,-0.21,96.02,75.0,0.0,75.0,298.6,2.57,25.0,980.05,
2006,1,6,12,-0.33,95.69,71.0,0.0,71.0,298.55,2.59,27.0,980.08,
2006,1,6,13,-0.46,95.37,167.0,12.45,162.0,298.5,2.61,28.0,980.12,
2006,1,6,14,-0.62,95.42,92.0,0.0,92.0,297.82,2.6,29.0,980.47,
2006,1,6,15,-0.78,95.48,62.0,0.0,62.0,297.13,2.59,29.0,980.82,
2006,1,6,16,-0.94,95.53,32.0,0.0,32.0,296.45,2.58,29.0,981.17,
2006,1,6,17,-1.01,95.53,0.0,0.0,0.0,296.7,2.57,31.0,981.46,
2006,1,6,18,-1.09,95.52,0.0,0.0,0.0,296.95,2.56,33.0,981.75,
2006,1,6,19,-1.17,95.52,0.0,0.0,0.0,297.2,2.55,34.0,982.03,
2006,1,6,20,-1.28,95.83,0.0,0.0,0.0,296.12,2.58,34.0,982.32,
2006,1,6,21,-1.39,96.15,0.0,0.0,0.0,295.03,2.61,34.0,982.61,
