Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,388,Gorom Gorom,BFA,Burkina Faso,14.4500039837,-0.23329754642,0,273.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2010,1,1,0,18.44,15.03,0.0,0.0,0.0,305.78,4.15,64.0,981.25,
2010,1,1,1,17.92,15.6,0.0,0.0,0.0,303.67,4.24,63.0,980.99,
2010,1,1,2,17.4,16.17,0.0,0.0,0.0,301.56,4.32,62.0,980.74,
2010,1,1,3,16.89,16.73,0.0,0.0,0.0,299.45,4.4,62.0,980.86,
2010,1,1,4,16.37,17.3,0.0,0.0,0.0,297.34,4.49,63.0,980.99,
2010,1,1,5,15.85,17.87,0.0,0.0,0.0,295.23,4.57,63.0,981.12,
2010,1,1,6,15.33,18.44,0.0,0.0,0.0,293.12,4.65,67.0,981.74,
2010,1,1,7,14.82,19.0,111.0,398.06,53.0,291.01,4.74,72.0,982.35,
2010,1,1,8,22.25,14.01,347.0,670.65,106.0,298.6,5.41,76.0,982.96,
2010,1,1,9,24.54,12.18,562.0,767.72,146.0,305.88,5.82,80.0,982.45,
2010,1,1,10,26.83,10.34,730.0,821.09,171.0,313.17,6.23,83.0,981.93,
2010,1,1,11,29.12,8.51,862.0,939.09,142.0,320.45,6.65,87.0,981.41,
2010,1,1,12,29.73,8.0,910.0,1004.16,113.0,324.23,6.26,86.0,980.7,
2010,1,1,13,30.33,7.5,843.0,901.37,158.0,328.02,5.87,86.0,979.99,
2010,1,1,14,30.94,6.99,708.0,796.67,176.0,331.8,5.48,85.0,979.28,
2010,1,1,15,28.59,7.94,533.0,739.32,146.0,328.8,4.84,81.0,979.45,
2010,1,1,16,26.24,8.88,312.0,605.7,108.0,325.8,4.2,77.0,979.61,
2010,1,1,17,23.89,9.83,83.0,340.1,42.0,322.8,3.56,74.0,979.77,
2010,1,1,18,22.39,10.99,0.0,0.0,0.0,319.97,3.58,71.0,980.45,
2010,1,1,19,20.89,12.15,0.0,0.0,0.0,317.13,3.6,68.0,981.12,
2010,1,1,20,19.39,13.31,0.0,0.0,0.0,314.3,3.61,66.0,981.8,
2010,1,1,21,18.59,13.92,0.0,0.0,0.0,310.85,3.8,66.0,981.67,
2010,1,1,22,17.79,14.54,0.0,0.0,0.0,307.4,3.98,66.0,981.54,
2010,1,1,23,17.0,15.15,0.0,0.0,0.0,303.95,4.17,66.0,981.41,
2010,1,2,0,16.62,14.91,0.0,0.0,0.0,301.8,4.03,66.0,981.25,
2010,1,2,1,16.23,14.68,0.0,0.0,0.0,299.65,3.89,67.0,981.09,
2010,1,2,2,15.85,14.44,0.0,0.0,0.0,297.5,3.75,67.0,980.93,
2010,1,2,3,15.23,15.34,0.0,0.0,0.0,295.7,3.66,66.0,981.16,
2010,1,2,4,14.6,16.23,0.0,0.0,0.0,293.9,3.57,65.0,981.38,
2010,1,2,5,13.97,17.13,0.0,0.0,0.0,292.1,3.48,64.0,981.61,
2010,1,2,6,16.52,15.76,0.0,0.0,0.0,293.63,3.81,65.0,982.25,
2010,1,2,7,19.07,14.39,109.0,387.45,53.0,295.17,4.15,65.0,982.9,
2010,1,2,8,21.61,13.02,339.0,619.25,117.0,296.7,4.48,66.0,983.54,
2010,1,2,9,24.06,11.22,561.0,768.37,145.0,303.67,4.97,69.0,983.06,
2010,1,2,10,26.5,9.41,734.0,837.26,164.0,310.63,5.47,72.0,982.58,
2010,1,2,11,28.94,7.61,848.0,888.99,166.0,317.6,5.96,74.0,982.09,
2010,1,2,12,29.53,7.06,893.0,932.51,152.0,321.03,5.74,74.0,981.32,
2010,1,2,13,30.11,6.5,840.0,885.31,166.0,324.47,5.53,73.0,980.54,
2010,1,2,14,30.7,5.95,726.0,860.34,150.0,327.9,5.31,72.0,979.77,
2010,1,2,15,28.45,6.66,539.0,753.66,143.0,324.65,4.87,69.0,980.03,
2010,1,2,16,26.21,7.38,315.0,607.78,109.0,321.4,4.43,66.0,980.28,
2010,1,2,17,23.96,8.09,84.0,325.94,44.0,318.15,3.99,64.0,980.54,
2010,1,2,18,22.59,8.9,0.0,0.0,0.0,314.58,4.19,63.0,981.19,
2010,1,2,19,21.21,9.7,0.0,0.0,0.0,311.02,4.4,63.0,981.83,
2010,1,2,20,19.84,10.51,0.0,0.0,0.0,307.45,4.61,62.0,982.48,
2010,1,2,21,19.17,10.97,0.0,0.0,0.0,303.63,4.58,64.0,982.38,
2010,1,2,22,18.51,11.43,0.0,0.0,0.0,299.82,4.56,65.0,982.28,
2010,1,2,23,17.85,11.89,0.0,0.0,0.0,296.0,4.54,66.0,982.19,
2010,1,3,0,17.26,12.11,0.0,0.0,0.0,293.72,4.42,65.0,981.87,
2010,1,3,1,16.68,12.32,0.0,0.0,0.0,291.43,4.31,64.0,981.54,
2010,1,3,2,16.09,12.54,0.0,0.0,0.0,289.15,4.19,63.0,981.22,
2010,1,3,3,15.62,13.22,0.0,0.0,0.0,288.03,4.28,63.0,981.32,
2010,1,3,4,15.14,13.89,0.0,0.0,0.0,286.92,4.37,63.0,981.41,
2010,1,3,5,14.66,14.57,0.0,0.0,0.0,285.8,4.46,63.0,981.51,
2010,1,3,6,17.13,13.46,0.0,0.0,0.0,287.9,4.47,65.0,982.09,
2010,1,3,7,19.59,12.36,109.0,397.44,52.0,290.0,4.48,67.0,982.67,
2010,1,3,8,22.06,11.25,340.0,631.8,114.0,292.1,4.5,69.0,983.25,
2010,1,3,9,24.51,9.97,557.0,752.29,150.0,299.88,4.84,72.0,982.77,
2010,1,3,10,26.97,8.68,734.0,837.18,164.0,307.67,5.19,76.0,982.28,
2010,1,3,11,29.42,7.4,844.0,872.73,174.0,315.45,5.53,79.0,981.8,
2010,1,3,12,30.0,7.11,880.0,882.31,178.0,319.1,5.43,81.0,981.16,
2010,1,3,13,30.58,6.81,837.0,869.23,174.0,322.75,5.32,82.0,980.51,
2010,1,3,14,31.16,6.52,724.0,844.65,157.0,326.4,5.21,84.0,979.86,
2010,1,3,15,28.86,7.54,544.0,769.71,138.0,323.72,4.53,80.0,979.99,
2010,1,3,16,26.57,8.55,317.0,609.77,109.0,321.03,3.84,76.0,980.12,
2010,1,3,17,24.27,9.57,88.0,360.25,43.0,318.35,3.16,72.0,980.25,
2010,1,3,18,22.7,10.82,0.0,0.0,0.0,315.88,3.19,70.0,980.86,
2010,1,3,19,21.13,12.08,0.0,0.0,0.0,313.42,3.22,69.0,981.48,
2010,1,3,20,19.57,13.33,0.0,0.0,0.0,310.95,3.26,68.0,982.09,
2010,1,3,21,18.67,14.14,0.0,0.0,0.0,308.35,3.43,68.0,981.99,
2010,1,3,22,17.77,14.94,0.0,0.0,0.0,305.75,3.6,68.0,981.9,
2010,1,3,23,16.88,15.75,0.0,0.0,0.0,303.15,3.77,69.0,981.8,
2010,1,4,0,15.99,15.84,0.0,0.0,0.0,300.43,3.63,66.0,981.51,
2010,1,4,1,15.11,15.94,0.0,0.0,0.0,297.72,3.5,63.0,981.22,
2010,1,4,2,14.22,16.03,0.0,0.0,0.0,295.0,3.37,60.0,980.93,
2010,1,4,3,13.95,16.01,0.0,0.0,0.0,293.07,3.48,58.0,981.03,
2010,1,4,4,13.68,16.0,0.0,0.0,0.0,291.13,3.6,56.0,981.12,
2010,1,4,5,13.4,15.98,0.0,0.0,0.0,289.2,3.71,55.0,981.22,
2010,1,4,6,16.06,14.07,0.0,0.0,0.0,290.23,3.63,57.0,981.67,
2010,1,4,7,18.71,12.15,108.0,400.38,51.0,291.27,3.55,59.0,982.12,
2010,1,4,8,21.36,10.24,341.0,644.29,111.0,292.3,3.48,61.0,982.58,
2010,1,4,9,23.8,8.83,563.0,782.32,140.0,298.8,4.02,66.0,982.06,
2010,1,4,10,26.24,7.43,735.0,837.0,165.0,305.3,4.56,71.0,981.54,
