Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,354,Kampong Thum,KHM,Cambodia,12.7119961319,104.888997705,7,16.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2010,1,1,0,24.43,73.3,0.0,0.0,0.0,399.27,2.64,79.0,1010.48,
2010,1,1,1,25.0,71.72,0.0,0.0,0.0,398.69,2.75,79.0,1010.28,
2010,1,1,2,25.57,70.14,0.0,0.0,0.0,398.12,2.87,78.0,1010.08,
2010,1,1,3,26.15,68.56,0.0,0.0,0.0,397.54,2.99,77.0,1009.88,
2010,1,1,4,26.72,66.98,0.0,0.0,0.0,396.96,3.11,75.0,1010.21,
2010,1,1,5,27.29,65.4,0.0,0.0,0.0,396.38,3.23,73.0,1010.55,
2010,1,1,6,27.86,63.82,0.0,0.0,0.0,395.81,3.35,70.0,1010.88,
2010,1,1,7,28.43,62.24,56.1,161.49,43.85,395.23,3.47,86.0,1009.28,
2010,1,1,8,29.01,60.66,205.0,247.56,131.0,394.65,3.58,87.0,1009.68,
2010,1,1,9,29.58,59.08,449.0,568.83,167.0,394.07,3.7,87.0,1010.08,
2010,1,1,10,30.15,57.5,379.0,87.3,322.0,393.5,3.82,85.0,1009.18,
2010,1,1,11,30.72,55.92,489.0,130.3,390.0,392.92,3.94,83.0,1008.29,
2010,1,1,12,31.29,54.34,692.0,401.75,367.0,392.34,4.06,80.0,1007.39,
2010,1,1,13,31.87,52.76,742.0,550.71,303.0,391.76,4.18,78.0,1006.69,
2010,1,1,14,32.44,51.18,573.0,310.27,348.0,391.19,4.3,76.0,1005.99,
2010,1,1,15,33.4,45.37,500.0,409.76,255.0,404.0,3.38,74.0,1005.29,
2010,1,1,16,31.87,52.93,256.0,132.07,200.0,400.98,3.1,72.0,1005.92,
2010,1,1,17,30.35,60.49,99.0,60.35,86.0,397.97,2.83,70.0,1006.56,
2010,1,1,18,28.83,68.05,0.0,0.0,0.0,394.95,2.55,67.0,1007.19,
2010,1,1,19,27.99,70.08,0.0,0.0,0.0,392.38,2.66,69.0,1007.75,
2010,1,1,20,27.15,72.12,0.0,0.0,0.0,389.82,2.77,70.0,1008.32,
2010,1,1,21,26.31,74.15,0.0,0.0,0.0,387.25,2.88,72.0,1008.88,
2010,1,1,22,25.9,74.27,0.0,0.0,0.0,385.92,2.67,73.0,1008.82,
2010,1,1,23,25.49,74.4,0.0,0.0,0.0,384.58,2.45,75.0,1008.75,
2010,1,2,0,25.09,74.52,0.0,0.0,0.0,383.25,2.23,76.0,1008.68,
2010,1,2,1,24.49,75.2,0.0,0.0,0.0,381.35,2.52,78.0,1008.45,
2010,1,2,2,23.9,75.88,0.0,0.0,0.0,379.45,2.8,79.0,1008.22,
2010,1,2,3,23.31,76.56,0.0,0.0,0.0,377.55,3.09,81.0,1007.99,
2010,1,2,4,23.14,77.42,0.0,0.0,0.0,374.88,3.12,79.0,1008.45,
2010,1,2,5,22.97,78.29,0.0,0.0,0.0,372.22,3.14,77.0,1008.92,
2010,1,2,6,22.8,79.15,0.0,0.0,0.0,369.55,3.17,76.0,1009.38,
2010,1,2,7,24.99,73.11,12.0,0.0,12.0,373.45,3.38,77.0,1009.88,
2010,1,2,8,27.18,67.06,32.0,0.0,32.0,377.35,3.59,79.0,1010.38,
2010,1,2,9,29.37,61.02,257.0,60.59,227.0,381.25,3.79,81.0,1010.88,
2010,1,2,10,30.66,55.26,470.0,223.68,324.0,387.65,3.63,82.0,1010.02,
2010,1,2,11,31.96,49.49,642.0,390.78,345.0,394.05,3.47,83.0,1009.15,
2010,1,2,12,33.25,43.73,807.0,696.56,243.0,400.45,3.31,84.0,1008.29,
2010,1,2,13,33.26,42.94,788.0,678.91,246.0,403.6,3.15,82.0,1007.62,
2010,1,2,14,33.27,42.15,607.0,382.53,329.0,406.75,3.0,80.0,1006.95,
2010,1,2,15,33.28,41.36,540.0,533.53,220.0,409.9,2.84,78.0,1006.29,
2010,1,2,16,31.75,49.03,354.0,450.6,162.0,407.35,2.74,73.0,1006.89,
2010,1,2,17,30.22,56.7,151.0,298.8,86.0,404.8,2.65,68.0,1007.49,
2010,1,2,18,28.69,64.37,0.0,0.0,0.0,402.25,2.55,63.0,1008.09,
2010,1,2,19,28.18,66.02,0.0,0.0,0.0,397.82,2.42,70.0,1008.48,
2010,1,2,20,27.67,67.66,0.0,0.0,0.0,393.38,2.29,77.0,1008.88,
2010,1,2,21,27.16,69.31,0.0,0.0,0.0,388.95,2.15,84.0,1009.28,
2010,1,2,22,26.98,70.35,0.0,0.0,0.0,387.07,1.54,85.0,1009.15,
2010,1,2,23,26.8,71.4,0.0,0.0,0.0,385.18,0.93,86.0,1009.02,
2010,1,3,0,26.63,72.44,0.0,0.0,0.0,383.3,0.32,87.0,1008.88,
2010,1,3,1,25.94,74.54,0.0,0.0,0.0,381.8,0.76,79.0,1008.58,
2010,1,3,2,25.25,76.63,0.0,0.0,0.0,380.3,1.21,71.0,1008.29,
2010,1,3,3,24.56,78.73,0.0,0.0,0.0,378.8,1.66,64.0,1007.99,
2010,1,3,4,24.02,79.06,0.0,0.0,0.0,377.55,2.02,65.0,1008.52,
2010,1,3,5,23.48,79.38,0.0,0.0,0.0,376.3,2.39,66.0,1009.05,
2010,1,3,6,22.93,79.71,0.0,0.0,0.0,375.05,2.76,67.0,1009.58,
2010,1,3,7,25.57,73.72,128.0,764.25,72.0,381.03,2.75,71.0,1009.98,
2010,1,3,8,28.21,67.72,216.0,309.85,124.0,387.02,2.74,75.0,1010.38,
2010,1,3,9,30.85,61.73,447.0,568.25,166.0,393.0,2.73,80.0,1010.78,
2010,1,3,10,31.99,55.53,643.0,709.5,180.0,399.05,2.84,79.0,1009.75,
2010,1,3,11,33.13,49.33,774.0,761.49,195.0,405.1,2.95,78.0,1008.72,
2010,1,3,12,34.27,43.13,849.0,827.89,178.0,411.15,3.06,78.0,1007.69,
2010,1,3,13,34.23,42.73,830.0,807.92,184.0,412.37,2.93,78.0,1007.05,
2010,1,3,14,34.2,42.32,737.0,759.23,184.0,413.58,2.8,79.0,1006.42,
2010,1,3,15,34.16,41.92,596.0,744.56,148.0,414.8,2.68,80.0,1005.79,
2010,1,3,16,32.64,49.23,375.0,539.47,144.0,411.52,2.65,79.0,1006.26,
2010,1,3,17,31.12,56.54,137.0,204.82,92.0,408.23,2.63,78.0,1006.72,
2010,1,3,18,29.6,63.85,0.0,0.0,0.0,404.95,2.61,78.0,1007.19,
2010,1,3,19,28.79,64.9,0.0,0.0,0.0,403.7,2.75,82.0,1007.55,
2010,1,3,20,27.98,65.95,0.0,0.0,0.0,402.45,2.89,87.0,1007.92,
2010,1,3,21,27.17,67.0,0.0,0.0,0.0,401.2,3.03,92.0,1008.29,
2010,1,3,22,26.51,68.33,0.0,0.0,0.0,399.53,2.77,95.0,1008.12,
2010,1,3,23,25.85,69.66,0.0,0.0,0.0,397.87,2.5,98.0,1007.95,
