Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,3197,Krong Koh Kong,KHM,Cambodia,11.6175389731,102.984932944,7,6.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2013,1,1,0,24.99,71.94,0.0,0.0,0.0,416.37,2.95,29.0,1007.38,
2013,1,1,1,25.16,71.35,0.0,0.0,0.0,414.86,3.0,30.0,1006.98,
2013,1,1,2,25.32,70.77,0.0,0.0,0.0,413.35,3.05,32.0,1006.58,
2013,1,1,3,25.48,70.19,0.0,0.0,0.0,411.84,3.1,33.0,1006.18,
2013,1,1,4,25.65,69.61,0.0,0.0,0.0,410.33,3.16,37.0,1006.68,
2013,1,1,5,25.81,69.03,0.0,0.0,0.0,408.82,3.21,40.0,1007.18,
2013,1,1,6,25.97,68.44,0.0,0.0,0.0,407.31,3.26,44.0,1007.68,
2013,1,1,7,26.14,67.86,67.25,243.67,54.25,405.8,3.31,51.0,1010.95,
2013,1,1,8,26.3,67.28,122.0,39.33,111.0,404.29,3.36,52.0,1011.51,
2013,1,1,9,26.46,66.7,430.0,554.41,163.0,402.78,3.41,54.0,1012.08,
2013,1,1,10,26.63,66.12,470.0,237.09,317.0,401.27,3.47,56.0,1011.28,
2013,1,1,11,26.79,65.53,581.0,271.16,375.0,399.76,3.52,59.0,1010.48,
2013,1,1,12,26.95,64.95,546.0,151.79,422.0,398.25,3.57,61.0,1009.68,
2013,1,1,13,27.12,64.37,836.0,788.29,195.0,396.74,3.62,57.0,1008.92,
2013,1,1,14,27.28,63.79,748.0,732.05,200.0,395.23,3.67,53.0,1008.15,
2013,1,1,15,27.63,61.61,587.0,610.23,204.0,401.45,5.28,48.0,1007.38,
2013,1,1,16,27.71,63.06,402.0,536.48,156.0,404.83,4.23,47.0,1007.92,
2013,1,1,17,27.79,64.52,176.0,292.67,102.0,408.22,3.19,46.0,1008.45,
2013,1,1,18,27.87,65.97,0.0,0.0,0.0,411.6,2.14,45.0,1008.98,
2013,1,1,19,27.58,67.56,0.0,0.0,0.0,414.68,1.77,41.0,1009.65,
