Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,3076,Eyumojok,CMR,Cameroon,5.75035829561,8.98331701522,1,141.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2008,1,1,0,26.72,77.53,0.0,0.0,0.0,414.41,1.55,210.0,995.69,
2008,1,1,1,26.49,81.25,0.0,0.0,0.0,413.78,1.35,317.0,993.66,
2008,1,1,2,26.26,84.97,0.0,0.0,0.0,413.16,1.16,314.0,993.2,
2008,1,1,3,26.02,88.69,0.0,0.0,0.0,412.53,0.96,310.0,992.74,
2008,1,1,4,25.79,92.41,0.0,0.0,0.0,411.91,0.76,344.0,992.97,
2008,1,1,5,25.55,96.13,0.0,0.0,0.0,411.28,0.56,17.0,993.2,
2008,1,1,6,25.32,99.85,0.0,0.0,0.0,410.66,0.37,51.0,993.43,
2008,1,1,7,25.09,100.0,48.0,51.4,42.0,410.04,0.17,80.0,993.95,
2008,1,1,8,24.85,100.0,263.0,333.35,148.0,409.41,-0.03,108.0,994.48,
2008,1,1,9,29.65,79.01,325.0,106.02,267.0,403.35,0.74,137.0,995.0,
2008,1,1,10,29.79,72.08,518.0,222.79,360.0,404.77,0.76,82.0,993.95,
2008,1,1,11,29.93,65.14,762.0,524.18,332.0,406.18,0.77,27.0,992.9,
2008,1,1,12,30.08,58.21,787.0,462.84,383.0,407.6,0.79,332.0,991.85,
2008,1,1,13,30.95,56.96,693.0,301.18,433.0,407.9,0.97,315.0,991.3,
2008,1,1,14,31.82,55.71,632.0,304.22,391.0,408.2,1.14,298.0,990.74,
2008,1,1,15,32.69,54.46,406.0,109.87,333.0,408.5,1.32,281.0,990.18,
2008,1,1,16,31.31,61.01,294.0,120.72,235.0,408.25,1.29,261.0,990.64,
2008,1,1,17,29.93,67.56,120.0,39.7,109.0,408.0,1.25,242.0,991.1,
2008,1,1,18,28.55,74.11,7.0,0.0,7.0,407.75,1.21,222.0,991.56,
2008,1,1,19,28.21,78.17,0.0,0.0,0.0,405.7,1.24,219.0,992.44,
2008,1,1,20,27.87,82.24,0.0,0.0,0.0,403.65,1.26,217.0,993.33,
2008,1,1,21,27.52,86.3,0.0,0.0,0.0,401.6,1.28,214.0,994.21,
2008,1,1,22,27.36,88.92,0.0,0.0,0.0,403.17,1.17,218.0,994.34,
2008,1,1,23,27.2,91.53,0.0,0.0,0.0,404.73,1.06,222.0,994.48,
2008,1,2,0,27.03,94.15,0.0,0.0,0.0,406.3,0.95,226.0,994.61,
2008,1,2,1,26.58,95.22,0.0,0.0,0.0,413.8,0.83,235.0,994.25,
2008,1,2,2,26.12,96.28,0.0,0.0,0.0,421.3,0.7,245.0,993.89,
2008,1,2,3,25.67,97.35,0.0,0.0,0.0,428.8,0.58,254.0,993.52,
