Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,4770,Garoua,CMR,Cameroon,9.30001242974,13.3900247789,1,199.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2007,1,1,0,19.62,29.52,0.0,0.0,0.0,311.16,2.4,20.0,991.48,
2007,1,1,1,18.93,29.64,0.0,0.0,0.0,307.65,2.5,34.0,993.36,
2007,1,1,2,18.23,29.76,0.0,0.0,0.0,304.13,2.59,37.0,993.49,
2007,1,1,3,17.53,29.88,0.0,0.0,0.0,300.61,2.69,39.0,993.62,
2007,1,1,4,16.83,30.0,0.0,0.0,0.0,297.09,2.78,44.0,994.11,
2007,1,1,5,16.13,30.12,0.0,0.0,0.0,293.58,2.88,49.0,994.6,
2007,1,1,6,15.43,30.24,0.0,0.0,0.0,290.06,2.97,55.0,995.09,
2007,1,1,7,14.74,30.36,115.0,316.09,64.0,286.54,3.07,59.0,995.19,
2007,1,1,8,14.04,30.48,336.0,498.03,146.0,283.03,3.16,63.0,995.28,
2007,1,1,9,22.88,21.54,553.0,623.09,197.0,298.65,3.66,67.0,995.38,
2007,1,1,10,24.46,19.72,729.0,697.81,228.0,303.5,3.7,68.0,994.34,
2007,1,1,11,26.05,17.89,855.0,772.8,228.0,308.35,3.74,69.0,993.3,
2007,1,1,12,27.63,16.07,907.0,812.91,220.0,313.2,3.78,71.0,992.26,
2007,1,1,13,28.05,15.8,875.0,817.63,207.0,315.52,3.78,65.0,991.41,
2007,1,1,14,28.46,15.52,769.0,795.72,189.0,317.83,3.78,60.0,990.56,
2007,1,1,15,28.87,15.25,584.0,688.46,180.0,320.15,3.78,54.0,989.72,
2007,1,1,16,27.24,17.67,361.0,544.39,143.0,317.83,3.47,49.0,990.3,
2007,1,1,17,25.61,20.08,132.0,328.8,72.0,315.52,3.16,44.0,990.89,
2007,1,1,18,23.98,22.5,0.0,0.0,0.0,313.2,2.86,39.0,991.48,
2007,1,1,19,22.4,23.55,0.0,0.0,0.0,310.97,2.97,36.0,992.06,
2007,1,1,20,20.82,24.61,0.0,0.0,0.0,308.73,3.09,33.0,992.65,
2007,1,1,21,19.24,25.66,0.0,0.0,0.0,306.5,3.2,30.0,993.23,
2007,1,1,22,18.53,26.41,0.0,0.0,0.0,304.4,3.21,28.0,993.17,
2007,1,1,23,17.83,27.16,0.0,0.0,0.0,302.3,3.23,26.0,993.1,
2007,1,2,0,17.13,27.91,0.0,0.0,0.0,300.2,3.24,25.0,993.04,
2007,1,2,1,16.53,28.56,0.0,0.0,0.0,298.33,3.16,27.0,993.14,
2007,1,2,2,15.94,29.2,0.0,0.0,0.0,296.47,3.08,30.0,993.23,
2007,1,2,3,15.34,29.85,0.0,0.0,0.0,294.6,2.99,33.0,993.33,
2007,1,2,4,14.78,32.95,0.0,0.0,0.0,292.82,2.89,37.0,993.85,
2007,1,2,5,14.22,36.06,0.0,0.0,0.0,291.03,2.79,42.0,994.37,
2007,1,2,6,13.65,39.16,0.0,0.0,0.0,289.25,2.69,46.0,994.89,
2007,1,2,7,16.76,33.57,107.0,262.51,65.0,293.08,2.8,51.0,995.15,
2007,1,2,8,19.86,27.99,307.0,365.35,168.0,296.92,2.9,56.0,995.41,
2007,1,2,9,22.96,22.4,510.0,471.35,241.0,300.75,3.01,60.0,995.68,
2007,1,2,10,24.58,20.53,677.0,539.17,290.0,305.75,3.11,63.0,994.5,
2007,1,2,11,26.21,18.66,801.0,613.58,303.0,310.75,3.22,65.0,993.33,
2007,1,2,12,27.83,16.79,854.0,660.84,295.0,315.75,3.32,68.0,992.16,
2007,1,2,13,28.11,16.56,840.0,705.2,263.0,317.55,3.34,65.0,991.38,
2007,1,2,14,28.38,16.32,734.0,674.89,241.0,319.35,3.36,62.0,990.6,
2007,1,2,15,28.65,16.09,558.0,582.65,215.0,321.15,3.38,59.0,989.82,
2007,1,2,16,27.01,18.85,352.0,486.98,156.0,319.12,3.22,55.0,990.27,
2007,1,2,17,25.36,21.61,131.0,314.26,73.0,317.08,3.06,52.0,990.73,
2007,1,2,18,23.71,24.37,0.0,0.0,0.0,315.05,2.9,48.0,991.18,
2007,1,2,19,22.04,26.29,0.0,0.0,0.0,313.12,3.05,45.0,991.64,
2007,1,2,20,20.36,28.21,0.0,0.0,0.0,311.18,3.21,42.0,992.09,
2007,1,2,21,18.69,30.13,0.0,0.0,0.0,309.25,3.37,39.0,992.55,
2007,1,2,22,18.18,31.07,0.0,0.0,0.0,307.75,3.32,38.0,992.32,
2007,1,2,23,17.67,32.0,0.0,0.0,0.0,306.25,3.28,38.0,992.09,
2007,1,3,0,17.16,32.94,0.0,0.0,0.0,304.75,3.24,38.0,991.87,
2007,1,3,1,17.03,33.54,0.0,0.0,0.0,303.95,3.04,37.0,991.77,
2007,1,3,2,16.9,34.13,0.0,0.0,0.0,303.15,2.84,36.0,991.67,
2007,1,3,3,16.77,34.73,0.0,0.0,0.0,302.35,2.63,35.0,991.57,
2007,1,3,4,16.25,38.31,0.0,0.0,0.0,301.27,2.6,37.0,992.13,
2007,1,3,5,15.72,41.88,0.0,0.0,0.0,300.18,2.57,39.0,992.68,
2007,1,3,6,15.19,45.46,0.0,0.0,0.0,299.1,2.54,41.0,993.23,
2007,1,3,7,18.17,38.61,113.0,321.38,62.0,303.8,2.57,45.0,993.43,
2007,1,3,8,21.14,31.75,341.0,534.95,138.0,308.5,2.6,50.0,993.62,
2007,1,3,9,24.11,24.9,570.0,696.34,173.0,313.2,2.63,55.0,993.82,
2007,1,3,10,25.68,22.61,761.0,806.8,182.0,318.43,2.76,60.0,992.58,
2007,1,3,11,27.25,20.32,884.0,860.84,185.0,323.67,2.89,65.0,991.35,
2007,1,3,12,28.82,18.03,928.0,873.95,188.0,328.9,3.02,71.0,990.11,
2007,1,3,13,29.3,17.81,897.0,878.6,177.0,331.82,3.0,70.0,989.2,
2007,1,3,14,29.78,17.58,785.0,840.02,170.0,334.73,2.98,69.0,988.29,
2007,1,3,15,30.26,17.36,605.0,755.16,159.0,337.65,2.97,68.0,987.37,
2007,1,3,16,28.39,21.07,376.0,600.66,133.0,335.85,3.07,59.0,987.89,
2007,1,3,17,26.51,24.77,141.0,380.37,70.0,334.05,3.18,50.0,988.42,
2007,1,3,18,24.63,28.48,0.0,0.0,0.0,332.25,3.28,41.0,988.94,
2007,1,3,19,22.94,29.98,0.0,0.0,0.0,330.58,3.33,36.0,989.42,
2007,1,3,20,21.26,31.48,0.0,0.0,0.0,328.92,3.37,32.0,989.91,
2007,1,3,21,19.57,32.98,0.0,0.0,0.0,327.25,3.42,28.0,990.4,
2007,1,3,22,19.06,33.81,0.0,0.0,0.0,325.52,3.38,27.0,990.34,
2007,1,3,23,18.56,34.64,0.0,0.0,0.0,323.78,3.34,27.0,990.27,
2007,1,4,0,18.06,35.47,0.0,0.0,0.0,322.05,3.3,26.0,990.21,
2007,1,4,1,17.74,35.82,0.0,0.0,0.0,321.47,3.11,25.0,990.24,
