Location,City,Region,Country,Latitude,Longitude,Time Zone,Elevation,Source
25105,Fort_McMurray,AL,Canada,56.65,-111.22,-7.0,369,PVGIS
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2015,1,1,0,-8.14,95.01,0.0,0.0,0.0,285.88,2.25,16.0,976.64,
2015,1,1,1,-13.45,93.81,0.0,0.0,0.0,259.3,2.51,20.0,976.96,
2015,1,1,2,-13.52,94.27,0.0,0.0,0.0,257.38,2.43,32.0,977.28,
2015,1,1,3,-13.58,94.73,0.0,0.0,0.0,255.47,2.34,43.0,977.6,
2015,1,1,4,-13.64,95.19,0.0,0.0,0.0,253.55,2.26,55.0,977.91,
2015,1,1,5,-14.12,95.9,0.0,0.0,0.0,252.68,2.22,79.0,977.56,
2015,1,1,6,-14.6,96.6,0.0,0.0,0.0,251.82,2.18,103.0,977.21,
2015,1,1,7,-15.07,97.31,0.0,0.0,0.0,250.95,2.14,127.0,976.86,
2015,1,1,8,-14.68,96.12,0.0,0.0,0.0,252.08,1.55,139.0,976.8,
2015,1,1,9,-14.3,94.93,0.0,0.0,0.0,253.22,0.97,152.0,976.73,
2015,1,1,10,-13.91,93.74,8.0,0.0,8.0,254.35,0.39,164.0,976.67,
2015,1,1,11,-13.87,90.68,17.0,0.0,17.0,254.77,1.01,218.0,976.83,
2015,1,1,12,-13.84,87.61,49.0,0.0,49.0,255.18,1.64,271.0,976.99,
2015,1,1,13,-13.8,84.55,53.0,0.0,53.0,255.6,2.26,324.0,977.15,
2015,1,1,14,-14.77,84.42,39.0,0.0,39.0,249.92,2.16,329.0,978.07,
2015,1,1,15,-15.74,84.28,18.0,0.0,18.0,244.23,2.06,333.0,979.0,
2015,1,1,16,-16.71,84.15,0.0,0.0,0.0,238.55,1.96,338.0,979.92,
2015,1,1,17,-17.91,84.46,0.0,0.0,0.0,225.27,2.29,337.0,980.66,
2015,1,1,18,-19.11,84.78,0.0,0.0,0.0,211.98,2.61,335.0,981.39,
2015,1,1,19,-20.31,85.09,0.0,0.0,0.0,198.7,2.94,334.0,982.12,
2015,1,1,20,-20.86,85.61,0.0,0.0,0.0,197.87,2.42,331.0,982.28,
2015,1,1,21,-21.41,86.12,0.0,0.0,0.0,197.03,1.9,329.0,982.44,
2015,1,1,22,-21.96,86.64,0.0,0.0,0.0,196.2,1.38,326.0,982.6,
2015,1,1,23,-22.33,86.49,0.0,0.0,0.0,196.72,1.09,328.0,982.47,
2015,1,2,0,-22.71,86.34,0.0,0.0,0.0,197.23,0.8,330.0,982.35,
