Location,City,Region,Country,Latitude,Longitude,Time Zone,Elevation,Source
94857,Mount_Forest,ON,Canada,43.98,-80.75,-5.0,415,PVGIS
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2007,1,1,0,7.19,88.56,0.0,0.0,0.0,334.71,8.61,206.0,952.0,
2007,1,1,1,8.72,89.04,0.0,0.0,0.0,343.37,8.76,213.0,952.6,
2007,1,1,2,10.25,89.52,0.0,0.0,0.0,352.02,8.91,220.0,953.2,
2007,1,1,3,5.87,83.4,0.0,0.0,0.0,303.55,8.4,227.0,953.8,
2007,1,1,4,5.4,84.38,0.0,0.0,0.0,304.1,8.08,227.0,954.31,
2007,1,1,5,4.93,85.37,0.0,0.0,0.0,304.65,7.76,226.0,954.82,
2007,1,1,6,4.46,86.35,0.0,0.0,0.0,305.2,7.43,226.0,955.33,
2007,1,1,7,4.05,87.11,0.0,0.0,0.0,306.45,7.19,225.0,955.87,
2007,1,1,8,3.65,87.87,0.0,0.0,0.0,307.7,6.94,224.0,956.41,
2007,1,1,9,3.24,88.63,85.0,235.79,52.0,308.95,6.69,223.0,956.94,
2007,1,1,10,3.25,89.03,160.0,234.36,99.0,311.5,6.78,228.0,957.2,
2007,1,1,11,3.26,89.43,113.0,0.0,113.0,314.05,6.87,233.0,957.45,
2007,1,1,12,3.27,89.83,58.0,0.0,58.0,316.6,6.97,238.0,957.71,
2007,1,1,13,2.88,91.33,45.0,0.0,45.0,317.1,6.66,242.0,957.86,
2007,1,1,14,2.48,92.82,81.0,0.0,81.0,317.6,6.35,245.0,958.02,
2007,1,1,15,2.09,94.32,19.0,0.0,19.0,318.1,6.04,248.0,958.18,
2007,1,1,16,1.68,93.56,99.0,550.59,31.0,318.47,5.99,256.0,959.29,
2007,1,1,17,1.27,92.8,0.0,0.0,0.0,318.83,5.93,264.0,960.4,
2007,1,1,18,0.86,92.04,0.0,0.0,0.0,319.2,5.88,271.0,961.51,
2007,1,1,19,0.47,90.64,0.0,0.0,0.0,321.97,6.35,285.0,963.13,
2007,1,1,20,0.08,89.23,0.0,0.0,0.0,324.73,6.82,298.0,964.75,
2007,1,1,21,-0.31,87.83,0.0,0.0,0.0,327.5,7.3,312.0,966.36,
2007,1,1,22,-0.82,88.94,0.0,0.0,0.0,324.4,7.26,313.0,967.47,
2007,1,1,23,-1.33,90.06,0.0,0.0,0.0,321.3,7.22,314.0,968.58,
2007,1,2,0,-1.84,91.17,0.0,0.0,0.0,318.2,7.19,315.0,969.69,
2007,1,2,1,-1.99,91.33,0.0,0.0,0.0,315.4,6.76,314.0,970.61,
2007,1,2,2,-2.14,91.48,0.0,0.0,0.0,312.6,6.33,313.0,971.53,
2007,1,2,3,-2.29,91.64,0.0,0.0,0.0,309.8,5.9,312.0,972.45,
2007,1,2,4,-2.1,90.72,0.0,0.0,0.0,308.27,5.55,307.0,973.09,
2007,1,2,5,-1.91,89.8,0.0,0.0,0.0,306.73,5.2,303.0,973.72,
2007,1,2,6,-1.72,88.88,0.0,0.0,0.0,305.2,4.86,298.0,974.36,
2007,1,2,7,-1.41,88.01,0.0,0.0,0.0,286.75,4.99,291.0,974.89,
2007,1,2,8,-1.1,87.15,0.0,0.0,0.0,268.3,5.12,284.0,975.43,
2007,1,2,9,-0.8,86.28,111.0,463.76,46.0,249.85,5.26,278.0,975.97,
