Location,City,Region,Country,Latitude,Longitude,Time Zone,Elevation,Source
4704,Muskoka,ON,Canada,44.97,-79.3,-5.0,280,PVGIS
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2006,1,1,0,-7.88,90.38,0.0,0.0,0.0,302.91,1.99,47.0,979.57,
2006,1,1,1,-7.77,92.98,0.0,0.0,0.0,310.98,1.68,44.0,980.12,
2006,1,1,2,-7.67,95.57,0.0,0.0,0.0,319.05,1.36,42.0,980.67,
2006,1,1,3,-7.62,92.24,0.0,0.0,0.0,300.05,1.01,39.0,981.22,
2006,1,1,4,-7.13,93.67,0.0,0.0,0.0,299.22,0.79,23.0,981.47,
2006,1,1,5,-6.64,95.09,0.0,0.0,0.0,298.38,0.57,7.0,981.73,
2006,1,1,6,-6.16,96.52,0.0,0.0,0.0,297.55,0.34,351.0,981.99,
2006,1,1,7,-5.86,95.5,0.0,0.0,0.0,297.6,0.47,310.0,982.63,
2006,1,1,8,-5.56,94.47,0.0,0.0,0.0,297.65,0.59,269.0,983.28,
2006,1,1,9,-5.26,93.45,8.0,0.0,8.0,297.7,0.72,228.0,983.92,
2006,1,1,10,-4.05,91.26,66.0,0.0,66.0,298.63,1.24,236.0,983.8,
2006,1,1,11,-2.85,89.08,61.0,0.0,61.0,299.57,1.77,244.0,983.67,
2006,1,1,12,-1.64,86.89,78.0,0.0,78.0,300.5,2.29,252.0,983.54,
2006,1,1,13,-1.58,88.38,65.0,0.0,65.0,301.58,1.96,253.0,983.83,
2006,1,1,14,-1.52,89.88,48.0,0.0,48.0,302.67,1.64,254.0,984.12,
2006,1,1,15,-1.45,91.37,55.0,0.0,55.0,303.75,1.31,255.0,984.41,
2006,1,1,16,-2.34,92.32,21.0,0.0,21.0,300.62,1.43,232.0,984.92,
2006,1,1,17,-3.22,93.28,0.0,0.0,0.0,297.48,1.55,208.0,985.44,
2006,1,1,18,-4.1,94.23,0.0,0.0,0.0,294.35,1.67,184.0,985.96,
2006,1,1,19,-4.63,96.15,0.0,0.0,0.0,294.22,1.72,180.0,986.25,
2006,1,1,20,-5.15,98.08,0.0,0.0,0.0,294.08,1.77,175.0,986.54,
2006,1,1,21,-5.67,100.0,0.0,0.0,0.0,293.95,1.82,170.0,986.83,
2006,1,1,22,-5.86,100.0,0.0,0.0,0.0,294.2,1.8,157.0,986.99,
2006,1,1,23,-6.05,100.0,0.0,0.0,0.0,294.45,1.78,144.0,987.15,
2006,1,2,0,-6.24,100.0,0.0,0.0,0.0,294.7,1.77,131.0,987.31,
2006,1,2,1,-6.13,100.0,0.0,0.0,0.0,296.32,1.99,118.0,987.73,
2006,1,2,2,-6.03,100.0,0.0,0.0,0.0,297.93,2.21,105.0,988.15,
2006,1,2,3,-5.92,100.0,0.0,0.0,0.0,299.55,2.43,92.0,988.57,
2006,1,2,4,-5.27,100.0,0.0,0.0,0.0,298.9,2.89,91.0,988.44,
2006,1,2,5,-4.63,100.0,0.0,0.0,0.0,298.25,3.35,90.0,988.31,
2006,1,2,6,-3.99,100.0,0.0,0.0,0.0,297.6,3.81,89.0,988.18,
2006,1,2,7,-3.34,100.0,0.0,0.0,0.0,302.88,4.03,88.0,988.41,
2006,1,2,8,-2.69,100.0,0.0,0.0,0.0,308.17,4.25,86.0,988.63,
2006,1,2,9,-2.04,100.0,57.0,56.63,49.0,313.45,4.47,85.0,988.86,
2006,1,2,10,-1.61,95.12,91.0,3.89,90.0,313.82,4.65,85.0,988.47,
2006,1,2,11,-1.18,90.25,128.0,14.88,123.0,314.18,4.84,85.0,988.08,
2006,1,2,12,-0.75,85.37,213.0,141.87,160.0,314.55,5.02,85.0,987.7,
2006,1,2,13,-0.89,85.89,159.0,35.43,146.0,312.92,5.17,84.0,987.34,
2006,1,2,14,-1.04,86.4,113.0,0.0,113.0,311.28,5.32,83.0,986.99,
2006,1,2,15,-1.18,86.92,74.0,0.0,74.0,309.65,5.48,83.0,986.63,
2006,1,2,16,-1.17,88.04,29.0,0.0,29.0,312.72,5.7,82.0,986.5,
2006,1,2,17,-1.16,89.16,0.0,0.0,0.0,315.78,5.92,82.0,986.38,
2006,1,2,18,-1.14,90.28,0.0,0.0,0.0,318.85,6.14,82.0,986.25,
2006,1,2,19,-1.3,90.77,0.0,0.0,0.0,319.75,6.29,82.0,985.89,
2006,1,2,20,-1.46,91.27,0.0,0.0,0.0,320.65,6.45,82.0,985.54,
2006,1,2,21,-1.62,91.76,0.0,0.0,0.0,321.55,6.61,81.0,985.18,
2006,1,2,22,-1.67,91.97,0.0,0.0,0.0,321.58,6.6,81.0,985.09,
2006,1,2,23,-1.71,92.17,0.0,0.0,0.0,321.62,6.6,81.0,984.99,
