Location,City,Region,Country,Latitude,Longitude,Time Zone,Elevation,Source
94842,Sault_Ste_Marie,ON,Canada,46.48,-84.5,-5.0,187,PVGIS
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2009,1,1,0,-12.7,100.0,0.0,0.0,0.0,158.89,4.44,244.0,1002.61,
2009,1,1,1,-12.31,100.0,0.0,0.0,0.0,158.43,4.7,230.0,1002.22,
2009,1,1,2,-11.92,100.0,0.0,0.0,0.0,157.97,4.95,215.0,1001.82,
2009,1,1,3,-11.78,100.0,0.0,0.0,0.0,173.5,3.7,201.0,1001.43,
2009,1,1,4,-11.1,100.0,0.0,0.0,0.0,184.33,4.18,196.0,1000.65,
2009,1,1,5,-10.43,100.0,0.0,0.0,0.0,195.17,4.66,192.0,999.87,
2009,1,1,6,-9.75,100.0,0.0,0.0,0.0,206.0,5.14,187.0,999.08,
2009,1,1,7,-9.71,100.0,0.0,0.0,0.0,208.78,5.89,181.0,998.79,
2009,1,1,8,-9.66,100.0,0.0,0.0,0.0,211.57,6.63,176.0,998.5,
2009,1,1,9,-9.61,100.0,12.0,0.0,12.0,214.35,7.38,171.0,998.2,
2009,1,1,10,-8.91,100.0,55.0,0.0,55.0,221.6,7.83,170.0,996.87,
2009,1,1,11,-8.21,100.0,148.0,107.14,117.0,228.85,8.27,170.0,995.53,
2009,1,1,12,-7.5,100.0,141.0,29.41,131.0,236.1,8.72,170.0,994.19,
2009,1,1,13,-7.1,100.0,103.0,0.0,103.0,239.62,8.51,170.0,992.85,
2009,1,1,14,-6.7,100.0,58.0,0.0,58.0,243.13,8.3,170.0,991.51,
2009,1,1,15,-6.29,100.0,54.0,0.0,54.0,246.65,8.1,171.0,990.18,
2009,1,1,16,-6.11,100.0,35.0,0.0,35.0,248.87,8.29,171.0,989.1,
2009,1,1,17,-5.93,100.0,0.0,0.0,0.0,251.08,8.49,171.0,988.02,
2009,1,1,18,-5.74,100.0,0.0,0.0,0.0,253.3,8.69,172.0,986.95,
2009,1,1,19,-5.86,100.0,0.0,0.0,0.0,256.22,8.86,174.0,985.51,
2009,1,1,20,-5.99,100.0,0.0,0.0,0.0,259.13,9.03,176.0,984.08,
2009,1,1,21,-6.11,100.0,0.0,0.0,0.0,262.05,9.2,178.0,982.64,
2009,1,1,22,-5.8,100.0,0.0,0.0,0.0,264.4,8.77,183.0,981.76,
2009,1,1,23,-5.49,100.0,0.0,0.0,0.0,266.75,8.34,187.0,980.88,
2009,1,2,0,-5.18,100.0,0.0,0.0,0.0,269.1,7.9,192.0,980.0,
2009,1,2,1,-5.18,98.16,0.0,0.0,0.0,268.28,7.37,201.0,979.77,
2009,1,2,2,-5.19,96.33,0.0,0.0,0.0,267.47,6.83,211.0,979.54,
2009,1,2,3,-5.2,94.49,0.0,0.0,0.0,266.65,6.29,220.0,979.31,
2009,1,2,4,-5.23,94.37,0.0,0.0,0.0,262.9,6.09,230.0,979.44,
2009,1,2,5,-5.27,94.25,0.0,0.0,0.0,259.15,5.89,241.0,979.57,
2009,1,2,6,-5.3,94.13,0.0,0.0,0.0,255.4,5.7,251.0,979.7,
2009,1,2,7,-5.7,93.58,0.0,0.0,0.0,243.27,5.5,256.0,980.39,
2009,1,2,8,-6.1,93.02,0.0,0.0,0.0,231.13,5.31,261.0,981.08,
2009,1,2,9,-6.5,92.47,33.0,90.77,26.0,219.0,5.12,266.0,981.76,
2009,1,2,10,-6.0,88.63,176.0,594.74,57.0,222.3,5.67,274.0,982.15,
2009,1,2,11,-5.5,84.79,281.0,723.7,71.0,225.6,6.22,282.0,982.54,
2009,1,2,12,-5.0,80.95,80.0,0.0,80.0,228.9,6.77,290.0,982.93,
2009,1,2,13,-4.9,82.09,41.0,0.0,41.0,224.38,6.8,294.0,983.82,
2009,1,2,14,-4.8,83.22,37.0,0.0,37.0,219.87,6.82,299.0,984.7,
2009,1,2,15,-4.69,84.36,8.0,0.0,8.0,215.35,6.84,303.0,985.58,
2009,1,2,16,-4.83,89.33,4.0,0.0,4.0,216.2,6.83,312.0,987.08,
2009,1,2,17,-4.96,94.3,0.0,0.0,0.0,217.05,6.81,321.0,988.58,
2009,1,2,18,-5.09,99.27,0.0,0.0,0.0,217.9,6.8,330.0,990.08,
2009,1,2,19,-5.75,99.51,0.0,0.0,0.0,213.88,6.37,338.0,991.25,
2009,1,2,20,-6.4,99.76,0.0,0.0,0.0,209.87,5.94,348.0,992.43,
2009,1,2,21,-7.06,100.0,0.0,0.0,0.0,205.85,5.5,356.0,993.6,
2009,1,2,22,-7.67,100.0,0.0,0.0,0.0,201.05,5.12,2.0,994.48,
2009,1,2,23,-8.28,100.0,0.0,0.0,0.0,196.25,4.74,7.0,995.36,
2009,1,3,0,-8.89,100.0,0.0,0.0,0.0,191.45,4.36,12.0,996.25,
2009,1,3,1,-9.32,100.0,0.0,0.0,0.0,190.23,4.3,13.0,997.52,
2009,1,3,2,-9.75,100.0,0.0,0.0,0.0,189.02,4.25,14.0,998.79,
2009,1,3,3,-10.18,100.0,0.0,0.0,0.0,187.8,4.19,14.0,1000.06,
2009,1,3,4,-10.35,100.0,0.0,0.0,0.0,189.37,4.09,18.0,1000.65,
2009,1,3,5,-10.52,100.0,0.0,0.0,0.0,190.93,3.99,22.0,1001.24,
2009,1,3,6,-10.69,100.0,0.0,0.0,0.0,192.5,3.89,25.0,1001.82,
2009,1,3,7,-10.88,100.0,0.0,0.0,0.0,192.78,3.98,30.0,1002.61,
