Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,3081,Bossangoa,CAF,Central African Republic,6.48372438448,17.4499836819,1,453.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2010,1,1,0,24.12,34.34,0.0,0.0,0.0,348.27,2.75,354.0,960.9,
2010,1,1,1,23.7,35.4,0.0,0.0,0.0,347.04,2.78,360.0,958.06,
2010,1,1,2,23.27,36.45,0.0,0.0,0.0,345.81,2.81,352.0,957.87,
2010,1,1,3,22.85,37.51,0.0,0.0,0.0,344.58,2.83,345.0,957.68,
2010,1,1,4,22.43,38.56,0.0,0.0,0.0,343.35,2.86,346.0,958.25,
2010,1,1,5,22.0,39.61,0.0,0.0,0.0,342.13,2.89,347.0,958.82,
2010,1,1,6,21.58,40.67,0.0,0.0,0.0,340.9,2.92,348.0,959.38,
2010,1,1,7,21.16,41.72,197.0,448.86,88.0,339.67,2.95,357.0,959.64,
2010,1,1,8,20.73,42.78,433.0,635.64,142.0,338.44,2.98,7.0,959.89,
2010,1,1,9,30.86,24.39,638.0,707.83,186.0,351.75,3.64,17.0,960.14,
2010,1,1,10,32.17,21.31,820.0,829.44,179.0,358.08,3.3,23.0,958.75,
2010,1,1,11,33.47,18.22,914.0,846.86,193.0,364.42,2.95,29.0,957.36,
2010,1,1,12,34.77,15.14,941.0,870.05,185.0,370.75,2.61,35.0,955.97,
2010,1,1,13,34.92,15.32,884.0,850.49,183.0,369.93,2.66,37.0,955.41,
2010,1,1,14,35.07,15.49,752.0,802.37,174.0,369.12,2.72,38.0,954.84,
2010,1,1,15,35.22,15.67,560.0,715.8,156.0,368.3,2.77,40.0,954.27,
2010,1,1,16,32.72,18.56,327.0,555.91,123.0,363.73,3.2,37.0,954.9,
2010,1,1,17,30.22,21.46,92.0,268.52,54.0,359.17,3.63,34.0,955.53,
2010,1,1,18,27.72,24.35,0.0,0.0,0.0,354.6,4.06,32.0,956.16,
2010,1,1,19,26.55,26.59,0.0,0.0,0.0,351.68,4.22,28.0,956.89,
