Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,2348,Zemio,CAF,Central African Republic,5.03365785616,25.1332873115,1,585.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2008,1,1,0,24.4,71.08,0.0,0.0,0.0,387.37,1.85,201.0,940.58,
2008,1,1,1,24.34,73.17,0.0,0.0,0.0,387.79,1.88,206.0,940.55,
2008,1,1,2,24.28,75.27,0.0,0.0,0.0,388.21,1.91,210.0,940.52,
2008,1,1,3,24.22,77.37,0.0,0.0,0.0,388.63,1.94,214.0,940.49,
2008,1,1,4,24.16,79.47,0.0,0.0,0.0,389.05,1.98,212.0,941.11,
2008,1,1,5,24.1,81.57,0.0,0.0,0.0,389.47,2.01,209.0,941.73,
2008,1,1,6,24.03,83.66,92.0,272.38,54.0,389.89,2.04,206.0,942.35,
2008,1,1,7,23.97,85.76,238.0,182.76,171.0,390.31,2.07,191.0,942.2,
2008,1,1,8,23.91,87.86,400.0,215.41,278.0,390.73,2.1,175.0,942.04,
2008,1,1,9,29.74,64.02,588.0,337.84,343.0,405.0,1.46,160.0,941.89,
2008,1,1,10,29.65,60.43,794.0,587.55,305.0,402.4,1.74,137.0,940.77,
2008,1,1,11,29.56,56.85,645.0,212.43,458.0,399.8,2.02,114.0,939.65,
2008,1,1,12,29.48,53.26,518.0,87.76,442.0,397.2,2.3,91.0,938.53,
2008,1,1,13,28.86,53.86,767.0,636.46,264.0,397.03,1.9,103.0,938.53,
2008,1,1,14,28.25,54.47,633.0,645.45,208.0,396.87,1.49,115.0,938.53,
2008,1,1,15,27.64,55.07,437.0,588.25,155.0,396.7,1.09,126.0,938.53,
2008,1,1,16,26.59,59.87,186.0,278.91,112.0,395.62,1.18,148.0,939.31,
2008,1,1,17,25.53,64.66,0.0,0.0,0.0,394.53,1.27,170.0,940.08,
2008,1,1,18,24.48,69.46,0.0,0.0,0.0,393.45,1.37,192.0,940.86,
2008,1,1,19,24.02,72.3,0.0,0.0,0.0,390.93,1.49,193.0,941.42,
2008,1,1,20,23.56,75.13,0.0,0.0,0.0,388.42,1.61,194.0,941.98,
2008,1,1,21,23.1,77.97,0.0,0.0,0.0,385.9,1.74,195.0,942.54,
2008,1,1,22,23.07,80.27,0.0,0.0,0.0,383.33,1.72,196.0,942.45,
2008,1,1,23,23.03,82.58,0.0,0.0,0.0,380.77,1.71,197.0,942.35,
2008,1,2,0,23.0,84.88,0.0,0.0,0.0,378.2,1.7,199.0,942.26,
2008,1,2,1,22.4,87.33,0.0,0.0,0.0,377.47,1.66,193.0,941.89,
2008,1,2,2,21.81,89.79,0.0,0.0,0.0,376.73,1.61,188.0,941.51,
2008,1,2,3,21.21,92.24,0.0,0.0,0.0,376.0,1.57,183.0,941.14,
2008,1,2,4,22.26,89.91,0.0,0.0,0.0,377.07,1.8,182.0,941.7,
2008,1,2,5,23.31,87.59,0.0,0.0,0.0,378.13,2.03,180.0,942.26,
2008,1,2,6,24.36,85.26,62.0,65.22,53.0,379.2,2.26,179.0,942.82,
2008,1,2,7,26.44,74.86,263.0,270.96,164.0,385.43,2.1,164.0,942.63,
2008,1,2,8,28.52,64.45,382.0,178.6,281.0,391.67,1.94,150.0,942.45,
2008,1,2,9,30.6,54.05,427.0,88.3,363.0,397.9,1.78,135.0,942.26,
2008,1,2,10,30.88,51.72,580.0,175.41,434.0,399.5,1.89,113.0,941.23,
2008,1,2,11,31.16,49.4,153.0,0.0,153.0,401.1,2.0,91.0,940.21,
2008,1,2,12,31.43,47.07,106.0,0.0,106.0,402.7,2.11,68.0,939.18,
2008,1,2,13,30.38,46.29,795.0,718.67,226.0,403.08,1.8,78.0,938.78,
2008,1,2,14,29.32,45.52,559.0,412.0,287.0,403.47,1.49,88.0,938.38,
2008,1,2,15,28.26,44.74,442.0,602.51,152.0,403.85,1.17,98.0,937.97,
2008,1,2,16,27.07,50.68,209.0,415.24,98.0,399.88,1.25,126.0,938.69,
2008,1,2,17,25.88,56.63,0.0,0.0,0.0,395.92,1.32,153.0,939.4,
2008,1,2,18,24.69,62.57,0.0,0.0,0.0,391.95,1.39,181.0,940.12,
2008,1,2,19,24.26,67.01,0.0,0.0,0.0,389.15,1.48,183.0,940.68,
2008,1,2,20,23.83,71.45,0.0,0.0,0.0,386.35,1.57,185.0,941.23,
2008,1,2,21,23.4,75.89,0.0,0.0,0.0,383.55,1.66,187.0,941.79,
2008,1,2,22,23.37,79.37,0.0,0.0,0.0,381.75,1.58,190.0,941.7,
2008,1,2,23,23.33,82.86,0.0,0.0,0.0,379.95,1.51,192.0,941.61,
2008,1,3,0,23.3,86.34,0.0,0.0,0.0,378.15,1.43,195.0,941.51,
2008,1,3,1,22.71,89.83,0.0,0.0,0.0,376.75,1.38,206.0,941.36,
2008,1,3,2,22.13,93.31,0.0,0.0,0.0,375.35,1.32,217.0,941.2,
2008,1,3,3,21.54,96.8,0.0,0.0,0.0,373.95,1.27,229.0,941.05,
2008,1,3,4,22.49,95.08,0.0,0.0,0.0,377.7,1.44,234.0,941.7,
2008,1,3,5,23.43,93.35,0.0,0.0,0.0,381.45,1.61,239.0,942.35,
2008,1,3,6,24.37,91.63,46.0,21.98,43.0,385.2,1.78,244.0,943.01,
2008,1,3,7,26.64,79.43,176.0,49.43,158.0,391.83,1.57,244.0,942.88,
2008,1,3,8,28.9,67.22,259.0,28.33,243.0,398.47,1.36,243.0,942.76,
2008,1,3,9,31.17,55.02,343.0,27.61,323.0,405.1,1.14,242.0,942.63,
2008,1,3,10,31.47,49.58,761.0,504.51,341.0,404.25,1.27,184.0,941.42,
2008,1,3,11,31.78,44.15,834.0,564.95,336.0,403.4,1.4,126.0,940.21,
2008,1,3,12,32.08,38.71,814.0,548.33,338.0,402.55,1.53,68.0,939.0,
2008,1,3,13,31.32,37.03,775.0,650.52,259.0,401.57,1.31,84.0,938.72,
2008,1,3,14,30.55,35.34,629.0,622.4,217.0,400.58,1.1,100.0,938.44,
2008,1,3,15,29.79,33.66,430.0,535.94,171.0,399.6,0.88,116.0,938.16,
2008,1,3,16,28.41,40.23,201.0,349.02,107.0,398.4,1.47,153.0,938.97,
2008,1,3,17,27.04,46.8,0.0,0.0,0.0,397.2,2.05,189.0,939.77,
2008,1,3,18,25.66,53.37,0.0,0.0,0.0,396.0,2.63,225.0,940.58,
2008,1,3,19,25.07,60.52,0.0,0.0,0.0,391.42,2.67,228.0,941.2,
2008,1,3,20,24.48,67.67,0.0,0.0,0.0,386.83,2.71,231.0,941.83,
2008,1,3,21,23.89,74.82,0.0,0.0,0.0,382.25,2.74,234.0,942.45,
2008,1,3,22,23.97,79.33,0.0,0.0,0.0,382.83,2.65,237.0,942.45,
2008,1,3,23,24.06,83.83,0.0,0.0,0.0,383.42,2.55,240.0,942.45,
2008,1,4,0,24.14,88.34,0.0,0.0,0.0,384.0,2.46,243.0,942.45,
2008,1,4,1,23.73,90.56,0.0,0.0,0.0,390.45,2.34,244.0,942.51,
2008,1,4,2,23.31,92.78,0.0,0.0,0.0,396.9,2.23,245.0,942.57,
2008,1,4,3,22.9,95.0,0.0,0.0,0.0,403.35,2.11,246.0,942.63,
2008,1,4,4,23.54,93.6,0.0,0.0,0.0,411.25,2.4,242.0,943.35,
2008,1,4,5,24.17,92.21,0.0,0.0,0.0,419.15,2.69,237.0,944.06,
2008,1,4,6,24.8,90.81,57.0,51.83,50.0,427.05,2.98,233.0,944.78,
2008,1,4,7,25.84,84.14,208.0,110.18,168.0,424.0,2.39,239.0,944.5,
2008,1,4,8,26.87,77.47,362.0,145.4,280.0,420.95,1.79,244.0,944.22,
2008,1,4,9,27.91,70.8,475.0,143.61,371.0,417.9,1.2,249.0,943.94,
2008,1,4,10,28.19,69.76,419.0,36.03,389.0,414.87,0.88,280.0,942.79,
2008,1,4,11,28.47,68.71,525.0,83.88,451.0,411.83,0.56,311.0,941.64,
2008,1,4,12,28.75,67.67,715.0,338.23,421.0,408.8,0.23,342.0,940.49,
2008,1,4,13,29.47,60.08,790.0,692.07,240.0,409.67,0.48,351.0,939.9,
2008,1,4,14,30.18,52.48,632.0,622.22,219.0,410.53,0.73,0.0,939.31,
2008,1,4,15,30.89,44.89,402.0,418.35,199.0,411.4,0.98,9.0,938.72,
2008,1,4,16,29.25,49.04,71.0,0.0,71.0,409.5,1.12,339.0,939.4,
2008,1,4,17,27.6,53.19,0.0,0.0,0.0,407.6,1.26,309.0,940.08,
2008,1,4,18,25.96,57.34,0.0,0.0,0.0,405.7,1.39,278.0,940.77,
2008,1,4,19,25.4,61.21,0.0,0.0,0.0,404.83,1.59,264.0,941.36,
2008,1,4,20,24.84,65.07,0.0,0.0,0.0,403.97,1.78,249.0,941.95,
2008,1,4,21,24.28,68.94,0.0,0.0,0.0,403.1,1.97,235.0,942.54,
2008,1,4,22,24.24,72.65,0.0,0.0,0.0,401.32,1.88,234.0,942.51,
2008,1,4,23,24.21,76.36,0.0,0.0,0.0,399.53,1.78,233.0,942.48,
2008,1,5,0,24.17,80.07,0.0,0.0,0.0,397.75,1.68,233.0,942.45,
2008,1,5,1,23.52,84.2,0.0,0.0,0.0,397.92,1.46,231.0,942.2,
2008,1,5,2,22.86,88.33,0.0,0.0,0.0,398.08,1.24,230.0,941.95,
2008,1,5,3,22.21,92.46,0.0,0.0,0.0,398.25,1.02,229.0,941.7,
2008,1,5,4,22.99,91.62,0.0,0.0,0.0,398.92,0.94,256.0,942.35,
2008,1,5,5,23.76,90.77,0.0,0.0,0.0,399.58,0.86,284.0,943.01,
2008,1,5,6,24.53,89.93,74.0,149.66,54.0,400.25,0.77,312.0,943.66,
2008,1,5,7,25.7,79.27,217.0,132.62,169.0,401.5,1.13,340.0,943.5,
2008,1,5,8,26.87,68.62,380.0,177.53,280.0,402.75,1.48,8.0,943.35,
2008,1,5,9,28.03,57.96,551.0,263.83,360.0,404.0,1.83,36.0,943.19,
2008,1,5,10,28.4,50.5,405.0,28.81,381.0,402.15,2.0,41.0,941.86,
2008,1,5,11,28.77,43.03,851.0,602.55,319.0,400.3,2.16,46.0,940.52,
2008,1,5,12,29.14,35.57,876.0,705.42,262.0,398.45,2.32,51.0,939.18,
2008,1,5,13,29.85,32.08,819.0,777.37,200.0,399.82,2.06,53.0,938.84,
2008,1,5,14,30.56,28.59,652.0,688.12,194.0,401.18,1.81,55.0,938.5,
2008,1,5,15,31.28,25.1,449.0,605.47,154.0,402.55,1.56,57.0,938.16,
2008,1,5,16,29.57,31.2,191.0,274.35,116.0,399.53,1.73,81.0,939.15,
2008,1,5,17,27.87,37.29,0.0,0.0,0.0,396.52,1.9,105.0,940.15,
2008,1,5,18,26.16,43.39,0.0,0.0,0.0,393.5,2.07,129.0,941.14,
2008,1,5,19,25.48,49.46,0.0,0.0,0.0,390.92,2.02,134.0,941.79,
