Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,2494,Pala,TCD,Chad,9.35042278944,14.9666210517,1,461.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2005,1,1,0,25.33,34.14,0.0,0.0,0.0,350.02,2.74,329.0,953.92,
2005,1,1,1,24.67,35.49,0.0,0.0,0.0,345.52,2.66,48.0,957.71,
2005,1,1,2,24.02,36.83,0.0,0.0,0.0,341.02,2.58,48.0,957.71,
2005,1,1,3,23.36,38.18,0.0,0.0,0.0,336.51,2.5,48.0,957.71,
2005,1,1,4,22.7,39.53,0.0,0.0,0.0,332.01,2.43,48.0,958.06,
2005,1,1,5,22.05,40.88,0.0,0.0,0.0,327.51,2.35,48.0,958.4,
2005,1,1,6,21.39,42.23,0.0,0.0,0.0,323.01,2.27,49.0,958.75,
2005,1,1,7,20.74,43.58,62.0,140.44,36.0,318.5,2.19,46.0,959.13,
2005,1,1,8,20.08,44.93,299.0,496.6,99.0,314.0,2.12,43.0,959.51,
2005,1,1,9,31.29,20.49,538.0,699.99,126.0,337.1,2.25,40.0,959.89,
2005,1,1,10,32.55,18.23,737.0,821.95,137.0,343.77,2.29,37.0,958.94,
2005,1,1,11,33.82,15.98,889.0,948.24,114.0,350.43,2.32,35.0,957.99,
2005,1,1,12,35.08,13.72,955.0,996.92,113.0,357.1,2.36,33.0,957.05,
2005,1,1,13,35.13,13.72,939.0,1019.74,113.0,359.37,2.51,35.0,956.19,
2005,1,1,14,35.18,13.71,704.0,541.98,316.0,361.63,2.67,36.0,955.34,
2005,1,1,15,35.23,13.71,626.0,757.91,195.0,363.9,2.83,38.0,954.49,
2005,1,1,16,32.66,17.31,327.0,280.16,221.0,359.72,3.14,34.0,954.93,
2005,1,1,17,30.09,20.91,152.0,272.27,109.0,355.53,3.44,31.0,955.37,
2005,1,1,18,27.53,24.51,0.0,0.0,0.0,351.35,3.75,28.0,955.82,
2005,1,1,19,26.92,26.23,0.0,0.0,0.0,348.73,3.67,32.0,956.73,
2005,1,1,20,26.3,27.94,0.0,0.0,0.0,346.12,3.6,37.0,957.65,
2005,1,1,21,25.69,29.66,0.0,0.0,0.0,343.5,3.52,42.0,958.56,
2005,1,1,22,25.22,30.99,0.0,0.0,0.0,341.42,3.26,41.0,958.59,
2005,1,1,23,24.76,32.32,0.0,0.0,0.0,339.33,3.01,40.0,958.62,
2005,1,2,0,24.29,33.65,0.0,0.0,0.0,337.25,2.76,40.0,958.66,
2005,1,2,1,23.49,34.71,0.0,0.0,0.0,334.77,2.91,34.0,958.24,
2005,1,2,2,22.68,35.78,0.0,0.0,0.0,332.28,3.05,28.0,957.83,
2005,1,2,3,21.88,36.84,0.0,0.0,0.0,329.8,3.2,22.0,957.42,
