Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,947,Cuya,CHL,Chile,-19.11667682,-70.1333008236,-4,186.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2007,1,1,0,20.58,91.14,0.0,0.0,0.0,368.81,1.29,206.0,990.66,
2007,1,1,1,20.09,91.77,0.0,0.0,0.0,365.47,1.09,193.0,990.17,
2007,1,1,2,19.61,92.41,0.0,0.0,0.0,362.13,0.89,201.0,989.85,
2007,1,1,3,19.12,93.04,0.0,0.0,0.0,358.79,0.68,209.0,989.52,
2007,1,1,4,19.91,92.48,0.0,0.0,0.0,355.3,1.41,217.0,989.2,
2007,1,1,5,20.22,92.08,0.0,0.0,0.0,346.47,1.31,217.0,989.62,
2007,1,1,6,20.53,91.68,0.0,0.0,0.0,337.63,1.21,217.0,990.04,
2007,1,1,7,20.84,91.28,74.0,0.0,74.0,328.8,1.12,217.0,990.47,
2007,1,1,8,22.53,90.53,356.0,539.69,134.0,346.8,1.77,225.0,990.31,
2007,1,1,9,24.22,89.78,590.0,680.23,172.0,364.8,2.41,233.0,990.14,
2007,1,1,10,25.91,89.03,795.0,763.54,196.0,382.8,3.06,241.0,989.98,
2007,1,1,11,26.46,88.94,949.0,810.1,212.0,391.48,3.47,241.0,989.39,
2007,1,1,12,27.02,88.85,1038.0,832.18,221.0,400.17,3.87,241.0,988.81,
2007,1,1,13,27.57,88.76,1055.0,834.71,224.0,408.85,4.28,241.0,988.22,
2007,1,1,14,27.03,89.4,999.0,819.79,220.0,413.37,4.09,238.0,988.09,
2007,1,1,15,26.49,90.03,873.0,781.02,210.0,417.88,3.9,235.0,987.96,
2007,1,1,16,25.94,90.67,690.0,711.61,193.0,422.4,3.71,232.0,987.83,
2007,1,1,17,24.67,91.07,466.0,591.28,165.0,411.8,3.22,230.0,988.41,
2007,1,1,18,23.4,91.46,230.0,381.28,118.0,401.2,2.74,227.0,989.0,
2007,1,1,19,22.13,91.86,0.0,0.0,0.0,390.6,2.25,224.0,989.59,
2007,1,1,20,21.87,92.22,0.0,0.0,0.0,381.47,1.72,205.0,989.43,
2007,1,1,21,21.61,92.59,0.0,0.0,0.0,372.33,1.19,186.0,989.26,
2007,1,1,22,21.34,92.95,0.0,0.0,0.0,363.2,0.66,168.0,989.1,
2007,1,1,23,21.16,92.89,0.0,0.0,0.0,357.97,0.77,137.0,988.58,
2007,1,2,0,20.97,92.84,0.0,0.0,0.0,352.73,0.87,106.0,988.06,
2007,1,2,1,20.79,92.78,0.0,0.0,0.0,347.5,0.98,75.0,987.53,
2007,1,2,2,20.61,93.07,0.0,0.0,0.0,339.15,0.78,91.0,987.53,
2007,1,2,3,20.43,93.35,0.0,0.0,0.0,330.8,0.58,108.0,987.53,
2007,1,2,4,20.25,93.64,0.0,0.0,0.0,322.45,0.39,124.0,987.53,
2007,1,2,5,20.62,93.08,0.0,0.0,0.0,319.92,0.31,70.0,987.99,
