Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,3689,Huaibei,CHN,China,33.9503682648,116.75002071,8,32.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2013,1,1,0,-8.1,54.58,0.0,0.0,0.0,184.63,0.43,1.0,1032.87,
2013,1,1,1,-7.11,54.33,0.0,0.0,0.0,188.2,0.67,354.0,1032.87,
2013,1,1,2,-6.13,54.08,0.0,0.0,0.0,191.77,0.91,330.0,1032.74,
2013,1,1,3,-5.14,53.83,0.0,0.0,0.0,195.34,1.15,305.0,1032.61,
2013,1,1,4,-4.16,53.58,0.0,0.0,0.0,198.91,1.4,280.0,1032.47,
2013,1,1,5,-3.17,53.33,0.0,0.0,0.0,202.48,1.64,298.0,1032.64,
2013,1,1,6,-2.18,53.08,0.0,0.0,0.0,206.05,1.88,316.0,1032.81,
2013,1,1,7,-1.2,52.83,0.0,0.0,0.0,209.62,2.13,333.0,1032.97,
2013,1,1,8,-0.21,52.59,44.0,170.48,29.75,213.19,2.37,262.0,1019.16,
2013,1,1,9,0.77,52.34,190.0,310.03,111.0,216.76,2.61,264.0,1019.29,
2013,1,1,10,1.76,52.09,309.0,314.88,185.0,220.33,2.85,265.0,1019.42,
2013,1,1,11,2.74,51.84,444.0,486.69,205.0,223.9,3.1,283.0,1018.96,
2013,1,1,12,3.73,51.59,526.0,611.11,196.0,227.47,3.34,301.0,1018.49,
2013,1,1,13,4.71,51.34,525.0,621.68,191.0,231.04,3.58,319.0,1018.03,
2013,1,1,14,5.7,51.09,460.0,587.96,176.0,234.61,3.83,337.0,1018.56,
2013,1,1,15,6.68,50.84,336.0,485.57,151.0,238.18,4.07,356.0,1019.09,
2013,1,1,16,2.67,51.27,159.0,226.77,105.0,234.75,4.08,14.0,1019.62,
2013,1,1,17,1.26,53.29,3.0,0.0,3.0,232.8,3.99,21.0,1020.45,
2013,1,1,18,-0.16,55.32,0.0,0.0,0.0,230.85,3.89,27.0,1021.28,
2013,1,1,19,-1.57,57.34,0.0,0.0,0.0,228.9,3.79,34.0,1022.11,
2013,1,1,20,-2.02,58.09,0.0,0.0,0.0,227.32,4.15,39.0,1022.55,
2013,1,1,21,-2.46,58.85,0.0,0.0,0.0,225.73,4.5,43.0,1022.98,
2013,1,1,22,-2.9,59.6,0.0,0.0,0.0,224.15,4.86,47.0,1023.41,
2013,1,1,23,-3.45,59.13,0.0,0.0,0.0,221.72,4.86,48.0,1024.01,
2013,1,2,0,-4.0,58.67,0.0,0.0,0.0,219.28,4.86,49.0,1024.6,
2013,1,2,1,-4.55,58.2,0.0,0.0,0.0,216.85,4.86,49.0,1025.2,
2013,1,2,2,-4.9,57.53,0.0,0.0,0.0,215.07,4.87,47.0,1025.87,
2013,1,2,3,-5.25,56.87,0.0,0.0,0.0,213.28,4.88,45.0,1026.53,
2013,1,2,4,-5.6,56.2,0.0,0.0,0.0,211.5,4.9,43.0,1027.19,
2013,1,2,5,-5.8,54.46,0.0,0.0,0.0,210.1,4.67,41.0,1028.32,
2013,1,2,6,-5.99,52.72,0.0,0.0,0.0,208.7,4.44,40.0,1029.45,
2013,1,2,7,-6.19,50.98,0.0,0.0,0.0,207.3,4.21,38.0,1030.58,
2013,1,2,8,-5.37,48.39,9.0,0.0,9.0,209.15,4.52,36.0,1031.71,
2013,1,2,9,-4.55,45.79,221.0,518.23,89.0,211.0,4.84,35.0,1032.84,
2013,1,2,10,-3.73,43.2,278.0,213.16,194.0,212.85,5.16,33.0,1033.97,
2013,1,2,11,-3.53,42.11,426.0,416.89,221.0,214.35,5.17,30.0,1033.94,
2013,1,2,12,-3.33,41.01,548.0,700.45,169.0,215.85,5.19,27.0,1033.9,
2013,1,2,13,-3.12,39.92,497.0,508.61,223.0,217.35,5.2,25.0,1033.87,
2013,1,2,14,-3.72,40.6,398.0,350.64,228.0,217.5,5.09,24.0,1034.63,
2013,1,2,15,-4.31,41.29,208.0,75.71,179.0,217.65,4.97,23.0,1035.4,
2013,1,2,16,-4.91,41.97,27.0,0.0,27.0,217.8,4.86,22.0,1036.16,
2013,1,2,17,-5.46,41.72,3.0,0.0,3.0,221.48,4.78,22.0,1037.02,
2013,1,2,18,-6.02,41.46,0.0,0.0,0.0,225.17,4.7,21.0,1037.89,
2013,1,2,19,-6.57,41.21,0.0,0.0,0.0,228.85,4.62,21.0,1038.75,
2013,1,2,20,-6.66,40.71,0.0,0.0,0.0,231.43,4.33,22.0,1039.35,
2013,1,2,21,-6.75,40.21,0.0,0.0,0.0,234.02,4.04,22.0,1039.95,
2013,1,2,22,-6.84,39.71,0.0,0.0,0.0,236.6,3.75,23.0,1040.54,
2013,1,2,23,-7.4,40.07,0.0,0.0,0.0,235.58,3.66,22.0,1040.61,
2013,1,3,0,-7.97,40.44,0.0,0.0,0.0,234.57,3.57,20.0,1040.68,
2013,1,3,1,-8.53,40.8,0.0,0.0,0.0,233.55,3.48,19.0,1040.74,
2013,1,3,2,-8.97,41.06,0.0,0.0,0.0,222.63,3.37,17.0,1040.84,
2013,1,3,3,-9.42,41.32,0.0,0.0,0.0,211.72,3.26,16.0,1040.94,
2013,1,3,4,-9.87,41.58,0.0,0.0,0.0,200.8,3.14,14.0,1041.04,
2013,1,3,5,-9.82,41.42,0.0,0.0,0.0,199.42,3.01,15.0,1041.24,
2013,1,3,6,-9.76,41.27,0.0,0.0,0.0,198.03,2.87,15.0,1041.44,
2013,1,3,7,-9.71,41.11,0.0,0.0,0.0,196.65,2.73,16.0,1041.64,
2013,1,3,8,-8.28,41.13,101.0,543.01,56.0,197.87,2.54,18.0,1041.74,
2013,1,3,9,-6.85,41.16,205.0,404.37,102.0,199.08,2.34,19.0,1041.84,
2013,1,3,10,-5.42,41.18,361.0,540.0,148.0,200.3,2.15,21.0,1041.94,
