Location,City,Region,Country,Latitude,Longitude,Time Zone,Elevation,Source
516440,Kuqa,CHN,China,41.72,82.95,8.0,1100,PVGIS
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2014,1,1,0,-12.49,76.58,0.0,0.0,0.0,187.24,0.45,284.0,912.58,
2014,1,1,1,-12.19,75.48,0.0,0.0,0.0,187.11,0.55,317.0,912.43,
2014,1,1,2,-11.89,74.37,0.0,0.0,0.0,186.98,0.64,315.0,911.9,
2014,1,1,3,-11.59,73.27,0.0,0.0,0.0,186.85,0.74,312.0,911.37,
2014,1,1,4,-11.29,72.17,0.0,0.0,0.0,186.72,0.84,309.0,910.85,
2014,1,1,5,-10.99,71.07,0.0,0.0,0.0,186.59,0.94,275.0,910.58,
2014,1,1,6,-10.69,69.97,0.0,0.0,0.0,186.47,1.03,240.0,910.32,
2014,1,1,7,-10.39,68.87,0.0,0.0,0.0,186.34,1.13,206.0,910.05,
2014,1,1,8,-10.09,67.76,0.0,0.0,0.0,186.21,1.23,269.0,909.73,
2014,1,1,9,-9.8,66.66,0.0,0.0,0.0,186.08,1.32,270.0,910.38,
2014,1,1,10,-9.5,65.56,0.0,0.0,0.0,185.95,1.42,271.0,911.02,
2014,1,1,11,-9.2,64.46,94.0,315.27,52.0,185.82,1.52,259.0,910.99,
2014,1,1,12,-8.9,63.36,248.0,621.23,83.0,185.7,1.62,247.0,910.96,
2014,1,1,13,-8.6,62.25,339.0,577.09,130.0,185.57,1.71,236.0,910.93,
2014,1,1,14,-8.3,61.15,410.0,658.16,136.0,185.44,1.81,229.0,910.32,
2014,1,1,15,-8.0,60.05,422.0,676.31,135.0,185.31,1.91,222.0,909.7,
2014,1,1,16,-4.94,49.41,374.0,640.28,127.0,192.1,1.2,216.0,909.09,
2014,1,1,17,-7.03,52.21,263.0,471.7,120.0,194.57,1.65,217.0,909.41,
2014,1,1,18,-9.12,55.02,150.0,472.11,64.0,197.03,2.1,219.0,909.73,
2014,1,1,19,-11.2,57.82,0.0,0.0,0.0,199.5,2.55,221.0,910.05,
2014,1,1,20,-10.96,58.45,0.0,0.0,0.0,204.55,1.97,225.0,910.82,
2014,1,1,21,-10.71,59.07,0.0,0.0,0.0,209.6,1.39,229.0,911.58,
2014,1,1,22,-10.46,59.7,0.0,0.0,0.0,214.65,0.81,233.0,912.34,
2014,1,1,23,-10.32,59.86,0.0,0.0,0.0,214.85,0.79,263.0,912.37,
2014,1,2,0,-10.17,60.03,0.0,0.0,0.0,215.05,0.77,294.0,912.4,
2014,1,2,1,-10.03,60.19,0.0,0.0,0.0,215.25,0.74,324.0,912.43,
2014,1,2,2,-10.17,60.94,0.0,0.0,0.0,212.63,0.95,289.0,912.11,
2014,1,2,3,-10.3,61.68,0.0,0.0,0.0,210.02,1.16,253.0,911.78,
2014,1,2,4,-10.44,62.43,0.0,0.0,0.0,207.4,1.37,218.0,911.46,
2014,1,2,5,-10.89,62.77,0.0,0.0,0.0,204.63,1.6,223.0,911.58,
2014,1,2,6,-11.33,63.11,0.0,0.0,0.0,201.87,1.83,228.0,911.7,
2014,1,2,7,-11.78,63.45,0.0,0.0,0.0,199.1,2.06,234.0,911.81,
2014,1,2,8,-11.3,64.41,0.0,0.0,0.0,197.43,1.54,247.0,912.52,
2014,1,2,9,-10.81,65.36,0.0,0.0,0.0,195.77,1.03,259.0,913.22,
2014,1,2,10,-10.33,66.32,0.0,0.0,0.0,194.1,0.52,272.0,913.93,
2014,1,2,11,-8.62,59.32,34.0,0.0,34.0,196.03,0.95,263.0,913.87,
2014,1,2,12,-6.92,52.31,230.0,477.46,103.0,197.97,1.37,255.0,913.81,
2014,1,2,13,-5.21,45.31,274.0,264.53,178.0,199.9,1.79,246.0,913.75,
2014,1,2,14,-4.62,42.21,331.0,301.85,205.0,199.23,2.11,243.0,912.84,
2014,1,2,15,-4.03,39.12,348.0,340.51,203.0,198.57,2.43,241.0,911.93,
2014,1,2,16,-3.43,36.02,367.0,590.89,138.0,197.9,2.74,238.0,911.02,
2014,1,2,17,-5.39,39.92,292.0,655.31,92.0,195.52,2.76,239.0,911.17,
2014,1,2,18,-7.34,43.81,167.0,650.82,47.0,193.13,2.77,240.0,911.31,
2014,1,2,19,-9.29,47.71,0.0,0.0,0.0,190.75,2.79,241.0,911.46,
2014,1,2,20,-9.83,52.89,0.0,0.0,0.0,192.27,2.46,245.0,911.73,
2014,1,2,21,-10.36,58.07,0.0,0.0,0.0,193.78,2.13,249.0,911.99,
2014,1,2,22,-10.9,63.25,0.0,0.0,0.0,195.3,1.81,252.0,912.25,
2014,1,2,23,-11.05,65.04,0.0,0.0,0.0,194.97,1.71,261.0,912.34,
2014,1,3,0,-11.2,66.83,0.0,0.0,0.0,194.63,1.6,269.0,912.43,
2014,1,3,1,-11.35,68.62,0.0,0.0,0.0,194.3,1.5,278.0,912.52,
2014,1,3,2,-11.65,70.02,0.0,0.0,0.0,194.13,1.42,285.0,912.11,
2014,1,3,3,-11.95,71.43,0.0,0.0,0.0,193.97,1.34,291.0,911.7,
2014,1,3,4,-12.25,72.83,0.0,0.0,0.0,193.8,1.26,298.0,911.29,
2014,1,3,5,-12.8,73.13,0.0,0.0,0.0,193.6,1.09,292.0,910.9,
2014,1,3,6,-13.35,73.42,0.0,0.0,0.0,193.4,0.91,287.0,910.52,
2014,1,3,7,-13.9,73.72,0.0,0.0,0.0,193.2,0.74,282.0,910.14,
2014,1,3,8,-13.06,72.38,0.0,0.0,0.0,192.08,0.58,282.0,910.87,
2014,1,3,9,-12.23,71.04,0.0,0.0,0.0,190.97,0.41,283.0,911.61,
