Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,4950,Pingxiang,CHN,China,27.620005309,113.850042683,8,119.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2006,1,1,0,6.57,84.39,0.0,0.0,0.0,326.8,1.61,2.0,1011.87,
2006,1,1,1,6.9,83.46,0.0,0.0,0.0,328.77,1.67,358.0,1011.9,
2006,1,1,2,7.22,82.53,0.0,0.0,0.0,330.75,1.73,359.0,1011.9,
2006,1,1,3,7.55,81.59,0.0,0.0,0.0,332.72,1.79,360.0,1011.9,
2006,1,1,4,7.87,80.66,0.0,0.0,0.0,334.69,1.86,1.0,1011.9,
2006,1,1,5,8.2,79.73,0.0,0.0,0.0,336.67,1.92,10.0,1012.03,
2006,1,1,6,8.52,78.79,0.0,0.0,0.0,338.64,1.98,20.0,1012.17,
2006,1,1,7,8.84,77.86,0.0,0.0,0.0,340.61,2.04,30.0,1012.3,
2006,1,1,8,9.17,76.93,9.0,0.0,9.0,342.59,2.11,2.0,1013.41,
2006,1,1,9,9.49,75.99,18.0,0.0,18.0,344.56,2.17,3.0,1013.25,
2006,1,1,10,9.82,75.06,59.0,0.0,59.0,346.53,2.23,5.0,1013.09,
2006,1,1,11,10.14,74.12,121.0,0.0,121.0,348.51,2.29,360.0,1012.46,
2006,1,1,12,10.47,73.19,153.0,0.0,153.0,350.48,2.36,355.0,1011.84,
2006,1,1,13,10.79,72.26,146.0,0.0,146.0,352.45,2.42,351.0,1011.21,
2006,1,1,14,11.12,71.32,112.0,0.0,112.0,354.43,2.48,355.0,1011.15,
2006,1,1,15,11.44,70.39,87.0,0.0,87.0,356.4,2.55,359.0,1011.08,
2006,1,1,16,10.91,70.22,30.0,0.0,30.0,353.65,2.33,4.0,1011.02,
2006,1,1,17,10.22,73.66,9.0,0.0,9.0,351.05,1.92,13.0,1011.28,
2006,1,1,18,9.53,77.09,0.0,0.0,0.0,348.45,1.51,22.0,1011.54,
2006,1,1,19,8.84,80.53,0.0,0.0,0.0,345.85,1.1,31.0,1011.8,
2006,1,1,20,8.61,79.22,0.0,0.0,0.0,345.22,1.29,24.0,1011.8,
2006,1,1,21,8.39,77.92,0.0,0.0,0.0,344.58,1.48,16.0,1011.8,
2006,1,1,22,8.16,76.61,0.0,0.0,0.0,343.95,1.67,9.0,1011.8,
2006,1,1,23,7.99,77.98,0.0,0.0,0.0,337.2,1.61,5.0,1011.84,
2006,1,2,0,7.81,79.35,0.0,0.0,0.0,330.45,1.55,2.0,1011.87,
2006,1,2,1,7.64,80.72,0.0,0.0,0.0,323.7,1.49,358.0,1011.9,
2006,1,2,2,7.56,81.13,0.0,0.0,0.0,328.4,1.67,359.0,1011.9,
