Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,4925,Xining,CHN,China,36.6199985952,101.770004841,8,2252.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2012,1,1,0,-10.77,58.76,0.0,0.0,0.0,197.51,0.66,254.0,783.28,
2012,1,1,1,-10.11,56.49,0.0,0.0,0.0,194.53,0.83,253.0,783.96,
2012,1,1,2,-9.45,54.23,0.0,0.0,0.0,191.55,0.99,252.0,784.52,
2012,1,1,3,-8.79,51.97,0.0,0.0,0.0,188.57,1.16,251.0,785.08,
2012,1,1,4,-8.14,49.7,0.0,0.0,0.0,185.59,1.33,250.0,785.64,
2012,1,1,5,-7.48,47.44,0.0,0.0,0.0,182.6,1.49,249.0,786.27,
2012,1,1,6,-6.82,45.18,0.0,0.0,0.0,179.62,1.66,249.0,786.9,
2012,1,1,7,-6.17,42.91,0.0,0.0,0.0,176.64,1.83,248.0,787.54,
2012,1,1,8,-5.51,40.65,0.0,0.0,0.0,173.66,1.99,240.0,783.3,
2012,1,1,9,-4.85,38.39,16.0,0.0,16.0,170.68,2.16,242.0,784.24,
2012,1,1,10,-4.2,36.12,180.0,353.15,100.0,167.7,2.33,244.0,785.18,
2012,1,1,11,-3.54,33.86,369.0,737.77,103.0,164.71,2.49,261.0,782.9,
2012,1,1,12,-2.88,31.6,513.0,973.35,71.0,161.73,2.66,279.0,780.62,
2012,1,1,13,-2.22,29.33,567.0,962.42,85.0,158.75,2.83,297.0,778.34,
2012,1,1,14,-1.57,27.07,569.0,996.94,73.0,155.77,2.99,323.0,777.3,
2012,1,1,15,-0.91,24.81,504.0,1001.29,59.0,152.79,3.16,350.0,776.26,
2012,1,1,16,1.02,15.55,382.0,990.86,40.0,165.2,4.68,16.0,775.22,
2012,1,1,17,-1.34,19.06,184.0,556.98,69.0,162.87,4.24,51.0,775.85,
2012,1,1,18,-3.7,22.58,0.0,0.0,0.0,160.53,3.8,87.0,776.49,
2012,1,1,19,-6.06,26.09,0.0,0.0,0.0,158.2,3.37,122.0,777.12,
