Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,2580,Yaan,CHN,China,29.9804297068,103.0800024,8,549.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2012,1,1,0,4.58,91.66,0.0,0.0,0.0,272.61,1.05,55.0,952.62,
2012,1,1,1,4.69,91.59,0.0,0.0,0.0,276.3,1.05,54.0,952.62,
2012,1,1,2,4.8,91.53,0.0,0.0,0.0,279.98,1.05,51.0,952.65,
2012,1,1,3,4.91,91.46,0.0,0.0,0.0,283.67,1.05,49.0,952.68,
2012,1,1,4,5.02,91.39,0.0,0.0,0.0,287.36,1.05,47.0,952.71,
2012,1,1,5,5.13,91.32,0.0,0.0,0.0,291.05,1.05,4.0,953.02,
2012,1,1,6,5.24,91.25,0.0,0.0,0.0,294.73,1.05,322.0,953.34,
2012,1,1,7,5.35,91.18,0.0,0.0,0.0,298.42,1.05,279.0,953.65,
2012,1,1,8,5.46,91.11,0.0,0.0,0.0,302.11,1.05,74.0,961.39,
2012,1,1,9,5.57,91.04,10.0,0.0,10.0,305.8,1.05,73.0,961.83,
2012,1,1,10,5.68,90.97,44.0,0.0,44.0,309.48,1.05,72.0,962.27,
2012,1,1,11,5.79,90.9,107.0,0.0,107.0,313.17,1.05,73.0,960.8,
2012,1,1,12,5.9,90.84,228.0,10.88,222.0,316.86,1.05,74.0,959.33,
2012,1,1,13,6.01,90.77,248.0,10.03,242.0,320.55,1.05,75.0,957.86,
2012,1,1,14,6.11,90.7,324.0,59.22,289.0,324.23,1.05,73.0,958.02,
2012,1,1,15,6.22,90.63,129.0,0.0,129.0,327.92,1.05,71.0,958.18,
2012,1,1,16,5.77,96.38,150.0,4.76,148.0,319.75,0.98,69.0,958.33,
2012,1,1,17,5.58,96.7,54.0,0.0,54.0,319.0,0.97,63.0,959.64,
2012,1,1,18,5.4,97.03,5.0,0.0,5.0,318.25,0.96,57.0,960.95,
2012,1,1,19,5.21,97.35,0.0,0.0,0.0,317.5,0.95,52.0,962.27,
2012,1,1,20,5.1,97.19,0.0,0.0,0.0,315.05,0.9,47.0,962.27,
2012,1,1,21,4.99,97.04,0.0,0.0,0.0,312.6,0.84,42.0,962.27,
2012,1,1,22,4.87,96.88,0.0,0.0,0.0,310.15,0.79,37.0,962.27,
2012,1,1,23,4.72,96.72,0.0,0.0,0.0,310.13,0.77,36.0,962.02,
2012,1,2,0,4.58,96.57,0.0,0.0,0.0,310.12,0.75,35.0,961.77,
2012,1,2,1,4.43,96.41,0.0,0.0,0.0,310.1,0.73,34.0,961.52,
2012,1,2,2,4.24,96.39,0.0,0.0,0.0,310.05,0.75,32.0,961.39,
2012,1,2,3,4.04,96.38,0.0,0.0,0.0,310.0,0.78,30.0,961.27,
2012,1,2,4,3.85,96.36,0.0,0.0,0.0,309.95,0.8,28.0,961.14,
2012,1,2,5,3.67,96.29,0.0,0.0,0.0,309.22,0.77,27.0,961.14,
2012,1,2,6,3.49,96.21,0.0,0.0,0.0,308.48,0.74,26.0,961.14,
2012,1,2,7,3.31,96.14,0.0,0.0,0.0,307.75,0.72,25.0,961.14,
2012,1,2,8,3.48,94.32,0.0,0.0,0.0,306.67,0.76,23.0,961.39,
2012,1,2,9,3.65,92.51,13.0,0.0,13.0,305.58,0.81,22.0,961.64,
2012,1,2,10,3.81,90.69,49.0,0.0,49.0,304.5,0.86,21.0,961.89,
2012,1,2,11,3.78,91.12,107.0,0.0,107.0,302.95,1.09,26.0,960.27,
2012,1,2,12,3.75,91.55,148.0,0.0,148.0,301.4,1.31,32.0,958.64,
2012,1,2,13,3.72,91.98,252.0,11.68,245.0,299.85,1.54,38.0,957.02,
2012,1,2,14,3.48,93.61,188.0,0.0,188.0,296.37,1.48,41.0,956.96,
2012,1,2,15,3.23,95.24,105.0,0.0,105.0,292.88,1.42,43.0,956.9,
2012,1,2,16,2.99,96.87,357.0,416.97,181.0,289.4,1.35,45.0,956.83,
2012,1,2,17,2.94,96.89,166.0,155.5,124.0,291.07,1.28,43.0,958.05,
2012,1,2,18,2.9,96.92,30.0,0.0,30.0,292.73,1.21,41.0,959.27,
2012,1,2,19,2.85,96.94,0.0,0.0,0.0,294.4,1.14,39.0,960.49,
2012,1,2,20,2.83,97.02,0.0,0.0,0.0,294.78,1.13,32.0,960.89,
2012,1,2,21,2.8,97.09,0.0,0.0,0.0,295.17,1.11,26.0,961.3,
2012,1,2,22,2.77,97.17,0.0,0.0,0.0,295.55,1.09,19.0,961.7,
2012,1,2,23,2.53,97.05,0.0,0.0,0.0,296.35,1.13,16.0,961.95,
2012,1,3,0,2.29,96.93,0.0,0.0,0.0,297.15,1.17,13.0,962.2,
2012,1,3,1,2.05,96.81,0.0,0.0,0.0,297.95,1.21,11.0,962.45,
2012,1,3,2,1.91,96.89,0.0,0.0,0.0,297.82,1.12,13.0,962.83,
2012,1,3,3,1.77,96.98,0.0,0.0,0.0,297.68,1.02,16.0,963.2,
2012,1,3,4,1.63,97.06,0.0,0.0,0.0,297.55,0.92,19.0,963.58,
2012,1,3,5,1.38,96.99,0.0,0.0,0.0,296.45,1.07,18.0,964.29,
2012,1,3,6,1.13,96.91,0.0,0.0,0.0,295.35,1.22,17.0,965.01,
2012,1,3,7,0.88,96.84,0.0,0.0,0.0,294.25,1.37,16.0,965.73,
2012,1,3,8,0.57,95.28,0.0,0.0,0.0,294.32,1.29,10.0,966.79,
2012,1,3,9,0.26,93.73,21.0,0.0,21.0,294.38,1.21,5.0,967.85,
2012,1,3,10,-0.05,92.17,96.0,3.21,95.0,294.45,1.13,359.0,968.92,
2012,1,3,11,-0.2,91.27,139.0,0.0,139.0,294.45,1.26,5.0,967.73,
2012,1,3,12,-0.35,90.38,191.0,1.81,190.0,294.45,1.38,10.0,966.54,
2012,1,3,13,-0.5,89.48,361.0,91.6,306.0,294.45,1.5,16.0,965.36,
2012,1,3,14,-0.83,91.73,353.0,87.53,301.0,294.07,1.4,18.0,965.54,
2012,1,3,15,-1.16,93.97,215.0,9.36,210.0,293.68,1.29,21.0,965.73,
2012,1,3,16,-1.49,96.22,191.0,25.93,180.0,293.3,1.19,23.0,965.92,
2012,1,3,17,-1.32,96.11,124.0,40.38,113.0,293.33,0.92,20.0,967.04,
2012,1,3,18,-1.15,96.0,10.0,0.0,10.0,293.37,0.66,17.0,968.17,
2012,1,3,19,-0.99,95.89,0.0,0.0,0.0,293.4,0.4,13.0,969.29,
2012,1,3,20,-0.7,95.85,0.0,0.0,0.0,291.67,0.61,2.0,969.48,
2012,1,3,21,-0.41,95.8,0.0,0.0,0.0,289.93,0.82,352.0,969.66,
2012,1,3,22,-0.12,95.76,0.0,0.0,0.0,288.2,1.03,341.0,969.85,
2012,1,3,23,-0.16,95.74,0.0,0.0,0.0,287.55,1.14,342.0,969.48,
2012,1,4,0,-0.19,95.71,0.0,0.0,0.0,286.9,1.26,343.0,969.1,
2012,1,4,1,-0.23,95.69,0.0,0.0,0.0,286.25,1.37,343.0,968.73,
2012,1,4,2,-0.32,95.6,0.0,0.0,0.0,285.72,1.36,351.0,968.48,
2012,1,4,3,-0.41,95.52,0.0,0.0,0.0,285.18,1.36,358.0,968.23,
2012,1,4,4,-0.5,95.43,0.0,0.0,0.0,284.65,1.35,5.0,967.98,
2012,1,4,5,-0.59,95.05,0.0,0.0,0.0,285.07,1.49,14.0,967.95,
2012,1,4,6,-0.68,94.68,0.0,0.0,0.0,285.48,1.62,22.0,967.92,
2012,1,4,7,-0.78,94.3,0.0,0.0,0.0,285.9,1.75,31.0,967.89,
2012,1,4,8,-0.43,90.44,0.0,0.0,0.0,287.13,1.42,38.0,967.89,
2012,1,4,9,-0.08,86.59,34.0,0.0,34.0,288.37,1.08,45.0,967.89,
2012,1,4,10,0.26,82.73,142.0,35.33,131.0,289.6,0.74,52.0,967.89,
2012,1,4,11,0.66,81.32,305.0,167.21,229.0,289.65,0.77,61.0,965.7,
2012,1,4,12,1.06,79.92,403.0,214.97,284.0,289.7,0.8,70.0,963.51,
2012,1,4,13,1.46,78.51,578.0,583.34,227.0,289.75,0.83,79.0,961.33,
2012,1,4,14,1.4,82.93,478.0,303.85,297.0,292.68,0.87,80.0,960.89,
