Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,3732,Yibin,CHN,China,28.7699867951,104.570040648,8,449.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2005,1,1,0,8.83,97.27,0.0,0.0,0.0,318.05,1.0,350.0,975.36,
2005,1,1,1,8.45,94.05,0.0,0.0,0.0,316.63,1.11,346.0,975.49,
2005,1,1,2,8.06,90.82,0.0,0.0,0.0,315.2,1.22,343.0,975.64,
2005,1,1,3,7.68,87.59,0.0,0.0,0.0,313.77,1.33,340.0,975.8,
2005,1,1,4,7.3,84.36,0.0,0.0,0.0,312.35,1.43,337.0,975.96,
2005,1,1,5,6.91,81.14,0.0,0.0,0.0,310.92,1.54,333.0,976.27,
2005,1,1,6,6.53,77.91,0.0,0.0,0.0,309.5,1.65,329.0,976.59,
2005,1,1,7,6.14,74.68,0.0,0.0,0.0,308.07,1.75,324.0,976.91,
2005,1,1,8,5.76,71.45,0.0,0.0,0.0,306.64,1.86,47.0,979.66,
2005,1,1,9,5.37,68.22,20.0,0.0,20.0,305.22,1.97,47.0,979.66,
2005,1,1,10,4.99,65.0,83.0,0.0,83.0,303.79,2.07,47.0,979.66,
2005,1,1,11,4.6,61.77,103.0,0.0,103.0,302.37,2.18,45.0,978.61,
2005,1,1,12,4.22,58.54,121.0,0.0,121.0,300.94,2.29,43.0,977.57,
2005,1,1,13,3.83,55.31,187.0,0.0,187.0,299.51,2.4,41.0,976.53,
2005,1,1,14,3.45,52.08,91.0,0.0,91.0,298.09,2.5,37.0,976.15,
2005,1,1,15,3.07,48.86,74.0,0.0,74.0,296.66,2.61,33.0,975.77,
2005,1,1,16,4.28,53.09,54.0,0.0,54.0,303.05,2.7,29.0,975.39,
2005,1,1,17,3.96,55.9,29.0,0.0,29.0,302.85,2.55,15.0,975.9,
2005,1,1,18,3.64,58.7,7.0,0.0,7.0,302.65,2.4,1.0,976.4,
2005,1,1,19,3.32,61.51,0.0,0.0,0.0,302.45,2.25,346.0,976.91,
2005,1,1,20,2.71,62.63,0.0,0.0,0.0,299.15,2.05,342.0,977.6,
2005,1,1,21,2.1,63.75,0.0,0.0,0.0,295.85,1.84,337.0,978.3,
2005,1,1,22,1.49,64.87,0.0,0.0,0.0,292.55,1.64,333.0,978.99,
2005,1,1,23,1.27,67.43,0.0,0.0,0.0,287.83,1.21,16.0,978.36,
2005,1,2,0,1.05,69.98,0.0,0.0,0.0,283.12,0.78,59.0,977.73,
2005,1,2,1,0.84,72.54,0.0,0.0,0.0,278.4,0.34,102.0,977.1,
2005,1,2,2,0.74,76.04,0.0,0.0,0.0,273.77,0.85,107.0,975.99,
2005,1,2,3,0.64,79.55,0.0,0.0,0.0,269.13,1.36,111.0,974.88,
2005,1,2,4,0.54,83.05,0.0,0.0,0.0,264.5,1.86,115.0,973.78,
2005,1,2,5,0.88,84.81,0.0,0.0,0.0,267.8,1.81,113.0,973.18,
2005,1,2,6,1.23,86.58,0.0,0.0,0.0,271.1,1.76,111.0,972.58,
2005,1,2,7,1.58,88.34,0.0,0.0,0.0,274.4,1.71,110.0,971.98,
2005,1,2,8,3.15,83.2,0.0,0.0,0.0,278.5,1.7,105.0,971.88,
2005,1,2,9,4.72,78.05,83.0,134.23,61.0,282.6,1.68,101.0,971.79,
2005,1,2,10,6.29,72.91,296.0,558.73,106.0,286.7,1.67,96.0,971.69,
2005,1,2,11,7.63,70.03,462.0,682.96,134.0,289.95,1.76,90.0,969.8,
2005,1,2,12,8.97,67.16,589.0,786.14,137.0,293.2,1.85,84.0,967.9,
2005,1,2,13,10.31,64.28,641.0,791.64,152.0,296.45,1.94,78.0,966.01,
2005,1,2,14,10.76,63.92,613.0,719.98,177.0,292.75,2.1,73.0,964.81,
2005,1,2,15,11.2,63.56,339.0,122.36,273.0,289.05,2.25,67.0,963.6,
2005,1,2,16,11.65,63.2,173.0,14.16,167.0,285.35,2.4,61.0,962.4,
2005,1,2,17,9.7,69.44,88.0,3.75,87.0,277.77,2.34,49.0,962.63,
2005,1,2,18,7.74,75.69,28.0,25.62,26.0,270.18,2.28,37.0,962.85,
2005,1,2,19,5.79,81.93,0.0,0.0,0.0,262.6,2.22,24.0,963.07,
2005,1,2,20,4.99,81.95,0.0,0.0,0.0,259.67,2.13,15.0,963.92,
2005,1,2,21,4.19,81.96,0.0,0.0,0.0,256.73,2.05,5.0,964.77,
2005,1,2,22,3.38,81.98,0.0,0.0,0.0,253.8,1.96,355.0,965.63,
2005,1,2,23,3.02,82.87,0.0,0.0,0.0,253.0,1.82,348.0,966.64,
2005,1,3,0,2.65,83.76,0.0,0.0,0.0,252.2,1.67,340.0,967.65,
2005,1,3,1,2.29,84.65,0.0,0.0,0.0,251.4,1.53,332.0,968.66,
2005,1,3,2,2.2,85.54,0.0,0.0,0.0,265.23,1.64,321.0,969.17,
2005,1,3,3,2.11,86.44,0.0,0.0,0.0,279.07,1.75,311.0,969.67,
2005,1,3,4,2.03,87.33,0.0,0.0,0.0,292.9,1.86,300.0,970.18,
2005,1,3,5,2.27,88.27,0.0,0.0,0.0,295.47,1.59,285.0,970.78,
2005,1,3,6,2.52,89.2,0.0,0.0,0.0,298.03,1.31,270.0,971.38,
2005,1,3,7,2.77,90.14,0.0,0.0,0.0,300.6,1.03,256.0,971.98,
2005,1,3,8,4.37,85.35,0.0,0.0,0.0,301.3,0.98,252.0,972.45,
2005,1,3,9,5.97,80.56,72.0,79.53,59.0,302.0,0.92,249.0,972.93,
2005,1,3,10,7.57,75.77,277.0,447.11,125.0,302.7,0.87,246.0,973.4,
2005,1,3,11,8.74,71.37,456.0,647.15,145.0,299.43,1.1,283.0,972.58,
2005,1,3,12,9.9,66.98,584.0,757.34,148.0,296.17,1.33,320.0,971.76,
2005,1,3,13,11.07,62.58,642.0,791.77,152.0,292.9,1.56,356.0,970.94,
2005,1,3,14,10.86,62.32,641.0,835.07,134.0,290.07,1.68,3.0,970.75,
2005,1,3,15,10.66,62.06,563.0,805.46,127.0,287.23,1.8,11.0,970.56,
2005,1,3,16,10.45,61.8,422.0,711.51,119.0,284.4,1.92,18.0,970.37,
2005,1,3,17,9.29,66.27,239.0,547.16,92.0,290.8,2.04,22.0,971.22,
2005,1,3,18,8.12,70.73,52.0,273.52,30.0,297.2,2.16,27.0,972.07,
2005,1,3,19,6.96,75.2,0.0,0.0,0.0,303.6,2.28,31.0,972.93,
2005,1,3,20,6.47,79.02,0.0,0.0,0.0,285.12,2.12,30.0,973.24,
2005,1,3,21,5.99,82.84,0.0,0.0,0.0,266.63,1.97,29.0,973.56,
2005,1,3,22,5.5,86.66,0.0,0.0,0.0,248.15,1.82,28.0,973.87,
2005,1,3,23,5.24,88.41,0.0,0.0,0.0,258.77,1.6,357.0,974.09,
2005,1,4,0,4.98,90.16,0.0,0.0,0.0,269.38,1.39,326.0,974.32,
2005,1,4,1,4.73,91.91,0.0,0.0,0.0,280.0,1.17,295.0,974.54,
2005,1,4,2,4.75,93.48,0.0,0.0,0.0,287.97,1.08,286.0,974.38,
2005,1,4,3,4.78,95.06,0.0,0.0,0.0,295.93,0.99,277.0,974.22,
2005,1,4,4,4.81,96.63,0.0,0.0,0.0,303.9,0.9,267.0,974.06,
2005,1,4,5,4.7,96.42,0.0,0.0,0.0,304.62,0.73,242.0,974.13,
2005,1,4,6,4.59,96.21,0.0,0.0,0.0,305.33,0.57,217.0,974.19,
2005,1,4,7,4.49,96.0,0.0,0.0,0.0,306.05,0.4,192.0,974.25,
2005,1,4,8,5.35,89.04,0.0,0.0,0.0,311.05,0.63,157.0,974.28,
2005,1,4,9,6.21,82.08,87.0,159.39,61.0,316.05,0.87,122.0,974.32,
2005,1,4,10,7.06,75.12,238.0,264.73,148.0,321.05,1.1,88.0,974.35,
2005,1,4,11,7.61,71.55,423.0,501.07,182.0,321.22,1.37,82.0,973.08,
2005,1,4,12,8.16,67.98,557.0,640.03,188.0,321.38,1.64,76.0,971.82,
2005,1,4,13,8.71,64.41,609.0,656.32,202.0,321.55,1.9,71.0,970.56,
2005,1,4,14,8.5,65.0,603.0,668.54,196.0,315.5,2.14,61.0,969.86,
2005,1,4,15,8.29,65.59,526.0,625.82,186.0,309.45,2.37,51.0,969.17,
2005,1,4,16,8.08,66.18,325.0,277.98,206.0,303.4,2.61,41.0,968.47,
2005,1,4,17,7.35,69.38,183.0,206.6,127.0,297.43,2.61,26.0,968.69,
2005,1,4,18,6.63,72.58,49.0,193.08,33.0,291.47,2.61,11.0,968.91,
2005,1,4,19,5.9,75.78,0.0,0.0,0.0,285.5,2.61,357.0,969.13,
2005,1,4,20,5.36,77.25,0.0,0.0,0.0,281.33,2.77,351.0,969.67,
2005,1,4,21,4.82,78.73,0.0,0.0,0.0,277.17,2.94,345.0,970.21,
2005,1,4,22,4.28,80.2,0.0,0.0,0.0,273.0,3.1,340.0,970.75,
2005,1,4,23,4.03,81.15,0.0,0.0,0.0,276.48,2.96,336.0,971.09,
2005,1,5,0,3.77,82.1,0.0,0.0,0.0,279.97,2.82,332.0,971.44,
2005,1,5,1,3.52,83.05,0.0,0.0,0.0,283.45,2.68,328.0,971.79,
2005,1,5,2,3.46,83.2,0.0,0.0,0.0,294.68,2.41,327.0,972.2,
2005,1,5,3,3.4,83.36,0.0,0.0,0.0,305.92,2.14,326.0,972.61,
2005,1,5,4,3.34,83.51,0.0,0.0,0.0,317.15,1.88,325.0,973.02,
2005,1,5,5,3.42,83.61,0.0,0.0,0.0,316.28,1.75,310.0,973.81,
2005,1,5,6,3.51,83.71,0.0,0.0,0.0,315.42,1.62,294.0,974.6,
2005,1,5,7,3.6,83.81,0.0,0.0,0.0,314.55,1.49,279.0,975.39,
2005,1,5,8,5.13,80.91,0.0,0.0,0.0,311.7,1.6,252.0,975.33,
2005,1,5,9,6.66,78.0,101.0,276.31,56.0,308.85,1.71,226.0,975.26,
2005,1,5,10,8.19,75.1,232.0,238.19,151.0,306.0,1.82,199.0,975.2,
2005,1,5,11,9.94,72.29,404.0,423.69,200.0,291.0,1.84,176.0,973.53,
2005,1,5,12,11.68,69.47,545.0,592.24,203.0,276.0,1.87,153.0,971.85,
2005,1,5,13,13.43,66.66,611.0,656.49,203.0,261.0,1.89,130.0,970.18,
2005,1,5,14,13.77,66.28,605.0,668.26,197.0,260.63,2.11,117.0,969.13,
2005,1,5,15,14.1,65.91,528.0,627.1,186.0,260.27,2.32,104.0,968.09,
2005,1,5,16,14.44,65.53,391.0,529.73,163.0,259.9,2.54,90.0,967.05,
2005,1,5,17,12.14,72.72,225.0,416.8,111.0,256.87,2.79,78.0,967.33,
2005,1,5,18,9.83,79.91,45.0,140.59,33.0,253.83,3.03,66.0,967.62,
2005,1,5,19,7.53,87.1,0.0,0.0,0.0,250.8,3.28,54.0,967.9,
2005,1,5,20,7.34,88.69,0.0,0.0,0.0,246.0,2.97,49.0,968.44,
2005,1,5,21,7.16,90.27,0.0,0.0,0.0,241.2,2.66,44.0,968.98,
