Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,4202,Yichun,CHN,China,27.8333333,114.4,8,98.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2010,1,1,0,-1.22,48.53,0.0,0.0,0.0,205.45,3.32,14.0,1020.43,
2010,1,1,1,-0.53,50.29,0.0,0.0,0.0,215.86,3.21,12.0,1020.46,
2010,1,1,2,0.17,52.05,0.0,0.0,0.0,226.27,3.1,11.0,1020.49,
2010,1,1,3,0.86,53.81,0.0,0.0,0.0,236.67,2.99,11.0,1020.53,
2010,1,1,4,1.55,55.57,0.0,0.0,0.0,247.08,2.88,10.0,1020.56,
2010,1,1,5,2.25,57.33,0.0,0.0,0.0,257.49,2.77,8.0,1020.96,
2010,1,1,6,2.94,59.09,0.0,0.0,0.0,267.89,2.67,7.0,1021.35,
2010,1,1,7,3.63,60.85,0.0,0.0,0.0,278.3,2.56,5.0,1021.75,
2010,1,1,8,4.33,62.61,42.9,142.28,28.0,288.71,2.45,320.0,1010.74,
2010,1,1,9,5.02,64.37,21.0,0.0,21.0,299.11,2.34,308.0,1010.71,
2010,1,1,10,5.72,66.13,36.0,0.0,36.0,309.52,2.23,297.0,1010.68,
2010,1,1,11,6.41,67.89,54.0,0.0,54.0,319.93,2.12,280.0,1009.95,
2010,1,1,12,7.1,69.65,181.0,0.0,181.0,330.33,2.02,262.0,1009.23,
2010,1,1,13,7.8,71.41,150.0,0.0,150.0,340.74,1.91,245.0,1008.5,
2010,1,1,14,8.49,73.18,110.0,0.0,110.0,351.15,1.8,232.0,1008.2,
2010,1,1,15,9.19,74.94,87.0,0.0,87.0,361.55,1.69,219.0,1007.91,
2010,1,1,16,9.28,74.17,41.0,0.0,41.0,330.75,1.19,205.0,1007.61,
2010,1,1,17,7.91,76.14,8.0,0.0,8.0,320.67,0.97,169.0,1008.04,
2010,1,1,18,6.54,78.11,0.0,0.0,0.0,310.58,0.75,133.0,1008.47,
2010,1,1,19,5.18,80.08,0.0,0.0,0.0,300.5,0.54,96.0,1008.9,
2010,1,1,20,5.56,83.63,0.0,0.0,0.0,309.87,0.8,148.0,1008.8,
2010,1,1,21,5.94,87.18,0.0,0.0,0.0,319.23,1.07,200.0,1008.7,
2010,1,1,22,6.33,90.73,0.0,0.0,0.0,328.6,1.34,252.0,1008.6,
2010,1,1,23,6.24,91.21,0.0,0.0,0.0,334.87,1.56,256.0,1008.57,
2010,1,2,0,6.14,91.68,0.0,0.0,0.0,341.13,1.78,259.0,1008.53,
2010,1,2,1,6.05,92.16,0.0,0.0,0.0,347.4,2.0,263.0,1008.5,
2010,1,2,2,5.52,93.47,0.0,0.0,0.0,334.98,1.93,274.0,1008.57,
2010,1,2,3,4.98,94.78,0.0,0.0,0.0,322.57,1.86,284.0,1008.63,
2010,1,2,4,4.44,96.09,0.0,0.0,0.0,310.15,1.79,295.0,1008.7,
2010,1,2,5,4.74,96.78,0.0,0.0,0.0,301.93,1.76,297.0,1009.13,
2010,1,2,6,5.03,97.48,0.0,0.0,0.0,293.72,1.73,299.0,1009.56,
2010,1,2,7,5.32,98.17,0.0,0.0,0.0,285.5,1.7,301.0,1009.98,
2010,1,2,8,7.3,89.49,11.0,0.0,11.0,296.18,1.57,323.0,1009.92,
2010,1,2,9,9.27,80.81,21.0,0.0,21.0,306.87,1.45,345.0,1009.85,
2010,1,2,10,11.25,72.13,118.0,0.0,118.0,317.55,1.32,7.0,1009.79,
2010,1,2,11,12.39,68.65,80.0,0.0,80.0,317.63,1.37,10.0,1008.9,
2010,1,2,12,13.53,65.17,109.0,0.0,109.0,317.72,1.42,13.0,1008.01,
2010,1,2,13,14.67,61.69,194.0,0.0,194.0,317.8,1.46,16.0,1007.12,
2010,1,2,14,14.33,65.07,563.0,638.79,192.0,313.98,1.39,30.0,1007.35,
2010,1,2,15,14.0,68.44,274.0,91.52,230.0,310.17,1.31,43.0,1007.58,
2010,1,2,16,13.66,71.82,242.0,274.1,150.0,306.35,1.24,57.0,1007.81,
2010,1,2,17,11.6,77.06,23.0,0.0,23.0,299.48,1.77,60.0,1008.43,
2010,1,2,18,9.54,82.31,0.0,0.0,0.0,292.62,2.31,63.0,1009.06,
2010,1,2,19,7.49,87.55,0.0,0.0,0.0,285.75,2.84,66.0,1009.69,
2010,1,2,20,6.91,89.27,0.0,0.0,0.0,278.35,2.18,57.0,1009.95,
2010,1,2,21,6.33,90.99,0.0,0.0,0.0,270.95,1.52,48.0,1010.21,
2010,1,2,22,5.75,92.71,0.0,0.0,0.0,263.55,0.86,39.0,1010.48,
2010,1,2,23,5.02,92.16,0.0,0.0,0.0,260.28,0.87,32.0,1010.25,
2010,1,3,0,4.28,91.6,0.0,0.0,0.0,257.02,0.89,25.0,1010.02,
2010,1,3,1,3.55,91.05,0.0,0.0,0.0,253.75,0.91,19.0,1009.79,
2010,1,3,2,3.12,92.82,0.0,0.0,0.0,252.5,0.71,5.0,1009.46,
2010,1,3,3,2.68,94.59,0.0,0.0,0.0,251.25,0.51,350.0,1009.13,
2010,1,3,4,2.24,96.36,0.0,0.0,0.0,250.0,0.32,336.0,1008.8,
2010,1,3,5,2.25,97.08,0.0,0.0,0.0,249.28,0.52,330.0,1008.9,
2010,1,3,6,2.25,97.79,0.0,0.0,0.0,248.57,0.72,324.0,1009.0,
2010,1,3,7,2.26,98.51,0.0,0.0,0.0,247.85,0.92,319.0,1009.09,
2010,1,3,8,5.25,90.31,11.0,0.0,11.0,258.88,1.12,259.0,1009.19,
2010,1,3,9,8.23,82.12,21.0,0.0,21.0,269.92,1.31,199.0,1009.29,
2010,1,3,10,11.22,73.92,129.0,0.0,129.0,280.95,1.5,139.0,1009.39,
2010,1,3,11,12.49,70.64,256.0,26.78,241.0,281.18,1.41,152.0,1007.97,
2010,1,3,12,13.76,67.36,322.0,48.19,292.0,281.42,1.31,164.0,1006.56,
2010,1,3,13,15.02,64.08,347.0,65.06,306.0,281.65,1.21,176.0,1005.14,
2010,1,3,14,14.71,68.95,364.0,121.88,293.0,282.43,1.03,177.0,1004.94,
2010,1,3,15,14.4,73.82,434.0,519.82,183.0,283.22,0.84,179.0,1004.74,
2010,1,3,16,14.09,78.69,285.0,470.53,126.0,284.0,0.65,180.0,1004.55,
2010,1,3,17,12.63,78.45,53.0,0.0,53.0,281.8,1.33,166.0,1004.78,
2010,1,3,18,11.18,78.21,0.0,0.0,0.0,279.6,2.01,152.0,1005.01,
2010,1,3,19,9.73,77.97,0.0,0.0,0.0,277.4,2.69,137.0,1005.24,
2010,1,3,20,8.51,81.17,0.0,0.0,0.0,275.8,2.38,146.0,1005.34,
2010,1,3,21,7.3,84.37,0.0,0.0,0.0,274.2,2.06,156.0,1005.44,
2010,1,3,22,6.09,87.57,0.0,0.0,0.0,272.6,1.75,165.0,1005.54,
2010,1,3,23,5.78,89.04,0.0,0.0,0.0,272.55,1.49,217.0,1005.34,
2010,1,4,0,5.47,90.52,0.0,0.0,0.0,272.5,1.24,269.0,1005.14,
2010,1,4,1,5.16,91.99,0.0,0.0,0.0,272.45,0.98,322.0,1004.94,
2010,1,4,2,4.81,92.94,0.0,0.0,0.0,274.13,0.91,332.0,1004.91,
2010,1,4,3,4.46,93.9,0.0,0.0,0.0,275.82,0.83,343.0,1004.88,
2010,1,4,4,4.1,94.85,0.0,0.0,0.0,277.5,0.76,353.0,1004.84,
2010,1,4,5,4.39,95.92,0.0,0.0,0.0,282.75,0.58,355.0,1005.27,
2010,1,4,6,4.67,96.98,0.0,0.0,0.0,288.0,0.41,357.0,1005.7,
2010,1,4,7,4.95,98.05,0.0,0.0,0.0,293.25,0.23,358.0,1006.13,
2010,1,4,8,7.88,91.15,11.0,0.0,11.0,306.18,0.55,17.0,1006.43,
2010,1,4,9,10.81,84.25,21.0,0.0,21.0,319.12,0.87,35.0,1006.72,
2010,1,4,10,13.74,77.35,58.0,0.0,58.0,332.05,1.19,53.0,1007.02,
2010,1,4,11,14.37,74.87,113.0,0.0,113.0,337.33,1.87,49.0,1006.36,
