Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,4648,Yueyang,CHN,China,29.3800529165,113.100010945,8,40.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2015,1,1,0,3.77,99.0,0.0,0.0,0.0,334.03,1.29,356.0,1023.2,
2015,1,1,1,4.14,96.21,0.0,0.0,0.0,327.39,1.47,356.0,1023.23,
2015,1,1,2,4.5,90.86,0.0,0.0,0.0,320.75,1.65,6.0,1023.0,
2015,1,1,3,4.86,85.52,0.0,0.0,0.0,314.11,1.83,17.0,1022.77,
2015,1,1,4,5.23,80.18,0.0,0.0,0.0,307.47,2.01,27.0,1022.54,
2015,1,1,5,5.59,74.83,0.0,0.0,0.0,300.82,2.19,41.0,1022.44,
2015,1,1,6,5.95,69.49,0.0,0.0,0.0,294.18,2.36,55.0,1022.34,
2015,1,1,7,6.32,64.14,0.0,0.0,0.0,287.54,2.54,70.0,1022.24,
2015,1,1,8,6.68,58.8,24.6,58.51,20.2,280.9,2.72,45.0,1031.99,
2015,1,1,9,7.05,53.45,28.0,0.0,28.0,274.26,2.9,45.0,1032.09,
2015,1,1,10,7.41,48.11,191.0,33.52,177.0,267.62,3.08,45.0,1032.19,
2015,1,1,11,7.77,42.76,485.0,509.58,214.0,260.98,3.26,43.0,1030.86,
2015,1,1,12,8.14,37.42,524.0,430.69,267.0,254.34,3.44,42.0,1029.54,
2015,1,1,13,8.5,32.07,559.0,506.67,251.0,247.7,3.62,40.0,1028.21,
2015,1,1,14,8.86,26.73,430.0,263.92,281.0,241.06,3.8,41.0,1028.01,
2015,1,1,15,9.23,21.38,333.0,217.16,231.0,234.42,3.98,42.0,1027.81,
2015,1,1,16,8.72,34.23,259.0,363.91,139.0,254.8,3.08,44.0,1027.61,
2015,1,1,17,7.08,41.13,57.0,32.41,52.0,253.42,2.86,45.0,1027.75,
2015,1,1,18,5.43,48.02,0.0,0.0,0.0,252.03,2.63,47.0,1027.88,
2015,1,1,19,3.79,54.92,0.0,0.0,0.0,250.65,2.41,49.0,1028.01,
2015,1,1,20,4.0,55.51,0.0,0.0,0.0,254.8,2.32,51.0,1027.91,
2015,1,1,21,4.21,56.1,0.0,0.0,0.0,258.95,2.23,52.0,1027.81,
2015,1,1,22,4.42,56.69,0.0,0.0,0.0,263.1,2.14,54.0,1027.71,
2015,1,1,23,3.94,56.79,0.0,0.0,0.0,260.62,2.1,64.0,1027.38,
2015,1,2,0,3.46,56.9,0.0,0.0,0.0,258.13,2.06,74.0,1027.05,
2015,1,2,1,2.97,57.0,0.0,0.0,0.0,255.65,2.01,84.0,1026.72,
2015,1,2,2,2.89,60.35,0.0,0.0,0.0,254.58,1.64,99.0,1026.19,
2015,1,2,3,2.81,63.71,0.0,0.0,0.0,253.52,1.26,115.0,1025.66,
2015,1,2,4,2.73,67.06,0.0,0.0,0.0,252.45,0.88,131.0,1025.12,
2015,1,2,5,2.28,67.95,0.0,0.0,0.0,251.27,1.1,131.0,1025.19,
2015,1,2,6,1.84,68.84,0.0,0.0,0.0,250.08,1.32,131.0,1025.26,
2015,1,2,7,1.4,69.73,0.0,0.0,0.0,248.9,1.54,130.0,1025.32,
2015,1,2,8,4.18,59.25,25.0,0.0,25.0,254.02,1.21,141.0,1025.36,
2015,1,2,9,6.96,48.76,39.0,0.0,39.0,259.13,0.87,152.0,1025.39,
2015,1,2,10,9.74,38.28,359.0,447.75,172.0,264.25,0.54,163.0,1025.42,
2015,1,2,11,10.56,36.65,244.0,26.3,230.0,267.25,0.48,132.0,1024.39,
2015,1,2,12,11.38,35.03,163.0,0.0,163.0,270.25,0.42,100.0,1023.37,
2015,1,2,13,12.21,33.4,148.0,0.0,148.0,273.25,0.36,69.0,1022.34,
2015,1,2,14,11.88,36.04,81.0,0.0,81.0,274.07,0.55,72.0,1022.37,
2015,1,2,15,11.56,38.69,60.0,0.0,60.0,274.88,0.74,74.0,1022.4,
2015,1,2,16,11.23,41.33,24.0,0.0,24.0,275.7,0.92,77.0,1022.44,
2015,1,2,17,9.8,46.63,9.0,0.0,9.0,277.33,1.15,76.0,1022.6,
2015,1,2,18,8.36,51.94,0.0,0.0,0.0,278.97,1.37,74.0,1022.77,
2015,1,2,19,6.93,57.24,0.0,0.0,0.0,280.6,1.6,72.0,1022.94,
2015,1,2,20,7.04,59.17,0.0,0.0,0.0,287.48,1.41,72.0,1022.9,
2015,1,2,21,7.15,61.11,0.0,0.0,0.0,294.37,1.22,72.0,1022.87,
2015,1,2,22,7.26,63.04,0.0,0.0,0.0,301.25,1.03,72.0,1022.84,
2015,1,2,23,7.1,61.28,0.0,0.0,0.0,295.82,1.27,88.0,1022.37,
2015,1,3,0,6.94,59.52,0.0,0.0,0.0,290.38,1.51,105.0,1021.91,
2015,1,3,1,6.77,57.76,0.0,0.0,0.0,284.95,1.75,122.0,1021.44,
2015,1,3,2,6.04,62.11,0.0,0.0,0.0,274.58,1.57,130.0,1020.94,
2015,1,3,3,5.31,66.47,0.0,0.0,0.0,264.22,1.38,138.0,1020.45,
2015,1,3,4,4.59,70.82,0.0,0.0,0.0,253.85,1.2,146.0,1019.95,
2015,1,3,5,3.69,75.15,0.0,0.0,0.0,252.8,1.5,146.0,1019.82,
2015,1,3,6,2.8,79.49,0.0,0.0,0.0,251.75,1.8,146.0,1019.68,
2015,1,3,7,1.9,83.82,0.0,0.0,0.0,250.7,2.1,146.0,1019.55,
2015,1,3,8,4.94,72.09,98.0,553.81,57.0,254.83,2.44,163.0,1019.25,
2015,1,3,9,7.98,60.35,213.0,436.28,99.0,258.97,2.78,180.0,1018.95,
2015,1,3,10,11.01,48.62,386.0,574.45,146.0,263.1,3.12,196.0,1018.66,
2015,1,3,11,12.26,45.67,520.0,641.85,178.0,267.13,3.44,200.0,1017.2,
2015,1,3,12,13.51,42.71,607.0,711.66,181.0,271.17,3.76,203.0,1015.74,
2015,1,3,13,14.76,39.76,628.0,743.54,174.0,275.2,4.08,206.0,1014.28,
2015,1,3,14,14.47,42.1,567.0,688.37,176.0,277.8,3.53,202.0,1014.01,
2015,1,3,15,14.18,44.45,451.0,616.37,159.0,280.4,2.98,197.0,1013.75,
2015,1,3,16,13.89,46.79,279.0,445.82,130.0,283.0,2.43,193.0,1013.48,
2015,1,3,17,12.3,51.15,93.0,182.45,64.0,282.17,2.5,187.0,1013.41,
2015,1,3,18,10.7,55.5,0.0,0.0,0.0,281.33,2.57,180.0,1013.35,
2015,1,3,19,9.11,59.86,0.0,0.0,0.0,280.5,2.63,174.0,1013.28,
2015,1,3,20,9.36,60.4,0.0,0.0,0.0,283.85,2.8,176.0,1013.12,
2015,1,3,21,9.62,60.94,0.0,0.0,0.0,287.2,2.96,178.0,1012.95,
2015,1,3,22,9.87,61.48,0.0,0.0,0.0,290.55,3.12,180.0,1012.78,
2015,1,3,23,9.42,63.96,0.0,0.0,0.0,290.95,2.92,177.0,1012.58,
2015,1,4,0,8.97,66.44,0.0,0.0,0.0,291.35,2.72,174.0,1012.39,
2015,1,4,1,8.52,68.92,0.0,0.0,0.0,291.75,2.52,170.0,1012.19,
2015,1,4,2,7.93,71.92,0.0,0.0,0.0,288.72,2.65,166.0,1011.69,
2015,1,4,3,7.34,74.92,0.0,0.0,0.0,285.68,2.78,162.0,1011.19,
2015,1,4,4,6.75,77.92,0.0,0.0,0.0,282.65,2.91,157.0,1010.69,
2015,1,4,5,6.77,79.53,0.0,0.0,0.0,280.62,3.03,156.0,1010.79,
2015,1,4,6,6.79,81.13,0.0,0.0,0.0,278.58,3.14,156.0,1010.89,
2015,1,4,7,6.81,82.74,0.0,0.0,0.0,276.55,3.26,155.0,1010.99,
2015,1,4,8,9.75,72.96,98.0,557.22,57.0,282.73,3.72,162.0,1010.93,
2015,1,4,9,12.69,63.18,194.0,317.81,111.0,288.92,4.18,170.0,1010.86,
2015,1,4,10,15.63,53.4,368.0,485.6,165.0,295.1,4.65,177.0,1010.79,
2015,1,4,11,17.01,50.27,512.0,607.31,188.0,299.65,4.64,179.0,1009.57,
2015,1,4,12,18.39,47.13,589.0,636.99,207.0,304.2,4.64,180.0,1008.34,
2015,1,4,13,19.77,44.0,620.0,705.77,188.0,308.75,4.63,181.0,1007.11,
2015,1,4,14,19.32,46.57,552.0,617.68,200.0,310.18,4.03,177.0,1006.84,
2015,1,4,15,18.88,49.13,444.0,573.66,171.0,311.62,3.42,173.0,1006.58,
2015,1,4,16,18.44,51.7,283.0,457.57,129.0,313.05,2.81,169.0,1006.31,
2015,1,4,17,17.07,55.94,98.0,204.49,65.0,311.63,2.73,166.0,1006.41,
2015,1,4,18,15.7,60.17,0.0,0.0,0.0,310.22,2.65,163.0,1006.51,
2015,1,4,19,14.34,64.41,0.0,0.0,0.0,308.8,2.57,160.0,1006.61,
2015,1,4,20,14.29,64.77,0.0,0.0,0.0,316.72,2.72,165.0,1006.58,
2015,1,4,21,14.24,65.14,0.0,0.0,0.0,324.63,2.87,170.0,1006.55,
2015,1,4,22,14.19,65.5,0.0,0.0,0.0,332.55,3.02,175.0,1006.51,
