Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,5081,Cali,COL,Colombia,3.39995912568,-76.4999664731,-5,950.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2005,1,1,0,18.16,100.0,0.0,0.0,0.0,344.89,1.54,127.0,905.41,
2005,1,1,1,18.04,100.0,0.0,0.0,0.0,341.82,1.52,123.0,904.88,
2005,1,1,2,17.91,100.0,0.0,0.0,0.0,338.74,1.5,120.0,904.34,
2005,1,1,3,17.47,100.0,0.0,0.0,0.0,351.15,1.12,116.0,903.81,
2005,1,1,4,17.65,100.0,0.0,0.0,0.0,347.97,0.98,116.0,904.05,
2005,1,1,5,17.83,100.0,0.0,0.0,0.0,344.78,0.85,116.0,904.28,
2005,1,1,6,18.01,100.0,0.0,0.0,0.0,341.6,0.72,115.0,904.52,
2005,1,1,7,19.38,100.0,59.0,5.62,58.0,345.62,1.0,114.0,905.12,
2005,1,1,8,20.75,100.0,173.0,34.72,159.0,349.63,1.28,113.0,905.71,
2005,1,1,9,22.12,100.0,226.0,18.35,215.0,353.65,1.56,112.0,906.31,
2005,1,1,10,22.74,100.0,296.0,23.9,278.0,358.77,1.52,79.0,905.65,
2005,1,1,11,23.35,100.0,902.0,891.29,141.0,363.88,1.49,45.0,905.0,
2005,1,1,12,23.96,100.0,951.0,900.69,145.0,369.0,1.45,12.0,904.34,
2005,1,1,13,23.4,100.0,922.0,891.97,143.0,369.42,1.45,357.0,903.78,
2005,1,1,14,22.84,100.0,552.0,171.99,416.0,369.83,1.45,342.0,903.21,
2005,1,1,15,22.27,100.0,311.0,42.9,283.0,370.25,1.45,327.0,902.65,
2005,1,1,16,21.71,100.0,281.0,140.87,215.0,369.63,1.21,329.0,903.12,
2005,1,1,17,21.14,100.0,199.0,486.31,77.0,369.02,0.97,331.0,903.6,
2005,1,1,18,20.57,100.0,0.0,0.0,0.0,368.4,0.73,333.0,904.08,
2005,1,1,19,20.22,100.0,0.0,0.0,0.0,366.72,0.95,4.0,904.58,
2005,1,1,20,19.87,100.0,0.0,0.0,0.0,365.03,1.17,36.0,905.09,
