Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,2470,Pamplona,COL,Colombia,7.39038738904,-72.66001998049998,-5,2673.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2011,1,1,0,8.82,0.5,0.0,0.0,0.0,320.18,0.8,100.0,731.2,
2011,1,1,1,8.09,0.5,0.0,0.0,0.0,319.59,0.73,99.0,730.96,
2011,1,1,2,7.37,0.5,0.0,0.0,0.0,319.01,0.66,99.0,730.72,
2011,1,1,3,8.4,100.0,0.0,0.0,0.0,305.55,0.92,98.0,730.48,
2011,1,1,4,8.63,100.0,0.0,0.0,0.0,304.35,0.87,100.0,730.94,
2011,1,1,5,8.85,100.0,0.0,0.0,0.0,303.15,0.81,102.0,731.39,
2011,1,1,6,9.07,100.0,0.0,0.0,0.0,301.95,0.76,104.0,731.85,
2011,1,1,7,11.02,96.8,54.0,0.0,54.0,304.42,0.94,96.0,731.85,
2011,1,1,8,12.97,93.61,422.0,808.95,77.0,306.88,1.12,88.0,731.85,
2011,1,1,9,14.92,90.41,649.0,913.85,90.0,309.35,1.3,79.0,731.85,
2011,1,1,10,15.76,84.3,825.0,967.01,98.0,313.85,1.57,74.0,731.03,
2011,1,1,11,16.61,78.18,933.0,991.34,103.0,318.35,1.85,69.0,730.22,
2011,1,1,12,17.46,72.07,492.0,64.95,436.0,322.85,2.12,64.0,729.4,
2011,1,1,13,16.87,75.81,590.0,167.27,452.0,330.43,1.94,47.0,729.06,
2011,1,1,14,16.28,79.56,197.0,9.61,190.0,338.02,1.77,30.0,728.73,
2011,1,1,15,15.69,83.3,294.0,57.07,261.0,345.6,1.59,13.0,728.39,
2011,1,1,16,14.59,88.87,378.0,796.46,71.0,344.85,1.48,12.0,728.97,
2011,1,1,17,13.48,94.43,136.0,613.44,36.0,344.1,1.37,11.0,729.54,
2011,1,1,18,12.37,100.0,0.0,0.0,0.0,343.35,1.27,10.0,730.12,
2011,1,1,19,11.57,100.0,0.0,0.0,0.0,335.47,1.23,25.0,730.63,
2011,1,1,20,10.76,100.0,0.0,0.0,0.0,327.58,1.2,41.0,731.13,
2011,1,1,21,9.96,100.0,0.0,0.0,0.0,319.7,1.16,56.0,731.64,
2011,1,1,22,9.58,100.0,0.0,0.0,0.0,314.55,1.06,77.0,731.35,
2011,1,1,23,9.2,100.0,0.0,0.0,0.0,309.4,0.97,99.0,731.06,
2011,1,2,0,8.82,100.0,0.0,0.0,0.0,304.25,0.87,121.0,730.77,
2011,1,2,1,8.48,100.0,0.0,0.0,0.0,300.45,0.92,130.0,730.58,
2011,1,2,2,8.15,100.0,0.0,0.0,0.0,296.65,0.97,140.0,730.39,
2011,1,2,3,7.81,100.0,0.0,0.0,0.0,292.85,1.02,149.0,730.19,
2011,1,2,4,8.11,100.0,0.0,0.0,0.0,291.38,0.95,113.0,730.55,
2011,1,2,5,8.41,100.0,0.0,0.0,0.0,289.92,0.87,77.0,730.91,
2011,1,2,6,8.71,100.0,0.0,0.0,0.0,288.45,0.8,41.0,731.27,
2011,1,2,7,10.6,100.0,54.0,0.0,54.0,300.73,0.82,46.0,731.42,
2011,1,2,8,12.49,100.0,417.0,801.52,76.0,313.02,0.85,50.0,731.56,
2011,1,2,9,14.38,100.0,642.0,903.34,90.0,325.3,0.87,54.0,731.71,
2011,1,2,10,15.15,95.84,816.0,955.24,98.0,326.48,1.37,49.0,730.94,
2011,1,2,11,15.92,91.68,924.0,981.41,102.0,327.67,1.88,44.0,730.17,
2011,1,2,12,16.7,87.52,615.0,157.59,479.0,328.85,2.39,39.0,729.4,
