Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,2945,Loubomo,COG,Congo (Brazzaville),-4.17960406608,12.6700170478,1,359.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2005,1,1,0,23.08,98.41,0.0,0.0,0.0,419.03,1.43,358.0,968.03,
2005,1,1,1,23.02,98.44,0.0,0.0,0.0,420.36,1.51,269.0,970.24,
2005,1,1,2,22.97,98.46,0.0,0.0,0.0,421.69,1.59,269.0,970.24,
2005,1,1,3,22.91,98.49,0.0,0.0,0.0,423.01,1.67,269.0,970.24,
2005,1,1,4,22.86,98.52,0.0,0.0,0.0,424.34,1.75,273.0,970.65,
2005,1,1,5,22.8,98.55,0.0,0.0,0.0,425.66,1.83,276.0,971.07,
2005,1,1,6,22.75,98.57,0.0,0.0,0.0,426.99,1.91,280.0,971.48,
2005,1,1,7,22.69,98.6,67.0,46.22,56.0,428.32,1.98,286.0,971.96,
2005,1,1,8,22.64,98.63,195.0,58.42,168.0,429.64,2.06,292.0,972.44,
2005,1,1,9,25.31,96.51,326.0,71.56,279.0,423.35,1.9,299.0,972.92,
2005,1,1,10,26.2,96.73,482.0,122.43,383.0,424.05,2.02,300.0,972.09,
2005,1,1,11,27.09,96.96,560.0,120.14,451.0,424.75,2.13,301.0,971.26,
2005,1,1,12,27.98,97.18,737.0,286.46,466.0,425.45,2.25,302.0,970.43,
2005,1,1,13,27.05,93.93,910.0,647.33,313.0,422.83,2.4,289.0,969.79,
2005,1,1,14,26.12,90.67,627.0,210.13,451.0,420.22,2.55,276.0,969.15,
2005,1,1,15,25.2,87.42,318.0,12.9,309.0,417.6,2.7,263.0,968.51,
2005,1,1,16,24.62,89.45,256.0,23.42,244.0,415.73,2.39,252.0,969.15,
2005,1,1,17,24.04,91.49,308.0,554.57,145.0,413.87,2.07,241.0,969.79,
2005,1,1,18,23.47,93.52,56.0,0.0,56.0,412.0,1.75,230.0,970.43,
2005,1,1,19,23.01,94.93,0.0,0.0,0.0,410.28,1.77,220.0,971.39,
2005,1,1,20,22.55,96.35,0.0,0.0,0.0,408.57,1.8,210.0,972.34,
2005,1,1,21,22.1,97.76,0.0,0.0,0.0,406.85,1.82,200.0,973.3,
2005,1,1,22,22.14,98.36,0.0,0.0,0.0,405.1,1.59,195.0,973.21,
2005,1,1,23,22.19,98.96,0.0,0.0,0.0,403.35,1.35,190.0,973.11,
2005,1,2,0,22.24,99.56,0.0,0.0,0.0,401.6,1.12,185.0,973.02,
2005,1,2,1,22.06,99.43,0.0,0.0,0.0,409.47,1.06,211.0,972.28,
2005,1,2,2,21.88,99.3,0.0,0.0,0.0,417.33,1.0,236.0,971.55,
2005,1,2,3,21.71,99.17,0.0,0.0,0.0,425.2,0.94,261.0,970.81,
2005,1,2,4,21.84,99.39,0.0,0.0,0.0,426.33,0.84,287.0,971.32,
2005,1,2,5,21.97,99.62,0.0,0.0,0.0,427.47,0.74,312.0,971.83,
2005,1,2,6,22.1,99.84,0.0,0.0,0.0,428.6,0.63,338.0,972.34,
2005,1,2,7,23.2,98.31,56.0,21.16,51.0,429.18,0.76,343.0,972.66,
2005,1,2,8,24.3,96.79,74.0,0.0,74.0,429.77,0.88,348.0,972.98,
2005,1,2,9,25.39,95.26,134.0,0.0,134.0,430.35,1.01,353.0,973.3,
2005,1,2,10,25.89,93.31,124.0,0.0,124.0,429.67,1.27,328.0,972.18,
2005,1,2,11,26.38,91.35,634.0,206.13,447.0,428.98,1.53,304.0,971.07,
2005,1,2,12,26.87,89.4,457.0,28.53,430.0,428.3,1.79,280.0,969.95,
2005,1,2,13,26.02,88.58,410.0,14.08,397.0,426.97,1.76,282.0,969.76,
2005,1,2,14,25.17,87.77,433.0,34.57,404.0,425.63,1.72,284.0,969.57,
2005,1,2,15,24.32,86.95,78.0,0.0,78.0,424.3,1.68,286.0,969.37,
2005,1,2,16,23.94,89.39,511.0,548.58,229.0,424.3,1.39,273.0,969.66,
2005,1,2,17,23.57,91.82,252.0,257.01,176.0,424.3,1.1,260.0,969.95,
2005,1,2,18,23.2,94.26,52.0,0.0,52.0,424.3,0.81,246.0,970.24,
2005,1,2,19,22.59,95.65,0.0,0.0,0.0,422.78,1.03,220.0,971.13,
