Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,2705,Kabinda,COD,Congo (Kinshasa),-6.12961423861,24.4799938545,2,810.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2015,1,1,0,21.71,96.03,0.0,0.0,0.0,401.96,1.64,2.0,918.25,
2015,1,1,1,21.72,95.69,0.0,0.0,0.0,401.25,1.7,334.0,917.88,
2015,1,1,2,21.73,95.34,0.0,0.0,0.0,400.53,1.77,339.0,919.18,
2015,1,1,3,21.75,95.0,0.0,0.0,0.0,399.81,1.83,339.0,919.03,
2015,1,1,4,21.76,94.65,0.0,0.0,0.0,399.1,1.89,339.0,918.88,
2015,1,1,5,21.77,94.31,0.0,0.0,0.0,398.38,1.95,339.0,919.46,
2015,1,1,6,21.78,93.97,0.0,0.0,0.0,397.66,2.02,340.0,920.03,
2015,1,1,7,21.79,93.62,145.0,350.28,75.0,396.95,2.08,340.0,920.61,
2015,1,1,8,21.8,93.28,332.0,348.33,183.0,396.23,2.14,335.0,920.24,
2015,1,1,9,21.82,92.93,369.0,96.92,308.0,395.51,2.21,330.0,919.88,
2015,1,1,10,24.99,90.05,742.0,582.85,281.0,406.5,3.41,325.0,919.52,
2015,1,1,11,24.82,92.65,958.0,873.04,171.0,409.8,2.69,324.0,918.55,
2015,1,1,12,24.64,95.26,869.0,499.28,393.0,413.1,1.98,322.0,917.58,
2015,1,1,13,24.47,97.86,765.0,322.32,461.0,416.4,1.27,321.0,916.61,
2015,1,1,14,24.66,97.66,453.0,43.6,415.0,411.2,1.02,327.0,916.46,
2015,1,1,15,24.85,97.47,784.0,893.27,120.0,406.0,0.77,333.0,916.31,
2015,1,1,16,25.03,97.27,301.0,63.45,265.0,400.8,0.52,339.0,916.16,
2015,1,1,17,23.84,97.71,311.0,576.61,106.0,398.0,1.0,347.0,917.16,
2015,1,1,18,22.66,98.14,68.0,171.67,47.0,395.2,1.48,356.0,918.16,
2015,1,1,19,21.47,98.58,0.0,0.0,0.0,392.4,1.96,5.0,919.15,
2015,1,1,20,21.04,98.47,0.0,0.0,0.0,391.1,1.81,320.0,919.7,
2015,1,1,21,20.62,98.35,0.0,0.0,0.0,389.8,1.66,275.0,920.24,
2015,1,1,22,20.19,98.24,0.0,0.0,0.0,388.5,1.52,231.0,920.79,
2015,1,1,23,20.26,98.61,0.0,0.0,0.0,388.68,1.45,232.0,920.42,
2015,1,2,0,20.33,98.97,0.0,0.0,0.0,388.87,1.39,232.0,920.06,
2015,1,2,1,20.4,99.34,0.0,0.0,0.0,389.05,1.32,233.0,919.7,
2015,1,2,2,20.4,99.41,0.0,0.0,0.0,392.05,1.66,238.0,919.58,
2015,1,2,3,20.39,99.49,0.0,0.0,0.0,395.05,1.99,243.0,919.46,
2015,1,2,4,20.39,99.56,0.0,0.0,0.0,398.05,2.32,248.0,919.33,
2015,1,2,5,21.05,98.11,0.0,0.0,0.0,400.38,2.24,261.0,919.76,
2015,1,2,6,21.72,96.65,0.0,0.0,0.0,402.72,2.16,273.0,920.18,
2015,1,2,7,22.39,95.2,105.0,106.04,84.0,405.05,2.08,285.0,920.61,
2015,1,2,8,23.04,95.28,322.0,319.07,186.0,402.95,2.25,291.0,920.18,
2015,1,2,9,23.7,95.36,481.0,292.89,297.0,400.85,2.41,296.0,919.76,
2015,1,2,10,24.36,95.44,558.0,194.88,404.0,398.75,2.58,302.0,919.33,
2015,1,2,11,24.44,94.59,360.0,6.66,354.0,398.28,2.53,301.0,918.46,
2015,1,2,12,24.53,93.75,520.0,53.48,469.0,397.82,2.48,300.0,917.58,
2015,1,2,13,24.61,92.9,719.0,251.09,482.0,397.35,2.43,299.0,916.7,
2015,1,2,14,24.38,93.47,758.0,429.72,383.0,397.28,1.87,302.0,916.76,
2015,1,2,15,24.15,94.03,704.0,612.26,248.0,397.22,1.31,305.0,916.82,
2015,1,2,16,23.92,94.6,549.0,706.52,147.0,397.15,0.74,308.0,916.88,
2015,1,2,17,22.87,96.15,299.0,495.45,122.0,393.27,1.27,288.0,917.79,
2015,1,2,18,21.81,97.69,71.0,193.54,47.0,389.38,1.79,269.0,918.7,
2015,1,2,19,20.76,99.24,0.0,0.0,0.0,385.5,2.32,249.0,919.61,
2015,1,2,20,20.4,99.38,0.0,0.0,0.0,383.2,2.11,246.0,920.36,
2015,1,2,21,20.04,99.53,0.0,0.0,0.0,380.9,1.91,244.0,921.12,
2015,1,2,22,19.68,99.67,0.0,0.0,0.0,378.6,1.71,241.0,921.88,
2015,1,2,23,19.71,99.71,0.0,0.0,0.0,379.75,1.71,251.0,921.54,
2015,1,3,0,19.75,99.75,0.0,0.0,0.0,380.9,1.72,260.0,921.21,
2015,1,3,1,19.78,99.79,0.0,0.0,0.0,382.05,1.72,270.0,920.88,
2015,1,3,2,19.69,99.61,0.0,0.0,0.0,391.47,2.14,275.0,920.76,
2015,1,3,3,19.6,99.43,0.0,0.0,0.0,400.88,2.55,279.0,920.64,
2015,1,3,4,19.51,99.25,0.0,0.0,0.0,410.3,2.97,283.0,920.51,
2015,1,3,5,20.1,97.97,0.0,0.0,0.0,410.47,3.15,281.0,921.06,
2015,1,3,6,20.69,96.69,0.0,0.0,0.0,410.63,3.33,279.0,921.6,
2015,1,3,7,21.28,95.41,58.0,5.1,57.0,410.8,3.52,277.0,922.15,
2015,1,3,8,22.29,94.85,200.0,40.02,183.0,408.62,3.15,288.0,921.82,
2015,1,3,9,23.31,94.28,413.0,159.46,313.0,406.43,2.79,300.0,921.48,
2015,1,3,10,24.33,93.72,637.0,333.09,374.0,404.25,2.43,312.0,921.15,
2015,1,3,11,24.4,94.27,808.0,478.33,377.0,407.42,2.41,315.0,920.03,
2015,1,3,12,24.46,94.83,346.0,2.1,344.0,410.58,2.4,318.0,918.91,
2015,1,3,13,24.53,95.38,275.0,0.0,275.0,413.75,2.39,321.0,917.79,
2015,1,3,14,24.21,96.33,316.0,2.29,314.0,410.23,1.97,315.0,917.82,
2015,1,3,15,23.89,97.29,376.0,40.2,346.0,406.72,1.55,310.0,917.85,
2015,1,3,16,23.56,98.24,537.0,648.4,167.0,403.2,1.13,304.0,917.88,
2015,1,3,17,22.74,98.51,293.0,454.08,130.0,402.15,1.48,298.0,918.88,
2015,1,3,18,21.93,98.78,47.0,39.79,42.0,401.1,1.82,292.0,919.88,
2015,1,3,19,21.11,99.05,0.0,0.0,0.0,400.05,2.17,286.0,920.88,
2015,1,3,20,20.88,99.24,0.0,0.0,0.0,399.9,1.76,292.0,921.33,
2015,1,3,21,20.64,99.42,0.0,0.0,0.0,399.75,1.35,299.0,921.79,
2015,1,3,22,20.41,99.61,0.0,0.0,0.0,399.6,0.94,305.0,922.24,
2015,1,3,23,20.51,99.44,0.0,0.0,0.0,401.58,1.32,305.0,921.85,
2015,1,4,0,20.6,99.27,0.0,0.0,0.0,403.57,1.71,305.0,921.45,
2015,1,4,1,20.7,99.1,0.0,0.0,0.0,405.55,2.1,305.0,921.06,
2015,1,4,2,20.54,99.1,0.0,0.0,0.0,408.92,2.0,306.0,921.0,
2015,1,4,3,20.37,99.09,0.0,0.0,0.0,412.28,1.9,308.0,920.94,
2015,1,4,4,20.21,99.09,0.0,0.0,0.0,415.65,1.81,309.0,920.88,
2015,1,4,5,20.62,98.79,0.0,0.0,0.0,413.95,2.12,305.0,921.42,
2015,1,4,6,21.03,98.48,0.0,0.0,0.0,412.25,2.44,300.0,921.97,
2015,1,4,7,21.45,98.18,55.0,5.14,54.0,410.55,2.76,296.0,922.51,
2015,1,4,8,22.39,97.71,38.0,0.0,38.0,408.38,2.97,299.0,922.12,
2015,1,4,9,23.34,97.24,370.0,99.04,308.0,406.22,3.17,302.0,921.73,
2015,1,4,10,24.29,96.77,565.0,207.87,401.0,404.05,3.38,306.0,921.33,
2015,1,4,11,24.3,95.85,793.0,446.22,391.0,408.62,3.18,305.0,920.3,
2015,1,4,12,24.3,94.93,670.0,179.19,499.0,413.18,2.97,304.0,919.27,
2015,1,4,13,24.31,94.01,610.0,123.75,493.0,417.75,2.77,303.0,918.25,
2015,1,4,14,24.24,93.78,157.0,0.0,157.0,413.52,2.51,299.0,918.16,
2015,1,4,15,24.17,93.55,115.0,0.0,115.0,409.28,2.24,295.0,918.06,
2015,1,4,16,24.1,93.32,71.0,0.0,71.0,405.05,1.97,291.0,917.97,
2015,1,4,17,23.22,94.79,151.0,24.95,142.0,401.48,1.93,301.0,918.85,
2015,1,4,18,22.35,96.27,62.0,102.13,49.0,397.92,1.89,311.0,919.73,
2015,1,4,19,21.47,97.74,0.0,0.0,0.0,394.35,1.85,321.0,920.61,
2015,1,4,20,21.07,98.39,0.0,0.0,0.0,393.15,1.85,326.0,921.06,
2015,1,4,21,20.67,99.04,0.0,0.0,0.0,391.95,1.86,332.0,921.51,
2015,1,4,22,20.27,99.69,0.0,0.0,0.0,390.75,1.86,338.0,921.97,
2015,1,4,23,20.23,99.56,0.0,0.0,0.0,391.17,1.76,334.0,921.63,
2015,1,5,0,20.2,99.43,0.0,0.0,0.0,391.58,1.65,330.0,921.3,
2015,1,5,1,20.16,99.3,0.0,0.0,0.0,392.0,1.54,327.0,920.97,
2015,1,5,2,20.13,99.1,0.0,0.0,0.0,398.13,1.65,326.0,920.61,
2015,1,5,3,20.1,98.9,0.0,0.0,0.0,404.27,1.76,324.0,920.24,
2015,1,5,4,20.08,98.7,0.0,0.0,0.0,410.4,1.86,323.0,919.88,
2015,1,5,5,20.62,98.22,0.0,0.0,0.0,410.8,1.93,326.0,920.24,
2015,1,5,6,21.17,97.75,0.0,0.0,0.0,411.2,2.0,328.0,920.61,
2015,1,5,7,21.72,97.27,57.0,5.19,56.0,411.6,2.07,331.0,920.97,
2015,1,5,8,22.7,95.86,34.0,0.0,34.0,407.87,2.04,327.0,920.58,
2015,1,5,9,23.68,94.44,55.0,0.0,55.0,404.13,2.0,324.0,920.18,
2015,1,5,10,24.67,93.03,73.0,0.0,73.0,400.4,1.97,320.0,919.79,
2015,1,5,11,24.58,93.83,144.0,0.0,144.0,405.52,2.24,317.0,918.82,
2015,1,5,12,24.5,94.64,183.0,0.0,183.0,410.63,2.51,314.0,917.85,
2015,1,5,13,24.41,95.44,298.0,0.0,298.0,415.75,2.77,311.0,916.88,
2015,1,5,14,24.25,94.92,251.0,0.0,251.0,412.37,2.53,305.0,916.76,
2015,1,5,15,24.09,94.41,353.0,28.03,332.0,408.98,2.29,299.0,916.64,
2015,1,5,16,23.92,93.89,187.0,1.74,186.0,405.6,2.04,294.0,916.52,
2015,1,5,17,22.97,95.75,129.0,8.28,126.0,403.2,2.11,312.0,917.43,
