Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,4955,Kolwezi,COD,Congo (Kinshasa),-10.7167244274,25.4724397366,2,1491.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2005,1,1,0,17.79,96.35,0.0,0.0,0.0,396.25,3.84,317.0,847.79,
2005,1,1,1,17.83,95.64,0.0,0.0,0.0,395.76,3.84,319.0,847.37,
2005,1,1,2,17.86,94.93,0.0,0.0,0.0,395.26,3.83,331.0,848.54,
2005,1,1,3,17.89,94.21,0.0,0.0,0.0,394.77,3.83,331.0,848.54,
2005,1,1,4,17.92,93.5,0.0,0.0,0.0,394.28,3.83,331.0,848.54,
2005,1,1,5,17.96,92.78,0.0,0.0,0.0,393.79,3.82,333.0,848.74,
2005,1,1,6,17.99,92.07,0.0,0.0,0.0,393.3,3.82,334.0,848.93,
2005,1,1,7,18.02,91.36,15.0,0.0,15.0,392.8,3.82,335.0,849.13,
2005,1,1,8,18.05,90.64,146.0,10.72,141.0,392.31,3.81,330.0,848.76,
2005,1,1,9,18.09,89.93,234.0,9.04,228.0,391.82,3.81,325.0,848.4,
2005,1,1,10,20.78,70.37,138.0,0.0,138.0,385.9,5.31,319.0,848.04,
2005,1,1,11,21.24,66.97,617.0,161.84,467.0,387.85,5.24,317.0,846.93,
2005,1,1,12,21.7,63.57,539.0,58.48,482.0,389.8,5.16,315.0,845.81,
2005,1,1,13,22.17,60.17,1090.0,1027.02,103.0,391.75,5.09,312.0,844.7,
2005,1,1,14,22.02,67.22,802.0,430.73,420.0,389.22,4.41,305.0,844.87,
2005,1,1,15,21.88,74.28,538.0,151.87,423.0,386.68,3.74,297.0,845.03,
2005,1,1,16,21.74,81.33,65.0,0.0,65.0,384.15,3.06,289.0,845.2,
2005,1,1,17,20.69,84.7,50.0,0.0,50.0,380.03,2.56,289.0,846.26,
2005,1,1,18,19.64,88.07,57.0,0.0,57.0,375.92,2.06,288.0,847.32,
2005,1,1,19,18.6,91.44,0.0,0.0,0.0,371.8,1.56,287.0,848.37,
2005,1,1,20,18.21,93.26,0.0,0.0,0.0,372.0,1.62,293.0,848.88,
2005,1,1,21,17.82,95.07,0.0,0.0,0.0,372.2,1.69,300.0,849.38,
2005,1,1,22,17.43,96.89,0.0,0.0,0.0,372.4,1.75,307.0,849.88,
2005,1,1,23,17.41,97.52,0.0,0.0,0.0,369.97,1.89,311.0,849.57,
2005,1,2,0,17.38,98.16,0.0,0.0,0.0,367.53,2.04,315.0,849.26,
2005,1,2,1,17.35,98.79,0.0,0.0,0.0,365.1,2.18,319.0,848.96,
2005,1,2,2,17.35,98.63,0.0,0.0,0.0,365.38,2.37,320.0,848.71,
2005,1,2,3,17.35,98.48,0.0,0.0,0.0,365.67,2.56,322.0,848.46,
2005,1,2,4,17.34,98.32,0.0,0.0,0.0,365.95,2.74,323.0,848.21,
2005,1,2,5,17.75,97.42,0.0,0.0,0.0,374.72,3.03,320.0,848.37,
2005,1,2,6,18.16,96.51,0.0,0.0,0.0,383.48,3.31,318.0,848.54,
2005,1,2,7,18.57,95.61,61.0,29.12,54.0,392.25,3.59,315.0,848.71,
2005,1,2,8,19.42,92.66,156.0,17.21,148.0,394.27,3.58,313.0,848.32,
2005,1,2,9,20.27,89.7,256.0,16.6,245.0,396.28,3.58,311.0,847.93,
2005,1,2,10,21.13,86.75,349.0,19.51,333.0,398.3,3.57,310.0,847.54,
2005,1,2,11,20.98,87.93,877.0,638.95,285.0,402.05,3.43,306.0,846.65,
2005,1,2,12,20.83,89.11,892.0,517.01,388.0,405.8,3.3,303.0,845.76,
2005,1,2,13,20.69,90.29,929.0,583.36,368.0,409.55,3.16,300.0,844.87,
2005,1,2,14,20.62,91.7,449.0,27.03,425.0,408.92,2.85,298.0,844.98,
2005,1,2,15,20.56,93.12,464.0,73.83,408.0,408.28,2.53,295.0,845.09,
2005,1,2,16,20.5,94.53,579.0,540.83,264.0,407.65,2.22,292.0,845.2,
2005,1,2,17,19.7,95.41,77.0,0.0,77.0,402.05,2.12,297.0,845.84,
2005,1,2,18,18.9,96.29,19.0,0.0,19.0,396.45,2.02,302.0,846.48,
2005,1,2,19,18.11,97.17,0.0,0.0,0.0,390.85,1.92,307.0,847.12,
2005,1,2,20,17.96,97.66,0.0,0.0,0.0,389.52,2.05,317.0,847.65,
2005,1,2,21,17.8,98.16,0.0,0.0,0.0,388.18,2.18,326.0,848.18,
2005,1,2,22,17.65,98.65,0.0,0.0,0.0,386.85,2.32,336.0,848.71,
2005,1,2,23,17.62,98.74,0.0,0.0,0.0,387.97,2.68,334.0,848.35,
2005,1,3,0,17.59,98.82,0.0,0.0,0.0,389.08,3.04,331.0,847.98,
2005,1,3,1,17.56,98.91,0.0,0.0,0.0,390.2,3.41,329.0,847.62,
2005,1,3,2,17.4,98.87,0.0,0.0,0.0,393.5,3.36,327.0,847.4,
2005,1,3,3,17.24,98.82,0.0,0.0,0.0,396.8,3.31,325.0,847.18,
2005,1,3,4,17.07,98.78,0.0,0.0,0.0,400.1,3.27,323.0,846.95,
2005,1,3,5,17.25,98.54,0.0,0.0,0.0,399.93,3.36,323.0,847.23,
2005,1,3,6,17.44,98.31,0.0,0.0,0.0,399.77,3.44,323.0,847.51,
2005,1,3,7,17.62,98.07,11.0,0.0,11.0,399.6,3.53,323.0,847.79,
2005,1,3,8,18.63,97.12,67.0,0.0,67.0,399.13,3.69,324.0,847.73,
2005,1,3,9,19.64,96.16,86.0,0.0,86.0,398.67,3.84,324.0,847.68,
2005,1,3,10,20.65,95.21,129.0,0.0,129.0,398.2,4.0,324.0,847.62,
2005,1,3,11,20.4,93.49,193.0,0.0,193.0,398.67,4.18,320.0,846.9,
2005,1,3,12,20.15,91.78,340.0,1.03,339.0,399.13,4.37,315.0,846.17,
2005,1,3,13,19.91,90.06,345.0,1.04,344.0,399.6,4.55,310.0,845.45,
2005,1,3,14,20.0,88.17,217.0,0.0,217.0,395.62,4.55,308.0,845.45,
2005,1,3,15,20.1,86.29,356.0,14.48,345.0,391.63,4.55,306.0,845.45,
2005,1,3,16,20.2,84.4,291.0,20.55,279.0,387.65,4.55,304.0,845.45,
2005,1,3,17,19.5,86.62,168.0,8.04,165.0,384.12,4.11,314.0,846.09,
2005,1,3,18,18.8,88.84,106.0,77.56,95.0,380.58,3.67,325.0,846.73,
2005,1,3,19,18.1,91.06,0.0,0.0,0.0,377.05,3.23,335.0,847.37,
2005,1,3,20,17.79,92.32,0.0,0.0,0.0,377.25,3.27,336.0,847.96,
2005,1,3,21,17.49,93.57,0.0,0.0,0.0,377.45,3.31,338.0,848.54,
2005,1,3,22,17.18,94.83,0.0,0.0,0.0,377.65,3.35,339.0,849.13,
2005,1,3,23,17.19,95.39,0.0,0.0,0.0,379.52,3.54,336.0,848.76,
2005,1,4,0,17.19,95.95,0.0,0.0,0.0,381.38,3.74,332.0,848.4,
2005,1,4,1,17.19,96.51,0.0,0.0,0.0,383.25,3.93,329.0,848.04,
2005,1,4,2,17.1,96.6,0.0,0.0,0.0,382.55,3.59,328.0,847.98,
2005,1,4,3,17.01,96.68,0.0,0.0,0.0,381.85,3.25,327.0,847.93,
2005,1,4,4,16.91,96.77,0.0,0.0,0.0,381.15,2.91,326.0,847.87,
2005,1,4,5,17.38,94.97,0.0,0.0,0.0,381.93,3.22,326.0,848.15,
2005,1,4,6,17.85,93.16,0.0,0.0,0.0,382.72,3.53,325.0,848.43,
2005,1,4,7,18.32,91.36,17.0,0.0,17.0,383.5,3.83,325.0,848.71,
2005,1,4,8,19.49,83.72,264.0,210.1,167.0,382.5,3.89,322.0,848.4,
2005,1,4,9,20.66,76.09,245.0,13.63,236.0,381.5,3.95,318.0,848.1,
2005,1,4,10,21.84,68.45,693.0,489.91,292.0,380.5,4.01,315.0,847.79,
2005,1,4,11,21.96,65.93,881.0,652.26,277.0,383.3,3.92,316.0,846.7,
2005,1,4,12,22.09,63.42,1012.0,810.02,222.0,386.1,3.82,316.0,845.62,
2005,1,4,13,22.22,60.9,802.0,335.41,479.0,388.9,3.72,316.0,844.53,
2005,1,4,14,22.27,62.78,892.0,630.36,331.0,389.1,3.58,319.0,844.56,
2005,1,4,15,22.33,64.66,778.0,638.47,292.0,389.3,3.43,322.0,844.59,
2005,1,4,16,22.39,66.54,655.0,826.72,171.0,389.5,3.28,325.0,844.61,
2005,1,4,17,21.27,71.01,93.0,0.0,93.0,386.67,2.92,328.0,845.56,
2005,1,4,18,20.15,75.48,50.0,0.0,50.0,383.83,2.57,332.0,846.51,
2005,1,4,19,19.04,79.95,0.0,0.0,0.0,381.0,2.21,335.0,847.45,
2005,1,4,20,18.54,84.2,0.0,0.0,0.0,377.98,2.13,335.0,848.18,
2005,1,4,21,18.05,88.45,0.0,0.0,0.0,374.97,2.06,336.0,848.9,
2005,1,4,22,17.55,92.7,0.0,0.0,0.0,371.95,1.99,336.0,849.63,
2005,1,4,23,17.45,94.27,0.0,0.0,0.0,371.65,2.06,333.0,849.35,
2005,1,5,0,17.35,95.83,0.0,0.0,0.0,371.35,2.14,331.0,849.07,
2005,1,5,1,17.25,97.4,0.0,0.0,0.0,371.05,2.22,328.0,848.79,
2005,1,5,2,17.15,97.52,0.0,0.0,0.0,371.68,2.24,333.0,848.54,
2005,1,5,3,17.05,97.65,0.0,0.0,0.0,372.32,2.27,338.0,848.29,
2005,1,5,4,16.95,97.77,0.0,0.0,0.0,372.95,2.29,343.0,848.04,
2005,1,5,5,17.35,95.07,0.0,0.0,0.0,376.13,2.36,347.0,848.37,
2005,1,5,6,17.76,92.37,0.0,0.0,0.0,379.32,2.44,352.0,848.71,
2005,1,5,7,18.16,89.67,44.0,8.52,42.0,382.5,2.51,356.0,849.04,
2005,1,5,8,19.18,87.39,130.0,4.35,128.0,383.47,2.35,351.0,848.71,
2005,1,5,9,20.2,85.12,75.0,0.0,75.0,384.43,2.2,345.0,848.37,
