Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,2693,Luebo,COD,Congo (Kinshasa),-5.34950681674,21.4100003649,2,452.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2005,1,1,0,23.2,99.14,0.0,0.0,0.0,397.12,0.94,32.0,960.76,
2005,1,1,1,23.13,98.91,0.0,0.0,0.0,396.71,0.92,27.0,960.45,
2005,1,1,2,23.07,98.68,0.0,0.0,0.0,396.29,0.9,119.0,959.41,
2005,1,1,3,23.0,98.44,0.0,0.0,0.0,395.87,0.88,119.0,959.41,
2005,1,1,4,22.94,98.21,0.0,0.0,0.0,395.45,0.87,119.0,959.41,
2005,1,1,5,22.87,97.98,0.0,0.0,0.0,395.03,0.85,105.0,959.85,
2005,1,1,6,22.8,97.74,0.0,0.0,0.0,394.61,0.83,92.0,960.29,
2005,1,1,7,22.74,97.51,2.0,0.0,2.0,394.19,0.81,78.0,960.73,
2005,1,1,8,22.67,97.28,27.0,0.0,27.0,393.78,0.79,46.0,960.76,
2005,1,1,9,22.61,97.04,42.0,0.0,42.0,393.36,0.77,13.0,960.79,
2005,1,1,10,26.92,91.12,62.0,0.0,62.0,411.35,1.52,341.0,960.83,
2005,1,1,11,27.06,92.98,78.0,0.0,78.0,407.85,1.72,333.0,959.97,
2005,1,1,12,27.2,94.83,88.0,0.0,88.0,404.35,1.93,325.0,959.12,
2005,1,1,13,27.33,96.69,116.0,0.0,116.0,400.85,2.14,317.0,958.27,
2005,1,1,14,27.08,96.11,185.0,0.0,185.0,406.52,2.06,317.0,958.08,
2005,1,1,15,26.84,95.52,411.0,40.3,380.0,412.18,1.97,316.0,957.89,
2005,1,1,16,26.59,94.94,484.0,257.51,329.0,417.85,1.89,315.0,957.7,
2005,1,1,17,25.74,96.54,433.0,717.19,149.0,412.55,1.64,316.0,958.77,
2005,1,1,18,24.9,98.14,181.0,465.07,104.0,407.25,1.39,317.0,959.85,
2005,1,1,19,24.05,99.74,0.0,0.0,0.0,401.95,1.14,318.0,960.92,
2005,1,1,20,23.59,99.32,0.0,0.0,0.0,405.72,1.27,322.0,961.81,
2005,1,1,21,23.13,98.89,0.0,0.0,0.0,409.48,1.39,326.0,962.69,
2005,1,1,22,22.67,98.47,0.0,0.0,0.0,413.25,1.52,329.0,963.57,
2005,1,1,23,22.48,98.27,0.0,0.0,0.0,413.77,1.43,315.0,963.29,
2005,1,2,0,22.29,98.08,0.0,0.0,0.0,414.28,1.34,301.0,963.01,
2005,1,2,1,22.1,97.88,0.0,0.0,0.0,414.8,1.26,287.0,962.72,
2005,1,2,2,21.92,98.36,0.0,0.0,0.0,414.93,1.15,274.0,962.25,
2005,1,2,3,21.75,98.85,0.0,0.0,0.0,415.07,1.05,261.0,961.77,
2005,1,2,4,21.57,99.33,0.0,0.0,0.0,415.2,0.95,248.0,961.3,
2005,1,2,5,21.93,99.16,0.0,0.0,0.0,414.82,1.16,249.0,961.71,
2005,1,2,6,22.28,98.99,0.0,0.0,0.0,414.43,1.37,251.0,962.12,
2005,1,2,7,22.63,98.82,13.0,6.91,12.0,414.05,1.59,252.0,962.53,
2005,1,2,8,23.76,97.27,97.0,7.96,94.0,410.63,1.99,265.0,962.15,
2005,1,2,9,24.89,95.72,344.0,175.92,241.0,407.22,2.39,277.0,961.77,
