Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,2440,Ciudad Cortes,CRI,Costa Rica,8.9603690785,-83.5300024838,-6,5.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2005,1,1,0,25.38,100.0,0.0,0.0,0.0,412.96,1.71,38.0,1012.73,
2005,1,1,1,25.34,100.0,0.0,0.0,0.0,413.64,1.76,38.0,1012.37,
2005,1,1,2,24.22,100.0,0.0,0.0,0.0,409.55,1.77,38.0,1012.0,
2005,1,1,3,24.3,100.0,0.0,0.0,0.0,410.2,1.86,38.0,1012.2,
2005,1,1,4,24.38,100.0,0.0,0.0,0.0,410.85,1.96,38.0,1012.4,
2005,1,1,5,24.46,100.0,0.0,0.0,0.0,411.5,2.06,38.0,1012.6,
2005,1,1,6,25.08,98.2,8.0,0.0,8.0,410.23,1.86,41.0,1013.27,
2005,1,1,7,25.71,96.41,199.0,462.84,79.0,408.97,1.66,43.0,1013.93,
2005,1,1,8,26.33,94.61,426.0,665.8,114.0,407.7,1.46,45.0,1014.6,
2005,1,1,9,26.47,89.62,627.0,768.07,134.0,407.2,1.14,46.0,1014.07,
2005,1,1,10,26.61,84.62,777.0,821.13,147.0,406.7,0.81,47.0,1013.53,
2005,1,1,11,26.74,79.63,859.0,844.33,153.0,406.2,0.48,48.0,1013.0,
2005,1,1,12,26.51,80.15,868.0,844.82,155.0,406.7,0.92,47.0,1012.27,
2005,1,1,13,26.28,80.66,801.0,822.68,151.0,407.2,1.37,47.0,1011.53,
2005,1,1,14,26.04,81.18,287.0,26.54,269.0,407.7,1.81,47.0,1010.8,
2005,1,1,15,25.99,85.55,477.0,682.15,125.0,407.2,1.7,42.0,1011.07,
2005,1,1,16,25.94,89.92,66.0,0.0,66.0,406.7,1.6,38.0,1011.33,
2005,1,1,17,25.9,94.29,59.0,80.13,52.0,406.2,1.49,34.0,1011.6,
2005,1,1,18,25.84,96.19,0.0,0.0,0.0,409.3,1.61,36.0,1012.17,
2005,1,1,19,25.78,98.1,0.0,0.0,0.0,412.4,1.73,38.0,1012.73,
2005,1,1,20,25.73,100.0,0.0,0.0,0.0,415.5,1.85,40.0,1013.3,
2005,1,1,21,25.71,100.0,0.0,0.0,0.0,416.4,1.99,40.0,1013.13,
2005,1,1,22,25.68,100.0,0.0,0.0,0.0,417.3,2.13,40.0,1012.97,
2005,1,1,23,25.66,100.0,0.0,0.0,0.0,418.2,2.28,40.0,1012.8,
2005,1,2,0,25.49,100.0,0.0,0.0,0.0,418.97,2.39,41.0,1012.3,
2005,1,2,1,25.32,100.0,0.0,0.0,0.0,419.73,2.5,41.0,1011.8,
2005,1,2,2,25.16,100.0,0.0,0.0,0.0,420.5,2.61,42.0,1011.3,
2005,1,2,3,25.21,100.0,0.0,0.0,0.0,419.68,2.56,41.0,1011.53,
2005,1,2,4,25.26,100.0,0.0,0.0,0.0,418.87,2.51,41.0,1011.77,
2005,1,2,5,25.31,100.0,0.0,0.0,0.0,418.05,2.46,41.0,1012.0,
2005,1,2,6,25.87,97.58,8.0,0.0,8.0,416.0,2.59,41.0,1012.67,
2005,1,2,7,26.44,95.17,196.0,453.44,79.0,413.95,2.73,41.0,1013.33,
2005,1,2,8,27.0,92.75,422.0,660.65,113.0,411.9,2.87,41.0,1014.0,
2005,1,2,9,27.2,87.98,623.0,762.39,134.0,409.17,2.18,40.0,1013.4,
2005,1,2,10,27.4,83.22,773.0,817.21,146.0,406.43,1.49,40.0,1012.8,
2005,1,2,11,27.6,78.45,856.0,840.25,153.0,403.7,0.8,40.0,1012.2,
2005,1,2,12,27.37,79.77,866.0,842.68,154.0,404.25,0.94,39.0,1011.43,
2005,1,2,13,27.13,81.09,801.0,821.25,151.0,404.8,1.09,39.0,1010.67,
2005,1,2,14,26.89,82.41,667.0,772.1,142.0,405.35,1.23,38.0,1009.9,
2005,1,2,15,26.83,86.74,479.0,683.44,125.0,407.6,1.31,37.0,1010.2,
2005,1,2,16,26.76,91.06,258.0,508.62,97.0,409.85,1.38,35.0,1010.5,
2005,1,2,17,26.7,95.39,60.0,89.47,52.0,412.1,1.46,34.0,1010.8,
2005,1,2,18,26.52,96.93,0.0,0.0,0.0,415.37,2.17,36.0,1011.47,
2005,1,2,19,26.34,98.46,0.0,0.0,0.0,418.63,2.87,39.0,1012.13,
2005,1,2,20,26.17,100.0,0.0,0.0,0.0,421.9,3.57,41.0,1012.8,
2005,1,2,21,26.11,100.0,0.0,0.0,0.0,421.27,3.73,41.0,1012.63,
2005,1,2,22,26.06,100.0,0.0,0.0,0.0,420.63,3.89,41.0,1012.47,
2005,1,2,23,26.0,100.0,0.0,0.0,0.0,420.0,4.06,42.0,1012.3,
2005,1,3,0,25.78,100.0,0.0,0.0,0.0,418.38,4.02,42.0,1011.87,
2005,1,3,1,25.55,100.0,0.0,0.0,0.0,416.77,3.99,42.0,1011.43,
2005,1,3,2,25.33,100.0,0.0,0.0,0.0,415.15,3.96,42.0,1011.0,
2005,1,3,3,25.33,100.0,0.0,0.0,0.0,412.9,4.0,42.0,1011.23,
2005,1,3,4,25.33,100.0,0.0,0.0,0.0,410.65,4.05,43.0,1011.47,
2005,1,3,5,25.33,100.0,0.0,0.0,0.0,408.4,4.1,43.0,1011.7,
2005,1,3,6,26.05,97.24,7.0,0.0,7.0,407.43,4.08,43.0,1012.17,
2005,1,3,7,26.78,94.49,87.0,3.89,86.0,406.47,4.07,43.0,1012.63,
2005,1,3,8,27.51,91.73,422.0,661.83,113.0,405.5,4.06,43.0,1013.1,
2005,1,3,9,27.71,86.47,184.0,6.24,180.0,403.93,3.3,43.0,1012.43,
2005,1,3,10,27.91,81.22,325.0,26.06,305.0,402.37,2.55,43.0,1011.77,
2005,1,3,11,28.11,75.96,858.0,842.07,153.0,400.8,1.79,43.0,1011.1,
2005,1,3,12,27.87,75.63,560.0,135.94,445.0,401.68,1.62,41.0,1010.43,
2005,1,3,13,27.63,75.29,804.0,823.55,151.0,402.57,1.44,39.0,1009.77,
2005,1,3,14,27.38,74.96,671.0,775.98,142.0,403.45,1.27,37.0,1009.1,
2005,1,3,15,27.26,80.22,174.0,1.92,173.0,404.47,1.5,37.0,1009.33,
2005,1,3,16,27.13,85.48,261.0,511.56,98.0,405.48,1.74,36.0,1009.57,
2005,1,3,17,27.01,90.74,61.0,98.38,52.0,406.5,1.97,35.0,1009.8,
2005,1,3,18,26.94,93.83,0.0,0.0,0.0,407.02,1.74,37.0,1010.67,
2005,1,3,19,26.87,96.91,0.0,0.0,0.0,407.53,1.51,39.0,1011.53,
2005,1,3,20,26.8,100.0,0.0,0.0,0.0,408.05,1.28,41.0,1012.4,
2005,1,3,21,26.56,100.0,0.0,0.0,0.0,410.38,1.73,41.0,1012.33,
2005,1,3,22,26.32,100.0,0.0,0.0,0.0,412.72,2.18,41.0,1012.27,
2005,1,3,23,26.08,100.0,0.0,0.0,0.0,415.05,2.63,41.0,1012.2,
