Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,4641,Djibouti,DJI,Djibouti,11.5950144643,43.1480016671,3,12.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2008,1,1,0,22.62,77.71,0.0,0.0,0.0,302.0,3.91,176.0,1014.46,
2008,1,1,1,22.72,77.08,0.0,0.0,0.0,304.67,4.31,187.0,1014.16,
2008,1,1,2,22.82,76.44,0.0,0.0,0.0,307.33,4.71,198.0,1013.86,
2008,1,1,3,22.93,75.8,0.0,0.0,0.0,310.0,5.11,97.0,1013.32,
2008,1,1,4,23.03,75.16,0.0,0.0,0.0,312.66,5.51,97.0,1013.49,
2008,1,1,5,23.14,74.52,0.0,0.0,0.0,315.33,5.91,96.0,1013.66,
2008,1,1,6,23.24,73.88,0.0,0.0,0.0,318.0,6.31,96.0,1014.12,
2008,1,1,7,23.34,73.24,19.0,35.34,17.0,320.66,6.71,96.0,1014.59,
2008,1,1,8,23.45,72.6,227.0,427.99,106.0,323.33,7.11,96.0,1015.05,
2008,1,1,9,23.55,71.96,234.0,39.24,215.0,325.99,7.51,96.0,1014.59,
2008,1,1,10,23.66,71.33,660.0,775.44,158.0,328.66,7.91,95.0,1014.12,
2008,1,1,11,27.15,65.31,701.0,521.64,304.0,361.7,7.82,95.0,1013.66,
2008,1,1,12,26.92,65.2,637.0,271.55,415.0,361.92,7.79,94.0,1012.79,
2008,1,1,13,26.69,65.08,819.0,707.34,244.0,362.13,7.77,93.0,1011.93,
2008,1,1,14,26.46,64.97,725.0,631.39,253.0,362.35,7.74,93.0,1011.06,
2008,1,1,15,25.71,67.22,576.0,551.21,231.0,354.2,7.39,93.0,1011.43,
2008,1,1,16,24.97,69.46,405.0,532.62,162.0,346.05,7.05,93.0,1011.79,
2008,1,1,17,24.22,71.71,174.0,275.86,105.0,337.9,6.7,92.0,1012.16,
2008,1,1,18,23.83,73.49,0.0,0.0,0.0,331.35,6.45,94.0,1012.82,
2008,1,1,19,23.44,75.28,0.0,0.0,0.0,324.8,6.19,96.0,1013.49,
2008,1,1,20,23.05,77.06,0.0,0.0,0.0,318.25,5.93,97.0,1014.16,
2008,1,1,21,22.71,77.59,0.0,0.0,0.0,314.98,5.78,100.0,1014.12,
2008,1,1,22,22.37,78.11,0.0,0.0,0.0,311.72,5.64,102.0,1014.09,
2008,1,1,23,22.02,78.64,0.0,0.0,0.0,308.45,5.49,105.0,1014.06,
2008,1,2,0,21.88,78.31,0.0,0.0,0.0,307.3,5.38,106.0,1013.66,
2008,1,2,1,21.73,77.98,0.0,0.0,0.0,306.15,5.28,107.0,1013.26,
2008,1,2,2,21.58,77.65,0.0,0.0,0.0,305.0,5.17,108.0,1012.86,
2008,1,2,3,21.27,77.55,0.0,0.0,0.0,302.67,5.04,109.0,1013.19,
2008,1,2,4,20.95,77.46,0.0,0.0,0.0,300.33,4.91,110.0,1013.52,
2008,1,2,5,20.64,77.36,0.0,0.0,0.0,298.0,4.77,111.0,1013.86,
2008,1,2,6,21.82,74.59,0.0,0.0,0.0,302.27,5.16,108.0,1014.46,
