Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,933,La Vega,DOM,Dominican Republic,19.2165905955,-70.5165849219,-4,93.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2009,1,1,0,21.6,83.07,0.0,0.0,0.0,380.21,1.75,35.0,1005.24,
2009,1,1,1,20.97,85.34,0.0,0.0,0.0,377.76,1.54,32.0,1005.24,
2009,1,1,2,20.34,87.61,0.0,0.0,0.0,375.32,1.32,28.0,1005.14,
2009,1,1,3,19.7,89.88,0.0,0.0,0.0,372.87,1.1,23.0,1005.05,
2009,1,1,4,18.29,85.49,0.0,0.0,0.0,377.85,1.79,18.0,1004.95,
2009,1,1,5,18.72,87.0,0.0,0.0,0.0,376.63,1.71,13.0,1005.34,
2009,1,1,6,19.15,88.5,0.0,0.0,0.0,375.42,1.64,9.0,1005.74,
2009,1,1,7,19.58,90.01,0.0,0.0,0.0,374.2,1.56,4.0,1006.13,
2009,1,1,8,21.26,81.7,106.0,409.37,45.0,372.52,1.56,16.0,1006.43,
2009,1,1,9,22.93,73.38,323.0,708.79,73.0,370.83,1.56,28.0,1006.73,
2009,1,1,10,24.61,65.07,525.0,832.67,89.0,369.15,1.56,40.0,1007.02,
2009,1,1,11,24.82,60.19,679.0,893.75,98.0,370.07,1.55,39.0,1006.2,
2009,1,1,12,25.03,55.32,769.0,921.97,102.0,370.98,1.54,38.0,1005.37,
2009,1,1,13,25.24,50.44,788.0,927.23,103.0,371.9,1.53,38.0,1004.55,
2009,1,1,14,25.49,50.13,734.0,910.84,101.0,374.5,1.78,37.0,1004.16,
2009,1,1,15,25.74,49.83,612.0,870.54,94.0,377.1,2.03,37.0,1003.76,
2009,1,1,16,25.99,49.52,341.0,372.37,175.0,379.7,2.28,37.0,1003.36,
2009,1,1,17,24.75,55.79,82.0,0.0,82.0,381.6,2.29,37.0,1003.86,
2009,1,1,18,23.5,62.07,0.0,0.0,0.0,383.5,2.3,38.0,1004.35,
2009,1,1,19,22.25,68.34,0.0,0.0,0.0,385.4,2.32,38.0,1004.85,
2009,1,1,20,21.43,72.73,0.0,0.0,0.0,378.9,2.31,36.0,1005.37,
2009,1,1,21,20.61,77.13,0.0,0.0,0.0,372.4,2.31,33.0,1005.9,
2009,1,1,22,19.79,81.52,0.0,0.0,0.0,365.9,2.3,31.0,1006.43,
2009,1,1,23,19.03,82.6,0.0,0.0,0.0,365.6,2.26,31.0,1006.4,
2009,1,2,0,18.27,83.69,0.0,0.0,0.0,365.3,2.22,31.0,1006.36,
2009,1,2,1,17.51,84.77,0.0,0.0,0.0,365.0,2.18,32.0,1006.33,
2009,1,2,2,17.24,85.11,0.0,0.0,0.0,365.25,2.06,35.0,1006.1,
2009,1,2,3,16.97,85.46,0.0,0.0,0.0,365.5,1.95,38.0,1005.87,
2009,1,2,4,16.69,85.8,0.0,0.0,0.0,365.75,1.83,42.0,1005.64,
2009,1,2,5,16.86,86.16,0.0,0.0,0.0,365.22,1.77,43.0,1005.87,
2009,1,2,6,17.03,86.53,0.0,0.0,0.0,364.68,1.71,44.0,1006.1,
2009,1,2,7,17.2,86.89,0.0,0.0,0.0,364.15,1.66,45.0,1006.33,
2009,1,2,8,19.36,78.29,106.0,405.32,46.0,364.85,1.89,51.0,1006.66,
2009,1,2,9,21.52,69.69,326.0,718.62,73.0,365.55,2.11,57.0,1006.99,
2009,1,2,10,23.69,61.09,529.0,840.72,89.0,366.25,2.34,63.0,1007.32,
2009,1,2,11,24.11,56.02,684.0,901.18,98.0,369.82,2.31,70.0,1006.4,
2009,1,2,12,24.52,50.94,775.0,929.42,102.0,373.38,2.27,76.0,1005.47,
2009,1,2,13,24.94,45.87,793.0,932.59,103.0,376.95,2.23,82.0,1004.55,
2009,1,2,14,25.26,46.58,738.0,916.04,100.0,377.9,2.26,78.0,1004.12,
2009,1,2,15,25.57,47.29,615.0,872.87,94.0,378.85,2.28,74.0,1003.69,
2009,1,2,16,25.88,48.0,436.0,790.4,82.0,379.8,2.3,70.0,1003.26,
