Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,253,Pedernales,DOM,Dominican Republic,18.0379980114,-71.7409975515,-4,20.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2014,1,1,0,24.97,97.97,0.0,0.0,0.0,394.89,2.07,72.0,1015.26,
2014,1,1,1,24.65,100.0,0.0,0.0,0.0,394.15,1.86,71.0,1015.19,
2014,1,1,2,24.32,100.0,0.0,0.0,0.0,393.41,1.64,71.0,1014.92,
2014,1,1,3,23.99,100.0,0.0,0.0,0.0,392.67,1.42,70.0,1014.66,
2014,1,1,4,23.63,100.0,0.0,0.0,0.0,401.45,1.72,70.0,1014.39,
2014,1,1,5,23.64,99.0,0.0,0.0,0.0,401.58,1.94,69.0,1014.62,
2014,1,1,6,23.65,98.0,0.0,0.0,0.0,401.72,2.17,69.0,1014.86,
2014,1,1,7,23.67,97.0,0.0,0.0,0.0,401.85,2.39,68.0,1015.09,
2014,1,1,8,24.71,90.68,96.0,376.49,43.0,399.9,3.1,69.0,1015.49,
2014,1,1,9,25.75,84.37,311.0,686.78,72.0,397.95,3.81,69.0,1015.89,
2014,1,1,10,26.79,78.05,512.0,812.21,87.0,396.0,4.52,70.0,1016.29,
2014,1,1,11,27.3,74.61,668.0,872.26,97.0,398.05,4.36,70.0,1015.46,
2014,1,1,12,27.82,71.17,763.0,903.0,101.0,400.1,4.2,70.0,1014.62,
2014,1,1,13,28.34,67.73,788.0,909.21,103.0,402.15,4.04,70.0,1013.79,
2014,1,1,14,28.34,68.36,739.0,894.84,100.0,403.12,4.14,71.0,1013.16,
2014,1,1,15,28.34,68.99,624.0,857.77,94.0,404.08,4.23,73.0,1012.53,
2014,1,1,16,28.34,69.62,452.0,782.93,83.0,405.05,4.33,74.0,1011.9,
2014,1,1,17,27.78,74.58,244.0,632.98,64.0,405.53,4.15,74.0,1012.13,
2014,1,1,18,27.23,79.55,0.0,0.0,0.0,406.02,3.97,74.0,1012.36,
2014,1,1,19,26.67,84.51,0.0,0.0,0.0,406.5,3.79,74.0,1012.6,
2014,1,1,20,26.21,88.29,0.0,0.0,0.0,403.5,3.38,74.0,1013.09,
2014,1,1,21,25.75,92.07,0.0,0.0,0.0,400.5,2.97,74.0,1013.59,
2014,1,1,22,25.28,95.85,0.0,0.0,0.0,397.5,2.55,74.0,1014.09,
2014,1,1,23,24.91,96.87,0.0,0.0,0.0,397.85,2.47,74.0,1013.96,
2014,1,2,0,24.53,97.9,0.0,0.0,0.0,398.2,2.4,74.0,1013.83,
2014,1,2,1,24.15,98.92,0.0,0.0,0.0,398.55,2.32,75.0,1013.69,
2014,1,2,2,23.92,99.28,0.0,0.0,0.0,397.65,2.45,75.0,1013.43,
2014,1,2,3,23.7,99.64,0.0,0.0,0.0,396.75,2.58,75.0,1013.16,
2014,1,2,4,23.48,100.0,0.0,0.0,0.0,395.85,2.72,76.0,1012.89,
2014,1,2,5,23.56,99.27,0.0,0.0,0.0,395.5,2.86,76.0,1013.09,
2014,1,2,6,23.64,98.53,0.0,0.0,0.0,395.15,3.01,77.0,1013.29,
2014,1,2,7,23.72,97.8,0.0,0.0,0.0,394.8,3.16,78.0,1013.49,
2014,1,2,8,24.71,92.04,95.0,372.12,43.0,396.12,3.82,78.0,1013.76,
2014,1,2,9,25.71,86.27,310.0,685.32,72.0,397.43,4.48,78.0,1014.03,
2014,1,2,10,26.71,80.51,511.0,810.8,87.0,398.75,5.14,79.0,1014.29,
2014,1,2,11,27.16,78.2,667.0,872.09,96.0,400.22,5.27,81.0,1013.59,
2014,1,2,12,27.61,75.9,762.0,900.9,101.0,401.68,5.39,83.0,1012.89,
2014,1,2,13,28.06,73.59,788.0,907.94,103.0,403.15,5.52,86.0,1012.2,
2014,1,2,14,27.85,74.95,741.0,895.8,100.0,403.07,5.29,87.0,1011.73,
2014,1,2,15,27.65,76.3,626.0,858.5,94.0,402.98,5.06,88.0,1011.27,
2014,1,2,16,27.45,77.66,454.0,783.75,83.0,402.9,4.83,90.0,1010.8,
2014,1,2,17,26.9,81.99,247.0,638.6,64.0,400.9,4.08,89.0,1011.2,
2014,1,2,18,26.35,86.31,75.0,319.39,52.0,398.9,3.33,88.0,1011.6,
2014,1,2,19,25.8,90.64,0.0,0.0,0.0,396.9,2.58,87.0,1012.0,
2014,1,2,20,25.52,92.4,0.0,0.0,0.0,393.43,2.39,88.0,1012.3,
2014,1,2,21,25.25,94.17,0.0,0.0,0.0,389.97,2.19,89.0,1012.6,
2014,1,2,22,24.97,95.93,0.0,0.0,0.0,386.5,2.0,90.0,1012.89,
2014,1,2,23,24.73,97.29,0.0,0.0,0.0,385.53,2.0,89.0,1012.8,
2014,1,3,0,24.48,98.64,0.0,0.0,0.0,384.57,2.01,88.0,1012.7,
2014,1,3,1,24.24,100.0,0.0,0.0,0.0,383.6,2.01,87.0,1012.6,
2014,1,3,2,24.04,100.0,0.0,0.0,0.0,383.95,1.96,86.0,1012.4,
2014,1,3,3,23.84,100.0,0.0,0.0,0.0,384.3,1.9,85.0,1012.2,
2014,1,3,4,23.65,100.0,0.0,0.0,0.0,384.65,1.85,85.0,1012.0,
2014,1,3,5,23.7,100.0,0.0,0.0,0.0,384.73,1.85,85.0,1012.53,
2014,1,3,6,23.75,100.0,0.0,0.0,0.0,384.82,1.85,85.0,1013.06,
2014,1,3,7,23.8,100.0,0.0,0.0,0.0,384.9,1.85,86.0,1013.59,
2014,1,3,8,24.73,94.1,94.0,367.52,43.0,385.88,2.08,85.0,1013.89,
2014,1,3,9,25.67,88.19,310.0,686.59,72.0,386.87,2.32,85.0,1014.19,
2014,1,3,10,26.61,82.29,513.0,813.08,88.0,387.85,2.55,84.0,1014.49,
2014,1,3,11,27.01,79.04,671.0,876.39,97.0,389.3,2.66,84.0,1013.79,
2014,1,3,12,27.41,75.79,766.0,904.15,102.0,390.75,2.77,83.0,1013.09,
2014,1,3,13,27.81,72.54,792.0,911.88,103.0,392.2,2.88,83.0,1012.4,
2014,1,3,14,27.68,73.18,744.0,896.66,101.0,391.3,2.46,83.0,1012.06,
2014,1,3,15,27.56,73.82,629.0,859.12,95.0,390.4,2.04,84.0,1011.73,
