Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,846,Alausi,ECU,Ecuador,-2.18995806998,-78.8499780698,-5,2342.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2005,1,1,0,12.84,100.0,0.0,0.0,0.0,343.27,1.35,82.0,766.24,
2005,1,1,1,12.21,100.0,0.0,0.0,0.0,345.74,1.39,79.0,765.84,
2005,1,1,2,11.59,100.0,0.0,0.0,0.0,348.21,1.42,77.0,765.44,
2005,1,1,3,12.35,100.0,0.0,0.0,0.0,368.7,1.27,74.0,765.04,
2005,1,1,4,12.51,100.0,0.0,0.0,0.0,367.72,1.43,75.0,765.29,
2005,1,1,5,12.68,100.0,0.0,0.0,0.0,366.73,1.6,76.0,765.54,
2005,1,1,6,12.84,100.0,0.0,0.0,0.0,365.75,1.77,78.0,765.79,
2005,1,1,7,15.46,100.0,62.0,0.0,62.0,350.1,2.08,78.0,765.69,
2005,1,1,8,18.07,100.0,381.0,674.08,106.0,334.45,2.39,79.0,765.59,
2005,1,1,9,20.69,100.0,623.0,806.83,131.0,318.8,2.7,79.0,765.49,
2005,1,1,10,20.96,98.36,822.0,876.68,146.0,321.82,2.51,75.0,764.59,
2005,1,1,11,21.23,96.71,671.0,179.37,513.0,324.83,2.33,71.0,763.69,
2005,1,1,12,21.5,95.07,1023.0,926.35,160.0,327.85,2.14,66.0,762.79,
2005,1,1,13,20.46,96.71,803.0,319.6,509.0,338.62,1.65,67.0,762.33,
2005,1,1,14,19.42,98.36,492.0,87.42,418.0,349.38,1.15,69.0,761.88,
2005,1,1,15,18.38,100.0,296.0,29.31,275.0,360.15,0.66,70.0,761.43,
2005,1,1,16,17.43,100.0,270.0,50.13,243.0,351.02,0.58,33.0,762.08,
2005,1,1,17,16.48,100.0,89.0,0.0,89.0,341.88,0.5,356.0,762.74,
2005,1,1,18,15.53,100.0,56.0,0.0,56.0,332.75,0.41,320.0,763.39,
