Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,844,Azogues,ECU,Ecuador,-2.74000201529,-78.84003035649998,-5,2589.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2015,1,1,0,14.02,100.0,0.0,0.0,0.0,358.82,0.77,83.0,740.88,
2015,1,1,1,13.58,100.0,0.0,0.0,0.0,357.5,0.57,85.0,740.52,
2015,1,1,2,13.14,100.0,0.0,0.0,0.0,356.18,0.37,87.0,740.15,
2015,1,1,3,13.19,100.0,0.0,0.0,0.0,382.25,0.68,89.0,739.79,
2015,1,1,4,13.1,100.0,0.0,0.0,0.0,379.75,0.82,90.0,740.18,
2015,1,1,5,13.01,100.0,0.0,0.0,0.0,377.25,0.97,90.0,740.56,
2015,1,1,6,12.91,100.0,0.0,0.0,0.0,374.75,1.12,90.0,740.95,
2015,1,1,7,14.68,95.16,156.0,10.92,154.0,368.98,1.78,84.0,740.9,
2015,1,1,8,16.45,90.33,416.0,0.0,416.0,363.22,2.44,78.0,740.86,
2015,1,1,9,18.22,85.49,507.0,190.73,390.0,357.45,3.1,72.0,740.81,
2015,1,1,10,19.27,78.01,428.0,41.31,396.0,355.03,3.27,71.0,739.76,
2015,1,1,11,20.31,70.52,167.0,122.13,59.0,352.62,3.43,70.0,738.72,
2015,1,1,12,21.36,63.04,565.0,429.95,163.0,350.2,3.6,68.0,737.67,
2015,1,1,13,20.94,66.42,577.0,29.24,550.0,357.03,3.44,72.0,737.14,
2015,1,1,14,20.52,69.81,536.0,24.71,515.0,363.87,3.28,75.0,736.6,
2015,1,1,15,20.1,73.19,921.0,979.43,216.0,370.7,3.12,78.0,736.07,
2015,1,1,16,18.78,82.13,280.0,33.21,262.0,366.62,2.74,87.0,736.87,
2015,1,1,17,17.47,91.06,373.0,785.38,115.0,362.53,2.37,95.0,737.67,
2015,1,1,18,16.15,100.0,68.0,425.94,28.0,358.45,2.0,104.0,738.48,
2015,1,1,19,15.52,100.0,0.0,0.0,0.0,350.58,1.85,101.0,739.5,
2015,1,1,20,14.89,100.0,0.0,0.0,0.0,342.72,1.71,99.0,740.52,
2015,1,1,21,14.27,100.0,0.0,0.0,0.0,334.85,1.56,97.0,741.54,
2015,1,1,22,14.14,100.0,0.0,0.0,0.0,344.72,1.47,95.0,741.37,
2015,1,1,23,14.02,100.0,0.0,0.0,0.0,354.58,1.38,93.0,741.2,
2015,1,2,0,13.89,100.0,0.0,0.0,0.0,364.45,1.3,92.0,741.03,
2015,1,2,1,13.68,100.0,0.0,0.0,0.0,366.23,1.29,93.0,740.81,
2015,1,2,2,13.47,100.0,0.0,0.0,0.0,368.02,1.29,93.0,740.59,
2015,1,2,3,13.25,100.0,0.0,0.0,0.0,369.8,1.28,94.0,740.37,
2015,1,2,4,13.09,100.0,0.0,0.0,0.0,363.42,1.35,94.0,740.73,
2015,1,2,5,12.92,100.0,0.0,0.0,0.0,357.03,1.42,94.0,741.1,
2015,1,2,6,12.75,100.0,0.0,0.0,0.0,350.65,1.49,93.0,741.46,
2015,1,2,7,14.86,91.75,10.0,0.0,10.0,347.4,2.15,89.0,741.39,
2015,1,2,8,16.96,83.5,188.0,29.25,176.0,344.15,2.8,84.0,741.32,
2015,1,2,9,19.07,75.25,665.0,958.58,78.0,340.9,3.46,80.0,741.24,
2015,1,2,10,20.35,69.78,506.0,54.26,464.0,344.62,3.49,78.0,740.25,
2015,1,2,11,21.62,64.32,270.0,24.88,248.0,348.33,3.53,76.0,739.25,
2015,1,2,12,22.9,58.85,266.0,21.38,246.0,352.05,3.56,74.0,738.26,
2015,1,2,13,22.21,62.56,294.0,15.15,280.0,359.03,3.35,75.0,737.82,
2015,1,2,14,21.52,66.26,325.0,21.15,307.0,366.02,3.14,76.0,737.38,
2015,1,2,15,20.83,69.97,795.0,988.43,82.0,373.0,2.94,76.0,736.94,
2015,1,2,16,19.3,79.98,575.0,923.26,73.0,367.0,2.57,85.0,737.55,
2015,1,2,17,17.76,89.99,379.0,793.16,117.0,361.0,2.2,93.0,738.16,
2015,1,2,18,16.23,100.0,63.0,438.97,21.0,355.0,1.83,101.0,738.77,
2015,1,2,19,15.72,100.0,0.0,0.0,0.0,349.23,1.66,99.0,739.79,
2015,1,2,20,15.22,100.0,0.0,0.0,0.0,343.47,1.49,97.0,740.81,
2015,1,2,21,14.72,100.0,0.0,0.0,0.0,337.7,1.32,95.0,741.83,
2015,1,2,22,14.54,100.0,0.0,0.0,0.0,344.88,1.24,95.0,741.73,
2015,1,2,23,14.37,100.0,0.0,0.0,0.0,352.07,1.15,95.0,741.63,
