Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,2424,Macas,ECU,Ecuador,-2.30958901073,-78.11999678719998,-5,1023.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2011,1,1,0,20.03,0.5,0.0,0.0,0.0,405.55,1.39,333.0,894.96,
2011,1,1,1,19.67,0.5,0.0,0.0,0.0,403.32,1.33,327.0,894.52,
2011,1,1,2,19.31,0.5,0.0,0.0,0.0,401.09,1.26,321.0,894.07,
2011,1,1,3,18.97,66.86,0.0,0.0,0.0,402.7,2.25,315.0,893.63,
2011,1,1,4,19.12,67.31,0.0,0.0,0.0,402.85,2.09,315.0,894.31,
2011,1,1,5,19.27,67.75,0.0,0.0,0.0,403.0,1.94,315.0,894.99,
2011,1,1,6,19.42,68.2,0.0,0.0,0.0,403.15,1.78,316.0,895.67,
2011,1,1,7,20.96,64.76,15.0,0.0,15.0,404.52,2.14,332.0,895.58,
2011,1,1,8,22.5,61.33,314.0,336.27,173.0,405.88,2.51,349.0,895.49,
2011,1,1,9,24.04,57.89,349.0,83.95,297.0,407.25,2.87,6.0,895.4,
2011,1,1,10,24.32,56.3,834.0,909.49,126.0,409.38,2.57,7.0,894.55,
2011,1,1,11,24.6,54.71,781.0,396.39,430.0,411.52,2.28,8.0,893.69,
2011,1,1,12,24.89,53.12,1026.0,952.6,137.0,413.65,1.99,9.0,892.84,
2011,1,1,13,24.19,55.5,1005.0,946.14,136.0,415.63,1.59,16.0,892.1,
2011,1,1,14,23.49,57.87,907.0,920.23,132.0,417.62,1.19,23.0,891.36,
2011,1,1,15,22.79,60.25,740.0,870.95,122.0,419.6,0.79,29.0,890.62,
2011,1,1,16,22.09,61.7,521.0,781.6,107.0,418.55,1.11,44.0,891.24,
2011,1,1,17,21.4,63.14,275.0,613.15,82.0,417.5,1.44,60.0,891.86,
2011,1,1,18,20.7,64.59,55.0,0.0,55.0,416.45,1.77,75.0,892.48,
2011,1,1,19,20.65,65.32,0.0,0.0,0.0,414.52,1.66,51.0,893.34,
2011,1,1,20,20.59,66.04,0.0,0.0,0.0,412.58,1.56,27.0,894.19,
2011,1,1,21,20.54,66.77,0.0,0.0,0.0,410.65,1.46,3.0,895.05,
2011,1,1,22,20.32,67.01,0.0,0.0,0.0,410.13,1.56,349.0,894.93,
2011,1,1,23,20.09,67.25,0.0,0.0,0.0,409.62,1.66,335.0,894.81,
2011,1,2,0,19.87,67.49,0.0,0.0,0.0,409.1,1.75,322.0,894.69,
2011,1,2,1,19.66,67.56,0.0,0.0,0.0,408.17,1.75,322.0,894.19,
2011,1,2,2,19.45,67.63,0.0,0.0,0.0,407.23,1.74,322.0,893.69,
2011,1,2,3,19.24,67.7,0.0,0.0,0.0,406.3,1.74,323.0,893.19,
2011,1,2,4,19.29,67.73,0.0,0.0,0.0,405.32,1.99,326.0,893.66,
2011,1,2,5,19.35,67.76,0.0,0.0,0.0,404.33,2.23,329.0,894.13,
2011,1,2,6,19.4,67.79,0.0,0.0,0.0,403.35,2.48,333.0,894.6,
2011,1,2,7,20.47,64.96,69.0,15.79,66.0,405.8,2.68,347.0,894.69,
2011,1,2,8,21.54,62.13,397.0,725.06,94.0,408.25,2.88,1.0,894.78,
2011,1,2,9,22.62,59.3,637.0,845.7,114.0,410.7,3.08,15.0,894.87,
2011,1,2,10,22.67,61.31,833.0,907.59,127.0,415.52,2.87,14.0,894.07,
2011,1,2,11,22.73,63.32,967.0,939.69,135.0,420.33,2.67,13.0,893.28,
2011,1,2,12,22.79,65.33,563.0,79.26,489.0,425.15,2.47,13.0,892.48,
2011,1,2,13,22.27,64.34,1006.0,944.17,138.0,427.53,1.94,13.0,891.66,
2011,1,2,14,21.75,63.35,909.0,920.05,133.0,429.92,1.4,13.0,890.83,
2011,1,2,15,21.23,62.36,743.0,871.85,123.0,432.3,0.87,14.0,890.01,
2011,1,2,16,20.82,63.25,525.0,784.66,108.0,430.32,1.08,20.0,890.57,
2011,1,2,17,20.41,64.14,278.0,615.92,83.0,428.33,1.29,27.0,891.13,
2011,1,2,18,20.0,65.03,72.0,221.54,54.0,426.35,1.5,33.0,891.69,
2011,1,2,19,19.99,65.55,0.0,0.0,0.0,422.33,1.31,19.0,892.6,
2011,1,2,20,19.99,66.08,0.0,0.0,0.0,418.32,1.13,6.0,893.51,
2011,1,2,21,19.98,66.6,0.0,0.0,0.0,414.3,0.94,352.0,894.43,
2011,1,2,22,19.85,66.59,0.0,0.0,0.0,411.85,1.49,333.0,894.19,
2011,1,2,23,19.71,66.59,0.0,0.0,0.0,409.4,2.03,314.0,893.96,
2011,1,3,0,19.58,66.58,0.0,0.0,0.0,406.95,2.58,295.0,893.72,
2011,1,3,1,19.31,66.85,0.0,0.0,0.0,405.52,2.16,294.0,893.22,
2011,1,3,2,19.05,67.12,0.0,0.0,0.0,404.08,1.73,292.0,892.72,
2011,1,3,3,18.78,67.39,0.0,0.0,0.0,402.65,1.31,290.0,892.22,
2011,1,3,4,18.82,67.09,0.0,0.0,0.0,402.28,1.51,291.0,892.78,
2011,1,3,5,18.85,66.78,0.0,0.0,0.0,401.92,1.71,291.0,893.34,
2011,1,3,6,18.89,66.48,0.0,0.0,0.0,401.55,1.92,292.0,893.9,
2011,1,3,7,19.93,63.02,65.0,10.62,63.0,404.47,1.36,319.0,894.19,
2011,1,3,8,20.97,59.55,65.0,0.0,65.0,407.38,0.8,347.0,894.49,
2011,1,3,9,22.01,56.09,347.0,82.6,296.0,410.3,0.23,15.0,894.78,
2011,1,3,10,22.16,54.42,671.0,389.79,368.0,415.5,0.72,17.0,893.9,
2011,1,3,11,22.31,52.76,756.0,329.81,464.0,420.7,1.2,20.0,893.01,
2011,1,3,12,22.46,51.09,728.0,223.75,519.0,425.9,1.68,22.0,892.13,
2011,1,3,13,22.14,51.82,774.0,308.62,490.0,427.9,1.2,26.0,891.48,
2011,1,3,14,21.82,52.54,687.0,291.22,441.0,429.9,0.71,29.0,890.83,
2011,1,3,15,21.5,53.27,563.0,297.46,351.0,431.9,0.22,33.0,890.18,
2011,1,3,16,21.03,55.91,518.0,768.94,108.0,428.33,0.62,38.0,890.74,
2011,1,3,17,20.56,58.56,275.0,602.98,83.0,424.77,1.02,44.0,891.3,
2011,1,3,18,20.09,61.2,70.0,204.81,53.0,421.2,1.42,49.0,891.86,
2011,1,3,19,19.78,62.22,0.0,0.0,0.0,414.35,1.53,30.0,892.54,
2011,1,3,20,19.47,63.24,0.0,0.0,0.0,407.5,1.64,11.0,893.22,
2011,1,3,21,19.16,64.26,0.0,0.0,0.0,400.65,1.75,352.0,893.9,
2011,1,3,22,19.1,64.89,0.0,0.0,0.0,399.18,1.54,348.0,893.78,
2011,1,3,23,19.05,65.53,0.0,0.0,0.0,397.72,1.33,345.0,893.66,
2011,1,4,0,18.99,66.16,0.0,0.0,0.0,396.25,1.12,341.0,893.54,
2011,1,4,1,18.81,66.22,0.0,0.0,0.0,395.87,0.92,340.0,893.28,
2011,1,4,2,18.63,66.29,0.0,0.0,0.0,395.48,0.72,340.0,893.01,
2011,1,4,3,18.45,66.35,0.0,0.0,0.0,395.1,0.52,339.0,892.75,
2011,1,4,4,18.57,65.38,0.0,0.0,0.0,394.13,0.76,341.0,893.25,
2011,1,4,5,18.69,64.41,0.0,0.0,0.0,393.17,0.99,343.0,893.75,
2011,1,4,6,18.81,63.44,0.0,0.0,0.0,392.2,1.23,345.0,894.25,
2011,1,4,7,20.82,57.43,137.0,423.34,58.0,394.28,1.6,356.0,894.43,
2011,1,4,8,22.83,51.43,384.0,698.52,94.0,396.37,1.97,8.0,894.6,
2011,1,4,9,24.84,45.42,622.0,822.4,115.0,398.45,2.34,19.0,894.78,
2011,1,4,10,25.44,43.65,687.0,435.09,349.0,405.78,2.1,21.0,893.96,
2011,1,4,11,26.05,41.87,821.0,442.76,429.0,413.12,1.86,22.0,893.13,
2011,1,4,12,26.66,40.1,820.0,375.58,469.0,420.45,1.61,23.0,892.3,
2011,1,4,13,25.64,43.15,831.0,419.04,445.0,423.6,1.6,24.0,891.8,
2011,1,4,14,24.62,46.21,820.0,531.9,370.0,426.75,1.6,24.0,891.3,
2011,1,4,15,23.6,49.26,596.0,365.39,335.0,429.9,1.59,25.0,890.8,
2011,1,4,16,22.57,52.27,449.0,450.49,208.0,425.12,1.58,30.0,891.27,
2011,1,4,17,21.53,55.27,121.0,0.0,121.0,420.33,1.57,34.0,891.74,
2011,1,4,18,20.5,58.28,70.0,0.0,70.0,415.55,1.56,39.0,892.22,
2011,1,4,19,20.44,59.74,0.0,0.0,0.0,413.92,1.77,34.0,893.04,
2011,1,4,20,20.37,61.2,0.0,0.0,0.0,412.28,1.98,30.0,893.87,
2011,1,4,21,20.31,62.66,0.0,0.0,0.0,410.65,2.19,25.0,894.69,
2011,1,4,22,19.95,62.94,0.0,0.0,0.0,409.12,2.19,14.0,894.63,
2011,1,4,23,19.58,63.22,0.0,0.0,0.0,407.58,2.18,2.0,894.58,
2011,1,5,0,19.22,63.5,0.0,0.0,0.0,406.05,2.18,351.0,894.52,
2011,1,5,1,18.98,63.92,0.0,0.0,0.0,405.58,2.06,347.0,894.34,
2011,1,5,2,18.73,64.33,0.0,0.0,0.0,405.12,1.94,343.0,894.16,
2011,1,5,3,18.49,64.75,0.0,0.0,0.0,404.65,1.82,339.0,893.99,
2011,1,5,4,18.75,65.38,0.0,0.0,0.0,404.4,1.81,334.0,894.46,
2011,1,5,5,19.01,66.0,0.0,0.0,0.0,404.15,1.8,330.0,894.93,
2011,1,5,6,19.27,66.63,0.0,0.0,0.0,403.9,1.79,325.0,895.4,
2011,1,5,7,20.65,64.4,4.0,0.0,4.0,403.88,2.36,343.0,895.7,
2011,1,5,8,22.03,62.16,86.0,0.0,86.0,403.87,2.93,360.0,895.99,
2011,1,5,9,23.42,59.93,154.0,4.87,151.0,403.85,3.5,17.0,896.29,
2011,1,5,10,23.81,59.15,90.0,0.0,90.0,405.63,3.39,16.0,895.31,
2011,1,5,11,24.21,58.36,624.0,154.73,487.0,407.42,3.28,14.0,894.34,
2011,1,5,12,24.61,57.58,143.0,4.28,139.0,409.2,3.17,12.0,893.37,
2011,1,5,13,24.05,59.32,586.0,99.77,494.0,409.33,2.14,11.0,892.75,
2011,1,5,14,23.5,61.05,771.0,461.43,380.0,409.47,1.1,9.0,892.13,
2011,1,5,15,22.95,62.79,571.0,308.69,350.0,409.6,0.07,7.0,891.51,
2011,1,5,16,22.17,64.29,263.0,52.17,235.0,410.78,0.58,18.0,892.16,
2011,1,5,17,21.39,65.79,89.0,0.0,89.0,411.97,1.09,29.0,892.81,
2011,1,5,18,20.61,67.29,72.0,242.9,51.0,413.15,1.6,40.0,893.45,
2011,1,5,19,20.28,67.3,0.0,0.0,0.0,408.55,1.59,4.0,894.31,
2011,1,5,20,19.96,67.3,0.0,0.0,0.0,403.95,1.57,329.0,895.16,
2011,1,5,21,19.63,67.31,0.0,0.0,0.0,399.35,1.56,293.0,896.02,
2011,1,5,22,19.44,67.55,0.0,0.0,0.0,400.98,1.45,291.0,896.08,
2011,1,5,23,19.25,67.8,0.0,0.0,0.0,402.62,1.35,289.0,896.14,
2011,1,6,0,19.06,68.04,0.0,0.0,0.0,404.25,1.24,287.0,896.2,
2011,1,6,1,18.79,68.17,0.0,0.0,0.0,404.07,1.53,283.0,895.9,
2011,1,6,2,18.51,68.29,0.0,0.0,0.0,403.88,1.82,280.0,895.61,
2011,1,6,3,18.24,68.42,0.0,0.0,0.0,403.7,2.11,277.0,895.31,
2011,1,6,4,18.39,67.97,0.0,0.0,0.0,405.22,1.68,284.0,895.75,
2011,1,6,5,18.53,67.51,0.0,0.0,0.0,406.73,1.25,292.0,896.2,
2011,1,6,6,18.68,67.06,0.0,0.0,0.0,408.25,0.81,299.0,896.64,
